Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,71.17,71.37,70.35,70.99,4732537.0,0.0,1.0,71.17,71.37,70.35,70.99,4732537.0
2017-08-03,70.61,71.01,70.36,70.99,4400241.0,0.0,1.0,70.61,71.01,70.36,70.99,4400241.0
2017-08-02,70.25,70.74,69.93,70.71,4922217.0,0.0,1.0,70.25,70.74,69.93,70.71,4922217.0
2017-08-01,70.03,70.84,69.85,70.38,6681693.0,0.0,1.0,70.03,70.84,69.85,70.38,6681693.0
2017-07-31,70.52,70.58,69.83,69.91,7770409.0,0.0,1.0,70.52,70.58,69.83,69.91,7770409.0
2017-07-28,71.64,72.44,69.38,70.44,8012352.0,0.0,1.0,71.64,72.44,69.38,70.44,8012352.0
2017-07-27,72.78,72.8017,70.88,71.73,7389286.0,0.0,1.0,72.78,72.8017,70.88,71.73,7389286.0
2017-07-26,72.37,72.6896,71.95,72.59,4876980.0,0.0,1.0,72.37,72.6896,71.95,72.59,4876980.0
2017-07-25,74.4,74.55,72.47,72.52,6354207.0,0.0,1.0,74.4,74.55,72.47,72.52,6354207.0
2017-07-24,74.63,74.75,73.8375,73.91,5496327.0,0.0,1.0,74.63,74.75,73.8375,73.91,5496327.0
2017-07-21,73.98,75.04,73.85,74.63,4961484.0,0.0,1.0,73.98,75.04,73.85,74.63,4961484.0
2017-07-20,72.99,74.22,72.945,74.01,5329746.0,0.0,1.0,72.99,74.22,72.945,74.01,5329746.0
2017-07-19,72.48,72.77,72.02,72.77,3904137.0,0.0,1.0,72.48,72.77,72.02,72.77,3904137.0
2017-07-18,72.63,72.86,71.75,72.23,5269109.0,0.0,1.0,72.63,72.86,71.75,72.23,5269109.0
2017-07-17,73.1,73.47,72.69,72.7,3461573.0,0.0,1.0,73.1,73.47,72.69,72.7,3461573.0
2017-07-14,72.62,73.23,72.51,73.11,4335669.0,0.0,1.0,72.62,73.23,72.51,73.11,4335669.0
2017-07-13,71.94,72.895,71.67,72.63,5189786.0,0.0,1.0,71.94,72.895,71.67,72.63,5189786.0
2017-07-12,71.51,72.13,71.3,71.88,4860230.0,0.64,1.0,71.51,72.13,71.3,71.88,4860230.0
2017-07-11,71.89,72.17,71.33,71.84,3535089.0,0.0,1.0,71.2555598456,71.5330888031,70.7005019305,71.2060011031,3535089.0
2017-07-10,71.8,72.225,71.5789,71.83,3158342.0,0.0,1.0,71.1663541092,71.5876034197,70.9472053502,71.1960893547,3158342.0
2017-07-07,72.11,72.11,71.63,72.03,4333674.0,0.0,1.0,71.4736183122,71.4736183122,70.997854385,71.3943243243,4333674.0
2017-07-06,72.24,72.45,71.41,71.73,4372054.0,0.0,1.0,71.6024710425,71.8106177606,70.7797959184,71.0969718698,4372054.0
2017-07-05,72.48,72.74,71.99,72.48,4751870.0,0.0,1.0,71.8403530061,72.0980584666,71.3546773304,71.8403530061,4751870.0
2017-07-03,72.76,72.99,72.37,72.42,2570706.0,0.0,1.0,72.1178819636,72.3458521787,71.7313237728,71.7808825152,2570706.0
2017-06-30,72.57,72.82,72.21,72.51,4729149.0,0.0,1.0,71.9295587424,72.1773524545,71.572735797,71.8700882515,4729149.0
2017-06-29,73.15,73.17,71.91,72.48,4444714.0,0.0,1.0,72.5044401544,72.5242636514,71.2753833425,71.8403530061,4444714.0
2017-06-28,72.72,73.54,72.58,72.92,4196191.0,0.0,1.0,72.0782349697,72.8909983453,71.9394704909,72.2764699393,4196191.0
2017-06-27,72.7,73.06,72.25,72.39,4490570.0,0.0,1.0,72.0584114727,72.4152344181,71.612382791,71.7511472697,4490570.0
2017-06-26,72.79,72.945,72.41,72.74,4019452.0,0.0,1.0,72.147617209,72.3012493105,71.7709707667,72.0980584666,4019452.0
2017-06-23,73.2,73.49,72.26,72.64,7064455.0,0.0,1.0,72.5539988969,72.8414396029,71.6222945394,71.9989409818,7064455.0
2017-06-22,71.49,73.67,71.41,73.18,9998906.0,0.0,1.0,70.8590899062,73.0198510756,70.7797959184,72.5341753999,9998906.0
2017-06-21,71.11,71.7,71.05,71.34,6096825.0,0.0,1.0,70.4824434639,71.0672366244,70.422972973,70.710413679,6096825.0
2017-06-20,71.44,71.81,71.16,71.22,6542849.0,0.0,1.0,70.8095311638,71.1762658577,70.5320022063,70.5914726972,6542849.0
2017-06-19,71.11,71.59,70.94,71.34,6396250.0,0.0,1.0,70.4824434639,70.9582073911,70.3139437397,70.710413679,6396250.0
2017-06-16,70.8,71.12,70.49,71.05,9342262.0,0.0,1.0,70.1751792609,70.4923552124,69.8679150579,70.422972973,9342262.0
2017-06-15,70.341,70.65,69.88,70.6,4682694.0,0.0,1.0,69.7202300055,70.0265030336,69.2632984004,69.9769442912,4682694.0
2017-06-14,69.48,70.79,69.37,70.52,6639136.0,0.0,1.0,68.8668284611,70.1652675124,68.7577992278,69.8976503034,6639136.0
2017-06-13,69.62,70.03,69.42,69.67,5269007.0,0.0,1.0,69.0055929399,69.4119746277,68.8073579702,69.0551516823,5269007.0
2017-06-12,69.79,69.9,68.89,69.53,6084294.0,0.0,1.0,69.1740926641,69.2831218974,68.2820353006,68.9163872035,6084294.0
2017-06-09,68.8,69.83,68.7201,69.67,6159800.0,0.0,1.0,68.1928295643,69.213739658,68.1136346939,69.0551516823,6159800.0
2017-06-08,68.67,69.05,68.335,68.76,6082516.0,0.0,1.0,68.063976834,68.4406232763,67.7319332598,68.1531825703,6082516.0
2017-06-07,68.01,69.32,68.01,68.75,8406190.0,0.0,1.0,67.4098014341,68.7082404854,67.4098014341,68.1432708218,8406190.0
