Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,81.71,81.97,79.58,80.83,2882893.0,0.0,1.0,81.71,81.97,79.58,80.83,2882893.0
2017-08-03,84.11,85.33,80.51,81.71,7434738.0,0.0,1.0,84.11,85.33,80.51,81.71,7434738.0
2017-08-02,92.19,92.19,89.09,91.27,2301075.0,0.0,1.0,92.19,92.19,89.09,91.27,2301075.0
2017-08-01,94.11,94.17,92.66,92.98,1256115.0,0.0,1.0,94.11,94.17,92.66,92.98,1256115.0
2017-07-31,94.3,94.42,93.25,93.82,1067330.0,0.0,1.0,94.3,94.42,93.25,93.82,1067330.0
2017-07-28,93.0,94.17,92.38,93.97,869223.0,0.0,1.0,93.0,94.17,92.38,93.97,869223.0
2017-07-27,93.49,93.67,91.86,92.78,1493251.0,0.0,1.0,93.49,93.67,91.86,92.78,1493251.0
2017-07-26,94.27,94.725,93.41,94.21,1366129.0,0.0,1.0,94.27,94.725,93.41,94.21,1366129.0
2017-07-25,93.4,95.11,92.6,94.65,1413497.0,0.0,1.0,93.4,95.11,92.6,94.65,1413497.0
2017-07-24,91.64,93.66,91.34,93.13,1273706.0,0.0,1.0,91.64,93.66,91.34,93.13,1273706.0
2017-07-21,91.82,92.08,91.44,91.62,604429.0,0.0,1.0,91.82,92.08,91.44,91.62,604429.0
2017-07-20,91.2,92.35,90.62,91.95,1136414.0,0.0,1.0,91.2,92.35,90.62,91.95,1136414.0
2017-07-19,91.56,91.67,90.3,91.17,1331601.0,0.0,1.0,91.56,91.67,90.3,91.17,1331601.0
2017-07-18,92.68,92.68,90.97,91.37,1299283.0,0.0,1.0,92.68,92.68,90.97,91.37,1299283.0
2017-07-17,93.05,93.37,92.55,92.71,1017656.0,0.0,1.0,93.05,93.37,92.55,92.71,1017656.0
2017-07-14,93.06,93.42,92.53,92.96,859020.0,0.0,1.0,93.06,93.42,92.53,92.96,859020.0
2017-07-13,93.55,93.79,92.32,92.86,788780.0,0.0,1.0,93.55,93.79,92.32,92.86,788780.0
2017-07-12,92.84,93.7,92.61,93.21,655133.0,0.0,1.0,92.84,93.7,92.61,93.21,655133.0
2017-07-11,92.65,92.65,91.15,92.18,911512.0,0.0,1.0,92.65,92.65,91.15,92.18,911512.0
2017-07-10,93.65,94.54,92.28,92.49,1255339.0,0.0,1.0,93.65,94.54,92.28,92.49,1255339.0
2017-07-07,93.04,94.26,92.74,93.91,1158714.0,0.0,1.0,93.04,94.26,92.74,93.91,1158714.0
