Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,130.06,130.67,129.54,130.2,1283185.0,0.0,1.0,130.06,130.67,129.54,130.2,1283185.0
2017-08-03,129.22,130.28,127.99,130.02,3560416.0,0.0,1.0,129.22,130.28,127.99,130.02,3560416.0
2017-08-02,129.7,129.84,128.53,128.62,1318478.0,0.0,1.0,129.7,129.84,128.53,128.62,1318478.0
2017-08-01,129.1,129.89,128.95,129.86,3465682.0,0.0,1.0,129.1,129.89,128.95,129.86,3465682.0
2017-07-31,128.5,129.16,128.19,128.82,1584354.0,0.0,1.0,128.5,129.16,128.19,128.82,1584354.0
2017-07-28,127.98,128.53,127.31,128.4,1133850.0,0.0,1.0,127.98,128.53,127.31,128.4,1133850.0
2017-07-27,129.7,129.7,127.42,128.16,2096970.0,0.0,1.0,129.7,129.7,127.42,128.16,2096970.0
2017-07-26,129.0,129.61,128.735,129.51,1615311.0,0.0,1.0,129.0,129.61,128.735,129.51,1615311.0
2017-07-25,128.25,129.31,127.68,128.95,1599954.0,0.0,1.0,128.25,129.31,127.68,128.95,1599954.0
2017-07-24,128.27,128.5,127.59,128.01,1763242.0,0.0,1.0,128.27,128.5,127.59,128.01,1763242.0
2017-07-21,128.54,128.955,128.01,128.85,1765383.0,0.0,1.0,128.54,128.955,128.01,128.85,1765383.0
2017-07-20,127.9,128.7599,127.65,128.54,1655339.0,0.0,1.0,127.9,128.7599,127.65,128.54,1655339.0
2017-07-19,127.5,128.0,126.72,127.78,2275298.0,0.0,1.0,127.5,128.0,126.72,127.78,2275298.0
2017-07-18,126.25,127.57,125.48,127.37,1641350.0,0.0,1.0,126.25,127.57,125.48,127.37,1641350.0
2017-07-17,126.77,127.05,126.15,126.42,2005625.0,0.0,1.0,126.77,127.05,126.15,126.42,2005625.0
2017-07-14,126.19,126.96,125.73,126.7,1752903.0,0.0,1.0,126.19,126.96,125.73,126.7,1752903.0
2017-07-13,125.7,126.35,125.44,125.73,1713698.0,0.0,1.0,125.7,126.35,125.44,125.73,1713698.0
2017-07-12,124.3,125.48,124.12,125.47,2017856.0,0.0,1.0,124.3,125.48,124.12,125.47,2017856.0
2017-07-11,124.06,124.1,123.2,123.85,1379754.0,0.0,1.0,124.06,124.1,123.2,123.85,1379754.0
2017-07-10,124.05,124.37,123.59,124.06,1301531.0,0.0,1.0,124.05,124.37,123.59,124.06,1301531.0
2017-07-07,123.55,124.75,123.07,124.21,1889418.0,0.0,1.0,123.55,124.75,123.07,124.21,1889418.0
2017-07-06,123.35,123.63,122.03,122.94,1938109.0,0.0,1.0,123.35,123.63,122.03,122.94,1938109.0
2017-07-05,124.0,124.78,123.99,124.05,1328583.0,0.0,1.0,124.0,124.78,123.99,124.05,1328583.0
2017-07-03,123.82,124.88,123.79,123.93,1236153.0,0.0,1.0,123.82,124.88,123.79,123.93,1236153.0
2017-06-30,123.3,124.4,123.15,123.68,2290346.0,0.0,1.0,123.3,124.4,123.15,123.68,2290346.0
2017-06-29,123.5,123.5,122.61,122.99,2687283.0,0.0,1.0,123.5,123.5,122.61,122.99,2687283.0
2017-06-28,122.78,123.83,122.19,123.74,1727503.0,0.0,1.0,122.78,123.83,122.19,123.74,1727503.0
2017-06-27,122.5,122.84,122.0,122.19,2215255.0,0.0,1.0,122.5,122.84,122.0,122.19,2215255.0
2017-06-26,123.15,124.05,122.28,122.34,2622970.0,0.0,1.0,123.15,124.05,122.28,122.34,2622970.0
2017-06-23,122.14,123.62,121.72,122.74,3817814.0,0.0,1.0,122.14,123.62,121.72,122.74,3817814.0
2017-06-22,122.97,123.9,119.1,122.08,8691127.0,0.0,1.0,122.97,123.9,119.1,122.08,8691127.0
2017-06-21,127.07,127.18,126.03,127.11,3257939.0,0.0,1.0,127.07,127.18,126.03,127.11,3257939.0
2017-06-20,127.33,127.64,126.38,126.53,2356430.0,0.0,1.0,127.33,127.64,126.38,126.53,2356430.0
