Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,240.99,241.4,238.99,239.27,295593.0,0.0,1.0,240.99,241.4,238.99,239.27,295593.0
2017-08-03,240.21,241.34,239.0,239.99,378704.0,0.0,1.0,240.21,241.34,239.0,239.99,378704.0
2017-08-02,239.88,241.31,239.01,240.44,481319.0,0.0,1.0,239.88,241.31,239.01,240.44,481319.0
2017-08-01,242.02,242.48,239.83,239.87,369012.0,0.0,1.0,242.02,242.48,239.83,239.87,369012.0
2017-07-31,241.3,242.56,240.55,241.43,357372.0,0.0,1.0,241.3,242.56,240.55,241.43,357372.0
2017-07-28,240.18,241.52,238.91,241.05,531158.0,0.0,1.0,240.18,241.52,238.91,241.05,531158.0
2017-07-27,243.0,243.13,237.55,240.71,632698.0,0.0,1.0,243.0,243.13,237.55,240.71,632698.0
2017-07-26,242.67,242.67,238.56,238.76,508145.0,0.0,1.0,242.67,242.67,238.56,238.76,508145.0
2017-07-25,240.89,244.87,239.87,242.07,626760.0,0.0,1.0,240.89,244.87,239.87,242.07,626760.0
2017-07-24,236.63,240.26,235.97,240.15,948102.0,0.0,1.0,236.63,240.26,235.97,240.15,948102.0
2017-07-21,235.98,238.08,232.55,236.54,1566854.0,0.0,1.0,235.98,238.08,232.55,236.54,1566854.0
2017-07-20,243.88,252.4467,235.89,238.62,2099381.0,0.0,1.0,243.88,252.4467,235.89,238.62,2099381.0
2017-07-19,262.24,263.79,261.0,263.53,755620.0,0.0,1.0,262.24,263.79,261.0,263.53,755620.0
2017-07-18,261.35,263.06,259.5,262.0,395531.0,0.0,1.0,261.35,263.06,259.5,262.0,395531.0
2017-07-17,265.1,265.68,260.38,262.07,591825.0,0.0,1.0,265.1,265.68,260.38,262.07,591825.0
2017-07-14,264.55,265.27,261.42,264.14,585075.0,0.0,1.0,264.55,265.27,261.42,264.14,585075.0
2017-07-13,261.65,265.28,261.02,264.57,497730.0,0.0,1.0,261.65,265.28,261.02,264.57,497730.0
2017-07-12,260.56,263.6,259.71,260.27,457201.0,0.0,1.0,260.56,263.6,259.71,260.27,457201.0
2017-07-11,256.6,261.21,255.27,259.32,568191.0,0.0,1.0,256.6,261.21,255.27,259.32,568191.0
2017-07-10,255.5,257.05,253.31,256.04,562893.0,0.0,1.0,255.5,257.05,253.31,256.04,562893.0
2017-07-07,254.74,258.11,254.49,256.17,347827.0,0.0,1.0,254.74,258.11,254.49,256.17,347827.0
2017-07-06,257.02,257.66,253.2201,254.33,423866.0,0.0,1.0,257.02,257.66,253.2201,254.33,423866.0
2017-07-05,258.68,260.09,257.6,259.28,349809.0,0.0,1.0,258.68,260.09,257.6,259.28,349809.0
2017-07-03,257.26,258.6,256.09,258.23,307361.0,0.0,1.0,257.26,258.6,256.09,258.23,307361.0
2017-06-30,259.76,260.13,256.63,256.69,563981.0,0.0,1.0,259.76,260.13,256.63,256.69,563981.0
2017-06-29,263.22,264.16,256.85,258.12,526875.0,0.0,1.0,263.22,264.16,256.85,258.12,526875.0
2017-06-28,261.44,263.67,260.02,262.6,437336.0,0.0,1.0,261.44,263.67,260.02,262.6,437336.0
2017-06-27,261.03,264.46,259.58,259.96,401273.0,0.0,1.0,261.03,264.46,259.58,259.96,401273.0
2017-06-26,261.0,264.05,259.39,260.91,690631.0,0.0,1.0,261.0,264.05,259.39,260.91,690631.0
