Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,57.0,57.65,56.2572,57.5,1307037.0,0.0,1.0,57.0,57.65,56.2572,57.5,1307037.0
2017-08-03,56.55,57.0,56.4,57.0,1611171.0,0.0,1.0,56.55,57.0,56.4,57.0,1611171.0
2017-08-02,56.36,56.815,56.2,56.73,904460.0,0.0,1.0,56.36,56.815,56.2,56.73,904460.0
2017-08-01,56.2,56.67,56.16,56.53,1279381.0,0.0,1.0,56.2,56.67,56.16,56.53,1279381.0
2017-07-31,56.16,56.3729,56.02,56.1,1188175.0,0.0,1.0,56.16,56.3729,56.02,56.1,1188175.0
2017-07-28,56.35,56.35,55.97,56.16,716301.0,0.0,1.0,56.35,56.35,55.97,56.16,716301.0
2017-07-27,56.19,56.38,55.855,56.27,1092204.0,0.0,1.0,56.19,56.38,55.855,56.27,1092204.0
2017-07-26,55.77,56.4,55.6598,56.34,706436.0,0.0,1.0,55.77,56.4,55.6598,56.34,706436.0
2017-07-25,55.97,55.98,55.595,55.8,912866.0,0.0,1.0,55.97,55.98,55.595,55.8,912866.0
2017-07-24,56.52,56.67,55.8,55.92,1231431.0,0.0,1.0,56.52,56.67,55.8,55.92,1231431.0
2017-07-21,56.09,56.575,56.05,56.53,1243867.0,0.0,1.0,56.09,56.575,56.05,56.53,1243867.0
2017-07-20,55.86,56.29,55.65,56.14,1198295.0,0.0,1.0,55.86,56.29,55.65,56.14,1198295.0
2017-07-19,55.43,55.68,55.22,55.66,1134272.0,0.0,1.0,55.43,55.68,55.22,55.66,1134272.0
2017-07-18,54.94,55.54,54.8145,55.36,2213421.0,0.0,1.0,54.94,55.54,54.8145,55.36,2213421.0
2017-07-17,54.47,55.01,54.18,54.89,2809163.0,0.0,1.0,54.47,55.01,54.18,54.89,2809163.0
2017-07-14,54.48,54.63,54.23,54.43,720452.0,0.0,1.0,54.48,54.63,54.23,54.43,720452.0
2017-07-13,54.37,54.37,53.79,54.09,1431128.0,0.0,1.0,54.37,54.37,53.79,54.09,1431128.0
2017-07-12,54.3,54.52,54.15,54.4,1145528.0,0.0,1.0,54.3,54.52,54.15,54.4,1145528.0
2017-07-11,54.01,54.04,53.59,53.81,862460.0,0.0,1.0,54.01,54.04,53.59,53.81,862460.0
2017-07-10,54.19,54.41,53.9,53.95,1679652.0,0.0,1.0,54.19,54.41,53.9,53.95,1679652.0
2017-07-07,53.77,54.38,53.73,54.14,1156378.0,0.0,1.0,53.77,54.38,53.73,54.14,1156378.0
2017-07-06,53.7,53.82,53.54,53.75,1082562.0,0.0,1.0,53.7,53.82,53.54,53.75,1082562.0
2017-07-05,54.12,54.2,53.55,53.86,1475500.0,0.0,1.0,54.12,54.2,53.55,53.86,1475500.0
2017-07-03,54.85,54.92,54.13,54.13,800028.0,0.0,1.0,54.85,54.92,54.13,54.13,800028.0
2017-06-30,54.73,54.96,54.38,54.67,1944783.0,0.0,1.0,54.73,54.96,54.38,54.67,1944783.0
2017-06-29,54.9,55.0,54.48,54.7,1567862.0,0.0,1.0,54.9,55.0,54.48,54.7,1567862.0
2017-06-28,56.11,56.31,55.265,55.33,1082844.0,0.0,1.0,56.11,56.31,55.265,55.33,1082844.0
2017-06-27,56.19,56.49,55.7,55.89,2075696.0,0.0,1.0,56.19,56.49,55.7,55.89,2075696.0
2017-06-26,55.72,56.64,55.68,56.43,1392986.0,0.0,1.0,55.72,56.64,55.68,56.43,1392986.0
2017-06-23,56.27,56.45,55.84,55.94,973322.0,0.0,1.0,56.27,56.45,55.84,55.94,973322.0
2017-06-22,56.41,56.52,56.24,56.27,841042.0,0.0,1.0,56.41,56.52,56.24,56.27,841042.0
2017-06-21,57.07,57.16,56.15,56.47,1136867.0,0.0,1.0,57.07,57.16,56.15,56.47,1136867.0
2017-06-20,56.84,57.1,56.68,57.09,1087210.0,0.0,1.0,56.84,57.1,56.68,57.09,1087210.0
2017-06-19,57.14,57.14,56.6039,56.79,811192.0,0.0,1.0,57.14,57.14,56.6039,56.79,811192.0
2017-06-16,56.51,57.08,56.51,57.08,1802176.0,0.0,1.0,56.51,57.08,56.51,57.08,1802176.0
2017-06-15,56.41,56.63,56.23,56.48,1909660.0,0.0,1.0,56.41,56.63,56.23,56.48,1909660.0
2017-06-14,56.67,56.9,56.215,56.41,755525.0,0.0,1.0,56.67,56.9,56.215,56.41,755525.0
2017-06-13,56.01,56.34,55.81,56.29,1024875.0,0.0,1.0,56.01,56.34,55.81,56.29,1024875.0
2017-06-12,56.01,56.17,55.51,56.13,1463779.0,0.44,1.0,56.01,56.17,55.51,56.13,1463779.0
2017-06-09,56.13,56.4199,56.02,56.29,1169489.0,0.0,1.0,55.6934223086,55.9810674739,55.5842778858,55.8521778328,1169489.0
2017-06-08,56.76,56.86,55.87,56.35,1367288.0,0.0,1.0,56.3185221849,56.4177443875,55.4354445819,55.9117111543,1367288.0
2017-06-07,56.97,57.14,56.775,56.89,1361987.0,0.0,1.0,56.5268888103,56.6955665547,56.3334055153,56.4475110483,1361987.0
2017-06-06,57.0,57.21,56.77,56.82,1091216.0,0.0,1.0,56.5566554711,56.7650220965,56.3284444052,56.3780555065,1091216.0
2017-06-05,57.12,57.16,56.87,56.88,823572.0,0.0,1.0,56.6757221142,56.7154109952,56.4276666077,56.437588828,823572.0
2017-06-02,57.03,57.21,56.55,57.17,1508293.0,0.0,1.0,56.5864221319,56.7650220965,56.1101555595,56.7253332155,1508293.0
2017-06-01,56.75,56.89,56.42,56.8,2592092.0,0.0,1.0,56.3085999646,56.4475110483,55.9811666961,56.3582110659,2592092.0
2017-05-31,56.57,56.96,56.57,56.75,2085958.0,0.0,1.0,56.13,56.5169665901,56.13,56.3085999646,2085958.0
2017-05-30,56.17,56.57,55.87,56.46,1189934.0,0.0,1.0,55.7331111897,56.13,55.4354445819,56.0208555772,1189934.0
2017-05-26,55.99,56.21,55.88,56.15,1188238.0,0.0,1.0,55.554511225,55.7728000707,55.4453668022,55.7132667492,1188238.0
2017-05-25,55.72,56.235,55.21,56.05,2165383.0,0.0,1.0,55.2866112781,55.7976056214,54.7805780449,55.6140445466,2165383.0
2017-05-24,56.32,56.5,55.92,56.14,3378225.0,0.0,1.0,55.8819444935,56.0605444582,55.4850556832,55.7033445289,3378225.0
2017-05-23,56.51,57.09,56.365,56.46,2437351.0,0.0,1.0,56.0704666785,56.6459554534,55.9265944847,56.0208555772,2437351.0
2017-05-22,55.48,56.53,55.48,56.42,2605749.0,0.0,1.0,55.0484779919,56.090311119,55.0484779919,55.9811666961,2605749.0
2017-05-19,55.28,55.88,54.85,55.6,1981168.0,0.0,1.0,54.8500335867,55.4453668022,54.4233781156,55.167544635,1981168.0
2017-05-18,54.64,55.35,54.216,55.3,3231028.0,0.0,1.0,54.2150114902,54.9194891285,53.7943093512,54.8698780272,3231028.0
2017-05-17,54.78,54.98,54.41,54.43,2385244.0,0.0,1.0,54.3539225738,54.552366979,53.9868004243,54.0066448648,2385244.0
2017-05-16,55.1,55.32,54.6,54.66,1651469.0,0.0,1.0,54.6714336221,54.8897224677,54.1753226092,54.2348559307,1651469.0
2017-05-15,54.86,55.2,54.79,55.17,1077987.0,0.0,1.0,54.4333003359,54.7706558246,54.3638447941,54.7408891639,1077987.0
2017-05-12,54.47,55.09,54.47,54.93,1316329.0,0.0,1.0,54.0463337458,54.6615114018,54.0463337458,54.5027558777,1316329.0
2017-05-11,54.31,54.45,53.865,54.45,1220432.0,0.0,1.0,53.8875782217,54.0264893053,53.4460394202,54.0264893053,1220432.0
2017-05-10,54.24,54.55,54.15,54.45,1025443.0,0.0,1.0,53.8181226799,54.1257115079,53.7288226975,54.0264893053,1025443.0
2017-05-09,54.63,54.685,54.14,54.21,937129.0,0.0,1.0,54.2050892699,54.2596614814,53.7189004773,53.7883560191,937129.0
2017-05-08,54.8,54.95,54.44,54.63,875825.0,0.0,1.0,54.3737670143,54.5226003182,54.016567085,54.2050892699,875825.0
2017-05-05,54.95,55.12,54.71,54.78,1210622.0,0.0,1.0,54.5226003182,54.6912780626,54.284467032,54.3539225738,1210622.0
2017-05-04,54.37,54.85,53.72,54.81,1469532.0,0.0,1.0,53.9471115432,54.4233781156,53.3021672264,54.3836892346,1469532.0
2017-05-03,54.23,54.69,54.17,54.24,1592464.0,0.0,1.0,53.8082004596,54.2646225915,53.7486671381,53.8181226799,1592464.0
2017-05-02,54.45,54.63,53.94,54.25,1837105.0,0.0,1.0,54.0264893053,54.2050892699,53.5204560721,53.8280449001,1837105.0
2017-05-01,54.79,54.81,54.07,54.27,1088426.0,0.0,1.0,54.3638447941,54.3836892346,53.6494449355,53.8478893406,1088426.0
2017-04-28,54.99,55.11,54.48,54.69,1102777.0,0.0,1.0,54.5622891992,54.6813558423,54.0562559661,54.2646225915,1102777.0
2017-04-27,55.09,55.39,54.9725,55.03,1245507.0,0.0,1.0,54.6615114018,54.9591780095,54.5449253138,54.6019780803,1245507.0
2017-04-26,54.94,55.515,54.79,55.16,1794359.0,0.0,1.0,54.5126780979,55.0832057628,54.3638447941,54.7309669436,1794359.0
2017-04-25,55.2,55.38,54.87,55.08,1806677.0,0.0,1.0,54.7706558246,54.9492557893,54.4432225561,54.6515891815,1806677.0
2017-04-24,55.26,55.675,54.78,55.43,1463883.0,0.0,1.0,54.8301891462,55.2419612869,54.3539225738,54.9988668906,1463883.0
2017-04-21,54.52,55.225,54.46,55.09,1262632.0,0.0,1.0,54.0959448471,54.7954613753,54.0364115255,54.6615114018,1262632.0
2017-04-20,54.31,54.87,54.03,54.54,2445596.0,0.0,1.0,53.8875782217,54.4432225561,53.6097560544,54.1157892876,2445596.0
2017-04-19,55.25,55.41,54.71,54.89,1046219.0,0.0,1.0,54.8202669259,54.9790224501,54.284467032,54.4630669966,1046219.0
2017-04-18,55.47,55.66,55.19,55.34,1140131.0,0.0,1.0,55.0385557716,55.2270779565,54.7607336044,54.9095669083,1140131.0
2017-04-17,55.17,55.49,54.93,55.43,2073799.0,0.0,1.0,54.7408891639,55.0584002121,54.5027558777,54.9988668906,2073799.0
2017-04-13,55.36,55.36,54.73,54.99,1885764.0,0.0,1.0,54.9294113488,54.9294113488,54.3043114725,54.5622891992,1885764.0
2017-04-12,54.7,55.415,54.56,55.39,2243075.0,0.0,1.0,54.2745448117,54.9839835602,54.1356337281,54.9591780095,2243075.0
2017-04-11,54.5,54.86,54.29,54.79,1522709.0,0.0,1.0,54.0761004066,54.4333003359,53.8677337812,54.3638447941,1522709.0
2017-04-10,54.55,54.76,54.19,54.71,1156690.0,0.0,1.0,54.1257115079,54.3340781333,53.7685115786,54.284467032,1156690.0
2017-04-07,54.83,54.96,54.47,54.52,1870072.0,0.0,1.0,54.4035336751,54.5325225384,54.0463337458,54.0959448471,1870072.0
2017-04-06,55.04,55.16,54.595,54.71,2280289.0,0.0,1.0,54.6119003005,54.7309669436,54.170361499,54.284467032,2280289.0
2017-04-05,54.61,55.09,54.39,55.05,2026738.0,0.0,1.0,54.1852448294,54.6615114018,53.9669559837,54.6218225208,2026738.0
2017-04-04,54.63,55.04,54.485,54.72,977760.0,0.0,1.0,54.2050892699,54.6119003005,54.0612170762,54.2943892523,977760.0
2017-04-03,54.52,54.59,54.14,54.57,1428686.0,0.0,1.0,54.0959448471,54.1654003889,53.7189004773,54.1455559484,1428686.0
2017-03-31,54.56,54.905,54.5,54.59,2105234.0,0.0,1.0,54.1356337281,54.477950327,54.0761004066,54.1654003889,2105234.0
2017-03-30,54.96,54.99,54.48,54.69,1310211.0,0.0,1.0,54.5325225384,54.5622891992,54.0562559661,54.2646225915,1310211.0
2017-03-29,55.2,55.35,54.83,55.13,1996814.0,0.0,1.0,54.7706558246,54.9194891285,54.4035336751,54.7012002828,1996814.0
2017-03-28,55.94,56.44,54.89,55.31,5066720.0,0.0,1.0,55.5049001237,56.0010111366,54.4630669966,54.8798002475,5066720.0
2017-03-27,56.42,56.57,55.97,56.05,1083326.0,0.0,1.0,55.9811666961,56.13,55.5346667845,55.6140445466,1083326.0
2017-03-24,56.03,56.425,55.86,56.19,1141501.0,0.0,1.0,55.5942001061,55.9861278063,55.4255223617,55.7529556302,1141501.0
2017-03-23,55.86,56.5,55.81,56.05,1924433.0,0.0,1.0,55.4255223617,56.0605444582,55.3759112604,55.6140445466,1924433.0
2017-03-22,55.74,56.2,55.55,56.04,1776598.0,0.0,1.0,55.3064557186,55.7628778505,55.1179335337,55.6041223263,1776598.0
2017-03-21,54.61,55.61,54.61,55.49,1377137.0,0.0,1.0,54.1852448294,55.1774668552,54.1852448294,55.0584002121,1377137.0
2017-03-20,55.06,55.23,54.52,54.69,1380037.0,0.0,1.0,54.631744741,54.8004224854,54.0959448471,54.2646225915,1380037.0
2017-03-17,54.43,55.28,54.38,55.05,2346124.0,0.0,1.0,54.0066448648,54.8500335867,53.9570337635,54.6218225208,2346124.0
2017-03-16,54.47,54.62,54.12,54.35,1388296.0,0.0,1.0,54.0463337458,54.1951670497,53.6990560368,53.9272671027,1388296.0
2017-03-15,54.23,55.02,54.135,54.79,1407762.0,0.0,1.0,53.8082004596,54.59205586,53.7139393672,54.3638447941,1407762.0
2017-03-14,54.17,54.3,53.9,54.02,1685401.0,0.0,1.0,53.7486671381,53.8776560014,53.4807671911,53.5998338342,1685401.0
2017-03-13,53.84,54.25,53.76,54.19,1718233.0,0.0,1.0,53.4212338695,53.8280449001,53.3418561075,53.7685115786,1718233.0
2017-03-10,53.98,54.22,53.48,53.89,1891121.0,0.44,1.0,53.5601449532,53.7982782393,53.0640339403,53.4708449708,1891121.0
2017-03-09,54.26,54.53,54.11,54.12,1287968.0,0.0,1.0,53.4019519256,53.667682243,53.2543239715,53.2641658351,1287968.0
2017-03-08,54.28,54.49,53.97,54.12,1062166.0,0.0,1.0,53.4216356528,53.6283147885,53.116537881,53.2641658351,1062166.0
2017-03-07,54.86,54.97,54.71,54.82,1005186.0,0.0,1.0,53.9924637419,54.1007242416,53.8448357879,53.9530962875,1005186.0
2017-03-06,54.85,55.16,54.66,54.89,1138770.0,0.0,1.0,53.9826218783,54.2877196501,53.7956264698,54.0219893328,1138770.0
