Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,81.29,81.33,80.74,81.16,1141930.0,0.0,1.0,81.29,81.33,80.74,81.16,1141930.0
2017-08-03,81.08,81.45,80.81,80.97,1265578.0,0.0,1.0,81.08,81.45,80.81,80.97,1265578.0
2017-08-02,80.66,81.24,80.51,81.16,1260665.0,0.0,1.0,80.66,81.24,80.51,81.16,1260665.0
2017-08-01,80.09,80.945,79.62,80.89,1854952.0,0.0,1.0,80.09,80.945,79.62,80.89,1854952.0
2017-07-31,79.58,79.91,79.25,79.75,2957831.0,0.0,1.0,79.58,79.91,79.25,79.75,2957831.0
2017-07-28,77.47,79.84,77.47,79.38,2649964.0,0.0,1.0,77.47,79.84,77.47,79.38,2649964.0
2017-07-27,77.35,77.3783,76.62,77.12,2507196.0,0.0,1.0,77.35,77.3783,76.62,77.12,2507196.0
2017-07-26,77.99,78.2,77.12,77.35,1698054.0,0.0,1.0,77.99,78.2,77.12,77.35,1698054.0
2017-07-25,78.18,78.37,77.84,78.06,1104878.0,0.0,1.0,78.18,78.37,77.84,78.06,1104878.0
2017-07-24,77.58,77.73,77.51,77.62,1060173.0,0.0,1.0,77.58,77.73,77.51,77.62,1060173.0
2017-07-21,77.54,77.79,77.32,77.57,1327164.0,0.0,1.0,77.54,77.79,77.32,77.57,1327164.0
2017-07-20,77.73,78.32,77.5101,77.68,1293618.0,0.0,1.0,77.73,78.32,77.5101,77.68,1293618.0
2017-07-19,77.97,78.115,77.65,77.89,950362.0,0.0,1.0,77.97,78.115,77.65,77.89,950362.0
2017-07-18,77.38,77.99,77.21,77.87,789984.0,0.0,1.0,77.38,77.99,77.21,77.87,789984.0
2017-07-17,77.81,78.14,77.45,77.75,1165992.0,0.0,1.0,77.81,78.14,77.45,77.75,1165992.0
2017-07-14,77.61,78.24,77.2,77.87,1163529.0,0.0,1.0,77.61,78.24,77.2,77.87,1163529.0
2017-07-13,77.65,78.03,77.54,77.9,815760.0,0.0,1.0,77.65,78.03,77.54,77.9,815760.0
2017-07-12,77.56,77.94,77.43,77.65,994475.0,0.0,1.0,77.56,77.94,77.43,77.65,994475.0
2017-07-11,77.8,77.9,77.26,77.64,996667.0,0.0,1.0,77.8,77.9,77.26,77.64,996667.0
2017-07-10,77.82,78.09,77.57,77.65,1263961.0,0.0,1.0,77.82,78.09,77.57,77.65,1263961.0
2017-07-07,77.74,78.34,77.62,77.98,1432117.0,0.0,1.0,77.74,78.34,77.62,77.98,1432117.0
2017-07-06,78.33,78.394,77.48,77.53,1893980.0,0.0,1.0,78.33,78.394,77.48,77.53,1893980.0
2017-07-05,78.42,78.715,78.1188,78.3,1141438.0,0.0,1.0,78.42,78.715,78.1188,78.3,1141438.0
2017-07-03,78.11,79.33,77.88,78.42,937790.0,0.0,1.0,78.11,79.33,77.88,78.42,937790.0
2017-06-30,77.92,78.24,77.43,77.68,1520895.0,0.0,1.0,77.92,78.24,77.43,77.68,1520895.0
2017-06-29,78.84,79.04,77.21,77.6,1672903.0,0.0,1.0,78.84,79.04,77.21,77.6,1672903.0
2017-06-28,78.3,78.86,78.09,78.31,1414537.0,0.0,1.0,78.3,78.86,78.09,78.31,1414537.0
2017-06-27,77.75,78.12,77.53,77.77,1346813.0,0.0,1.0,77.75,78.12,77.53,77.77,1346813.0
2017-06-26,77.87,78.07,77.28,77.51,1341601.0,0.0,1.0,77.87,78.07,77.28,77.51,1341601.0
2017-06-23,77.53,78.04,77.315,77.6,2213329.0,0.0,1.0,77.53,78.04,77.315,77.6,2213329.0
2017-06-22,77.99,77.99,77.27,77.32,1407420.0,0.0,1.0,77.99,77.99,77.27,77.32,1407420.0
2017-06-21,78.76,78.9,77.91,77.97,1593821.0,0.0,1.0,78.76,78.9,77.91,77.97,1593821.0
2017-06-20,79.05,79.4,78.68,78.71,1171917.0,0.0,1.0,79.05,79.4,78.68,78.71,1171917.0
2017-06-19,78.62,79.86,78.52,79.26,2745754.0,0.0,1.0,78.62,79.86,78.52,79.26,2745754.0
2017-06-16,77.95,78.38,77.66,78.38,2775441.0,0.0,1.0,77.95,78.38,77.66,78.38,2775441.0
2017-06-15,77.69,77.941,77.54,77.8,1677961.0,0.0,1.0,77.69,77.941,77.54,77.8,1677961.0
2017-06-14,77.36,78.26,77.35,78.1,1894476.0,0.0,1.0,77.36,78.26,77.35,78.1,1894476.0
