Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,58.87,59.105,58.61,59.02,735242.0,0.0,1.0,58.87,59.105,58.61,59.02,735242.0
2017-08-03,59.08,59.08,58.57,58.65,491547.0,0.0,1.0,59.08,59.08,58.57,58.65,491547.0
2017-08-02,59.08,59.18,58.72,59.02,652205.0,0.0,1.0,59.08,59.18,58.72,59.02,652205.0
2017-08-01,59.03,59.33,58.88,59.19,485552.0,0.0,1.0,59.03,59.33,58.88,59.19,485552.0
2017-07-31,59.57,59.57,58.74,58.79,736319.0,0.0,1.0,59.57,59.57,58.74,58.79,736319.0
2017-07-28,58.62,59.64,57.81,59.41,800965.0,0.0,1.0,58.62,59.64,57.81,59.41,800965.0
2017-07-27,58.68,58.78,56.2,58.03,802590.0,0.0,1.0,58.68,58.78,56.2,58.03,802590.0
2017-07-26,59.13,59.18,58.56,58.67,572752.0,0.0,1.0,59.13,59.18,58.56,58.67,572752.0
2017-07-25,59.33,59.5,59.0,59.1,433890.0,0.0,1.0,59.33,59.5,59.0,59.1,433890.0
2017-07-24,58.69,58.91,58.321,58.83,565746.0,0.0,1.0,58.69,58.91,58.321,58.83,565746.0
2017-07-21,58.12,58.78,58.12,58.65,755264.0,0.0,1.0,58.12,58.78,58.12,58.65,755264.0
2017-07-20,57.8,58.27,57.78,58.27,637936.0,0.0,1.0,57.8,58.27,57.78,58.27,637936.0
2017-07-19,57.75,57.75,57.26,57.69,522376.0,0.0,1.0,57.75,57.75,57.26,57.69,522376.0
2017-07-18,57.11,57.72,57.11,57.56,469380.0,0.0,1.0,57.11,57.72,57.11,57.56,469380.0
2017-07-17,57.6,57.69,57.17,57.5,790235.0,0.0,1.0,57.6,57.69,57.17,57.5,790235.0
2017-07-14,57.35,57.73,57.08,57.61,549938.0,0.0,1.0,57.35,57.73,57.08,57.61,549938.0
2017-07-13,56.96,57.68,56.8,57.56,623248.0,0.0,1.0,56.96,57.68,56.8,57.56,623248.0
2017-07-12,56.94,57.259,56.7489,56.87,784330.0,0.0,1.0,56.94,57.259,56.7489,56.87,784330.0
2017-07-11,57.46,57.715,56.72,56.76,788794.0,0.0,1.0,57.46,57.715,56.72,56.76,788794.0
2017-07-10,57.71,57.84,57.4,57.46,883644.0,0.0,1.0,57.71,57.84,57.4,57.46,883644.0
2017-07-07,57.53,58.07,57.3235,57.71,633697.0,0.0,1.0,57.53,58.07,57.3235,57.71,633697.0
2017-07-06,57.42,57.75,57.08,57.16,714276.0,0.0,1.0,57.42,57.75,57.08,57.16,714276.0
2017-07-05,57.62,57.74,57.34,57.49,696604.0,0.0,1.0,57.62,57.74,57.34,57.49,696604.0
2017-07-03,57.6,58.01,57.53,57.53,449126.0,0.0,1.0,57.6,58.01,57.53,57.53,449126.0
2017-06-30,57.35,57.45,56.975,57.25,813062.0,0.0,1.0,57.35,57.45,56.975,57.25,813062.0
2017-06-29,57.71,57.75,56.6102,57.02,861436.0,0.0,1.0,57.71,57.75,56.6102,57.02,861436.0
2017-06-28,56.83,57.505,56.64,57.39,917886.0,0.0,1.0,56.83,57.505,56.64,57.39,917886.0
2017-06-27,56.88,56.986,56.43,56.51,1184504.0,0.0,1.0,56.88,56.986,56.43,56.51,1184504.0
2017-06-26,56.95,57.17,56.71,56.86,1143424.0,0.0,1.0,56.95,57.17,56.71,56.86,1143424.0
2017-06-23,57.18,57.34,56.7,56.71,1197745.0,0.0,1.0,57.18,57.34,56.7,56.71,1197745.0
2017-06-22,57.67,57.86,57.1,57.1,689243.0,0.0,1.0,57.67,57.86,57.1,57.1,689243.0
2017-06-21,58.87,58.9685,57.83,57.9,753756.0,0.0,1.0,58.87,58.9685,57.83,57.9,753756.0
2017-06-20,58.92,59.09,58.66,58.66,576914.0,0.0,1.0,58.92,59.09,58.66,58.66,576914.0
2017-06-19,58.99,59.11,58.74,59.01,738829.0,0.0,1.0,58.99,59.11,58.74,59.01,738829.0
2017-06-16,58.77,59.03,58.56,58.97,1256078.0,0.0,1.0,58.77,59.03,58.56,58.97,1256078.0
2017-06-15,57.76,58.84,57.74,58.81,1584325.0,0.0,1.0,57.76,58.84,57.74,58.81,1584325.0
2017-06-14,58.01,58.19,57.645,57.97,1354640.0,0.0,1.0,58.01,58.19,57.645,57.97,1354640.0
2017-06-13,58.19,58.555,58.08,58.13,859285.0,0.0,1.0,58.19,58.555,58.08,58.13,859285.0
2017-06-12,57.87,58.06,57.625,58.05,919526.0,0.0,1.0,57.87,58.06,57.625,58.05,919526.0
2017-06-09,57.5,57.95,57.23,57.88,703151.0,0.0,1.0,57.5,57.95,57.23,57.88,703151.0
2017-06-08,57.04,57.44,56.87,57.39,785555.0,0.0,1.0,57.04,57.44,56.87,57.39,785555.0
2017-06-07,56.49,57.14,56.225,56.93,1002321.0,0.0,1.0,56.49,57.14,56.225,56.93,1002321.0
2017-06-06,56.7,56.7,56.185,56.25,589937.0,0.0,1.0,56.7,56.7,56.185,56.25,589937.0
2017-06-05,57.24,57.49,56.88,56.91,791255.0,0.0,1.0,57.24,57.49,56.88,56.91,791255.0
2017-06-02,57.33,57.55,57.06,57.35,534121.0,0.0,1.0,57.33,57.55,57.06,57.35,534121.0
2017-06-01,56.88,57.46,56.72,57.46,1224122.0,0.0,1.0,56.88,57.46,56.72,57.46,1224122.0
2017-05-31,56.81,56.94,56.34,56.73,1357058.0,0.39,1.0,56.81,56.94,56.34,56.73,1357058.0
2017-05-30,56.81,57.15,56.551,56.97,970791.0,0.0,1.0,56.4221165966,56.7597951681,56.164884979,56.5810241597,970791.0
2017-05-26,57.42,57.54,57.105,57.12,855250.0,0.0,1.0,57.0279516807,57.1471323529,56.715102416,56.73,855250.0
2017-05-25,57.0,57.57,56.82,57.55,764284.0,0.0,1.0,56.6108193277,57.176927521,56.4320483193,57.1570640756,764284.0
2017-05-24,56.72,56.91,56.522,56.84,542407.0,0.0,1.0,56.3327310924,56.5214338235,56.1360829832,56.4519117647,542407.0
