Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,94.09,94.49,93.97,94.22,1486353.0,0.0,1.0,94.09,94.49,93.97,94.22,1486353.0
2017-08-03,93.9,94.0,93.09,93.93,2053841.0,0.0,1.0,93.9,94.0,93.09,93.93,2053841.0
2017-08-02,93.14,94.31,92.54,94.16,3392962.0,0.0,1.0,93.14,94.31,92.54,94.16,3392962.0
2017-08-01,91.17,91.43,90.8,91.0,2820652.0,0.0,1.0,91.17,91.43,90.8,91.0,2820652.0
2017-07-31,90.58,91.25,90.57,91.0,1229008.0,0.0,1.0,90.58,91.25,90.57,91.0,1229008.0
2017-07-28,89.8,90.57,89.52,90.5,1258429.0,0.0,1.0,89.8,90.57,89.52,90.5,1258429.0
2017-07-27,89.37,89.8452,89.05,89.68,2050164.0,0.0,1.0,89.37,89.8452,89.05,89.68,2050164.0
2017-07-26,90.2,90.29,89.24,89.4,1403868.0,0.0,1.0,90.2,90.29,89.24,89.4,1403868.0
2017-07-25,90.27,90.63,89.9,90.21,1258375.0,0.0,1.0,90.27,90.63,89.9,90.21,1258375.0
2017-07-24,89.08,89.905,89.015,89.77,1222579.0,0.0,1.0,89.08,89.905,89.015,89.77,1222579.0
2017-07-21,89.0,89.315,88.58,89.16,1897566.0,0.0,1.0,89.0,89.315,88.58,89.16,1897566.0
2017-07-20,89.01,89.56,88.47,89.22,1319566.0,0.0,1.0,89.01,89.56,88.47,89.22,1319566.0
2017-07-19,89.05,89.25,88.719,89.25,1208762.0,0.0,1.0,89.05,89.25,88.719,89.25,1208762.0
2017-07-18,87.99,89.06,87.99,88.88,2191125.0,0.0,1.0,87.99,89.06,87.99,88.88,2191125.0
2017-07-17,88.74,88.83,88.305,88.49,1440123.0,0.0,1.0,88.74,88.83,88.305,88.49,1440123.0
2017-07-14,88.27,89.33,87.92,89.05,1075637.0,0.0,1.0,88.27,89.33,87.92,89.05,1075637.0
2017-07-13,88.06,88.92,87.935,88.6,1271906.0,0.0,1.0,88.06,88.92,87.935,88.6,1271906.0
2017-07-12,88.01,88.39,87.91,88.2,972288.0,0.0,1.0,88.01,88.39,87.91,88.2,972288.0
2017-07-11,88.72,88.88,87.74,87.94,1959242.0,0.0,1.0,88.72,88.88,87.74,87.94,1959242.0
2017-07-10,88.83,89.18,88.83,88.85,1445081.0,0.0,1.0,88.83,89.18,88.83,88.85,1445081.0
2017-07-07,88.8,89.285,88.54,89.19,1117258.0,0.0,1.0,88.8,89.285,88.54,89.19,1117258.0
2017-07-06,88.93,89.28,88.53,88.72,1450561.0,0.0,1.0,88.93,89.28,88.53,88.72,1450561.0
2017-07-05,88.81,88.94,88.27,88.81,1040865.0,0.0,1.0,88.81,88.94,88.27,88.81,1040865.0
2017-07-03,88.85,89.86,88.63,88.63,1007570.0,0.0,1.0,88.85,89.86,88.63,88.63,1007570.0
2017-06-30,88.44,88.79,88.12,88.44,1508020.0,0.0,1.0,88.44,88.79,88.12,88.44,1508020.0
2017-06-29,89.23,89.23,87.805,88.13,1648175.0,0.0,1.0,89.23,89.23,87.805,88.13,1648175.0
