Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,42.85,43.14,42.36,42.82,7510942.0,0.0,1.0,42.85,43.14,42.36,42.82,7510942.0
2017-08-03,42.7,43.115,42.31,42.7,11475763.0,0.0,1.0,42.7,43.115,42.31,42.7,11475763.0
2017-08-02,44.35,44.44,42.51,42.73,15631985.0,0.0,1.0,44.35,44.44,42.51,42.73,15631985.0
2017-08-01,44.39,44.79,44.015,44.1,9452283.0,0.0,1.0,44.39,44.79,44.015,44.1,9452283.0
2017-07-31,45.43,45.48,44.01,44.31,11121273.0,0.0,1.0,45.43,45.48,44.01,44.31,11121273.0
2017-07-28,45.9,46.0,44.91,45.25,9584336.0,0.0,1.0,45.9,46.0,44.91,45.25,9584336.0
2017-07-27,47.5,47.59,45.3,46.04,17026585.0,0.0,1.0,47.5,47.59,45.3,46.04,17026585.0
2017-07-26,46.61,47.47,46.52,47.45,9161265.0,0.0,1.0,46.61,47.47,46.52,47.45,9161265.0
2017-07-25,46.63,46.665,45.85,46.4,7271894.0,0.0,1.0,46.63,46.665,45.85,46.4,7271894.0
2017-07-24,46.68,47.02,46.56,46.78,8495499.0,0.0,1.0,46.68,47.02,46.56,46.78,8495499.0
2017-07-21,46.78,47.0,46.23,46.81,7539498.0,0.0,1.0,46.78,47.0,46.23,46.81,7539498.0
2017-07-20,47.11,47.34,46.37,47.25,8782346.0,0.0,1.0,47.11,47.34,46.37,47.25,8782346.0
2017-07-19,46.9,47.21,46.7446,47.18,9533910.0,0.0,1.0,46.9,47.21,46.7446,47.18,9533910.0
2017-07-18,46.02,46.63,45.68,46.62,6594152.0,0.0,1.0,46.02,46.63,45.68,46.62,6594152.0
2017-07-17,46.2,46.45,45.68,46.15,7679902.0,0.0,1.0,46.2,46.45,45.68,46.15,7679902.0
2017-07-14,45.38,46.13,45.35,46.12,8085735.0,0.0,1.0,45.38,46.13,45.35,46.12,8085735.0
2017-07-13,45.28,45.6569,44.9915,45.3,9036082.0,0.0,1.0,45.28,45.6569,44.9915,45.3,9036082.0
2017-07-12,45.68,45.98,44.84,45.28,10395825.0,0.0,1.0,45.68,45.98,44.84,45.28,10395825.0
2017-07-11,44.21,45.5,44.04,45.4,13527360.0,0.0,1.0,44.21,45.5,44.04,45.4,13527360.0
