Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,181.19,181.87,179.08,180.64,276755.0,0.0,1.0,181.19,181.87,179.08,180.64,276755.0
2017-08-03,180.65,181.0,179.0012,180.18,419564.0,0.0,1.0,180.65,181.0,179.0012,180.18,419564.0
2017-08-02,185.08,185.795,180.12,180.67,380500.0,0.0,1.0,185.08,185.795,180.12,180.67,380500.0
2017-08-01,187.08,187.08,184.82,185.98,384233.0,0.0,1.0,187.08,187.08,184.82,185.98,384233.0
2017-07-31,178.95,186.455,177.03,185.83,582831.0,0.0,1.0,178.95,186.455,177.03,185.83,582831.0
2017-07-28,178.37,180.61,177.01,178.65,404580.0,0.0,1.0,178.37,180.61,177.01,178.65,404580.0
2017-07-27,184.22,184.71,177.63,178.84,472389.0,0.0,1.0,184.22,184.71,177.63,178.84,472389.0
2017-07-26,181.57,182.66,180.34,181.59,281773.0,0.0,1.0,181.57,182.66,180.34,181.59,281773.0
2017-07-25,180.97,182.67,179.84,181.46,265341.0,0.0,1.0,180.97,182.67,179.84,181.46,265341.0
2017-07-24,178.0,180.17,178.0,179.05,242234.0,0.0,1.0,178.0,180.17,178.0,179.05,242234.0
2017-07-21,177.75,179.08,176.79,178.35,213140.0,0.0,1.0,177.75,179.08,176.79,178.35,213140.0
2017-07-20,177.7,179.81,177.28,177.91,429723.0,0.0,1.0,177.7,179.81,177.28,177.91,429723.0
2017-07-19,177.41,177.855,176.71,176.99,356234.0,0.0,1.0,177.41,177.855,176.71,176.99,356234.0
2017-07-18,175.88,177.54,175.08,176.99,263065.0,0.0,1.0,175.88,177.54,175.08,176.99,263065.0
2017-07-17,175.99,176.74,175.54,176.3,242097.0,0.0,1.0,175.99,176.74,175.54,176.3,242097.0
2017-07-14,174.55,176.11,174.345,175.53,331622.0,0.0,1.0,174.55,176.11,174.345,175.53,331622.0
2017-07-13,174.47,175.6,172.78,175.15,404733.0,0.0,1.0,174.47,175.6,172.78,175.15,404733.0
2017-07-12,172.29,174.78,171.71,174.03,468789.0,0.0,1.0,172.29,174.78,171.71,174.03,468789.0
2017-07-11,172.91,173.44,170.32,171.65,324970.0,0.0,1.0,172.91,173.44,170.32,171.65,324970.0
2017-07-10,169.69,174.03,169.0,172.71,474736.0,0.0,1.0,169.69,174.03,169.0,172.71,474736.0
