Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,120.92,122.21,120.27,120.61,353774.0,0.0,1.0,120.92,122.21,120.27,120.61,353774.0
2017-08-03,120.34,121.84,119.54,120.78,388709.0,0.0,1.0,120.34,121.84,119.54,120.78,388709.0
2017-08-02,120.54,121.31,120.0437,120.52,312020.0,0.0,1.0,120.54,121.31,120.0437,120.52,312020.0
2017-08-01,121.69,123.89,120.5,121.01,538782.0,0.0,1.0,121.69,123.89,120.5,121.01,538782.0
2017-07-31,120.77,121.28,120.01,121.25,467158.0,0.0,1.0,120.77,121.28,120.01,121.25,467158.0
2017-07-28,120.83,121.34,120.16,120.4,382110.0,0.0,1.0,120.83,121.34,120.16,120.4,382110.0
2017-07-27,120.47,121.14,119.64,120.85,410903.0,0.0,1.0,120.47,121.14,119.64,120.85,410903.0
2017-07-26,120.29,121.125,119.62,120.82,327487.0,0.0,1.0,120.29,121.125,119.62,120.82,327487.0
2017-07-25,120.83,121.18,119.8,120.14,435043.0,0.0,1.0,120.83,121.18,119.8,120.14,435043.0
2017-07-24,120.99,121.34,120.5,120.52,788835.0,0.0,1.0,120.99,121.34,120.5,120.52,788835.0
2017-07-21,122.03,122.83,120.46,121.0,742168.0,0.0,1.0,122.03,122.83,120.46,121.0,742168.0
2017-07-20,122.08,123.18,121.95,122.07,556098.0,0.0,1.0,122.08,123.18,121.95,122.07,556098.0
2017-07-19,120.91,122.17,120.65,122.09,343614.0,0.0,1.0,120.91,122.17,120.65,122.09,343614.0
2017-07-18,121.14,121.28,120.06,120.7,387384.0,0.0,1.0,121.14,121.28,120.06,120.7,387384.0
2017-07-17,120.02,121.235,118.4421,121.13,323331.0,0.0,1.0,120.02,121.235,118.4421,121.13,323331.0
2017-07-14,118.77,120.09,118.77,120.04,273052.0,0.0,1.0,118.77,120.09,118.77,120.04,273052.0
2017-07-13,119.19,119.495,118.6,118.73,315929.0,0.0,1.0,119.19,119.495,118.6,118.73,315929.0
2017-07-12,118.63,119.86,118.22,119.06,459144.0,0.0,1.0,118.63,119.86,118.22,119.06,459144.0
2017-07-11,117.46,118.24,116.2,117.85,437780.0,0.0,1.0,117.46,118.24,116.2,117.85,437780.0
2017-07-10,118.73,119.34,117.21,117.21,367644.0,0.0,1.0,118.73,119.34,117.21,117.21,367644.0
2017-07-07,118.15,118.65,117.72,118.53,399377.0,0.0,1.0,118.15,118.65,117.72,118.53,399377.0
2017-07-06,120.23,120.53,118.15,118.15,444551.0,0.0,1.0,120.23,120.53,118.15,118.15,444551.0
2017-07-05,120.95,121.7,120.05,120.35,538519.0,0.0,1.0,120.95,121.7,120.05,120.35,538519.0
2017-07-03,121.0,121.16,119.72,120.95,291739.0,0.0,1.0,121.0,121.16,119.72,120.95,291739.0
2017-06-30,119.24,121.09,118.99,120.47,787719.0,0.0,1.0,119.24,121.09,118.99,120.47,787719.0
2017-06-29,120.07,120.49,118.58,118.99,641195.0,0.0,1.0,120.07,120.49,118.58,118.99,641195.0
2017-06-28,121.3,121.55,120.34,120.53,713358.0,0.86,1.0,121.3,121.55,120.34,120.53,713358.0
2017-06-27,120.9,122.28,120.75,121.6,797245.0,0.0,1.0,120.043471456,121.413694703,119.894534146,120.738512233,797245.0
2017-06-26,121.0,121.38,120.46,121.28,932004.0,0.0,1.0,120.142762995,120.520070846,119.606588681,120.420779306,932004.0
2017-06-23,120.74,121.25,120.34,120.6,1661088.0,0.0,1.0,119.884604992,120.390991844,119.487438834,119.745596837,1661088.0
2017-06-22,119.17,121.625,118.38,120.79,1181512.0,0.0,1.0,118.325727819,120.763335118,117.541324656,119.934250762,1181512.0
2017-06-21,119.27,119.46,118.42,119.05,663325.0,0.0,1.0,118.425019359,118.613673284,117.581041272,118.206577972,663325.0
2017-06-20,119.38,119.48,117.17,119.26,680092.0,0.0,1.0,118.534240053,118.633531592,116.339897026,118.415090205,680092.0
2017-06-19,118.08,119.27,118.02,119.12,1520731.0,0.0,1.0,117.243450037,118.425019359,117.183875113,118.27608205,1520731.0
2017-06-16,119.0,119.17,117.88,117.88,1865683.0,0.0,1.0,118.156932202,118.325727819,117.044866958,117.044866958,1865683.0
