Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,250.735,250.97,248.12,249.17,1345423.0,0.0,1.0,250.735,250.97,248.12,249.17,1345423.0
2017-08-03,252.81,253.0,247.23,250.29,2344651.0,0.0,1.0,252.81,253.0,247.23,250.29,2344651.0
2017-08-02,254.6,257.28,251.055,253.36,3697018.0,0.0,1.0,254.6,257.28,251.055,253.36,3697018.0
2017-08-01,248.23,250.0,246.96,248.39,1758194.0,0.0,1.0,248.23,250.0,246.96,248.39,1758194.0
2017-07-31,250.98,252.45,245.46,246.66,1899118.0,0.0,1.0,250.98,252.45,245.46,246.66,1899118.0
2017-07-28,248.92,251.115,247.5,250.37,3191860.0,0.0,1.0,248.92,251.115,247.5,250.37,3191860.0
2017-07-27,258.21,258.49,248.95,250.95,3200980.0,0.0,1.0,258.21,258.49,248.95,250.95,3200980.0
2017-07-26,254.69,258.19,254.62,257.01,1997140.0,0.0,1.0,254.69,258.19,254.62,257.01,1997140.0
2017-07-25,252.8,254.41,250.18,254.3,1612323.0,0.0,1.0,252.8,254.41,250.18,254.3,1612323.0
2017-07-24,253.29,253.68,251.69,253.03,1363836.0,0.0,1.0,253.29,253.68,251.69,253.03,1363836.0
2017-07-21,251.53,253.52,250.46,253.11,1550391.0,0.0,1.0,251.53,253.52,250.46,253.11,1550391.0
2017-07-20,254.5,255.0,252.35,253.43,1213544.0,0.0,1.0,254.5,255.0,252.35,253.43,1213544.0
2017-07-19,252.0,254.54,250.55,254.4,2552646.0,0.0,1.0,252.0,254.54,250.55,254.4,2552646.0
2017-07-18,247.26,250.93,246.06,250.88,1300337.0,0.0,1.0,247.26,250.93,246.06,250.88,1300337.0
2017-07-17,250.79,252.36,248.86,249.02,1874573.0,0.0,1.0,250.79,252.36,248.86,249.02,1874573.0
2017-07-14,248.63,250.4,247.85,250.29,1441720.0,0.0,1.0,248.63,250.4,247.85,250.29,1441720.0
2017-07-13,247.12,249.87,246.55,247.31,2040048.0,0.0,1.0,247.12,249.87,246.55,247.31,2040048.0
2017-07-12,243.0,247.18,241.06,246.42,2771047.0,0.0,1.0,243.0,247.18,241.06,246.42,2771047.0
2017-07-11,242.0,242.6,239.39,240.89,2050168.0,0.0,1.0,242.0,242.6,239.39,240.89,2050168.0
2017-07-10,240.51,241.94,238.81,241.77,2249872.0,0.0,1.0,240.51,241.94,238.81,241.77,2249872.0
2017-07-07,235.3,240.19,235.27,239.62,2473086.0,0.0,1.0,235.3,240.19,235.27,239.62,2473086.0
2017-07-06,227.56,235.73,227.5,235.04,2633380.0,0.0,1.0,227.56,235.73,227.5,235.04,2633380.0
2017-07-05,231.0,232.33,229.11,231.61,2969882.0,0.0,1.0,231.0,232.33,229.11,231.61,2969882.0
2017-07-03,234.51,235.24,229.08,229.76,2112330.0,0.0,1.0,234.51,235.24,229.08,229.76,2112330.0
2017-06-30,236.27,236.69,232.86,233.05,2653376.0,0.0,1.0,236.27,236.69,232.86,233.05,2653376.0
2017-06-29,238.7,238.97,230.5701,234.04,3451310.0,0.0,1.0,238.7,238.97,230.5701,234.04,3451310.0
2017-06-28,236.59,241.73,234.5,241.05,2453345.0,0.0,1.0,236.59,241.73,234.5,241.05,2453345.0
2017-06-27,241.36,241.99,235.23,235.33,3358160.0,0.0,1.0,241.36,241.99,235.23,235.33,3358160.0
2017-06-26,245.99,247.9,241.2,242.75,3210313.0,0.0,1.0,245.99,247.9,241.2,242.75,3210313.0
2017-06-23,243.54,246.87,242.7902,245.26,3498502.0,0.0,1.0,243.54,246.87,242.7902,245.26,3498502.0
2017-06-22,245.51,246.41,243.08,244.04,1866643.0,0.0,1.0,245.51,246.41,243.08,244.04,1866643.0
2017-06-21,243.58,245.905,241.9201,245.12,3500225.0,0.0,1.0,243.58,245.905,241.9201,245.12,3500225.0
2017-06-20,242.0,243.65,239.845,239.99,2442934.0,0.0,1.0,242.0,243.65,239.845,239.99,2442934.0
2017-06-19,244.81,244.81,240.35,241.15,2851920.0,0.0,1.0,244.81,244.81,240.35,241.15,2851920.0
2017-06-16,238.93,239.43,235.13,236.25,3581932.0,0.0,1.0,238.93,239.43,235.13,236.25,3581932.0
2017-06-15,235.34,239.49,235.27,237.99,2752725.0,1.02,1.0,235.34,239.49,235.27,237.99,2752725.0
2017-06-14,243.57,244.95,237.625,240.54,3450894.0,0.0,1.0,242.530539726,243.904650433,236.610910631,239.513470566,3450894.0
2017-06-13,244.96,247.9115,241.67,242.94,3085265.0,0.0,1.0,243.914607757,246.853511924,240.638648174,241.903228317,3085265.0
2017-06-12,240.3975,243.11,235.751,242.67,5487231.0,0.0,1.0,239.3715787,242.072502824,234.744908121,241.63438057,5487231.0
2017-06-09,255.51,256.0,241.45,243.34,5819142.0,0.0,1.0,254.419584536,254.90749341,240.419587047,242.301521275,5819142.0
2017-06-08,255.0,256.1,252.32,254.95,2827298.0,0.0,1.0,253.911761014,255.00706665,251.243198193,253.861974394,2827298.0
2017-06-07,253.68,255.85,252.97,254.28,2928993.0,0.0,1.0,252.597394251,254.758133551,251.89042425,253.194833689,2928993.0
2017-06-06,250.77,255.34,250.62,253.86,2965264.0,0.0,1.0,249.699812979,254.250310029,249.550453119,252.776626083,2965264.0
2017-06-05,254.0,256.78,250.2,252.21,3953160.0,0.0,1.0,252.916028618,255.684164679,249.132245513,251.133667629,3953160.0
2017-06-02,248.54,255.82,244.15,254.53,10861291.0,0.0,1.0,247.479329735,254.728261579,243.108064516,253.443766788,10861291.0
2017-06-01,241.6,241.87,233.81,234.59,6377423.0,0.0,1.0,240.568946906,240.837794653,232.81219154,233.588862809,6377423.0
2017-05-31,242.52,242.89,237.56,239.48,4482984.0,0.0,1.0,241.48502071,241.853441697,236.546188026,238.457994226,4482984.0
2017-05-30,240.5,241.39,239.0,239.82,2936354.0,0.0,1.0,239.47364127,240.359843103,237.980042676,238.796543241,2936354.0
2017-05-26,240.9,241.6,238.32,241.21,1312045.0,0.0,1.0,239.871934229,240.568946906,237.302944647,240.180611271,1312045.0
2017-05-25,241.11,241.56,238.73,240.86,1901022.0,0.0,1.0,240.081038032,240.52911761,237.711194929,239.832104933,1901022.0
2017-05-24,238.46,240.01,236.97,239.6,1646694.0,0.0,1.0,237.442347182,238.985732396,235.958705912,238.577482114,1646694.0
2017-05-23,238.35,238.93,235.842,236.54,1369551.0,0.0,1.0,237.332816619,237.910341408,234.835519769,235.530540982,1369551.0
2017-05-22,235.53,238.98,234.2201,238.38,2041901.0,0.0,1.0,234.524851261,237.960128028,233.220541396,237.36268859,2041901.0
2017-05-19,236.71,236.985,232.05,234.1,3581163.0,0.0,1.0,235.699815489,235.973641898,231.059702523,233.100953935,3581163.0
2017-05-18,231.58,238.62,227.68,237.66,3069926.0,0.0,1.0,230.591708297,237.601664366,226.708351952,236.645761265,3069926.0
2017-05-17,238.0,238.97,231.09,231.18,3144716.0,0.0,1.0,236.98431028,237.950170704,230.103799423,230.193415338,3144716.0
2017-05-16,239.94,241.29,238.69,240.68,1812837.0,0.0,1.0,238.916031128,240.260269863,237.671365633,239.652873102,1812837.0
2017-05-15,235.61,239.9,235.0,239.03,2917216.0,0.0,1.0,234.604509853,238.876201833,233.997113092,238.009914648,2917216.0
2017-05-12,231.48,236.05,230.84,235.96,2585163.0,0.0,1.0,230.492135057,235.042632107,229.854866324,234.953016192,2585163.0
2017-05-11,230.68,231.85,228.24,231.09,1482347.0,0.0,1.0,229.69554914,230.860556044,227.265962094,230.103799423,1482347.0
2017-05-10,229.49,233.42,228.69,231.33,2443312.0,0.0,1.0,228.510627589,232.423855906,227.714041672,230.342775198,2443312.0
2017-05-09,225.62,229.4,224.705,228.46,1926081.0,0.0,1.0,224.657143216,228.421011673,223.746048073,227.485023221,1926081.0
2017-05-08,226.52,227.1003,223.86,225.08,1744807.0,0.0,1.0,225.553302372,226.131125882,222.904654199,224.119447722,1744807.0
2017-05-05,224.96,226.49,224.045,226.45,2312775.0,0.0,1.0,223.999959834,225.5234304,223.088864692,225.483601105,2312775.0
2017-05-04,225.26,225.86,221.86,223.4,1624956.0,0.0,1.0,224.298679553,224.896118991,220.913189406,222.446617296,1624956.0
