Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,200.02,200.26,197.76,199.87,292715.0,0.0,1.0,200.02,200.26,197.76,199.87,292715.0
2017-08-03,200.05,201.91,198.44,200.0,259841.0,0.0,1.0,200.05,201.91,198.44,200.0,259841.0
2017-08-02,200.04,202.51,199.93,200.81,370749.0,0.0,1.0,200.04,202.51,199.93,200.81,370749.0
2017-08-01,203.56,203.56,198.345,200.95,535036.0,0.0,1.0,203.56,203.56,198.345,200.95,535036.0
2017-07-31,205.0,205.0,201.38,202.65,351372.0,0.0,1.0,205.0,205.0,201.38,202.65,351372.0
2017-07-28,203.28,205.13,202.63,204.11,326373.0,0.0,1.0,203.28,205.13,202.63,204.11,326373.0
2017-07-27,202.94,203.7,201.38,203.32,486237.0,0.0,1.0,202.94,203.7,201.38,203.32,486237.0
2017-07-26,206.06,207.28,201.91,202.95,498525.0,0.0,1.0,206.06,207.28,201.91,202.95,498525.0
2017-07-25,208.12,208.825,206.05,206.25,447167.0,0.0,1.0,208.12,208.825,206.05,206.25,447167.0
2017-07-24,205.78,207.27,205.59,206.68,393178.0,0.0,1.0,205.78,207.27,205.59,206.68,393178.0
2017-07-21,202.82,205.43,202.27,205.26,321825.0,0.0,1.0,202.82,205.43,202.27,205.26,321825.0
2017-07-20,204.3,204.735,201.44,203.5,391742.0,0.0,1.0,204.3,204.735,201.44,203.5,391742.0
2017-07-19,201.85,205.35,201.85,204.15,340113.0,0.0,1.0,201.85,205.35,201.85,204.15,340113.0
2017-07-18,200.52,202.05,199.0,201.75,396864.0,0.0,1.0,200.52,202.05,199.0,201.75,396864.0
2017-07-17,203.97,206.11,201.61,201.99,547344.0,0.0,1.0,203.97,206.11,201.61,201.99,547344.0
2017-07-14,203.82,207.48,203.82,204.7,851673.0,0.13,1.0,203.82,207.48,203.82,204.7,851673.0
2017-07-13,199.2,204.02,198.25,203.39,503821.0,0.0,1.0,199.073573207,203.890514085,198.124176146,203.260913929,503821.0
2017-07-12,200.25,201.6,197.42,198.18,355691.0,0.0,1.0,200.122906801,201.472049993,197.294702924,198.054220573,355691.0
2017-07-11,197.57,200.0,197.195,199.41,446096.0,0.0,1.0,197.444607723,199.873065469,197.069845726,199.283439926,446096.0
2017-07-10,198.13,199.98,196.95,198.43,694316.0,0.0,1.0,198.004252307,199.853078162,196.825001221,198.304061905,694316.0
2017-07-07,199.68,200.57,197.41,198.53,572221.0,0.0,1.0,199.553268564,200.442703706,197.284709271,198.403998438,572221.0
2017-07-06,200.78,201.84,198.82,199.02,540892.0,0.0,1.0,200.652570424,201.711897671,198.693814383,198.893687448,540892.0
2017-07-05,202.58,203.64,198.3,200.88,566430.0,0.0,1.0,202.451428013,203.51075526,198.174144412,200.752506957,566430.0
2017-07-03,204.63,205.98,200.6,203.07,514753.0,0.0,1.0,204.500126935,205.849270126,200.472684665,202.941117024,514753.0
2017-06-30,200.09,204.95,199.37,203.28,1067641.0,0.0,1.0,199.963008348,204.819923839,199.243465313,203.150983743,1067641.0
2017-06-29,194.0,204.0,191.1,198.52,2261641.0,0.0,1.0,193.876873505,203.870526778,190.978714056,198.394004784,2261641.0
2017-06-28,176.44,181.25,176.44,179.73,999439.0,0.0,1.0,176.328018357,181.134965581,176.328018357,179.615930284,999439.0
2017-06-27,176.56,176.99,174.77,175.33,613781.0,0.0,1.0,176.447942196,176.877669287,174.65907826,175.218722843,613781.0
2017-06-26,177.19,178.91,176.11,176.56,589536.0,0.0,1.0,177.077542352,178.796450715,175.998227799,176.447942196,589536.0
2017-06-23,176.46,179.3499,175.975,177.15,690655.0,0.0,1.0,176.348005663,179.236071523,175.863313479,177.037567739,690655.0
2017-06-22,174.64,179.05,174.07,176.76,550908.0,0.0,1.0,174.529160767,178.936361861,173.959522531,176.647815261,550908.0
2017-06-21,176.55,177.09,173.7,174.75,426776.0,0.0,1.0,176.437948543,176.977605819,173.58975736,174.639090953,426776.0
2017-06-20,178.17,178.28,175.62,176.11,393581.0,0.0,1.0,178.056920373,178.166850559,175.508538788,175.998227799,393581.0
