Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,44.12,44.12,43.515,43.8,1693457.0,0.0,1.0,44.12,44.12,43.515,43.8,1693457.0
2017-08-03,43.92,44.05,43.62,43.83,1272658.0,0.0,1.0,43.92,44.05,43.62,43.83,1272658.0
2017-08-02,44.63,44.72,43.54,43.94,3146677.0,0.0,1.0,44.63,44.72,43.54,43.94,3146677.0
2017-08-01,45.0,45.08,44.535,44.72,2059430.0,0.0,1.0,45.0,45.08,44.535,44.72,2059430.0
2017-07-31,44.72,44.96,44.4,44.78,2966919.0,0.0,1.0,44.72,44.96,44.4,44.78,2966919.0
2017-07-28,45.77,45.825,44.3,44.69,2309796.0,0.0,1.0,45.77,45.825,44.3,44.69,2309796.0
2017-07-27,47.32,47.45,45.45,45.9,2767737.0,0.0,1.0,47.32,47.45,45.45,45.9,2767737.0
2017-07-26,47.31,47.65,47.115,47.22,2537440.0,0.0,1.0,47.31,47.65,47.115,47.22,2537440.0
2017-07-25,47.13,47.58,46.97,47.28,1365544.0,0.0,1.0,47.13,47.58,46.97,47.28,1365544.0
2017-07-24,46.26,46.73,46.26,46.66,1032605.0,0.0,1.0,46.26,46.73,46.26,46.66,1032605.0
2017-07-21,46.74,46.96,46.6,46.67,1072065.0,0.0,1.0,46.74,46.96,46.6,46.67,1072065.0
2017-07-20,46.6,47.05,46.52,46.81,2493349.0,0.0,1.0,46.6,47.05,46.52,46.81,2493349.0
2017-07-19,46.41,46.6,46.2799,46.57,1093002.0,0.0,1.0,46.41,46.6,46.2799,46.57,1093002.0
2017-07-18,45.94,46.3,45.89,46.24,1013355.0,0.0,1.0,45.94,46.3,45.89,46.24,1013355.0
2017-07-17,46.13,46.28,45.98,46.15,1754336.0,0.0,1.0,46.13,46.28,45.98,46.15,1754336.0
2017-07-14,46.1,46.61,46.035,46.27,2124180.0,0.0,1.0,46.1,46.61,46.035,46.27,2124180.0
2017-07-13,46.11,46.51,46.04,46.32,1654603.0,0.0,1.0,46.11,46.51,46.04,46.32,1654603.0
2017-07-12,45.53,46.39,45.44,45.98,3117155.0,0.0,1.0,45.53,46.39,45.44,45.98,3117155.0
2017-07-11,45.57,45.59,44.95,45.4,1526623.0,0.0,1.0,45.57,45.59,44.95,45.4,1526623.0
