Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,53.94,54.285,53.87,54.02,3150929.0,0.0,1.0,53.94,54.285,53.87,54.02,3150929.0
2017-08-03,53.82,53.95,53.67,53.82,2849092.0,0.0,1.0,53.82,53.95,53.67,53.82,2849092.0
2017-08-02,53.62,53.93,53.56,53.91,4388080.0,0.0,1.0,53.62,53.93,53.56,53.91,4388080.0
2017-08-01,53.35,53.83,53.16,53.71,5325163.0,0.0,1.0,53.35,53.83,53.16,53.71,5325163.0
2017-07-31,52.9,53.18,52.86,53.03,3620892.0,0.0,1.0,52.9,53.18,52.86,53.03,3620892.0
2017-07-28,52.72,52.96,52.345,52.66,2255222.0,0.24,1.0,52.72,52.96,52.345,52.66,2255222.0
2017-07-27,53.38,53.47,52.385,52.86,3618072.0,0.0,1.0,53.1378223062,53.2274139887,52.1473364839,52.6201814745,3618072.0
2017-07-26,53.73,54.07,53.235,53.39,3498320.0,0.0,1.0,53.4862344045,53.8246918715,52.9934801512,53.1477769376,3498320.0
2017-07-25,54.19,54.41,53.67,53.73,3639077.0,0.0,1.0,53.944147448,54.1631493384,53.4265066163,53.4862344045,3639077.0
2017-07-24,53.35,53.59,53.29,53.47,3947216.0,0.0,1.0,53.1079584121,53.3468695652,53.0482306238,53.2274139887,3947216.0
2017-07-21,53.75,54.03,53.22,53.36,5665977.0,0.0,1.0,53.5061436673,53.7848733459,52.9785482042,53.1179130435,5665977.0
2017-07-20,53.56,54.5899,53.26,53.91,7372939.0,0.0,1.0,53.3170056711,54.3422331569,53.0183667297,53.6654177694,7372939.0
2017-07-19,53.3,53.62,52.62,53.06,9438452.0,0.0,1.0,53.0581852552,53.3767334594,52.3812703214,52.8192741021,9438452.0
2017-07-18,52.91,53.54,52.82,53.53,6322990.0,0.0,1.0,52.6699546314,53.2970964083,52.580362949,53.2871417769,6322990.0
2017-07-17,52.88,53.535,52.385,53.35,6866558.0,0.0,1.0,52.6400907372,53.2921190926,52.1473364839,53.1079584121,6866558.0
2017-07-14,51.69,52.5,51.6,52.36,3938380.0,0.0,1.0,51.455489603,52.2618147448,51.3658979206,52.1224499055,3938380.0
2017-07-13,51.55,52.08,51.43,52.06,2784774.0,0.0,1.0,51.3161247637,51.8437202268,51.1966691871,51.8238109641,2784774.0
2017-07-12,51.21,51.46,51.14,51.45,3053699.0,0.0,1.0,50.9776672968,51.2265330813,50.9079848771,51.2165784499,3053699.0
2017-07-11,51.88,51.95,51.45,51.47,3141781.0,0.0,1.0,51.6446275992,51.7143100189,51.2165784499,51.2364877127,3141781.0
2017-07-10,51.67,52.08,51.61,51.88,2310538.0,0.0,1.0,51.4355803403,51.8437202268,51.375852552,51.6446275992,2310538.0
2017-07-07,51.42,51.85,51.23,51.75,3130383.0,0.0,1.0,51.1867145558,51.6147637051,50.9975765595,51.5152173913,3130383.0
2017-07-06,52.2,52.23,51.2,51.23,5161174.0,0.0,1.0,51.9631758034,51.9930396975,50.9677126654,50.9975765595,5161174.0
2017-07-05,52.03,52.34,51.62,52.27,3957736.0,0.0,1.0,51.7939470699,52.1025406427,51.3858071834,52.0328582231,3957736.0
2017-07-03,51.31,52.065,51.26,51.83,2583968.0,0.0,1.0,51.0772136106,51.8287882798,51.0274404537,51.5948544423,2583968.0
2017-06-30,51.43,51.43,50.84,51.02,3461715.0,0.0,1.0,51.1966691871,51.1966691871,50.6093459357,50.7885293006,3461715.0
2017-06-29,51.54,51.59,50.55,51.01,5053290.0,0.0,1.0,51.3061701323,51.3559432892,50.3206616257,50.7785746692,5053290.0
2017-06-28,49.99,50.77,49.96,50.6,4606669.0,0.0,1.0,49.7632022684,50.5396635161,49.7333383743,50.3704347826,4606669.0
2017-06-27,49.83,50.01,49.63,49.68,3653977.0,0.0,1.0,49.6039281664,49.7831115312,49.4048355388,49.4546086957,3653977.0
2017-06-26,49.35,49.64,49.18,49.55,3301575.0,0.0,1.0,49.1261058601,49.4147901701,48.9568771267,49.3251984877,3301575.0
2017-06-23,49.71,49.71,49.01,49.17,5800657.0,0.0,1.0,49.4844725898,49.4844725898,48.7876483932,48.9469224953,5800657.0
2017-06-22,49.5,49.74,49.29,49.55,2636468.0,0.0,1.0,49.2754253308,49.5143364839,49.0663780718,49.3251984877,2636468.0
2017-06-21,50.0,50.0,49.54,49.59,3285692.0,0.0,1.0,49.7731568998,49.7731568998,49.3152438563,49.3650170132,3285692.0
2017-06-20,50.14,50.32,49.86,49.86,3855386.0,0.0,1.0,49.9125217391,50.091705104,49.6337920605,49.6337920605,3855386.0
2017-06-19,50.0,50.39,49.92,50.28,3335864.0,0.0,1.0,49.7731568998,50.1613875236,49.6935198488,50.0518865784,3335864.0
2017-06-16,49.82,49.94,49.63,49.89,5546209.0,0.0,1.0,49.593973535,49.7134291115,49.4048355388,49.6636559546,5546209.0
2017-06-15,49.5,49.9199,49.45,49.78,3288776.0,0.0,1.0,49.2754253308,49.6934203025,49.2256521739,49.5541550095,3288776.0
2017-06-14,49.13,49.85,49.0,49.77,3556494.0,0.0,1.0,48.9071039698,49.6238374291,48.7776937618,49.5442003781,3556494.0
2017-06-13,49.35,49.75,49.2611,49.57,4104430.0,0.0,1.0,49.1261058601,49.5242911153,49.0376091871,49.3451077505,4104430.0
2017-06-12,49.26,49.66,48.97,49.1,3779427.0,0.0,1.0,49.0365141777,49.4346994329,48.7478298677,48.8772400756,3779427.0
2017-06-09,48.67,49.46,48.5,49.4,5112917.0,0.0,1.0,48.4491909263,49.2356068053,48.2799621928,49.175879017,5112917.0
2017-06-08,47.91,48.69,47.88,48.39,5542273.0,0.0,1.0,47.6926389414,48.469100189,47.6627750473,48.1704612476,5542273.0
2017-06-07,47.32,48.0,47.21,47.9,5634277.0,0.0,1.0,47.10531569,47.7822306238,46.9958147448,47.68268431,5634277.0
2017-06-06,47.13,47.36,46.77,47.23,7250778.0,0.0,1.0,46.9161776938,47.1451342155,46.5578109641,47.0157240076,7250778.0
2017-06-05,47.6,47.955,47.5,47.54,4560356.0,0.0,1.0,47.3840453686,47.7374347826,47.2844990548,47.3243175803,4560356.0
2017-06-02,47.11,47.7,47.07,47.51,5914126.0,0.0,1.0,46.896268431,47.4835916824,46.8564499055,47.2944536862,5914126.0
2017-06-01,47.21,47.46,46.91,47.42,5793865.0,0.0,1.0,46.9958147448,47.2446805293,46.6971758034,47.2048620038,5793865.0
2017-05-31,47.1,47.28,46.595,47.12,7474930.0,0.0,1.0,46.8863137996,47.0654971645,46.3836049149,46.9062230624,7474930.0
2017-05-30,47.22,47.28,46.835,47.1,5535812.0,0.0,1.0,47.0057693762,47.0654971645,46.6225160681,46.8863137996,5535812.0
2017-05-26,47.16,47.59,47.1,47.41,3552530.0,0.0,1.0,46.9460415879,47.3740907372,46.8863137996,47.1949073724,3552530.0
2017-05-25,47.14,47.52,47.04,47.38,4328141.0,0.0,1.0,46.9261323251,47.3044083176,46.8265860113,47.1650434783,4328141.0
2017-05-24,47.18,47.2,46.715,46.96,3315780.0,0.0,1.0,46.9659508507,46.9858601134,46.5030604915,46.7469489603,3315780.0
2017-05-23,46.79,47.22,46.61,47.03,3339943.0,0.0,1.0,46.5777202268,47.0057693762,46.398536862,46.81663138,3339943.0
2017-05-22,46.76,46.87,46.49,46.8,3791598.0,0.0,1.0,46.5478563327,46.6573572779,46.2790812854,46.5876748582,3791598.0
2017-05-19,46.41,46.78,46.28,46.54,5896743.0,0.0,1.0,46.1994442344,46.5677655955,46.0700340265,46.3288544423,5896743.0
2017-05-18,46.24,46.66,46.17,46.2,6574730.0,0.0,1.0,46.0302155009,46.4483100189,45.9605330813,45.9903969754,6574730.0
2017-05-17,46.42,46.79,46.055,46.29,8637633.0,0.0,1.0,46.2093988658,46.5777202268,45.8460548204,46.0799886578,8637633.0
2017-05-16,47.17,47.3,46.94,47.18,3881667.0,0.0,1.0,46.9559962193,47.0854064272,46.7270396975,46.9659508507,3881667.0
2017-05-15,46.84,47.21,46.84,47.11,4417331.0,0.0,1.0,46.6274933837,46.9958147448,46.6274933837,46.896268431,4417331.0
2017-05-12,46.64,46.78,46.34,46.76,6998891.0,0.0,1.0,46.4284007561,46.5677655955,46.1297618147,46.5478563327,6998891.0
2017-05-11,46.9,47.16,46.58,46.93,5357131.0,0.0,1.0,46.687221172,46.9460415879,46.3686729679,46.7170850662,5357131.0
2017-05-10,47.04,47.18,46.9,47.16,5013657.0,0.0,1.0,46.8265860113,46.9659508507,46.687221172,46.9460415879,5013657.0
2017-05-09,47.7,47.834,46.9,47.12,4894068.0,0.0,1.0,47.4835916824,47.6169837429,46.687221172,46.9062230624,4894068.0
2017-05-08,47.74,47.925,47.54,47.68,3254938.0,0.0,1.0,47.5234102079,47.7075708885,47.3243175803,47.4636824197,3254938.0
2017-05-05,47.68,47.77,47.41,47.65,2740091.0,0.0,1.0,47.4636824197,47.5532741021,47.1949073724,47.4338185255,2740091.0
2017-05-04,47.8,47.84,47.34,47.61,4659912.0,0.0,1.0,47.5831379962,47.6229565217,47.1252249527,47.394,4659912.0
2017-05-03,46.88,47.455,46.79,47.4,3307207.0,0.0,1.0,46.6673119093,47.2397032136,46.5777202268,47.184952741,3307207.0
2017-05-02,47.24,47.32,46.8,47.12,4808860.0,0.0,1.0,47.0256786389,47.10531569,46.5876748582,46.9062230624,4808860.0
2017-05-01,47.25,47.59,46.985,47.18,4416222.0,0.0,1.0,47.0356332703,47.3740907372,46.7718355388,46.9659508507,4416222.0
2017-04-28,47.06,47.49,46.95,47.06,4149666.0,0.19,1.0,46.8464952741,47.2745444234,46.7369943289,46.8464952741,4149666.0
2017-04-27,47.25,47.45,46.88,47.22,4330096.0,0.0,1.0,46.8464952741,47.0447873176,46.4796549936,46.8167514676,4330096.0
2017-04-26,47.25,47.645,47.07,47.15,6457215.0,0.0,1.0,46.8464952741,47.23812206,46.668032435,46.7473492524,6457215.0
2017-04-25,47.86,48.07,47.17,47.23,6326104.0,0.0,1.0,47.4512860067,47.6594926524,46.7671784567,46.8266660698,6326104.0
2017-04-24,47.75,48.02,47.51,47.55,4984972.0,0.0,1.0,47.3422253828,47.6099196415,47.1042749306,47.1439333393,4984972.0
2017-04-21,46.73,47.255,46.625,46.75,7470928.0,0.0,1.0,46.330935961,46.8514525752,46.2268326382,46.3507651654,7470928.0
2017-04-20,47.27,47.5,45.885,46.65,8722685.0,0.0,1.0,46.8663244785,47.0943603285,45.4931520773,46.2516191436,8722685.0
2017-04-19,47.27,47.365,46.62,46.86,4655656.0,0.0,1.0,46.8663244785,46.9605131991,46.2218753371,46.4598257893,4655656.0
2017-04-18,46.82,47.08,46.5,46.89,4593636.0,0.0,1.0,46.4201673806,46.6779470371,46.102900111,46.4895695958,4593636.0
