Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,68.79,69.41,68.71,68.98,18148439.0,0.0,1.0,68.79,69.41,68.71,68.98,18148439.0
2017-08-03,68.93,69.2,68.01,68.13,20935491.0,0.32,1.0,68.93,69.2,68.01,68.13,20935491.0
2017-08-02,69.57,69.65,68.82,69.42,19095587.0,0.0,1.0,69.2447640614,69.3243900657,68.4982702703,69.0954653031,19095587.0
2017-08-01,69.09,69.62,68.75,69.6,22974747.0,0.0,1.0,68.7670080351,69.2945303141,68.4285975164,69.274623813,22974747.0
2017-07-31,67.87,68.65,67.52,68.45,23059294.0,0.0,1.0,67.5527114682,68.329065011,67.2043476991,68.13,23059294.0
2017-07-28,67.42,67.77,67.0,67.43,13604466.0,0.0,1.0,67.1048151936,67.4531789627,66.6867786706,67.1147684441,13604466.0
2017-07-27,68.0,68.7154,67.36,67.6,22650180.0,0.0,1.0,67.6821037253,68.3941592695,67.0450956903,67.2839737034,22650180.0
2017-07-26,68.47,68.84,67.79,67.98,19228529.0,0.0,1.0,68.1499065011,68.5181767714,67.4730854638,67.6621972243,19228529.0
2017-07-25,67.93,68.42,67.81,68.03,30833581.0,0.0,1.0,67.6124309715,68.1001402484,67.4929919649,67.711963477,30833581.0
2017-07-24,65.92,66.43,65.91,66.1,14847896.0,0.0,1.0,65.6118276114,66.1194433893,65.6018743608,65.7909861213,14847896.0
2017-07-21,66.1,66.44,65.89,66.0,14075511.0,0.0,1.0,65.7909861213,66.1293966399,65.5819678598,65.6914536158,14075511.0
2017-07-20,66.62,67.04,66.33,66.36,14025459.0,0.0,1.0,66.3085551497,66.7265916728,66.0199108839,66.0497706355,14025459.0
2017-07-19,67.15,67.36,66.5,66.7,12687313.0,0.0,1.0,66.8360774288,67.0450956903,66.1891161432,66.3881811541,12687313.0
2017-07-18,66.44,67.1,66.22,66.89,15965929.0,0.0,1.0,66.1293966399,66.786311176,65.9104251278,66.5772929145,15965929.0
2017-07-17,66.76,67.1,66.42,66.83,17496914.0,0.0,1.0,66.4479006574,66.786311176,66.1094901388,66.5175734112,17496914.0
2017-07-14,66.32,66.93,65.52,66.72,20741057.0,0.0,1.0,66.0099576333,66.6171059167,65.2136975895,66.4080876552,20741057.0
2017-07-13,67.15,67.29,66.69,67.02,20151962.0,0.0,1.0,66.8360774288,66.9754229364,66.3782279036,66.7066851717,20151962.0
2017-07-12,66.76,67.2,66.54,66.92,16881747.0,0.0,1.0,66.4479006574,66.8858436815,66.2289291454,66.6071526662,16881747.0
2017-07-11,67.5,67.57,66.6,66.82,17134386.0,0.0,1.0,67.184441198,67.2541139518,66.2886486486,66.5076201607,17134386.0
2017-07-10,67.69,68.04,67.44,67.65,12613789.0,0.0,1.0,67.3735529584,67.7219167275,67.1247216947,67.3337399562,12613789.0
2017-07-07,68.03,68.3,67.435,67.91,14735303.0,0.0,1.0,67.711963477,67.9807012418,67.1197450694,67.5925244704,14735303.0
2017-07-06,68.45,68.76,67.5701,67.63,17960745.0,0.0,1.0,68.13,68.438550767,67.2542134843,67.3138334551,17960745.0
2017-07-05,68.33,68.73,67.95,68.45,17783139.0,0.0,1.0,68.0105609934,68.4086910153,67.6323374726,68.13,17783139.0
