Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,95.77,95.95,92.2,93.5,1228860.0,0.0,1.0,95.77,95.95,92.2,93.5,1228860.0
2017-08-03,94.79,95.25,94.35,94.99,756154.0,0.0,1.0,94.79,95.25,94.35,94.99,756154.0
2017-08-02,94.93,95.21,94.05,94.79,693350.0,0.0,1.0,94.93,95.21,94.05,94.79,693350.0
2017-08-01,94.81,95.25,94.13,95.21,839371.0,0.0,1.0,94.81,95.25,94.13,95.21,839371.0
2017-07-31,93.78,94.7,93.505,94.53,811244.0,0.0,1.0,93.78,94.7,93.505,94.53,811244.0
2017-07-28,93.22,94.15,93.12,93.49,551149.0,0.0,1.0,93.22,94.15,93.12,93.49,551149.0
2017-07-27,94.04,94.1,92.62,93.29,640961.0,0.0,1.0,94.04,94.1,92.62,93.29,640961.0
2017-07-26,93.6,94.59,93.39,94.04,834678.0,0.0,1.0,93.6,94.59,93.39,94.04,834678.0
2017-07-25,94.29,94.32,93.31,93.4,748296.0,0.0,1.0,94.29,94.32,93.31,93.4,748296.0
2017-07-24,93.81,94.49,93.76,93.85,711962.0,0.0,1.0,93.81,94.49,93.76,93.85,711962.0
2017-07-21,93.27,94.37,93.27,93.94,792695.0,0.0,1.0,93.27,94.37,93.27,93.94,792695.0
2017-07-20,92.86,93.25,92.54,93.15,503591.0,0.0,1.0,92.86,93.25,92.54,93.15,503591.0
2017-07-19,93.14,93.36,92.35,92.91,529670.0,0.0,1.0,93.14,93.36,92.35,92.91,529670.0
2017-07-18,91.94,93.18,91.82,93.12,720890.0,0.0,1.0,91.94,93.18,91.82,93.12,720890.0
2017-07-17,91.99,92.54,91.96,92.02,669925.0,0.0,1.0,91.99,92.54,91.96,92.02,669925.0
2017-07-14,92.41,92.48,91.83,91.98,474008.0,0.0,1.0,92.41,92.48,91.83,91.98,474008.0
2017-07-13,92.35,92.68,91.12,92.54,710621.0,0.0,1.0,92.35,92.68,91.12,92.54,710621.0
2017-07-12,92.52,92.71,91.64,91.94,801162.0,0.0,1.0,92.52,92.71,91.64,91.94,801162.0
2017-07-11,92.58,93.04,92.05,92.79,618716.0,0.0,1.0,92.58,93.04,92.05,92.79,618716.0
2017-07-10,93.01,93.2,92.62,92.69,751099.0,0.0,1.0,93.01,93.2,92.62,92.69,751099.0
2017-07-07,92.32,93.29,91.4,92.98,1044782.0,0.0,1.0,92.32,93.29,91.4,92.98,1044782.0
2017-07-06,92.96,93.41,92.13,92.18,919201.0,0.0,1.0,92.96,93.41,92.13,92.18,919201.0
2017-07-05,92.21,93.55,92.16,93.03,1392067.0,0.0,1.0,92.21,93.55,92.16,93.03,1392067.0
2017-07-03,91.83,92.29,91.54,91.91,538080.0,0.0,1.0,91.83,92.29,91.54,91.91,538080.0
2017-06-30,91.11,91.8,91.0,91.4,909964.0,0.0,1.0,91.11,91.8,91.0,91.4,909964.0
2017-06-29,91.24,91.3,90.05,91.0,751072.0,0.0,1.0,91.24,91.3,90.05,91.0,751072.0
2017-06-28,90.06,90.76,89.7,90.55,772774.0,0.0,1.0,90.06,90.76,89.7,90.55,772774.0
2017-06-27,89.62,90.06,89.39,90.01,847445.0,0.0,1.0,89.62,90.06,89.39,90.01,847445.0
2017-06-26,88.8,89.65,88.8,89.62,704468.0,0.0,1.0,88.8,89.65,88.8,89.62,704468.0
2017-06-23,88.71,89.26,88.59,88.77,850248.0,0.0,1.0,88.71,89.26,88.59,88.77,850248.0
2017-06-22,88.82,88.94,88.44,88.57,598548.0,0.0,1.0,88.82,88.94,88.44,88.57,598548.0
2017-06-21,89.07,89.15,88.67,88.82,609585.0,0.0,1.0,89.07,89.15,88.67,88.82,609585.0
2017-06-20,89.59,89.81,88.6,88.96,997099.0,0.0,1.0,89.59,89.81,88.6,88.96,997099.0
2017-06-19,88.96,89.71,88.96,89.62,858174.0,0.0,1.0,88.96,89.71,88.96,89.62,858174.0
2017-06-16,88.84,89.964,88.18,88.57,3292159.0,0.0,1.0,88.84,89.964,88.18,88.57,3292159.0
2017-06-15,89.48,89.7,88.99,89.54,746943.0,0.0,1.0,89.48,89.7,88.99,89.54,746943.0
2017-06-14,89.33,90.29,89.33,90.0,823694.0,0.0,1.0,89.33,90.29,89.33,90.0,823694.0
2017-06-13,89.94,90.09,89.21,89.93,1269183.0,0.0,1.0,89.94,90.09,89.21,89.93,1269183.0
2017-06-12,89.21,89.79,89.05,89.76,942130.0,0.0,1.0,89.21,89.79,89.05,89.76,942130.0
2017-06-09,88.81,89.77,88.49,89.75,1050084.0,0.0,1.0,88.81,89.77,88.49,89.75,1050084.0
2017-06-08,88.69,89.83,88.69,88.98,1251817.0,0.0,1.0,88.69,89.83,88.69,88.98,1251817.0
2017-06-07,87.0,89.16,86.58,88.88,1619326.0,0.0,1.0,87.0,89.16,86.58,88.88,1619326.0
2017-06-06,86.29,87.14,86.1,86.77,1011254.0,0.0,1.0,86.29,87.14,86.1,86.77,1011254.0
2017-06-05,86.66,87.25,86.38,86.9,1216707.0,0.0,1.0,86.66,87.25,86.38,86.9,1216707.0
2017-06-02,86.89,87.0,86.27,86.75,878828.0,0.0,1.0,86.89,87.0,86.27,86.75,878828.0
2017-06-01,86.78,86.99,86.28,86.82,1230487.0,0.0,1.0,86.78,86.99,86.28,86.82,1230487.0
2017-05-31,86.74,86.89,86.05,86.37,5628400.0,0.25,1.0,86.74,86.89,86.05,86.37,5628400.0
2017-05-30,86.58,86.88,85.86,86.65,1070769.0,0.0,1.0,86.3301154468,86.6292495959,85.6121934888,86.3999134149,1070769.0
2017-05-26,86.3,86.75,85.97,86.63,969241.0,0.0,1.0,86.0509235742,86.499624798,85.7218760102,86.3799711383,969241.0
2017-05-25,86.29,86.63,85.82,86.28,932085.0,0.0,1.0,86.0409524359,86.3799711383,85.5723089356,86.0309812976,932085.0
2017-05-24,85.84,86.17,85.37,86.03,662948.0,0.0,1.0,85.5922512122,85.9212987763,85.1236077118,85.78170284,662948.0
2017-05-23,85.12,85.79,84.885,85.73,1192242.0,0.0,1.0,84.8743292542,85.5423955207,84.640007504,85.4825686908,1192242.0
2017-05-22,85.0,85.355,84.55,85.05,966612.0,0.0,1.0,84.7546755946,85.1086510044,84.3059743708,84.8045312861,966612.0
2017-05-19,84.57,85.13,83.9,85.04,2979120.0,0.0,1.0,84.3259166474,84.8843003925,83.657850381,84.7945601478,2979120.0
2017-05-18,84.1,84.77,83.74,84.41,902158.0,0.0,1.0,83.8572731471,84.5253394135,83.4983121681,84.1663784345,902158.0
2017-05-17,83.17,84.7,82.54,84.15,1711976.0,0.0,1.0,82.9299572847,84.4555414454,82.3017755715,83.9071288386,1711976.0
2017-05-16,84.82,84.82,83.085,83.93,2093645.0,0.0,1.0,84.5751951051,84.5751951051,82.8452026091,83.6877637959,2093645.0
2017-05-15,84.41,85.12,84.16,85.0,1413991.0,0.0,1.0,84.1663784345,84.8743292542,83.9170999769,84.7546755946,1413991.0
2017-05-12,84.27,84.72,83.86,84.07,1069326.0,0.0,1.0,84.0267824983,84.475483722,83.6179658278,83.8273597322,1069326.0
2017-05-11,84.45,84.84,83.72,84.36,1230061.0,0.0,1.0,84.2062629878,84.5951373817,83.4783698915,84.116522743,1230061.0
2017-05-10,85.38,86.28,83.72,84.84,1336747.0,0.0,1.0,85.1335788502,86.0309812976,83.4783698915,84.5951373817,1336747.0
2017-05-09,83.0,85.35,83.0,84.99,2528873.0,0.0,1.0,82.7604479335,85.1036654352,82.7604479335,84.7447044562,2528873.0
2017-05-08,83.57,84.09,82.14,82.26,989485.0,0.0,1.0,83.3288028169,83.8473020088,81.9029300393,82.0225836989,989485.0
2017-05-05,83.25,83.88,82.99,83.76,886872.0,0.0,1.0,83.0097263911,83.6379081044,82.7504767952,83.5182544447,886872.0
2017-05-04,83.16,83.71,82.45,82.98,818166.0,0.0,1.0,82.9199861464,83.4683987532,82.2120353267,82.7405056569,818166.0
2017-05-03,82.49,83.15,82.28,83.03,999112.0,0.0,1.0,82.2519198799,82.9100150081,82.0425259755,82.7903613484,999112.0
2017-05-02,82.77,83.12,82.1,82.98,948217.0,0.0,1.0,82.5311117525,82.8801015932,81.863045486,82.7405056569,948217.0
2017-05-01,82.62,83.1,82.31,82.66,926681.0,0.0,1.0,82.3815446779,82.8601593166,82.0724393904,82.4214292311,926681.0
2017-04-28,82.48,82.72,81.85,82.41,1823792.0,0.0,1.0,82.2419487416,82.481256061,81.6137670284,82.1721507735,1823792.0
2017-04-27,83.8,83.8,82.29,82.4,1115737.0,0.0,1.0,83.5581389979,83.5581389979,82.0524971138,82.1621796352,1115737.0
2017-04-26,82.4,84.08,82.4,83.63,1186265.0,0.0,1.0,82.1621796352,83.8373308705,82.1621796352,83.3886296467,1186265.0
2017-04-25,84.1,84.625,83.9301,84.16,968732.0,0.0,1.0,83.8572731471,84.3807579081,83.6878635073,83.9170999769,968732.0
2017-04-24,83.82,84.15,83.3,83.84,1435620.0,0.0,1.0,83.5780812745,83.9071288386,83.0595820827,83.5980235511,1435620.0
2017-04-21,82.97,83.53,82.74,82.99,880331.0,0.0,1.0,82.7305345186,83.2889182637,82.5011983376,82.7504767952,880331.0
2017-04-20,82.72,83.305,82.28,83.0,945638.0,0.0,1.0,82.481256061,83.0645676518,82.0425259755,82.7604479335,945638.0
2017-04-19,81.94,82.5,81.94,82.22,636636.0,0.0,1.0,81.7035072731,82.2618910182,81.7035072731,81.9826991457,636636.0
