Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,100.55,102.06,100.55,102.02,2373704.0,0.0,1.0,100.55,102.06,100.55,102.02,2373704.0
2017-08-03,101.97,101.98,100.61,100.92,2273437.0,0.0,1.0,101.97,101.98,100.61,100.92,2273437.0
2017-08-02,100.88,101.83,100.17,101.81,2940070.0,0.0,1.0,100.88,101.83,100.17,101.81,2940070.0
2017-08-01,100.92,101.5,100.25,100.89,2762244.0,0.0,1.0,100.92,101.5,100.25,100.89,2762244.0
2017-07-31,100.63,101.24,99.0,100.58,5191162.0,0.0,1.0,100.63,101.24,99.0,100.58,5191162.0
2017-07-28,100.17,101.07,99.48,100.58,4786813.0,0.0,1.0,100.17,101.07,99.48,100.58,4786813.0
2017-07-27,99.77,100.2,99.01,100.19,4721523.0,0.0,1.0,99.77,100.2,99.01,100.19,4721523.0
2017-07-26,99.58,99.81,98.88,99.56,5984847.0,0.0,1.0,99.58,99.81,98.88,99.56,5984847.0
2017-07-25,99.28,99.54,98.51,99.5,5560200.0,0.0,1.0,99.28,99.54,98.51,99.5,5560200.0
2017-07-24,99.36,99.8,98.04,99.14,6329465.0,0.0,1.0,99.36,99.8,98.04,99.14,6329465.0
2017-07-21,96.39,99.75,96.11,99.17,23616078.0,0.0,1.0,96.39,99.75,96.11,99.17,23616078.0
2017-07-20,98.7,99.23,96.07,97.27,6211293.0,0.0,1.0,98.7,99.23,96.07,97.27,6211293.0
2017-07-19,94.98,98.78,93.14,98.66,6700986.0,0.0,1.0,94.98,98.78,93.14,98.66,6700986.0
2017-07-18,96.32,97.48,95.64,96.64,2950757.0,0.0,1.0,96.32,97.48,95.64,96.64,2950757.0
2017-07-17,100.87,100.87,96.81,96.81,3650363.0,0.0,1.0,100.87,100.87,96.81,96.81,3650363.0
2017-07-14,100.5,101.61,100.48,101.1,1967959.0,0.0,1.0,100.5,101.61,100.48,101.1,1967959.0
2017-07-13,100.11,100.56,99.64,100.31,685576.0,0.0,1.0,100.11,100.56,99.64,100.31,685576.0
2017-07-12,98.84,100.53,98.78,100.05,1124333.0,0.0,1.0,98.84,100.53,98.78,100.05,1124333.0
2017-07-11,99.24,99.3,98.07,98.29,1231469.0,0.0,1.0,99.24,99.3,98.07,98.29,1231469.0
2017-07-10,99.65,99.74,98.9,99.17,868528.0,0.0,1.0,99.65,99.74,98.9,99.17,868528.0
2017-07-07,98.57,99.6,98.57,99.47,1306384.0,0.0,1.0,98.57,99.6,98.57,99.47,1306384.0
2017-07-06,98.79,98.93,97.67,98.37,1273097.0,0.0,1.0,98.79,98.93,97.67,98.37,1273097.0
2017-07-05,99.0,99.39,98.36,99.01,2074319.0,0.0,1.0,99.0,99.39,98.36,99.01,2074319.0
2017-07-03,100.53,101.06,98.82,99.31,859360.0,0.0,1.0,100.53,101.06,98.82,99.31,859360.0
2017-06-30,99.97,100.64,99.72,100.18,1394779.0,0.0,1.0,99.97,100.64,99.72,100.18,1394779.0
2017-06-29,101.24,101.24,99.11,100.03,2744992.0,0.0,1.0,101.24,101.24,99.11,100.03,2744992.0
2017-06-28,102.08,102.23,100.76,101.18,2316228.0,0.0,1.0,102.08,102.23,100.76,101.18,2316228.0
2017-06-27,101.67,103.98,101.67,101.91,5558200.0,0.0,1.0,101.67,103.98,101.67,101.91,5558200.0
2017-06-26,100.1,100.1,99.34,99.75,1961888.0,0.0,1.0,100.1,100.1,99.34,99.75,1961888.0
2017-06-23,99.82,100.2,99.48,99.84,2688040.0,0.0,1.0,99.82,100.2,99.48,99.84,2688040.0
2017-06-22,99.71,100.4,99.44,99.74,2063075.0,0.0,1.0,99.71,100.4,99.44,99.74,2063075.0
2017-06-21,99.76,100.1,98.84,99.5,2825163.0,0.0,1.0,99.76,100.1,98.84,99.5,2825163.0
2017-06-20,101.28,101.51,99.95,100.62,1637616.0,0.0,1.0,101.28,101.51,99.95,100.62,1637616.0
2017-06-19,101.36,101.47,100.81,101.09,1796895.0,0.0,1.0,101.36,101.47,100.81,101.09,1796895.0
2017-06-16,101.14,101.95,100.77,101.18,3079377.0,0.0,1.0,101.14,101.95,100.77,101.18,3079377.0
2017-06-15,101.56,102.26,101.15,101.3,1642901.0,0.0,1.0,101.56,102.26,101.15,101.3,1642901.0
2017-06-14,101.98,102.99,101.62,101.91,2473282.0,0.95,1.0,101.98,102.99,101.62,101.91,2473282.0
2017-06-13,102.18,102.95,101.57,102.13,1928321.0,0.0,1.0,101.236280381,101.999168773,100.631914252,101.186742174,1928321.0
2017-06-12,100.46,102.47,99.59,102.21,3039002.0,0.0,1.0,99.5321660509,101.523601983,98.6702012444,101.266003305,3039002.0
2017-06-09,101.03,102.82,100.9,102.06,1482470.0,0.0,1.0,100.096901614,101.870369434,99.9681022749,101.117388684,1482470.0
2017-06-08,103.39,103.56,100.36,101.18,2383511.0,0.0,1.0,102.435104997,102.603534902,99.4330896364,100.245516236,2383511.0
2017-06-07,103.36,103.81,102.6,103.21,924615.0,0.0,1.0,102.405382073,102.851225938,101.652401322,102.256767451,924615.0
2017-06-06,103.52,104.01,103.03,103.16,1219841.0,0.0,1.0,102.563904336,103.049378767,102.078429905,102.207229244,1219841.0
2017-06-05,104.32,104.64,103.4,103.46,1303532.0,0.0,1.0,103.356515652,103.673560179,102.445012639,102.504458487,1303532.0
2017-06-02,103.97,104.68,103.53,104.59,1848010.0,0.0,1.0,103.009748201,103.713190745,102.573811977,103.624021972,1848010.0
2017-06-01,102.01,103.58,101.67,103.45,1982905.0,0.0,1.0,101.067850476,102.623350185,100.730990667,102.494550846,1982905.0
2017-05-31,103.71,104.34,101.54,101.65,4980720.0,0.0,1.0,102.752149524,103.376330935,100.602191328,100.711175384,4980720.0
2017-05-30,102.75,103.93,102.6192,103.52,3048731.0,0.0,1.0,101.801015944,102.970117636,101.671423994,102.563904336,3048731.0
2017-05-26,102.87,102.87,101.95,102.81,1821836.0,0.0,1.0,101.919907641,101.919907641,101.008404628,101.860461793,1821836.0
2017-05-25,100.69,103.19,100.69,102.78,1569560.0,0.0,1.0,99.7600418044,102.236952168,99.7600418044,101.830738868,1569560.0
2017-05-24,100.98,102.13,100.71,101.17,1883539.0,0.0,1.0,100.047363407,101.186742174,99.7798570873,100.235608594,1883539.0
2017-05-23,100.01,101.22,99.85,100.78,2043259.0,0.0,1.0,99.0863221855,100.285146801,98.9277999222,99.8492105775,2043259.0
2017-05-22,99.44,99.935,98.84,99.91,1887190.0,0.0,1.0,98.5215866226,99.0120148746,97.9271281353,98.987245771,1887190.0
2017-05-19,98.83,99.53,98.06,99.44,2195171.0,0.0,1.0,97.9172204939,98.6107553957,97.1543321019,98.5215866226,2195171.0
2017-05-18,98.1,98.82,96.78,98.65,2280092.0,0.0,1.0,97.1939626677,97.9073128524,95.8861539957,97.7388829477,2280092.0
2017-05-17,96.42,98.981,96.185,98.12,4158658.0,0.0,1.0,95.5294789034,98.0668258798,95.2966493292,97.2137779506,4158658.0
2017-05-16,95.95,96.53,95.62,95.93,1578119.0,0.0,1.0,95.063819755,95.6384629594,94.736867587,95.0440044721,1578119.0
2017-05-15,94.15,95.82,93.9101,95.73,1925913.0,0.0,1.0,93.2804442932,94.9350204161,93.0427599747,94.845851643,1925913.0
2017-05-12,94.07,94.36,93.8,94.06,1383536.0,0.0,1.0,93.2011831616,93.4885047638,92.9336768423,93.1912755201,1383536.0
2017-05-11,94.53,94.85,94.14,94.42,1044252.0,0.0,1.0,93.6569346685,93.973979195,93.2705366518,93.5479506125,1044252.0
2017-05-10,94.87,95.08,94.13,94.71,1446586.0,0.0,1.0,93.9937944779,94.2018549485,93.2606290103,93.8352722147,1446586.0
