Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,30.86,32.37,30.85,32.21,8358466.0,0.0,1.0,30.86,32.37,30.85,32.21,8358466.0
2017-08-03,28.39,30.78,27.77,30.71,9932048.0,0.0,1.0,28.39,30.78,27.77,30.71,9932048.0
2017-08-02,29.19,29.28,28.49,28.72,5361543.0,0.0,1.0,29.19,29.28,28.49,28.72,5361543.0
2017-08-01,29.48,29.52,28.26,29.22,6144239.0,0.0,1.0,29.48,29.52,28.26,29.22,6144239.0
2017-07-31,29.04,29.57,28.98,29.35,6799124.0,0.0,1.0,29.04,29.57,28.98,29.35,6799124.0
2017-07-28,28.74,29.23,28.74,28.99,2707988.0,0.0,1.0,28.74,29.23,28.74,28.99,2707988.0
2017-07-27,28.93,29.2,28.44,28.81,4933560.0,0.0,1.0,28.93,29.2,28.44,28.81,4933560.0
2017-07-26,29.85,30.01,28.64,28.88,8457205.0,0.0,1.0,29.85,30.01,28.64,28.88,8457205.0
2017-07-25,30.56,30.98,29.9,30.17,6840943.0,0.0,1.0,30.56,30.98,29.9,30.17,6840943.0
2017-07-24,30.95,31.01,30.13,30.22,4873165.0,0.0,1.0,30.95,31.01,30.13,30.22,4873165.0
2017-07-21,30.94,31.31,30.89,31.14,2669320.0,0.0,1.0,30.94,31.31,30.89,31.14,2669320.0
2017-07-20,30.95,31.315,30.4,31.13,4044019.0,0.0,1.0,30.95,31.315,30.4,31.13,4044019.0
2017-07-19,29.61,30.84,29.6,30.81,5647411.0,0.0,1.0,29.61,30.84,29.6,30.81,5647411.0
2017-07-18,29.23,29.465,28.82,29.43,3003467.0,0.0,1.0,29.23,29.465,28.82,29.43,3003467.0
2017-07-17,29.46,29.86,28.93,29.27,3076251.0,0.0,1.0,29.46,29.86,28.93,29.27,3076251.0
2017-07-14,29.56,29.88,29.285,29.49,3696245.0,0.0,1.0,29.56,29.88,29.285,29.49,3696245.0
2017-07-13,28.86,29.7,28.2999,29.51,4243724.0,0.0,1.0,28.86,29.7,28.2999,29.51,4243724.0
2017-07-12,29.67,30.43,28.6,28.92,6523136.0,0.0,1.0,29.67,30.43,28.6,28.92,6523136.0
2017-07-11,29.71,30.06,28.68,29.44,4628514.0,0.0,1.0,29.71,30.06,28.68,29.44,4628514.0
2017-07-10,27.85,29.96,27.73,29.72,7721343.0,0.0,1.0,27.85,29.96,27.73,29.72,7721343.0
2017-07-07,27.6,27.93,27.27,27.89,3339444.0,0.0,1.0,27.6,27.93,27.27,27.89,3339444.0
2017-07-06,28.61,28.86,27.53,27.58,3710236.0,0.0,1.0,28.61,28.86,27.53,27.58,3710236.0
2017-07-05,29.34,29.34,28.35,28.72,5108549.0,0.0,1.0,29.34,29.34,28.35,28.72,5108549.0
2017-07-03,28.2,29.365,28.18,29.22,4050697.0,0.0,1.0,28.2,29.365,28.18,29.22,4050697.0
2017-06-30,27.49,28.08,26.96,27.96,4521404.0,0.0,1.0,27.49,28.08,26.96,27.96,4521404.0
2017-06-29,27.4,28.04,27.36,27.43,4403878.0,0.0,1.0,27.4,28.04,27.36,27.43,4403878.0
2017-06-28,27.13,27.55,27.04,27.17,2460674.0,0.0,1.0,27.13,27.55,27.04,27.17,2460674.0
2017-06-27,27.49,27.81,26.84,26.87,3353935.0,0.0,1.0,27.49,27.81,26.84,26.87,3353935.0
2017-06-26,27.58,27.66,27.08,27.41,3752930.0,0.0,1.0,27.58,27.66,27.08,27.41,3752930.0
