Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,51.7,51.7,50.29,50.39,2350062.0,0.0,1.0,51.7,51.7,50.29,50.39,2350062.0
2017-08-03,50.97,52.07,50.8,51.77,2581192.0,0.0,1.0,50.97,52.07,50.8,51.77,2581192.0
2017-08-02,52.89,52.89,52.22,52.73,2008076.0,0.0,1.0,52.89,52.89,52.22,52.73,2008076.0
2017-08-01,53.44,53.45,52.91,53.01,1233120.0,0.0,1.0,53.44,53.45,52.91,53.01,1233120.0
2017-07-31,53.38,53.58,53.285,53.35,1047343.0,0.0,1.0,53.38,53.58,53.285,53.35,1047343.0
2017-07-28,53.8,53.8,53.051,53.3,1051559.0,0.0,1.0,53.8,53.8,53.051,53.3,1051559.0
2017-07-27,53.64,54.0,53.46,53.8,1285601.0,0.0,1.0,53.64,54.0,53.46,53.8,1285601.0
2017-07-26,53.49,53.76,53.315,53.67,933595.0,0.0,1.0,53.49,53.76,53.315,53.67,933595.0
2017-07-25,53.01,53.33,52.79,53.33,895327.0,0.0,1.0,53.01,53.33,52.79,53.33,895327.0
2017-07-24,53.2,53.2,52.65,52.8,1388955.0,0.0,1.0,53.2,53.2,52.65,52.8,1388955.0
2017-07-21,52.68,53.28,52.54,53.26,1312040.0,0.0,1.0,52.68,53.28,52.54,53.26,1312040.0
2017-07-20,53.02,53.345,52.915,52.99,1619982.0,0.0,1.0,53.02,53.345,52.915,52.99,1619982.0
2017-07-19,53.69,53.69,52.91,52.95,1189902.0,0.0,1.0,53.69,53.69,52.91,52.95,1189902.0
2017-07-18,53.36,53.71,53.22,53.63,1227636.0,0.0,1.0,53.36,53.71,53.22,53.63,1227636.0
2017-07-17,52.52,53.34,52.08,53.33,2017949.0,0.0,1.0,52.52,53.34,52.08,53.33,2017949.0
2017-07-14,52.21,52.645,52.175,52.62,1066789.0,0.0,1.0,52.21,52.645,52.175,52.62,1066789.0
2017-07-13,51.91,52.05,51.65,52.0,865111.0,0.0,1.0,51.91,52.05,51.65,52.0,865111.0
2017-07-12,52.31,52.495,51.84,51.9,1787479.0,0.0,1.0,52.31,52.495,51.84,51.9,1787479.0
2017-07-11,52.32,52.4,52.0,52.18,1345705.0,0.0,1.0,52.32,52.4,52.0,52.18,1345705.0
2017-07-10,52.05,52.5,52.04,52.31,1233099.0,0.0,1.0,52.05,52.5,52.04,52.31,1233099.0
2017-07-07,52.17,52.54,51.97,52.0,1163188.0,0.0,1.0,52.17,52.54,51.97,52.0,1163188.0
2017-07-06,51.78,52.055,51.54,51.95,1272091.0,0.0,1.0,51.78,52.055,51.54,51.95,1272091.0
2017-07-05,52.07,52.16,51.71,51.78,1479429.0,0.0,1.0,52.07,52.16,51.71,51.78,1479429.0
2017-07-03,51.95,52.26,51.85,52.02,397971.0,0.0,1.0,51.95,52.26,51.85,52.02,397971.0
2017-06-30,51.8,52.08,51.8,51.88,1229116.0,0.0,1.0,51.8,52.08,51.8,51.88,1229116.0
2017-06-29,52.42,52.46,51.62,51.81,1141787.0,0.0,1.0,52.42,52.46,51.62,51.81,1141787.0
2017-06-28,52.96,53.07,52.56,52.58,1076493.0,0.0,1.0,52.96,53.07,52.56,52.58,1076493.0
2017-06-27,52.98,53.25,52.68,52.68,1300686.0,0.0,1.0,52.98,53.25,52.68,52.68,1300686.0
2017-06-26,53.2,53.24,52.98,53.09,821747.0,0.0,1.0,53.2,53.24,52.98,53.09,821747.0
2017-06-23,52.89,53.29,52.89,53.04,1339908.0,0.0,1.0,52.89,53.29,52.89,53.04,1339908.0
2017-06-22,52.99,53.07,52.74,52.84,1643395.0,0.0,1.0,52.99,53.07,52.74,52.84,1643395.0
2017-06-21,53.55,53.71,53.0,53.02,1257214.0,0.0,1.0,53.55,53.71,53.0,53.02,1257214.0
2017-06-20,53.84,54.1799,53.51,53.53,1454723.0,0.0,1.0,53.84,54.1799,53.51,53.53,1454723.0
2017-06-19,53.27,53.79,52.92,53.75,1056230.0,0.0,1.0,53.27,53.79,52.92,53.75,1056230.0
2017-06-16,53.38,53.65,52.71,53.2,3879836.0,0.0,1.0,53.38,53.65,52.71,53.2,3879836.0
2017-06-15,52.98,53.76,52.94,53.55,1212499.0,0.0,1.0,52.98,53.76,52.94,53.55,1212499.0
2017-06-14,53.03,53.3,52.94,53.18,1467085.0,0.0,1.0,53.03,53.3,52.94,53.18,1467085.0
2017-06-13,52.78,52.91,52.5,52.8,850002.0,0.0,1.0,52.78,52.91,52.5,52.8,850002.0
2017-06-12,52.91,53.39,52.73,52.9,1399986.0,0.0,1.0,52.91,53.39,52.73,52.9,1399986.0
2017-06-09,52.76,53.04,52.59,53.0,1233974.0,0.0,1.0,52.76,53.04,52.59,53.0,1233974.0
2017-06-08,53.26,53.28,52.52,52.82,1374875.0,0.0,1.0,53.26,53.28,52.52,52.82,1374875.0
2017-06-07,52.71,53.365,52.525,53.26,1403233.0,0.0,1.0,52.71,53.365,52.525,53.26,1403233.0
2017-06-06,52.59,53.115,52.33,52.82,1724195.0,0.0,1.0,52.59,53.115,52.33,52.82,1724195.0
2017-06-05,52.43,52.74,52.2,52.62,1340166.0,0.0,1.0,52.43,52.74,52.2,52.62,1340166.0
2017-06-02,52.27,52.58,51.95,52.57,1925374.0,0.0,1.0,52.27,52.58,51.95,52.57,1925374.0
2017-06-01,51.8,52.25,51.43,52.25,1560577.0,0.0,1.0,51.8,52.25,51.43,52.25,1560577.0
2017-05-31,51.64,51.98,51.5,51.66,3269367.0,0.0,1.0,51.64,51.98,51.5,51.66,3269367.0
2017-05-30,51.14,51.6,51.06,51.53,1583220.0,0.0,1.0,51.14,51.6,51.06,51.53,1583220.0
2017-05-26,51.2,51.29,50.97,51.1,771005.0,0.0,1.0,51.2,51.29,50.97,51.1,771005.0
2017-05-25,50.85,51.43,50.77,51.2,1152664.0,0.0,1.0,50.85,51.43,50.77,51.2,1152664.0
2017-05-24,50.48,50.85,50.42,50.73,1046987.0,0.0,1.0,50.48,50.85,50.42,50.73,1046987.0
2017-05-23,50.08,50.62,49.88,50.31,1434622.0,0.0,1.0,50.08,50.62,49.88,50.31,1434622.0
2017-05-22,49.68,50.06,49.6,50.02,1168221.0,0.0,1.0,49.68,50.06,49.6,50.02,1168221.0
2017-05-19,49.68,49.93,49.41,49.74,3992152.0,0.0,1.0,49.68,49.93,49.41,49.74,3992152.0
2017-05-18,49.66,49.9,49.29,49.68,1283344.0,0.0,1.0,49.66,49.9,49.29,49.68,1283344.0
2017-05-17,49.46,50.085,49.255,49.71,1603702.0,0.0,1.0,49.46,50.085,49.255,49.71,1603702.0
2017-05-16,49.75,50.07,49.42,49.48,1411893.0,0.0,1.0,49.75,50.07,49.42,49.48,1411893.0
2017-05-15,50.05,50.36,50.05,50.25,1167347.0,0.0,1.0,50.05,50.36,50.05,50.25,1167347.0
2017-05-12,50.39,50.57,50.04,50.2,1210465.0,0.19,1.0,50.39,50.57,50.04,50.2,1210465.0
2017-05-11,50.74,50.85,50.485,50.67,1313354.0,0.0,1.0,50.5486802937,50.6582655289,50.294641794,50.478944235,1313354.0
2017-05-10,50.27,50.91,50.27,50.87,1342855.0,0.0,1.0,50.0804524707,50.7180392935,50.0804524707,50.6781901171,1342855.0
2017-05-09,50.67,50.7,50.085,50.29,1043402.0,0.0,1.0,50.478944235,50.5088311173,49.8961500298,50.1003770589,1043402.0
2017-05-08,50.8,50.84,50.4,50.62,1468040.0,0.0,1.0,50.6084540583,50.6483032348,50.2099622941,50.4291327644,1468040.0
2017-05-05,50.85,51.015,50.5,50.78,1799683.0,0.0,1.0,50.6582655289,50.8226433816,50.3095852352,50.5885294701,1799683.0
2017-05-04,50.11,51.27,50.03,50.85,3420722.0,0.0,1.0,49.921055765,51.0766818813,49.8413574122,50.6582655289,3420722.0
2017-05-03,48.88,48.88,48.42,48.75,1708799.0,0.0,1.0,48.69569359,48.69569359,48.2374280611,48.5661837666,1708799.0
2017-05-02,49.37,49.54,48.77,48.83,1391271.0,0.0,1.0,49.1838460012,49.353205001,48.5861083548,48.6458821195,1391271.0
2017-05-01,49.64,49.77,49.32,49.32,1117772.0,0.0,1.0,49.4528279421,49.5823377654,49.1340345307,49.1340345307,1117772.0
2017-04-28,49.63,49.65,49.34,49.53,1889936.0,0.0,1.0,49.4428656479,49.4627902362,49.1539591189,49.3432427069,1889936.0
2017-04-27,49.83,50.04,49.61,49.78,1546792.0,0.0,1.0,49.6421115301,49.8513197063,49.4229410597,49.5923000595,1546792.0
2017-04-26,50.2,50.24,49.76,49.79,1571654.0,0.0,1.0,50.010716412,50.0505655884,49.5723754713,49.6022623536,1571654.0
2017-04-25,50.62,50.65,50.29,50.3,1606275.0,0.0,1.0,50.4291327644,50.4590196468,50.1003770589,50.110339353,1606275.0
2017-04-24,50.39,50.57,50.05,50.39,2053408.0,0.0,1.0,50.2,50.3793212939,49.8612820004,50.2,2053408.0
2017-04-21,50.19,50.55,50.14,50.25,1336547.0,0.0,1.0,50.0007541179,50.3593967057,49.9509426474,50.0605278825,1336547.0
2017-04-20,50.61,50.71,50.23,50.27,1636665.0,0.0,1.0,50.4191704703,50.5187934114,50.0406032943,50.0804524707,1636665.0
2017-04-19,50.74,50.79,50.5,50.65,1117911.0,0.0,1.0,50.5486802937,50.5984917642,50.3095852352,50.4590196468,1117911.0
2017-04-18,50.32,50.925,50.32,50.7,1286791.0,0.0,1.0,50.1302639413,50.7329827347,50.1302639413,50.5088311173,1286791.0
2017-04-17,49.92,50.34,49.85,50.34,1069431.0,0.0,1.0,49.731772177,50.1501885295,49.6620361183,50.1501885295,1069431.0
2017-04-13,49.85,50.01,49.64,49.8,1091021.0,0.0,1.0,49.6620361183,49.821432824,49.4528279421,49.6122246477,1091021.0
2017-04-12,49.87,50.15,49.81,50.02,1789483.0,0.0,1.0,49.6819607065,49.9609049415,49.6221869419,49.8313951181,1789483.0
2017-04-11,49.82,50.1,49.75,50.01,845403.0,0.0,1.0,49.632149236,49.9110934709,49.5624131772,49.821432824,845403.0
2017-04-10,49.56,50.04,49.4115,49.88,907398.0,0.0,1.0,49.3731295892,49.8513197063,49.2251895217,49.6919230006,907398.0
2017-04-07,49.68,49.9,49.48,49.55,1529743.0,0.0,1.0,49.4926771185,49.7118475888,49.2934312364,49.3631672951,1529743.0
2017-04-06,49.57,49.86,49.51,49.76,1649531.0,0.0,1.0,49.3830918833,49.6719984124,49.3233181187,49.5723754713,1649531.0
2017-04-05,49.75,49.988,49.49,49.57,2178824.0,0.0,1.0,49.5624131772,49.7995157769,49.3033935305,49.3830918833,2178824.0
2017-04-04,49.94,50.05,49.47,49.75,1656014.0,0.0,1.0,49.7516967652,49.8612820004,49.2834689423,49.5624131772,1656014.0
2017-04-03,49.9,50.23,49.77,49.89,1234241.0,0.0,1.0,49.7118475888,50.0406032943,49.5823377654,49.7018852947,1234241.0
2017-03-31,50.03,50.22,49.795,49.87,1356651.0,0.0,1.0,49.8413574122,50.0306410002,49.6072435007,49.6819607065,1356651.0
2017-03-30,50.01,50.215,49.93,50.03,848281.0,0.0,1.0,49.821432824,50.0256598531,49.7417344711,49.8413574122,848281.0
2017-03-29,50.19,50.32,50.0,50.04,1647161.0,0.0,1.0,50.0007541179,50.1302639413,49.8114705299,49.8513197063,1647161.0
2017-03-28,50.2,50.52,50.04,50.26,1199245.0,0.0,1.0,50.010716412,50.3295098234,49.8513197063,50.0704901766,1199245.0
2017-03-27,50.16,50.66,50.04,50.28,1442069.0,0.0,1.0,49.9708672356,50.4689819409,49.8513197063,50.0904147648,1442069.0
2017-03-24,50.36,50.49,50.01,50.22,1335614.0,0.0,1.0,50.1701131177,50.2996229411,49.821432824,50.0306410002,1335614.0
2017-03-23,50.18,50.725,50.18,50.34,1687966.0,0.0,1.0,49.9907918238,50.5337368526,49.9907918238,50.1501885295,1687966.0
2017-03-22,50.57,50.62,50.24,50.28,1735875.0,0.0,1.0,50.3793212939,50.4291327644,50.0505655884,50.0904147648,1735875.0
2017-03-21,50.23,50.63,50.09,50.34,1463292.0,0.0,1.0,50.0406032943,50.4390950585,49.9011311768,50.1501885295,1463292.0
2017-03-20,50.1,50.39,50.07,50.19,1095550.0,0.0,1.0,49.9110934709,50.2,49.8812065886,50.0007541179,1095550.0
