Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,158.27,160.59,157.7995,160.16,1523470.0,0.0,1.0,158.27,160.59,157.7995,160.16,1523470.0
2017-08-03,158.36,158.77,156.15,157.74,1514012.0,0.0,1.0,158.36,158.77,156.15,157.74,1514012.0
2017-08-02,157.68,158.83,156.42,157.78,2115496.0,0.0,1.0,157.68,158.83,156.42,157.78,2115496.0
2017-08-01,159.88,161.09,154.0,157.48,5480126.0,0.0,1.0,159.88,161.09,154.0,157.48,5480126.0
2017-07-31,168.11,169.74,167.47,167.9,1737627.0,0.0,1.0,168.11,169.74,167.47,167.9,1737627.0
2017-07-28,165.56,167.53,165.18,167.22,858063.0,0.0,1.0,165.56,167.53,165.18,167.22,858063.0
2017-07-27,166.27,167.34,165.34,165.78,1210656.0,0.0,1.0,166.27,167.34,165.34,165.78,1210656.0
2017-07-26,168.38,168.38,165.84,165.97,1075250.0,0.0,1.0,168.38,168.38,165.84,165.97,1075250.0
2017-07-25,168.35,170.68,167.01,167.7,1574774.0,0.0,1.0,168.35,170.68,167.01,167.7,1574774.0
2017-07-24,165.36,166.91,164.945,166.47,1316025.0,0.0,1.0,165.36,166.91,164.945,166.47,1316025.0
2017-07-21,163.85,165.41,163.39,165.22,1181673.0,0.0,1.0,163.85,165.41,163.39,165.22,1181673.0
2017-07-20,164.92,165.59,163.85,164.43,1365498.0,0.0,1.0,164.92,165.59,163.85,164.43,1365498.0
2017-07-19,164.83,165.05,164.04,164.64,1261509.0,0.0,1.0,164.83,165.05,164.04,164.64,1261509.0
2017-07-18,165.63,166.13,163.7584,164.82,876521.0,0.0,1.0,165.63,166.13,163.7584,164.82,876521.0
2017-07-17,165.59,167.17,165.59,166.14,1046580.0,0.0,1.0,165.59,167.17,165.59,166.14,1046580.0
2017-07-14,165.48,166.54,164.51,165.86,904725.0,0.0,1.0,165.48,166.54,164.51,165.86,904725.0
2017-07-13,165.88,166.21,164.645,165.17,1326949.0,0.0,1.0,165.88,166.21,164.645,165.17,1326949.0
2017-07-12,165.97,166.84,165.19,165.32,908284.0,0.0,1.0,165.97,166.84,165.19,165.32,908284.0
2017-07-11,165.03,165.2099,163.86,164.77,1007052.0,0.0,1.0,165.03,165.2099,163.86,164.77,1007052.0
2017-07-10,164.45,166.3,164.23,165.08,991235.0,0.0,1.0,164.45,166.3,164.23,165.08,991235.0
2017-07-07,165.0,165.71,162.65,164.7,1037150.0,0.0,1.0,165.0,165.71,162.65,164.7,1037150.0
2017-07-06,163.98,165.95,163.22,164.21,1457137.0,0.0,1.0,163.98,165.95,163.22,164.21,1457137.0
2017-07-05,163.38,164.44,162.78,164.1,1162927.0,0.0,1.0,163.38,164.44,162.78,164.1,1162927.0
2017-07-03,162.15,163.89,161.3701,163.36,963859.0,0.0,1.0,162.15,163.89,161.3701,163.36,963859.0
2017-06-30,160.72,163.275,160.13,162.22,984677.0,0.0,1.0,160.72,163.275,160.13,162.22,984677.0
2017-06-29,161.81,162.24,159.2,160.12,944758.0,0.0,1.0,161.81,162.24,159.2,160.12,944758.0
2017-06-28,159.6,161.865,158.79,161.57,1028372.0,0.0,1.0,159.6,161.865,158.79,161.57,1028372.0
2017-06-27,159.04,160.04,157.78,158.2,1279103.0,0.0,1.0,159.04,160.04,157.78,158.2,1279103.0
2017-06-26,159.16,160.32,158.07,158.9,847346.0,0.0,1.0,159.16,160.32,158.07,158.9,847346.0
2017-06-23,158.85,159.87,158.5,159.14,2139703.0,0.0,1.0,158.85,159.87,158.5,159.14,2139703.0
2017-06-22,160.13,160.15,158.76,158.96,716559.0,0.0,1.0,160.13,160.15,158.76,158.96,716559.0
2017-06-21,163.62,163.62,158.54,159.19,1194188.0,0.0,1.0,163.62,163.62,158.54,159.19,1194188.0
2017-06-20,163.09,163.845,161.451,162.49,1389438.0,0.0,1.0,163.09,163.845,161.451,162.49,1389438.0
2017-06-19,162.13,164.23,161.75,164.1,1598490.0,0.0,1.0,162.13,164.23,161.75,164.1,1598490.0
2017-06-16,161.78,162.19,160.72,161.56,1282293.0,0.0,1.0,161.78,162.19,160.72,161.56,1282293.0
2017-06-15,158.01,162.315,158.0,161.7,1508732.0,0.0,1.0,158.01,162.315,158.0,161.7,1508732.0
2017-06-14,161.09,161.09,158.4,159.49,977597.0,0.0,1.0,161.09,161.09,158.4,159.49,977597.0
2017-06-13,160.46,160.87,159.17,160.39,993431.0,0.0,1.0,160.46,160.87,159.17,160.39,993431.0
2017-06-12,159.06,160.71,158.29,160.45,1198785.0,0.0,1.0,159.06,160.71,158.29,160.45,1198785.0
2017-06-09,158.15,160.38,158.09,159.23,972356.0,0.0,1.0,158.15,160.38,158.09,159.23,972356.0
2017-06-08,156.34,159.12,155.8,158.37,1066754.0,0.0,1.0,156.34,159.12,155.8,158.37,1066754.0
2017-06-07,157.48,157.5,155.18,156.28,1403762.0,0.0,1.0,157.48,157.5,155.18,156.28,1403762.0
2017-06-06,155.78,157.92,155.01,157.16,1351848.0,0.0,1.0,155.78,157.92,155.01,157.16,1351848.0
2017-06-05,158.0,158.1794,155.93,156.1,1498447.0,0.0,1.0,158.0,158.1794,155.93,156.1,1498447.0
2017-06-02,160.38,161.87,157.97,158.14,2053599.0,0.0,1.0,160.38,161.87,157.97,158.14,2053599.0
2017-06-01,158.53,161.63,157.75,160.63,1413261.0,0.0,1.0,158.53,161.63,157.75,160.63,1413261.0
2017-05-31,157.39,158.12,155.86,157.7,1462802.0,0.0,1.0,157.39,158.12,155.86,157.7,1462802.0
2017-05-30,156.24,157.97,156.06,157.34,1231748.0,0.0,1.0,156.24,157.97,156.06,157.34,1231748.0
2017-05-26,155.8,157.25,155.73,156.64,630318.0,0.0,1.0,155.8,157.25,155.73,156.64,630318.0
2017-05-25,155.71,156.67,155.265,155.86,1492096.0,0.0,1.0,155.71,156.67,155.265,155.86,1492096.0
2017-05-24,155.16,155.975,154.1,155.08,1196352.0,0.0,1.0,155.16,155.975,154.1,155.08,1196352.0
2017-05-23,155.56,155.99,154.82,155.3,1158567.0,0.0,1.0,155.56,155.99,154.82,155.3,1158567.0
2017-05-22,155.65,156.885,155.04,155.39,1305109.0,0.0,1.0,155.65,156.885,155.04,155.39,1305109.0
2017-05-19,152.83,155.81,152.39,154.9,1689068.0,0.0,1.0,152.83,155.81,152.39,154.9,1689068.0
2017-05-18,152.27,152.71,150.07,151.84,1378830.0,0.0,1.0,152.27,152.71,150.07,151.84,1378830.0
2017-05-17,154.6,155.27,153.24,153.31,1272437.0,1.025,1.0,154.6,155.27,153.24,153.31,1272437.0
2017-05-16,156.75,157.49,155.38,157.42,1224801.0,0.0,1.0,155.708961026,156.444046393,154.34805974,156.37451129,1224801.0
2017-05-15,157.95,158.37,156.29,156.6,1662738.0,0.0,1.0,156.90099135,157.318201963,155.252016069,155.559957236,1662738.0
2017-05-12,158.27,159.15,156.46,156.98,1744907.0,0.0,1.0,157.218866103,158.093021674,155.420887031,155.937433505,1744907.0
2017-05-11,158.58,159.81,156.43,158.85,2162615.0,0.0,1.0,157.52680727,158.748638352,155.391086273,157.795014093,2162615.0
2017-05-10,157.75,159.69,157.3,159.24,2158659.0,0.0,1.0,156.702319629,158.629435319,156.255308258,158.182423948,2158659.0
2017-05-09,156.51,158.11,156.25,157.75,1352399.0,0.0,1.0,155.470554962,157.059928726,155.212281725,156.702319629,1352399.0
2017-05-08,155.33,156.29,154.71,156.29,1919536.0,0.0,1.0,154.29839181,155.252016069,153.682509476,155.252016069,1919536.0
2017-05-05,156.31,156.62,154.81,155.48,1342142.0,0.0,1.0,155.271883241,155.579824408,153.781845336,154.4473956,1342142.0
2017-05-04,159.16,159.62,155.41,156.04,2153337.0,0.0,1.0,158.10295526,158.559900217,154.377860498,155.003676418,2153337.0
2017-05-03,159.45,160.18,157.4,158.63,1896477.0,0.0,1.0,158.391029255,159.116181035,156.354644118,157.5764752,1896477.0
2017-05-02,162.75,163.36,159.46,160.56,4157214.0,0.0,1.0,161.669112645,162.275061392,158.400962841,159.493657304,4157214.0
2017-05-01,151.81,152.47,149.85,151.33,1998851.0,0.0,1.0,150.801769527,151.457386205,148.854786665,150.324957398,1998851.0
2017-04-28,151.46,152.23,150.37,150.94,1100888.0,0.0,1.0,150.454094016,151.218980141,149.371333139,149.937547543,1100888.0
2017-04-27,152.46,152.58,150.22,151.06,1002744.0,0.0,1.0,151.447452619,151.566655652,149.222329348,150.056750575,1002744.0
2017-04-26,151.84,153.13,151.0,152.07,1102094.0,0.0,1.0,150.831570285,152.113002883,149.997149059,151.060042764,1102094.0
2017-04-25,150.26,153.65,150.26,152.11,2131022.0,0.0,1.0,149.262063693,152.629549357,149.262063693,151.099777108,2131022.0
2017-04-24,148.0,149.46,147.92,149.1,1500224.0,0.0,1.0,147.01707325,148.46737681,146.937604562,148.109767713,1500224.0
2017-04-21,146.14,146.995,144.46,145.56,1337945.0,0.0,1.0,145.169426248,146.018747854,143.500583795,144.593278258,1337945.0
2017-04-20,145.34,146.84,144.98,146.14,1118515.0,0.0,1.0,144.374739366,145.86477727,144.017130269,145.169426248,1118515.0
2017-04-19,145.92,146.235,143.8301,144.34,1610957.0,0.0,1.0,144.950887355,145.263795315,142.874867211,143.381380763,1610957.0
