Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,24.57,24.85,24.4,24.71,3769389.0,0.0,1.0,24.57,24.85,24.4,24.71,3769389.0
2017-08-03,24.67,24.98,24.265,24.57,6494334.0,0.0,1.0,24.67,24.98,24.265,24.57,6494334.0
2017-08-02,25.19,25.63,24.51,24.57,5796932.0,0.0,1.0,25.19,25.63,24.51,24.57,5796932.0
2017-08-01,25.05,25.55,25.05,25.36,7505571.0,0.0,1.0,25.05,25.55,25.05,25.36,7505571.0
2017-07-31,25.32,25.45,24.71,24.87,6128371.0,0.0,1.0,25.32,25.45,24.71,24.87,6128371.0
2017-07-28,25.1,26.08,24.57,25.5,8282555.0,0.0,1.0,25.1,26.08,24.57,25.5,8282555.0
2017-07-27,25.18,25.29,24.905,25.18,6260436.0,0.0,1.0,25.18,25.29,24.905,25.18,6260436.0
2017-07-26,25.23,25.46,25.0,25.16,3193033.0,0.0,1.0,25.23,25.46,25.0,25.16,3193033.0
2017-07-25,25.12,25.45,25.08,25.12,4571478.0,0.0,1.0,25.12,25.45,25.08,25.12,4571478.0
2017-07-24,24.9,25.04,24.65,24.78,4085895.0,0.0,1.0,24.9,25.04,24.65,24.78,4085895.0
2017-07-21,24.98,25.12,24.84,24.98,6011704.0,0.0,1.0,24.98,25.12,24.84,24.98,6011704.0
2017-07-20,25.33,25.61,24.94,25.0,4712410.0,0.0,1.0,25.33,25.61,24.94,25.0,4712410.0
2017-07-19,24.88,25.31,24.84,25.17,6660548.0,0.0,1.0,24.88,25.31,24.84,25.17,6660548.0
2017-07-18,25.53,25.6,24.53,24.82,5686939.0,0.0,1.0,25.53,25.6,24.53,24.82,5686939.0
2017-07-17,25.37,25.79,25.325,25.43,5787967.0,0.0,1.0,25.37,25.79,25.325,25.43,5787967.0
2017-07-14,25.43,25.52,25.18,25.35,4722684.0,0.0,1.0,25.43,25.52,25.18,25.35,4722684.0
2017-07-13,25.06,25.45,24.965,25.42,3610827.0,0.0,1.0,25.06,25.45,24.965,25.42,3610827.0
2017-07-12,25.06,25.345,24.92,25.09,4370590.0,0.0,1.0,25.06,25.345,24.92,25.09,4370590.0
2017-07-11,24.64,25.12,24.58,24.89,3579019.0,0.0,1.0,24.64,25.12,24.58,24.89,3579019.0
2017-07-10,24.26,24.78,24.19,24.67,3882668.0,0.0,1.0,24.26,24.78,24.19,24.67,3882668.0
2017-07-07,24.16,24.3,23.89,24.26,4781717.0,0.0,1.0,24.16,24.3,23.89,24.26,4781717.0
2017-07-06,24.95,24.99,24.015,24.26,8985592.0,0.0,1.0,24.95,24.99,24.015,24.26,8985592.0
2017-07-05,24.91,25.15,24.55,24.9,5787186.0,0.0,1.0,24.91,25.15,24.55,24.9,5787186.0
2017-07-03,25.09,25.29,24.82,25.13,3820243.0,0.0,1.0,25.09,25.29,24.82,25.13,3820243.0
2017-06-30,25.16,25.405,24.8,25.08,7005755.0,0.0,1.0,25.16,25.405,24.8,25.08,7005755.0
2017-06-29,24.62,24.98,24.5,24.82,8305818.0,0.0,1.0,24.62,24.98,24.5,24.82,8305818.0
2017-06-28,24.58,24.91,24.41,24.48,7818449.0,0.0,1.0,24.58,24.91,24.41,24.48,7818449.0
2017-06-27,24.48,24.53,24.13,24.5,8279394.0,0.0,1.0,24.48,24.53,24.13,24.5,8279394.0
2017-06-26,23.86,24.6,23.78,24.3,6239628.0,0.0,1.0,23.86,24.6,23.78,24.3,6239628.0
2017-06-23,22.88,23.785,22.88,23.74,8893374.0,0.0,1.0,22.88,23.785,22.88,23.74,8893374.0
