Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,158.34,158.439,155.83,156.44,3117944.0,0.0,1.0,158.34,158.439,155.83,156.44,3117944.0
2017-08-03,161.61,162.35,157.06,157.91,5562577.0,0.0,1.0,161.61,162.35,157.06,157.91,5562577.0
2017-08-02,159.13,161.55,158.44,161.28,5486333.0,0.0,1.0,159.13,161.55,158.44,161.28,5486333.0
2017-08-01,159.1,159.97,157.905,159.72,4787491.0,0.0,1.0,159.1,159.97,157.905,159.72,4787491.0
2017-07-31,153.08,158.66,153.03,158.51,6937092.0,0.0,1.0,153.08,158.66,153.03,158.51,6937092.0
2017-07-28,152.67,153.3,152.11,152.89,2779452.0,0.0,1.0,152.67,153.3,152.11,152.89,2779452.0
2017-07-27,152.01,152.985,151.44,152.52,3637864.0,0.0,1.0,152.01,152.985,151.44,152.52,3637864.0
2017-07-26,153.41,153.5,151.55,152.09,3017166.0,0.0,1.0,153.41,153.5,151.55,152.09,3017166.0
2017-07-25,151.41,153.6999,151.4,153.17,4605705.0,0.0,1.0,151.41,153.6999,151.4,153.17,4605705.0
2017-07-24,150.45,151.47,150.11,151.0,3655550.0,0.0,1.0,150.45,151.47,150.11,151.0,3655550.0
2017-07-21,150.94,151.23,150.0,150.44,4078020.0,0.0,1.0,150.94,151.23,150.0,150.44,4078020.0
2017-07-20,151.47,152.19,150.88,150.99,3207388.0,0.0,1.0,151.47,152.19,150.88,150.99,3207388.0
2017-07-19,151.81,152.16,150.9,151.24,4099995.0,0.0,1.0,151.81,152.16,150.9,151.24,4099995.0
2017-07-18,152.61,152.84,150.936,151.5,3256881.0,0.0,1.0,152.61,152.84,150.936,151.5,3256881.0
2017-07-17,153.0,153.44,152.52,152.84,3096922.0,0.0,1.0,153.0,153.44,152.52,152.84,3096922.0
2017-07-14,154.26,154.27,152.9,153.0,4368387.0,0.0,1.0,154.26,154.27,152.9,153.0,4368387.0
2017-07-13,153.23,153.928,152.62,153.6,5673513.0,0.0,1.0,153.23,153.928,152.62,153.6,5673513.0
2017-07-12,151.46,152.9,151.42,151.75,5112183.0,0.0,1.0,151.46,152.9,151.42,151.75,5112183.0
2017-07-11,151.45,153.09,150.93,151.11,6275636.0,0.0,1.0,151.45,153.09,150.93,151.11,6275636.0
2017-07-10,153.51,153.6,150.96,151.0,8999843.0,0.0,1.0,153.51,153.6,150.96,151.0,8999843.0
