Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,19.93,19.99,19.49,19.71,3462801.0,0.0,1.0,19.93,19.99,19.49,19.71,3462801.0
2017-08-03,20.18,20.28,19.88,19.93,5900281.0,0.0,1.0,20.18,20.28,19.88,19.93,5900281.0
2017-08-02,20.13,20.245,20.0054,20.18,2234126.0,0.0,1.0,20.13,20.245,20.0054,20.18,2234126.0
2017-08-01,20.43,20.47,19.94,20.23,7469170.0,0.0,1.0,20.43,20.47,19.94,20.23,7469170.0
2017-07-31,20.56,20.69,20.23,20.48,10616579.0,0.0,1.0,20.56,20.69,20.23,20.48,10616579.0
2017-07-28,20.22,20.88,20.11,20.54,7421923.0,0.0,1.0,20.22,20.88,20.11,20.54,7421923.0
2017-07-27,19.82,20.34,19.73,20.34,7277038.0,0.0,1.0,19.82,20.34,19.73,20.34,7277038.0
2017-07-26,19.55,19.95,19.49,19.81,4559534.0,0.0,1.0,19.55,19.95,19.49,19.81,4559534.0
2017-07-25,19.22,19.82,19.18,19.53,4167704.0,0.0,1.0,19.22,19.82,19.18,19.53,4167704.0
2017-07-24,18.95,19.21,18.85,19.18,4870649.0,0.0,1.0,18.95,19.21,18.85,19.18,4870649.0
2017-07-21,18.85,18.95,18.8,18.92,2223695.0,0.0,1.0,18.85,18.95,18.8,18.92,2223695.0
2017-07-20,18.79,18.96,18.6501,18.89,3046194.0,0.0,1.0,18.79,18.96,18.6501,18.89,3046194.0
2017-07-19,18.48,18.72,18.48,18.7,2170681.0,0.0,1.0,18.48,18.72,18.48,18.7,2170681.0
2017-07-18,18.42,18.64,18.38,18.5,2720734.0,0.0,1.0,18.42,18.64,18.38,18.5,2720734.0
2017-07-17,18.36,18.56,18.245,18.44,3279799.0,0.0,1.0,18.36,18.56,18.245,18.44,3279799.0
2017-07-14,18.33,18.41,18.28,18.38,3766793.0,0.0,1.0,18.33,18.41,18.28,18.38,3766793.0
2017-07-13,18.14,18.34,18.07,18.26,2163151.0,0.0,1.0,18.14,18.34,18.07,18.26,2163151.0
2017-07-12,18.35,18.4,18.04,18.15,3253658.0,0.0,1.0,18.35,18.4,18.04,18.15,3253658.0
2017-07-11,18.4,18.43,18.12,18.22,5823938.0,0.0,1.0,18.4,18.43,18.12,18.22,5823938.0
2017-07-10,18.82,18.885,18.35,18.43,3569325.0,0.0,1.0,18.82,18.885,18.35,18.43,3569325.0
2017-07-07,18.87,19.03,18.745,18.79,5807380.0,0.0,1.0,18.87,19.03,18.745,18.79,5807380.0
2017-07-06,18.79,18.875,18.63,18.79,5870441.0,0.0,1.0,18.79,18.875,18.63,18.79,5870441.0
2017-07-05,19.1,19.24,18.75,18.86,2589599.0,0.0,1.0,19.1,19.24,18.75,18.86,2589599.0
2017-07-03,18.81,19.25,18.76,19.14,1524636.0,0.0,1.0,18.81,19.25,18.76,19.14,1524636.0
2017-06-30,18.97,19.0805,18.72,18.76,4057738.0,0.0,1.0,18.97,19.0805,18.72,18.76,4057738.0
2017-06-29,18.83,18.92,18.54,18.9,4761059.0,0.0,1.0,18.83,18.92,18.54,18.9,4761059.0
2017-06-28,18.95,19.09,18.8,18.81,2918617.0,0.0,1.0,18.95,19.09,18.8,18.81,2918617.0
2017-06-27,19.14,19.18,18.82,18.82,3759282.0,0.0,1.0,19.14,19.18,18.82,18.82,3759282.0
2017-06-26,19.14,19.24,19.09,19.2,1996630.0,0.0,1.0,19.14,19.24,19.09,19.2,1996630.0
2017-06-23,19.08,19.23,18.9608,19.14,6348987.0,0.0,1.0,19.08,19.23,18.9608,19.14,6348987.0
2017-06-22,18.99,19.215,18.74,19.08,2748569.0,0.0,1.0,18.99,19.215,18.74,19.08,2748569.0
2017-06-21,19.11,19.125,18.82,18.98,3578829.0,0.0,1.0,19.11,19.125,18.82,18.98,3578829.0
2017-06-20,19.27,19.37,19.03,19.06,4936340.0,0.0,1.0,19.27,19.37,19.03,19.06,4936340.0
2017-06-19,19.09,19.42,19.05,19.31,5472764.0,0.0,1.0,19.09,19.42,19.05,19.31,5472764.0
2017-06-16,19.0,19.1,18.825,19.05,4211945.0,0.0,1.0,19.0,19.1,18.825,19.05,4211945.0
2017-06-15,19.18,19.3,18.93,19.0,3654751.0,0.0,1.0,19.18,19.3,18.93,19.0,3654751.0
2017-06-14,19.42,19.48,19.18,19.21,5050222.0,0.0,1.0,19.42,19.48,19.18,19.21,5050222.0
2017-06-13,19.3,19.35,18.97,19.34,3712077.0,0.0,1.0,19.3,19.35,18.97,19.34,3712077.0
2017-06-12,18.76,19.66,18.75,19.3,5651045.0,0.0,1.0,18.76,19.66,18.75,19.3,5651045.0
2017-06-09,18.62,18.79,18.48,18.74,4075049.0,0.0,1.0,18.62,18.79,18.48,18.74,4075049.0
2017-06-08,18.87,18.99,18.43,18.49,6031432.0,0.0,1.0,18.87,18.99,18.43,18.49,6031432.0
2017-06-07,19.03,19.12,18.77,18.83,2443673.0,0.0,1.0,19.03,19.12,18.77,18.83,2443673.0
2017-06-06,18.95,19.12,18.83,19.08,2845917.0,0.0,1.0,18.95,19.12,18.83,19.08,2845917.0
2017-06-05,19.15,19.2,18.88,19.01,2412598.0,0.0,1.0,19.15,19.2,18.88,19.01,2412598.0
2017-06-02,19.33,19.419,19.06,19.09,2818585.0,0.0,1.0,19.33,19.419,19.06,19.09,2818585.0
2017-06-01,19.08,19.35,18.93,19.32,5596910.0,0.0,1.0,19.08,19.35,18.93,19.32,5596910.0
2017-05-31,18.93,19.055,18.74,18.94,3796195.0,0.0,1.0,18.93,19.055,18.74,18.94,3796195.0
2017-05-30,19.06,19.09,18.86,18.87,3135784.0,0.0,1.0,19.06,19.09,18.86,18.87,3135784.0
2017-05-26,18.79,19.16,18.79,19.06,3887580.0,0.125,1.0,18.79,19.16,18.79,19.06,3887580.0
