Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,70.8,71.57,70.6,71.18,4555435.0,0.0,1.0,70.8,71.57,70.6,71.18,4555435.0
2017-08-03,67.83,70.05,67.72,69.95,5882713.0,0.0,1.0,67.83,70.05,67.72,69.95,5882713.0
2017-08-02,69.44,69.52,68.04,68.52,8021592.0,0.0,1.0,69.44,69.52,68.04,68.52,8021592.0
2017-08-01,69.39,70.015,69.39,69.51,4516814.0,0.0,1.0,69.39,70.015,69.39,69.51,4516814.0
2017-07-31,69.55,69.75,69.24,69.32,4589427.0,0.0,1.0,69.55,69.75,69.24,69.32,4589427.0
2017-07-28,69.54,69.9,69.18,69.32,3926121.0,0.0,1.0,69.54,69.9,69.18,69.32,3926121.0
2017-07-27,70.06,70.49,69.25,69.72,3359640.0,0.0,1.0,70.06,70.49,69.25,69.72,3359640.0
2017-07-26,70.21,70.45,69.89,70.05,2206134.0,0.0,1.0,70.21,70.45,69.89,70.05,2206134.0
2017-07-25,69.96,70.35,69.73,69.97,2599264.0,0.0,1.0,69.96,70.35,69.73,69.97,2599264.0
2017-07-24,69.96,70.06,69.64,69.96,3488191.0,0.0,1.0,69.96,70.06,69.64,69.96,3488191.0
2017-07-21,69.67,70.06,69.6,69.98,2889434.0,0.0,1.0,69.67,70.06,69.6,69.98,2889434.0
2017-07-20,69.75,70.3,69.63,69.96,2617141.0,0.0,1.0,69.75,70.3,69.63,69.96,2617141.0
2017-07-19,68.8,69.5,68.65,69.5,2798153.0,0.0,1.0,68.8,69.5,68.65,69.5,2798153.0
2017-07-18,68.78,68.955,68.42,68.79,2436399.0,0.0,1.0,68.78,68.955,68.42,68.79,2436399.0
2017-07-17,68.78,68.999,68.52,68.89,2507078.0,0.0,1.0,68.78,68.999,68.52,68.89,2507078.0
2017-07-14,68.28,68.91,68.13,68.83,3136578.0,0.0,1.0,68.28,68.91,68.13,68.83,3136578.0
2017-07-13,68.26,68.26,67.61,67.9,3844920.0,0.0,1.0,68.26,68.26,67.61,67.9,3844920.0
2017-07-12,68.05,68.37,67.91,68.13,3177122.0,0.0,1.0,68.05,68.37,67.91,68.13,3177122.0
2017-07-11,67.18,67.66,67.06,67.6,1904071.0,0.0,1.0,67.18,67.66,67.06,67.6,1904071.0
2017-07-10,66.99,67.32,66.65,67.28,2212407.0,0.0,1.0,66.99,67.32,66.65,67.28,2212407.0
2017-07-07,66.4,67.32,66.3722,66.96,2529468.0,0.0,1.0,66.4,67.32,66.3722,66.96,2529468.0
2017-07-06,66.46,66.685,66.05,66.29,2362431.0,0.0,1.0,66.46,66.685,66.05,66.29,2362431.0
2017-07-05,66.81,67.25,66.14,66.89,2612864.0,0.0,1.0,66.81,67.25,66.14,66.89,2612864.0
2017-07-03,66.93,66.98,66.4,66.7,1294308.0,0.0,1.0,66.93,66.98,66.4,66.7,1294308.0
2017-06-30,66.55,66.9,66.17,66.4,3926885.0,0.0,1.0,66.55,66.9,66.17,66.4,3926885.0
2017-06-29,67.02,67.16,65.6,66.14,3701709.0,0.0,1.0,67.02,67.16,65.6,66.14,3701709.0
2017-06-28,66.81,67.24,66.53,67.03,4151718.0,0.0,1.0,66.81,67.24,66.53,67.03,4151718.0
2017-06-27,67.31,67.68,66.52,66.53,3051721.0,0.0,1.0,67.31,67.68,66.52,66.53,3051721.0
2017-06-26,67.8,68.1,67.31,67.46,3139926.0,0.0,1.0,67.8,68.1,67.31,67.46,3139926.0
2017-06-23,67.02,67.775,66.86,67.38,4543882.0,0.0,1.0,67.02,67.775,66.86,67.38,4543882.0
2017-06-22,67.89,68.11,66.87,67.12,5048381.0,0.0,1.0,67.89,68.11,66.87,67.12,5048381.0
2017-06-21,67.34,68.18,67.14,67.91,3428438.0,0.0,1.0,67.34,68.18,67.14,67.91,3428438.0
2017-06-20,67.01,67.72,67.01,67.27,2722760.0,0.0,1.0,67.01,67.72,67.01,67.27,2722760.0
2017-06-19,66.85,67.455,66.85,67.4,3263657.0,0.0,1.0,66.85,67.455,66.85,67.4,3263657.0
2017-06-16,66.13,66.64,65.87,66.59,10421517.0,0.0,1.0,66.13,66.64,65.87,66.59,10421517.0
2017-06-15,66.11,66.545,65.79,66.39,4005733.0,0.0,1.0,66.11,66.545,65.79,66.39,4005733.0
2017-06-14,66.44,66.93,65.94,66.47,3198388.0,0.0,1.0,66.44,66.93,65.94,66.47,3198388.0
2017-06-13,66.43,66.64,65.8,66.43,4601221.0,0.0,1.0,66.43,66.64,65.8,66.43,4601221.0
2017-06-12,65.91,66.33,65.59,66.29,4236225.0,0.0,1.0,65.91,66.33,65.59,66.29,4236225.0
