Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,109.43,110.2,109.43,110.11,4643512.0,0.0,1.0,109.43,110.2,109.43,110.11,4643512.0
2017-08-03,110.23,110.45,109.05,109.43,5604427.0,0.0,1.0,110.23,110.45,109.05,109.43,5604427.0
2017-08-02,110.39,111.195,109.85,110.46,6212303.0,0.0,1.0,110.39,111.195,109.85,110.46,6212303.0
2017-08-01,109.54,110.97,109.42,110.78,8162875.0,0.0,1.0,109.54,110.97,109.42,110.78,8162875.0
2017-07-31,108.39,110.0,108.15,109.19,7561205.0,0.0,1.0,108.39,110.0,108.15,109.19,7561205.0
2017-07-28,106.71,109.13,106.36,108.12,7812602.0,0.0,1.0,106.71,109.13,106.36,108.12,7812602.0
2017-07-27,104.88,106.3166,104.61,106.11,5888389.0,0.0,1.0,104.88,106.3166,104.61,106.11,5888389.0
2017-07-26,104.63,106.08,104.2,105.12,5881400.0,0.0,1.0,104.63,106.08,104.2,105.12,5881400.0
2017-07-25,104.45,105.15,104.32,104.39,7093841.0,0.0,1.0,104.45,105.15,104.32,104.39,7093841.0
2017-07-24,103.18,103.57,102.92,103.2,4080277.0,0.0,1.0,103.18,103.57,102.92,103.2,4080277.0
2017-07-21,104.18,104.38,103.15,103.25,5304114.0,0.0,1.0,104.18,104.38,103.15,103.25,5304114.0
2017-07-20,105.0,105.37,103.815,104.63,5367535.0,0.0,1.0,105.0,105.37,103.815,104.63,5367535.0
2017-07-19,103.56,104.48,103.51,104.46,4932033.0,0.0,1.0,103.56,104.48,103.51,104.46,4932033.0
2017-07-18,104.6,104.6,103.51,103.72,4339385.0,0.0,1.0,104.6,104.6,103.51,103.72,4339385.0
2017-07-17,104.32,104.97,104.08,104.21,5570639.0,0.0,1.0,104.32,104.97,104.08,104.21,5570639.0
2017-07-14,104.38,104.64,103.73,104.44,3644262.0,0.0,1.0,104.38,104.64,103.73,104.44,3644262.0
2017-07-13,103.8,104.21,103.46,104.13,4439131.0,0.0,1.0,103.8,104.21,103.46,104.13,4439131.0
2017-07-12,104.0,104.75,103.47,103.89,3978070.0,0.0,1.0,104.0,104.75,103.47,103.89,3978070.0
2017-07-11,103.15,103.5,102.55,103.12,4322332.0,0.0,1.0,103.15,103.5,102.55,103.12,4322332.0
2017-07-10,103.44,103.581,102.6,103.04,4629028.0,0.0,1.0,103.44,103.581,102.6,103.04,4629028.0
2017-07-07,103.59,103.76,102.81,103.49,6456968.0,0.0,1.0,103.59,103.76,102.81,103.49,6456968.0
2017-07-06,104.67,105.13,103.71,103.82,5084808.0,0.0,1.0,104.67,105.13,103.71,103.82,5084808.0
2017-07-05,105.99,106.3,104.27,104.62,4482676.0,0.0,1.0,105.99,106.3,104.27,104.62,4482676.0
2017-07-03,104.24,106.96,104.24,106.3,4419061.0,0.0,1.0,104.24,106.96,104.24,106.3,4419061.0
2017-06-30,104.53,104.72,103.89,104.33,5496922.0,0.0,1.0,104.53,104.72,103.89,104.33,5496922.0
2017-06-29,104.38,105.15,104.05,104.12,4288630.0,0.0,1.0,104.38,105.15,104.05,104.12,4288630.0
2017-06-28,104.43,104.9,104.04,104.28,4162306.0,0.0,1.0,104.43,104.9,104.04,104.28,4162306.0
2017-06-27,104.73,104.89,104.03,104.07,4170294.0,0.0,1.0,104.73,104.89,104.03,104.07,4170294.0
2017-06-26,105.03,105.19,104.03,104.14,3602490.0,0.0,1.0,105.03,105.19,104.03,104.14,3602490.0
2017-06-23,104.25,105.42,104.24,105.0,5773319.0,0.0,1.0,104.25,105.42,104.24,105.0,5773319.0
2017-06-22,104.48,105.14,104.04,104.45,4197378.0,0.0,1.0,104.48,105.14,104.04,104.45,4197378.0
2017-06-21,105.89,106.9,103.92,104.49,6989385.0,0.0,1.0,105.89,106.9,103.92,104.49,6989385.0
2017-06-20,106.25,106.6,105.38,106.48,5171238.0,0.0,1.0,106.25,106.6,105.38,106.48,5171238.0
2017-06-19,108.31,108.38,107.14,107.46,4577407.0,0.0,1.0,108.31,108.38,107.14,107.46,4577407.0
2017-06-16,106.94,108.36,106.21,108.35,11633919.0,0.0,1.0,106.94,108.36,106.21,108.35,11633919.0
2017-06-15,106.5,106.8,105.87,106.33,5441421.0,0.0,1.0,106.5,106.8,105.87,106.33,5441421.0
2017-06-14,107.91,107.99,105.74,106.6,6198165.0,0.0,1.0,107.91,107.99,105.74,106.6,6198165.0
2017-06-13,108.34,108.49,107.16,108.13,6099745.0,0.0,1.0,108.34,108.49,107.16,108.13,6099745.0
2017-06-12,107.42,108.43,107.2846,108.04,8690221.0,0.0,1.0,107.42,108.43,107.2846,108.04,8690221.0
2017-06-09,104.01,106.49,104.01,106.4,6595555.0,0.0,1.0,104.01,106.49,104.01,106.4,6595555.0
2017-06-08,103.44,104.74,103.44,104.0,6493595.0,0.0,1.0,103.44,104.74,103.44,104.0,6493595.0
2017-06-07,103.97,104.43,102.55,103.77,7196736.0,0.0,1.0,103.97,104.43,102.55,103.77,7196736.0
2017-06-06,103.11,104.45,102.76,104.17,4683859.0,0.0,1.0,103.11,104.45,102.76,104.17,4683859.0
2017-06-05,102.8,103.58,102.6301,103.19,4523327.0,0.0,1.0,102.8,103.58,102.6301,103.19,4523327.0
2017-06-02,103.82,103.94,102.77,103.11,5864015.0,0.0,1.0,103.82,103.94,102.77,103.11,5864015.0
2017-06-01,103.69,104.28,103.43,104.27,4769089.0,0.0,1.0,103.69,104.28,103.43,104.27,4769089.0
2017-05-31,103.55,103.89,103.07,103.48,8037936.0,0.0,1.0,103.55,103.89,103.07,103.48,8037936.0
2017-05-30,104.35,104.7105,103.7505,104.06,4287956.0,0.0,1.0,104.35,104.7105,103.7505,104.06,4287956.0
2017-05-26,105.05,105.285,104.6,104.72,3752505.0,0.0,1.0,105.05,105.285,104.6,104.72,3752505.0
2017-05-25,106.1,106.71,104.72,105.11,5292877.0,0.0,1.0,106.1,106.71,104.72,105.11,5292877.0
2017-05-24,106.1,106.36,105.725,106.22,3475866.0,0.0,1.0,106.1,106.36,105.725,106.22,3475866.0
2017-05-23,106.07,106.56,105.98,106.27,3457120.0,0.0,1.0,106.07,106.56,105.98,106.27,3457120.0
2017-05-22,107.09,107.09,105.75,106.12,4491132.0,0.0,1.0,107.09,107.09,105.75,106.12,4491132.0
2017-05-19,105.52,106.52,105.17,106.52,8383478.0,0.0,1.0,105.52,106.52,105.17,106.52,8383478.0
2017-05-18,104.55,105.68,103.84,105.17,5618081.0,0.0,1.0,104.55,105.68,103.84,105.17,5618081.0
2017-05-17,105.53,106.27,104.62,104.7,6384265.0,1.08,1.0,105.53,106.27,104.62,104.7,6384265.0
2017-05-16,107.57,107.66,106.94,107.25,5001388.0,0.0,1.0,106.471724334,106.560805445,105.848156551,106.154991492,5001388.0
2017-05-15,107.15,107.71,106.675,106.85,6622659.0,0.0,1.0,106.056012479,106.610294952,105.585862167,105.75907544,6622659.0
2017-05-12,106.06,106.2887,105.48,105.96,4488164.0,0.0,1.0,104.977141237,105.203506239,104.403062961,104.878162223,4488164.0
2017-05-11,107.08,107.08,105.63,106.21,4632113.0,0.0,1.0,105.98672717,105.98672717,104.55153148,105.125609756,4632113.0
2017-05-10,105.819,106.83,105.54,106.5,5582820.0,0.0,1.0,104.738601815,105.739279637,104.462450369,105.412648894,5582820.0
2017-05-09,106.51,106.75,104.815,105.08,5023973.0,0.0,1.0,105.422546795,105.660096427,103.744852524,104.007146909,5023973.0
2017-05-08,105.93,106.72,105.82,106.68,5175129.0,0.0,1.0,104.84846852,105.630402723,104.739591605,105.590811117,5175129.0
2017-05-05,104.92,105.885,104.7,105.79,5060047.0,0.0,1.0,103.848780488,104.803927964,103.631026659,104.709897901,5060047.0
2017-05-04,106.24,106.33,104.14,104.81,8039858.0,0.0,1.0,105.15530346,105.244384572,103.076744186,103.739903573,8039858.0
2017-05-03,105.36,107.26,105.13,106.72,5662453.0,0.0,1.0,104.284288145,106.164889393,104.056636415,105.630402723,5662453.0
2017-05-02,106.11,106.53,105.09,105.36,5112150.0,0.0,1.0,105.026630743,105.442342598,104.01704481,104.284288145,5112150.0
2017-05-01,106.26,106.73,105.76,105.92,4955462.0,0.0,1.0,105.175099263,105.640300624,104.680204197,104.838570618,4955462.0
2017-04-28,107.05,107.6,105.99,106.7,6848413.0,0.0,1.0,105.957033466,106.501418037,104.907855927,105.61060692,6848413.0
2017-04-27,105.96,105.98,104.67,105.47,5781839.0,0.0,1.0,104.878162223,104.897958026,103.601332955,104.39316506,5781839.0
2017-04-26,106.4,107.48,105.97,106.08,6687389.0,0.0,1.0,105.313669881,106.382643222,104.888060125,104.996937039,6687389.0
2017-04-25,106.3,106.97,106.18,106.73,4618984.0,0.0,1.0,105.214690868,105.877850255,105.095916052,105.640300624,4618984.0
2017-04-24,105.79,106.41,105.37,105.93,4538203.0,0.0,1.0,104.709897901,105.323567782,104.294186047,104.84846852,4538203.0
2017-04-21,104.8,105.43,104.29,104.89,5432604.0,0.0,1.0,103.730005672,104.353573454,103.225212706,103.819086784,5432604.0
2017-04-20,104.4,105.69,104.36,104.88,4987980.0,0.0,1.0,103.33408962,104.610918888,103.294498015,103.809188883,4987980.0
2017-04-19,105.89,106.14,103.83,104.23,6667880.0,0.0,1.0,104.808876914,105.056324447,102.769909246,103.165825298,6667880.0
2017-04-18,105.81,106.68,105.321,105.68,4252670.0,0.0,1.0,104.729693704,105.590811117,104.24568633,104.601020987,4252670.0
