Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,74.75,74.935,74.1,74.86,1378804.0,0.0,1.0,74.75,74.935,74.1,74.86,1378804.0
2017-08-03,74.84,75.37,74.43,74.49,1699783.0,0.0,1.0,74.84,75.37,74.43,74.49,1699783.0
2017-08-02,75.31,75.99,74.61,74.71,3023325.0,0.0,1.0,75.31,75.99,74.61,74.71,3023325.0
2017-08-01,75.58,76.5,75.22,75.52,3175447.0,0.0,1.0,75.58,76.5,75.22,75.52,3175447.0
2017-07-31,75.13,75.53,74.34,75.16,1583011.0,0.0,1.0,75.13,75.53,74.34,75.16,1583011.0
2017-07-28,74.78,75.27,74.07,74.75,2045529.0,0.0,1.0,74.78,75.27,74.07,74.75,2045529.0
2017-07-27,74.6,75.2799,74.09,75.12,2295764.0,0.0,1.0,74.6,75.2799,74.09,75.12,2295764.0
2017-07-26,73.45,74.67,72.92,74.6,2163399.0,0.0,1.0,73.45,74.67,72.92,74.6,2163399.0
2017-07-25,72.24,73.98,71.86,73.57,1804616.0,0.0,1.0,72.24,73.98,71.86,73.57,1804616.0
2017-07-24,71.98,72.3,71.55,71.98,2108622.0,0.0,1.0,71.98,72.3,71.55,71.98,2108622.0
2017-07-21,71.25,72.39,71.05,72.2,3191825.0,0.0,1.0,71.25,72.39,71.05,72.2,3191825.0
2017-07-20,71.59,71.68,71.03,71.35,2166759.0,0.0,1.0,71.59,71.68,71.03,71.35,2166759.0
2017-07-19,71.01,71.55,70.84,71.39,1588149.0,0.0,1.0,71.01,71.55,70.84,71.39,1588149.0
2017-07-18,71.64,71.69,70.45,70.8,1921379.0,0.0,1.0,71.64,71.69,70.45,70.8,1921379.0
2017-07-17,71.14,72.47,71.01,71.87,2210906.0,0.0,1.0,71.14,72.47,71.01,71.87,2210906.0
2017-07-14,70.6,71.38,70.57,71.14,3156418.0,0.0,1.0,70.6,71.38,70.57,71.14,3156418.0
2017-07-13,70.55,71.28,70.41,70.58,3073488.0,0.0,1.0,70.55,71.28,70.41,70.58,3073488.0
2017-07-12,69.41,69.95,69.11,69.69,3121622.0,0.0,1.0,69.41,69.95,69.11,69.69,3121622.0
2017-07-11,69.5,69.95,68.89,69.04,7778346.0,0.0,1.0,69.5,69.95,68.89,69.04,7778346.0
2017-07-10,70.02,70.15,68.69,69.49,3478408.0,0.0,1.0,70.02,70.15,68.69,69.49,3478408.0
2017-07-07,70.14,70.549,69.75,70.23,1562953.0,0.26,1.0,70.14,70.549,69.75,70.23,1562953.0
2017-07-06,71.08,71.22,69.86,70.03,1811045.0,0.0,1.0,70.8178238048,70.9573074195,69.6023237339,69.7716966946,1811045.0
2017-07-05,72.01,72.285,70.83,71.24,2707898.0,0.0,1.0,71.744393531,72.0183792027,70.5687459214,70.9772336502,2707898.0
2017-07-03,72.53,73.0,71.67,71.93,1222341.0,0.0,1.0,72.2624755284,72.7307419492,71.4056476096,71.6646886083,1222341.0
2017-06-30,71.3,72.49,71.05,72.09,2808808.0,0.0,1.0,71.0370123422,72.2226230671,70.7879344588,71.8240984537,2808808.0
2017-06-29,71.48,71.81,70.625,70.84,2957089.0,0.0,1.0,71.2163484182,71.5451312243,70.364502057,70.5787090367,2957089.0
2017-06-28,71.27,72.06,70.75,71.48,2543579.0,0.0,1.0,71.0071229962,71.7942091077,70.4890409987,71.2163484182,2543579.0
2017-06-27,70.25,71.92,70.2,70.79,2724298.0,0.0,1.0,69.9908852319,71.654725493,69.9410696553,70.5288934601,2724298.0
2017-06-26,70.06,70.96,69.51,70.41,3159466.0,0.0,1.0,69.8015860406,70.6982664208,69.2536146971,70.1502950773,3159466.0
2017-06-23,70.93,71.12,69.51,69.75,7813427.0,0.0,1.0,70.6683770748,70.8576762661,69.2536146971,69.4927294652,7813427.0
2017-06-22,71.5,71.7,70.695,71.08,2529915.0,0.0,1.0,71.2362746489,71.4355369556,70.4342438644,70.8178238048,2529915.0
2017-06-21,71.38,72.38,71.23,71.73,3029999.0,0.0,1.0,71.1167172649,72.1130287984,70.9672705348,71.4654263016,3029999.0
2017-06-20,71.87,72.73,71.31,71.4,3961982.0,0.0,1.0,71.6049099163,72.4617378352,71.0469754575,71.1366434955,3961982.0
2017-06-19,70.83,72.24,69.91,71.7,6080250.0,0.0,1.0,70.5687459214,71.9735451837,69.6521393105,71.4355369556,6080250.0
2017-06-16,68.12,71.37,65.97,70.12,11914546.0,0.0,1.0,67.8687416655,71.1067541495,65.7266718684,69.8613647326,11914546.0
2017-06-15,74.83,74.92,71.55,72.32,4307396.0,0.0,1.0,74.5539920556,74.6436600936,71.2860902256,72.0532501064,4307396.0
2017-06-14,75.77,75.95,74.73,75.66,1318419.0,0.0,1.0,75.4905248971,75.6698609732,74.4543609023,75.3809306285,1318419.0
2017-06-13,75.2,75.99,74.63,75.71,1396072.0,0.0,1.0,74.922627323,75.7097134345,74.3547297489,75.4307462051,1396072.0
2017-06-12,75.17,76.55,74.6,75.11,2667395.0,0.0,1.0,74.892737977,76.2676478933,74.3248404029,74.832959285,2667395.0
2017-06-09,73.95,75.36,73.17,75.22,3214528.0,0.0,1.0,73.6772379061,75.0820371684,72.9001149099,74.9425535537,3214528.0
2017-06-08,74.54,75.21,73.6,73.69,2608180.0,0.0,1.0,74.2650617109,74.9325904384,73.3285288693,73.4181969074,2608180.0
2017-06-07,75.67,75.76,73.93,74.07,4425287.0,0.0,1.0,75.3908937438,75.4805617818,73.6573116754,73.7967952901,4425287.0
2017-06-06,77.11,77.23,75.05,75.34,5015848.0,0.0,1.0,76.8255823521,76.9451397361,74.773180593,75.0621109377,5015848.0
2017-06-05,78.6,79.0,77.585,78.31,2651983.0,0.0,1.0,78.3100865371,78.7086111505,77.2988303305,78.0211561924,2651983.0
2017-06-02,78.61,79.28,77.84,78.91,3897846.0,0.0,1.0,78.3200496524,78.9875783799,77.5528897716,78.6189431125,3897846.0
2017-06-01,75.82,78.2,75.51,78.19,7589163.0,0.0,1.0,75.5403404738,77.9115619237,75.2314838984,77.9015988083,7589163.0
2017-05-31,73.16,73.48,71.77,73.39,4117851.0,0.0,1.0,72.8901517946,73.2089714853,71.5052787629,73.1193034473,4117851.0
2017-05-30,72.11,73.26,71.89,73.02,2348446.0,0.0,1.0,71.8440246844,72.9897829479,71.624836147,72.7506681799,2348446.0
2017-05-26,72.66,72.86,71.68,72.32,1617843.0,0.0,1.0,72.3919960278,72.5912583345,71.4156107249,72.0532501064,1617843.0
2017-05-25,70.01,73.48,69.53,72.47,4528981.0,0.0,1.0,69.7517704639,73.2089714853,69.2735409278,72.2026968364,4528981.0
2017-05-24,70.66,70.68,69.14,70.21,3853528.0,0.0,1.0,70.3993729607,70.4192991914,68.8849794297,69.9510327706,3853528.0
2017-05-23,72.48,72.48,70.511,70.71,4092435.0,0.0,1.0,72.2126599518,72.2126599518,70.2509225422,70.4491885374,4092435.0
2017-05-22,71.88,72.685,71.5,72.45,1410588.0,0.0,1.0,71.6148730316,72.4169038161,71.2362746489,72.1827706058,1410588.0
2017-05-19,71.38,72.08,70.32,71.95,2970989.0,0.0,1.0,71.1167172649,71.8141353383,70.0606270393,71.684614839,2970989.0
2017-05-18,70.79,71.49,70.48,71.13,2472020.0,0.0,1.0,70.5288934601,71.2263115336,70.2200368847,70.8676393815,2472020.0
2017-05-17,70.82,71.5,70.63,70.67,2681240.0,0.0,1.0,70.5587828061,71.2362746489,70.3694836147,70.409336076,2681240.0
2017-05-16,71.72,71.72,70.51,70.94,2267975.0,0.0,1.0,71.4554631863,71.4554631863,70.2499262307,70.6783401901,2267975.0
2017-05-15,71.7,72.55,71.51,71.72,1899237.0,0.0,1.0,71.4355369556,72.2824017591,71.2462377642,71.4554631863,1899237.0
2017-05-12,71.59,72.0,70.82,71.58,1904589.0,0.0,1.0,71.3259426869,71.7344304157,70.5587828061,71.3159795716,1904589.0
2017-05-11,73.25,73.9,71.71,72.06,2804281.0,0.0,1.0,72.9798198326,73.6274223294,71.4455000709,71.7942091077,2804281.0
2017-05-10,73.58,74.29,73.3,73.91,2211504.0,0.0,1.0,73.3086026387,74.0159838275,73.0296354093,73.6373854447,2211504.0
2017-05-09,73.28,73.9,73.1501,73.69,2232185.0,0.0,1.0,73.0097091786,73.6274223294,72.8802883104,73.4181969074,2232185.0
2017-05-08,73.67,73.88,73.26,73.69,1352116.0,0.0,1.0,73.3982706767,73.6074960987,72.9897829479,73.4181969074,1352116.0
