Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,107.82,107.82,106.36,106.97,618593.0,0.0,1.0,107.82,107.82,106.36,106.97,618593.0
2017-08-03,107.76,108.32,107.3,107.56,647964.0,0.0,1.0,107.76,108.32,107.3,107.56,647964.0
2017-08-02,108.23,108.27,107.28,107.97,735187.0,0.0,1.0,108.23,108.27,107.28,107.97,735187.0
2017-08-01,108.57,109.21,108.3,108.34,731308.0,0.0,1.0,108.57,109.21,108.3,108.34,731308.0
2017-07-31,109.61,109.76,108.25,108.31,755487.0,0.0,1.0,109.61,109.76,108.25,108.31,755487.0
2017-07-28,109.1,109.6,108.61,109.51,617305.0,0.0,1.0,109.1,109.6,108.61,109.51,617305.0
2017-07-27,108.22,109.7,107.5401,108.99,990863.0,0.0,1.0,108.22,109.7,107.5401,108.99,990863.0
2017-07-26,108.4,110.8,108.16,108.22,1468666.0,0.0,1.0,108.4,110.8,108.16,108.22,1468666.0
2017-07-25,108.0,108.735,105.07,108.18,1775977.0,0.0,1.0,108.0,108.735,105.07,108.18,1775977.0
2017-07-24,109.26,109.65,108.61,109.44,1008010.0,0.0,1.0,109.26,109.65,108.61,109.44,1008010.0
2017-07-21,109.58,109.95,108.95,109.39,713028.0,0.0,1.0,109.58,109.95,108.95,109.39,713028.0
2017-07-20,110.05,110.35,109.32,109.65,1129011.0,0.0,1.0,110.05,110.35,109.32,109.65,1129011.0
2017-07-19,109.75,110.28,109.34,109.93,682219.0,0.0,1.0,109.75,110.28,109.34,109.93,682219.0
2017-07-18,109.67,109.84,108.89,109.61,795966.0,0.0,1.0,109.67,109.84,108.89,109.61,795966.0
2017-07-17,109.0,109.73,108.8897,109.66,520287.0,0.0,1.0,109.0,109.73,108.8897,109.66,520287.0
2017-07-14,108.71,109.36,108.45,109.03,635510.0,0.0,1.0,108.71,109.36,108.45,109.03,635510.0
2017-07-13,109.0,109.0,108.03,108.67,505787.0,0.0,1.0,109.0,109.0,108.03,108.67,505787.0
2017-07-12,109.05,109.42,108.7,108.9,647496.0,0.0,1.0,109.05,109.42,108.7,108.9,647496.0
