Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,81.53,81.53,80.915,81.01,2425291.0,0.0,1.0,81.53,81.53,80.915,81.01,2425291.0
2017-08-03,81.34,81.57,80.98,81.28,2506615.0,0.0,1.0,81.34,81.57,80.98,81.28,2506615.0
2017-08-02,80.8,81.595,80.59,81.28,4393258.0,0.0,1.0,80.8,81.595,80.59,81.28,4393258.0
2017-08-01,81.54,81.6359,80.78,80.82,2524967.0,0.0,1.0,81.54,81.6359,80.78,80.82,2524967.0
2017-07-31,81.64,81.98,81.4,81.49,2168216.0,0.0,1.0,81.64,81.98,81.4,81.49,2168216.0
2017-07-28,81.19,81.58,80.675,81.43,3018302.0,0.0,1.0,81.19,81.58,80.675,81.43,3018302.0
2017-07-27,82.42,82.43,80.85,81.16,4977282.0,0.0,1.0,82.42,82.43,80.85,81.16,4977282.0
2017-07-26,82.1,82.32,81.63,82.01,2812389.0,0.0,1.0,82.1,82.32,81.63,82.01,2812389.0
2017-07-25,83.28,83.49,81.89,81.99,4903517.0,0.0,1.0,83.28,83.49,81.89,81.99,4903517.0
2017-07-24,82.97,84.05,82.97,83.03,3089970.0,0.0,1.0,82.97,84.05,82.97,83.03,3089970.0
2017-07-21,83.02,83.4,82.52,83.05,3606106.0,0.0,1.0,83.02,83.4,82.52,83.05,3606106.0
2017-07-20,82.06,84.2,81.5,83.2,9551332.0,0.0,1.0,82.06,84.2,81.5,83.2,9551332.0
2017-07-19,85.52,85.89,85.29,85.79,2905318.0,0.0,1.0,85.52,85.89,85.29,85.79,2905318.0
2017-07-18,85.36,85.64,84.93,85.48,2862519.0,0.0,1.0,85.36,85.64,84.93,85.48,2862519.0
2017-07-17,85.14,85.95,84.92,85.47,3511104.0,0.0,1.0,85.14,85.95,84.92,85.47,3511104.0
2017-07-14,84.32,85.29,83.91,85.0,3060275.0,0.0,1.0,84.32,85.29,83.91,85.0,3060275.0
2017-07-13,83.26,84.53,83.16,84.26,4126026.0,0.0,1.0,83.26,84.53,83.16,84.26,4126026.0
2017-07-12,83.67,83.87,83.26,83.49,2914062.0,0.0,1.0,83.67,83.87,83.26,83.49,2914062.0
2017-07-11,82.65,83.36,82.405,83.1,2592979.0,0.0,1.0,82.65,83.36,82.405,83.1,2592979.0
2017-07-10,83.11,83.24,82.49,82.56,2974573.0,0.0,1.0,83.11,83.24,82.49,82.56,2974573.0
2017-07-07,83.2,83.25,82.94,83.07,2877291.0,0.0,1.0,83.2,83.25,82.94,83.07,2877291.0
2017-07-06,83.7,83.72,82.68,82.93,2875305.0,0.0,1.0,83.7,83.72,82.68,82.93,2875305.0
2017-07-05,84.23,84.37,83.87,84.09,2561602.0,0.0,1.0,84.23,84.37,83.87,84.09,2561602.0
2017-07-03,84.78,85.0,84.26,84.26,1051920.0,0.0,1.0,84.78,85.0,84.26,84.26,1051920.0
2017-06-30,84.28,84.68,84.08,84.39,2758857.0,0.0,1.0,84.28,84.68,84.08,84.39,2758857.0
2017-06-29,84.7,84.87,83.92,84.03,2404290.0,0.0,1.0,84.7,84.87,83.92,84.03,2404290.0
2017-06-28,85.04,85.15,84.595,84.72,2313257.0,0.14,1.0,85.04,85.15,84.595,84.72,2313257.0
2017-06-27,85.33,85.495,84.62,84.62,1656845.0,0.0,1.0,85.1892246052,85.3539523922,84.4803959463,84.4803959463,1656845.0
2017-06-26,85.7,85.935,85.435,85.47,1782231.0,0.0,1.0,85.5586141881,85.7932264907,85.2940513787,85.3289936366,1782231.0
2017-06-23,85.97,86.0197,85.07,85.66,4874774.0,0.0,1.0,85.8281687485,85.8777867547,84.929653547,85.5186801791,4874774.0
2017-06-22,86.43,86.74,85.94,85.96,2609394.0,0.0,1.0,86.2874098515,86.5968984209,85.7982182418,85.8181852463,2609394.0
2017-06-21,85.92,86.615,85.7,86.48,3242019.0,0.0,1.0,85.7782512373,86.4721046429,85.5586141881,86.3373273627,3242019.0
2017-06-20,85.29,86.12,85.14,85.68,2976426.0,0.0,1.0,85.1492905963,85.9779212821,84.9995380627,85.5386471836,2976426.0
2017-06-19,84.8,85.55,84.53,85.27,2321434.0,0.0,1.0,84.6600989866,85.4088616545,84.3905444261,85.1293235918,2321434.0
2017-06-16,84.61,85.02,84.255,84.48,4916863.0,0.0,1.0,84.470412444,84.8797360358,84.1159981145,84.3406269149,4916863.0
2017-06-15,84.09,84.39,83.65,84.38,2484244.0,0.0,1.0,83.9512703276,84.2507753948,83.5119962291,84.2407918925,2484244.0
2017-06-14,84.36,84.77,84.12,84.46,2332861.0,0.0,1.0,84.2208248881,84.6301484798,83.9812208343,84.3206599104,2332861.0
2017-06-13,84.17,84.45,83.98,84.17,3252649.0,0.0,1.0,84.0311383455,84.3106764082,83.841451803,84.0311383455,3252649.0
2017-06-12,84.56,84.925,83.82,84.07,2959143.0,0.0,1.0,84.4204949328,84.7848927646,83.6817157671,83.9313033231,2959143.0
2017-06-09,84.73,84.86,84.03,84.49,2527353.0,0.0,1.0,84.5902144709,84.72,83.8913693142,84.3506104172,2527353.0
2017-06-08,85.31,85.5,84.201,84.56,2574256.0,0.0,1.0,85.1692576008,85.3589441433,84.0620872025,84.4204949328,2574256.0
2017-06-07,85.31,85.86,85.31,85.43,2687713.0,0.0,1.0,85.1692576008,85.7183502239,85.1692576008,85.2890596276,2687713.0
2017-06-06,86.27,86.39,85.7,85.73,2571475.0,0.0,1.0,86.1276738157,86.2474758426,85.5586141881,85.5885646948,2571475.0
2017-06-05,86.8,86.88,86.51,86.53,1670996.0,0.0,1.0,86.6567994344,86.7366674523,86.3672778694,86.3872448739,1670996.0
2017-06-02,86.12,87.0,86.08,86.84,2480187.0,0.0,1.0,85.9779212821,86.8564694791,85.9379872732,86.6967334433,2480187.0
2017-06-01,85.27,86.48,85.02,86.1,3334098.0,0.0,1.0,85.1293235918,86.3373273627,84.8797360358,85.9579542776,3334098.0
2017-05-31,85.0,85.48,84.91,84.94,3838948.0,0.0,1.0,84.8597690313,85.3389771388,84.7699175112,84.7998680179,3838948.0
2017-05-30,84.19,84.95,83.91,84.81,2426407.0,0.0,1.0,84.05110535,84.8098515202,83.7715672873,84.6700824888,2426407.0
2017-05-26,84.31,84.52,84.045,84.4,1084109.0,0.0,1.0,84.1709073769,84.3805609239,83.9063445675,84.260758897,1084109.0
2017-05-25,83.95,84.62,83.66,84.51,1955294.0,0.0,1.0,83.8115012963,84.4803959463,83.5219797313,84.3705774216,1955294.0
2017-05-24,84.4,84.4,83.81,83.96,2209885.0,0.0,1.0,84.260758897,84.260758897,83.6717322649,83.8214847985,2209885.0
2017-05-23,83.3,84.7,83.17,83.95,2838911.0,0.0,1.0,83.1625736507,84.5602639642,83.0327881216,83.8115012963,2838911.0
2017-05-22,82.14,83.1,82.05,82.91,3444839.0,0.0,1.0,82.004487391,82.9629036059,81.9146358708,82.7732170634,3444839.0
2017-05-19,82.04,82.58,81.71,82.14,3108303.0,0.0,1.0,81.9046523686,82.4437614895,81.5751967947,82.004487391,3108303.0
2017-05-18,81.75,82.24,81.36,81.78,2689438.0,0.0,1.0,81.6151308037,82.1043224134,81.2257742164,81.6450813104,2689438.0
2017-05-17,82.5,82.665,81.85,81.9,2156221.0,0.0,1.0,82.3638934716,82.5286212585,81.7149658261,81.7648833373,2156221.0
2017-05-16,83.23,83.5,82.49,83.01,2005457.0,0.0,1.0,83.092689135,83.3622436955,82.3539099694,82.8730520858,2005457.0
2017-05-15,83.03,83.56,82.93,83.28,2747173.0,0.0,1.0,82.8930190903,83.4221447089,82.7931840679,83.1426066462,2747173.0
2017-05-12,82.62,83.09,82.56,82.84,2134388.0,0.0,1.0,82.4836954985,82.9529201037,82.423794485,82.7033325477,2134388.0
2017-05-11,83.01,83.21,82.47,82.78,1974731.0,0.0,1.0,82.8730520858,83.0727221306,82.3339429649,82.6434315343,1974731.0
2017-05-10,83.1,83.46,82.78,83.21,1748962.0,0.0,1.0,82.9629036059,83.3223096865,82.6434315343,83.0727221306,1748962.0
2017-05-09,83.29,83.62,83.02,83.17,2448674.0,0.0,1.0,83.1525901485,83.4820457224,82.883035588,83.0327881216,2448674.0
2017-05-08,83.89,83.9,83.39,83.39,3284716.0,0.0,1.0,83.7516002828,83.7615837851,83.2524251709,83.2524251709,3284716.0
2017-05-05,84.38,84.39,83.71,83.86,1632307.0,0.0,1.0,84.2407918925,84.2507753948,83.5718972425,83.7216497761,1632307.0
2017-05-04,82.78,84.14,82.78,84.08,2997440.0,0.0,1.0,82.6434315343,84.0011878388,82.6434315343,83.9412868254,2997440.0
2017-05-03,83.03,83.25,82.44,82.81,2217979.0,0.0,1.0,82.8930190903,83.1126561395,82.3039924582,82.673382041,2217979.0
2017-05-02,83.4,83.68,82.94,83.0,3742083.0,0.0,1.0,83.2624086731,83.5419467358,82.8031675701,82.8630685835,3742083.0
2017-05-01,83.57,83.9,83.12,83.13,4232737.0,0.0,1.0,83.4321282112,83.7615837851,82.9828706104,82.9928541127,4232737.0
2017-04-28,82.92,83.495,82.87,83.33,4264409.0,0.0,1.0,82.7832005656,83.3572519444,82.7332830544,83.1925241574,4264409.0
2017-04-27,83.17,83.3,82.78,82.91,2769594.0,0.0,1.0,83.0327881216,83.1625736507,82.6434315343,82.7732170634,2769594.0
2017-04-26,83.66,84.0,82.82,82.98,4874439.0,0.0,1.0,83.5219797313,83.8614188074,82.6833655432,82.8431015791,4874439.0
2017-04-25,82.8,83.54,82.65,83.3,6760446.0,0.0,1.0,82.6633985388,83.4021777045,82.5136460052,83.1625736507,6760446.0
2017-04-24,82.65,83.2,82.12,82.46,5328644.0,0.0,1.0,82.5136460052,83.0627386283,81.9845203865,82.3239594626,5328644.0
2017-04-21,82.89,83.15,81.575,81.7,7637358.0,0.0,1.0,82.7532500589,83.0128211171,81.4404195145,81.5652132925,7637358.0
2017-04-20,85.5,85.7668,82.85,82.89,8816964.0,0.0,1.0,85.3589441433,85.625303983,82.71331605,82.7532500589,8816964.0
