Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,86.61,87.23,86.3,86.54,2406304.0,0.0,1.0,86.61,87.23,86.3,86.54,2406304.0
2017-08-03,84.28,87.46,83.93,86.46,2324303.0,0.0,1.0,84.28,87.46,83.93,86.46,2324303.0
2017-08-02,83.25,84.67,83.1751,84.3,967838.0,0.0,1.0,83.25,84.67,83.1751,84.3,967838.0
2017-08-01,84.02,84.41,83.04,83.62,890915.0,0.0,1.0,84.02,84.41,83.04,83.62,890915.0
2017-07-31,84.21,84.555,83.76,84.0,646141.0,0.0,1.0,84.21,84.555,83.76,84.0,646141.0
2017-07-28,83.68,84.26,83.23,83.96,600372.0,0.0,1.0,83.68,84.26,83.23,83.96,600372.0
2017-07-27,83.44,83.93,83.11,83.86,1569477.0,0.0,1.0,83.44,83.93,83.11,83.86,1569477.0
2017-07-26,84.41,84.46,83.04,83.36,1039091.0,0.0,1.0,84.41,84.46,83.04,83.36,1039091.0
2017-07-25,84.83,84.94,83.65,84.28,1623606.0,0.0,1.0,84.83,84.94,83.65,84.28,1623606.0
2017-07-24,82.81,84.25,82.65,83.95,1483563.0,0.0,1.0,82.81,84.25,82.65,83.95,1483563.0
2017-07-21,82.69,83.2,81.91,82.87,1185977.0,0.0,1.0,82.69,83.2,81.91,82.87,1185977.0
2017-07-20,85.0,85.2,83.0,83.17,2363885.0,0.0,1.0,85.0,85.2,83.0,83.17,2363885.0
2017-07-19,84.63,85.31,83.92,85.2,2425151.0,0.0,1.0,84.63,85.31,83.92,85.2,2425151.0
2017-07-18,84.36,84.56,83.87,84.46,1088371.0,0.0,1.0,84.36,84.56,83.87,84.46,1088371.0
2017-07-17,84.46,84.94,84.15,84.47,881084.0,0.0,1.0,84.46,84.94,84.15,84.47,881084.0
2017-07-14,83.89,84.68,83.667,84.32,1482052.0,0.0,1.0,83.89,84.68,83.667,84.32,1482052.0
2017-07-13,84.61,84.6399,83.64,83.73,1181849.0,0.0,1.0,84.61,84.6399,83.64,83.73,1181849.0
2017-07-12,83.93,84.66,83.69,84.4,883026.0,0.0,1.0,83.93,84.66,83.69,84.4,883026.0
2017-07-11,83.31,83.75,82.68,83.21,1266668.0,0.0,1.0,83.31,83.75,82.68,83.21,1266668.0
2017-07-10,83.18,83.9,83.06,83.33,1471265.0,0.0,1.0,83.18,83.9,83.06,83.33,1471265.0
2017-07-07,82.02,83.27,81.9725,83.17,1514584.0,0.0,1.0,82.02,83.27,81.9725,83.17,1514584.0
2017-07-06,81.59,83.44,81.59,82.21,2110327.0,0.0,1.0,81.59,83.44,81.59,82.21,2110327.0
2017-07-05,81.99,82.345,80.9701,81.62,2289081.0,0.0,1.0,81.99,82.345,80.9701,81.62,2289081.0
2017-07-03,80.78,82.24,80.21,82.0,795899.0,0.0,1.0,80.78,82.24,80.21,82.0,795899.0
2017-06-30,79.32,80.93,79.26,80.22,1790583.0,0.0,1.0,79.32,80.93,79.26,80.22,1790583.0
2017-06-29,79.53,79.74,78.42,78.78,837551.0,0.0,1.0,79.53,79.74,78.42,78.78,837551.0
2017-06-28,78.84,79.52,78.67,79.3,992463.0,0.0,1.0,78.84,79.52,78.67,79.3,992463.0
2017-06-27,78.69,79.1,78.02,78.14,935106.0,0.0,1.0,78.69,79.1,78.02,78.14,935106.0
2017-06-26,78.72,79.3,78.24,78.7,1866260.0,0.0,1.0,78.72,79.3,78.24,78.7,1866260.0
2017-06-23,77.71,78.6,77.46,78.51,2249014.0,0.0,1.0,77.71,78.6,77.46,78.51,2249014.0
2017-06-22,77.77,78.25,76.86,77.74,2279999.0,0.0,1.0,77.77,78.25,76.86,77.74,2279999.0
2017-06-21,80.63,80.63,77.31,77.65,2867265.0,0.0,1.0,80.63,80.63,77.31,77.65,2867265.0
2017-06-20,82.17,82.25,80.58,80.95,1437194.0,0.0,1.0,82.17,82.25,80.58,80.95,1437194.0
2017-06-19,83.33,83.5,82.37,83.05,1308161.0,0.0,1.0,83.33,83.5,82.37,83.05,1308161.0
2017-06-16,82.18,82.95,81.82,82.94,1563795.0,0.0,1.0,82.18,82.95,81.82,82.94,1563795.0
2017-06-15,81.2,82.57,81.2,82.38,1483994.0,0.0,1.0,81.2,82.57,81.2,82.38,1483994.0
2017-06-14,83.49,83.49,81.45,81.8,1689725.0,0.0,1.0,83.49,83.49,81.45,81.8,1689725.0
2017-06-13,83.02,83.54,82.5,83.47,1073139.0,0.0,1.0,83.02,83.54,82.5,83.47,1073139.0
2017-06-12,83.36,83.9,82.23,82.85,1244152.0,0.0,1.0,83.36,83.9,82.23,82.85,1244152.0
2017-06-09,82.44,83.44,82.43,83.02,1307133.0,0.0,1.0,82.44,83.44,82.43,83.02,1307133.0
2017-06-08,82.58,83.47,81.98,82.38,1824081.0,0.0,1.0,82.58,83.47,81.98,82.38,1824081.0
2017-06-07,83.84,83.94,81.04,81.62,2185092.0,0.0,1.0,83.84,83.94,81.04,81.62,2185092.0
2017-06-06,82.96,83.8,82.64,83.71,1413367.0,0.0,1.0,82.96,83.8,82.64,83.71,1413367.0
2017-06-05,83.06,83.83,82.96,83.43,1346815.0,0.0,1.0,83.06,83.83,82.96,83.43,1346815.0
2017-06-02,83.48,83.73,82.85,83.15,1685361.0,0.0,1.0,83.48,83.73,82.85,83.15,1685361.0
2017-06-01,83.09,84.18,82.54,83.55,1061437.0,0.0,1.0,83.09,84.18,82.54,83.55,1061437.0
2017-05-31,82.99,83.13,81.64,82.55,1687018.0,0.0,1.0,82.99,83.13,81.64,82.55,1687018.0
2017-05-30,82.25,83.53,81.78,83.39,984765.0,0.0,1.0,82.25,83.53,81.78,83.39,984765.0
2017-05-26,81.75,82.55,81.61,82.5,1201802.0,0.44,1.0,81.75,82.55,81.61,82.5,1201802.0
2017-05-25,83.34,84.04,81.93,82.29,2140396.0,0.0,1.0,82.8978779841,83.5941644562,81.4953580902,81.8534482759,2140396.0
2017-05-24,83.46,83.78,82.98,83.24,1255102.0,0.0,1.0,83.0172413793,83.3355437666,82.5397877984,82.7984084881,1255102.0
2017-05-23,83.36,83.95,82.7,83.5,1441316.0,0.0,1.0,82.9177718833,83.5046419098,82.2612732095,83.0570291777,1441316.0
2017-05-22,83.49,84.4,82.92,83.15,1176717.0,0.0,1.0,83.0470822281,83.9522546419,82.4801061008,82.7088859416,1176717.0
2017-05-19,81.37,83.59,81.29,83.14,2519889.0,0.0,1.0,80.9383289125,83.1465517241,80.8587533156,82.698938992,2519889.0
2017-05-18,79.92,81.6,79.03,80.83,1350265.0,0.0,1.0,79.4960212202,81.1671087533,78.6107427056,80.401193634,1350265.0
2017-05-17,79.93,81.08,79.85,80.31,1413336.0,0.0,1.0,79.5059681698,80.649867374,79.4263925729,79.8839522546,1413336.0
2017-05-16,81.29,81.63,80.54,81.19,1576649.0,0.0,1.0,80.8587533156,81.1969496021,80.1127320955,80.7592838196,1576649.0
2017-05-15,80.6,82.04,80.6,81.32,2231564.0,0.0,1.0,80.1724137931,81.6047745358,80.1724137931,80.8885941645,2231564.0
2017-05-12,79.64,80.22,79.44,79.6,1636742.0,0.0,1.0,79.2175066313,79.7944297082,79.0185676393,79.1777188329,1636742.0
2017-05-11,79.78,79.99,78.71,79.89,1023250.0,0.0,1.0,79.3567639257,79.5656498674,78.2924403183,79.4661803714,1023250.0
2017-05-10,79.59,81.06,79.36,80.05,1775384.0,0.0,1.0,79.1677718833,80.6299734748,78.9389920424,79.625331565,1775384.0
2017-05-09,78.78,79.71,78.36,79.43,1746156.0,0.0,1.0,78.3620689655,79.2871352785,77.9442970822,79.0086206897,1746156.0
2017-05-08,78.67,79.34,78.3,78.83,1297408.0,0.0,1.0,78.2526525199,78.9190981432,77.8846153846,78.4118037135,1297408.0
2017-05-05,77.21,78.76,77.01,78.76,1252572.0,0.0,1.0,76.800397878,78.3421750663,76.6014588859,78.3421750663,1252572.0
2017-05-04,77.5,77.5532,76.47,77.06,1288646.0,0.0,1.0,77.0888594164,77.1417771883,76.0643236074,76.651193634,1288646.0
2017-05-03,77.62,77.66,76.56,77.43,1386660.0,0.0,1.0,77.2082228117,77.2480106101,76.1538461538,77.0192307692,1386660.0
2017-05-02,78.94,79.6,77.5,77.83,1380310.0,0.0,1.0,78.5212201592,79.1777188329,77.0888594164,77.4171087533,1380310.0
2017-05-01,79.21,79.25,78.03,78.56,1082116.0,0.0,1.0,78.7897877984,78.8295755968,77.6160477454,78.1432360743,1082116.0
2017-04-28,79.73,79.73,78.83,78.88,1741406.0,0.0,1.0,79.3070291777,79.3070291777,78.4118037135,78.4615384615,1741406.0
2017-04-27,80.9,80.9,79.34,79.64,1808050.0,0.0,1.0,80.4708222812,80.4708222812,78.9190981432,79.2175066313,1808050.0
2017-04-26,80.97,81.66,80.67,81.01,1639503.0,0.0,1.0,80.5404509284,81.2267904509,80.2420424403,80.5802387268,1639503.0
2017-04-25,81.12,81.87,80.55,81.27,1507693.0,0.0,1.0,80.6896551724,81.4356763926,80.1226790451,80.8388594164,1507693.0
2017-04-24,80.58,81.2,79.96,80.66,2071785.0,0.0,1.0,80.1525198939,80.7692307692,79.5358090186,80.2320954907,2071785.0
2017-04-21,79.95,80.11,78.05,79.32,2120926.0,0.0,1.0,79.525862069,79.6850132626,77.6359416446,78.899204244,2120926.0
2017-04-20,82.5,82.5,79.33,79.71,2841865.0,0.0,1.0,82.0623342175,82.0623342175,78.9091511936,79.2871352785,2841865.0
