Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,82.21,83.32,81.6301,83.15,1238064.0,0.0,1.0,82.21,83.32,81.6301,83.15,1238064.0
2017-08-03,84.07,84.07,82.01,82.08,1950101.0,0.0,1.0,84.07,84.07,82.01,82.08,1950101.0
2017-08-02,84.79,85.3,84.04,84.56,961741.0,0.0,1.0,84.79,85.3,84.04,84.56,961741.0
2017-08-01,84.2,85.23,83.7,84.8,1561407.0,0.0,1.0,84.2,85.23,83.7,84.8,1561407.0
2017-07-31,83.82,84.63,83.69,83.88,1492084.0,0.0,1.0,83.82,84.63,83.69,83.88,1492084.0
2017-07-28,83.86,84.15,82.62,83.85,2910277.0,0.0,1.0,83.86,84.15,82.62,83.85,2910277.0
2017-07-27,85.46,85.58,83.92,84.49,2883697.0,0.0,1.0,85.46,85.58,83.92,84.49,2883697.0
2017-07-26,87.2,87.27,85.4,85.83,1566064.0,0.0,1.0,87.2,87.27,85.4,85.83,1566064.0
2017-07-25,86.95,87.19,86.551,86.85,1710718.0,0.0,1.0,86.95,87.19,86.551,86.85,1710718.0
2017-07-24,88.5,88.585,86.55,86.63,2085546.0,0.0,1.0,88.5,88.585,86.55,86.63,2085546.0
2017-07-21,89.29,89.59,88.56,88.68,1142238.0,0.0,1.0,89.29,89.59,88.56,88.68,1142238.0
2017-07-20,89.85,90.24,89.51,89.57,733900.0,0.0,1.0,89.85,90.24,89.51,89.57,733900.0
2017-07-19,89.15,90.05,89.15,89.86,956691.0,0.0,1.0,89.15,90.05,89.15,89.86,956691.0
2017-07-18,89.74,89.78,88.69,89.04,779803.0,0.0,1.0,89.74,89.78,88.69,89.04,779803.0
2017-07-17,88.98,90.01,88.895,89.66,1095000.0,0.0,1.0,88.98,90.01,88.895,89.66,1095000.0
2017-07-14,88.73,89.37,88.44,88.95,1181434.0,0.0,1.0,88.73,89.37,88.44,88.95,1181434.0
2017-07-13,89.62,90.1,88.1975,88.57,1431426.0,0.0,1.0,89.62,90.1,88.1975,88.57,1431426.0
2017-07-12,89.47,90.24,89.375,89.61,1461248.0,0.0,1.0,89.47,90.24,89.375,89.61,1461248.0
2017-07-11,89.55,89.9,88.83,89.3,1077621.0,0.0,1.0,89.55,89.9,88.83,89.3,1077621.0
2017-07-10,90.05,90.485,89.01,89.25,1234115.0,0.0,1.0,90.05,90.485,89.01,89.25,1234115.0
2017-07-07,89.89,90.4573,89.34,90.17,1055690.0,0.0,1.0,89.89,90.4573,89.34,90.17,1055690.0
2017-07-06,89.38,90.33,89.01,89.68,1535063.0,0.63,1.0,89.38,90.33,89.01,89.68,1535063.0
2017-07-05,91.33,91.43,89.29,90.13,1790493.0,0.0,1.0,90.6928845089,90.7921869117,88.6671154911,89.5012556749,1790493.0
2017-07-03,90.69,91.57,90.51,91.34,842326.0,0.0,1.0,90.0573491308,90.9312102757,89.8786048057,90.7028147492,842326.0
2017-06-30,91.97,92.32,90.33,90.44,1693843.0,0.0,1.0,91.3284198871,91.675978297,89.6998604806,89.8090931237,1693843.0
2017-06-29,91.59,91.94,90.9,91.76,2030948.0,0.0,1.0,90.9510707563,91.2986291662,90.2658841767,91.1198848411,2030948.0
2017-06-28,93.16,93.3,91.15,91.56,2209445.0,0.0,1.0,92.5101184808,92.6491418448,90.5141401838,90.9212800354,2209445.0
2017-06-27,93.01,95.22,92.29,92.69,6178161.0,0.0,1.0,92.3611648765,94.5557479792,91.6461875761,92.0433971875,6178161.0
2017-06-26,89.54,90.565,89.33,90.08,3427260.0,0.0,1.0,88.9153714982,89.9332211272,88.7068364522,89.4516044735,3427260.0
2017-06-23,89.18,89.41,88.53,88.73,1753096.0,0.0,1.0,88.557882848,88.7862783745,87.9124172295,88.1110220352,1753096.0
2017-06-22,88.52,89.545,88.27,89.16,1116546.0,0.0,1.0,87.9024869893,88.9203366183,87.6542309822,88.5380223674,1116546.0
2017-06-21,88.77,89.315,88.03,88.28,1084984.0,0.0,1.0,88.1507429963,88.6919410918,87.4159052154,87.6641612225,1084984.0
2017-06-20,90.14,90.31,88.63,88.68,1142355.0,0.0,1.0,89.5111859152,89.68,88.0117196324,88.0613708338,1142355.0
2017-06-19,89.5,90.68,89.39,90.57,1082313.0,0.0,1.0,88.875650537,90.0474188905,88.7664178939,89.9381862474,1082313.0
2017-06-16,89.33,89.57,88.53,89.3,1829475.0,0.0,1.0,88.7068364522,88.945162219,87.9124172295,88.6770457314,1829475.0
2017-06-15,90.26,90.68,89.27,89.8,1471830.0,0.0,1.0,89.6303487986,90.0474188905,88.6472550105,89.1735577455,1471830.0
2017-06-14,90.01,90.83,89.84,90.47,1606952.0,0.0,1.0,89.3820927915,90.1963724947,89.2132787067,89.8388838445,1606952.0
2017-06-13,91.07,91.26,89.83,90.02,2548159.0,0.0,1.0,90.4346982615,90.6233728269,89.2033484664,89.3920230318,2548159.0
2017-06-12,92.02,92.68,91.774,91.94,1224145.0,0.0,1.0,91.3780710885,92.0334669472,91.1337871775,91.2986291662,1224145.0
2017-06-09,92.12,92.785,91.58,92.12,1103126.0,0.0,1.0,91.4773734913,92.1377344702,90.941140516,91.4773734913,1103126.0
2017-06-08,92.34,92.88,91.7,91.85,1072109.0,0.0,1.0,91.6958387775,92.2320717529,91.0603033994,91.2092570037,1072109.0
2017-06-07,92.0,93.02,92.0,92.05,1314302.0,0.0,1.0,91.3582106079,92.3710951168,91.3582106079,91.4078618093,1314302.0
2017-06-06,91.69,92.37,91.605,91.98,1242459.0,0.0,1.0,91.0503731591,91.7256294984,90.9659661167,91.3383501273,1242459.0
2017-06-05,91.0,92.29,90.96,91.82,1336260.0,0.0,1.0,90.3651865796,91.6461875761,90.3254656184,91.1794662828,1336260.0
2017-06-02,90.29,91.75,90.16,91.3,1104307.0,0.0,1.0,89.6601395194,91.1099546008,89.5310463957,90.6630937881,1104307.0
2017-06-01,89.0,90.09,88.63,90.09,1273510.0,0.0,1.0,88.3791385229,89.4615347138,88.0117196324,89.4615347138,1273510.0
2017-05-31,87.57,88.95,86.82,88.93,2049953.0,0.0,1.0,86.9591141623,88.3294873214,86.2143461411,88.3096268409,2049953.0
2017-05-30,87.8,87.9,87.27,87.49,817662.0,0.0,1.0,87.1875096888,87.2868120917,86.6612069538,86.8796722401,817662.0
2017-05-26,88.1,88.34,87.655,87.95,708442.0,0.0,1.0,87.4854168974,87.7237426642,87.0435212047,87.3364632931,708442.0
2017-05-25,86.89,88.42,86.36,88.1,960423.0,0.0,1.0,86.2838578231,87.8031845864,85.757555088,87.4854168974,960423.0
2017-05-24,86.9,87.36,86.52,87.21,1026715.0,0.0,1.0,86.2937880633,86.7505791164,85.9164389326,86.6016255121,1026715.0
2017-05-23,87.56,87.56,86.15,86.64,819177.0,0.0,1.0,86.949183922,86.949183922,85.5490200421,86.035601816,819177.0
2017-05-22,87.28,87.75,87.0,87.4,964966.0,0.0,1.0,86.6711371941,87.1378584874,86.3930904662,86.7903000775,964966.0
2017-05-19,86.49,87.22,86.4,86.96,816132.0,0.0,1.0,85.8866482117,86.6115557524,85.7972760492,86.353369505,816132.0
2017-05-18,85.64,86.63,85.15,86.45,1042598.0,0.0,1.0,85.0425777876,86.0256715757,84.5559960137,85.8469272506,1042598.0
2017-05-17,85.68,86.19,85.27,85.53,1128235.0,0.0,1.0,85.0822987488,85.5887410032,84.6751588971,84.9333451445,1128235.0
2017-05-16,88.23,88.23,85.69,85.96,2655623.0,0.0,1.0,87.614510021,87.614510021,85.092228989,85.3603454767,2655623.0
2017-05-15,88.34,88.83,88.0,88.4,1233511.0,0.0,1.0,87.7237426642,88.210324438,87.3861144945,87.7833241059,1233511.0
2017-05-12,88.4,89.14,88.28,88.31,1347916.0,0.0,1.0,87.7833241059,88.5181618868,87.6641612225,87.6939519433,1347916.0
2017-05-11,87.37,88.51,86.61,88.22,1501706.0,0.0,1.0,86.7605093567,87.892556749,86.0058110951,87.6045797808,1501706.0
2017-05-10,87.33,87.84,86.81,87.63,743193.0,0.0,1.0,86.7207883955,87.22723065,86.2044159008,87.018695604,743193.0
2017-05-09,87.35,87.58,86.91,87.27,728662.0,0.0,1.0,86.7406488761,86.9690444026,86.3037183036,86.6612069538,728662.0
2017-05-08,87.3,87.56,86.94,87.08,803952.0,0.0,1.0,86.6909976747,86.949183922,86.3335090245,86.4725323884,803952.0
2017-05-05,87.42,87.58,86.605,87.33,1244211.0,0.0,1.0,86.8101605581,86.9690444026,86.000845975,86.7207883955,1244211.0
2017-05-04,87.19,87.5,86.44,87.33,1116572.0,0.0,1.0,86.5817650316,86.8896024803,85.8369970103,86.7207883955,1116572.0
2017-05-03,86.54,87.63,86.54,87.42,837071.0,0.0,1.0,85.9362994131,87.018695604,85.9362994131,86.8101605581,837071.0
2017-05-02,86.09,87.08,85.72,86.82,1369688.0,0.0,1.0,85.4894386004,86.4725323884,85.1220197099,86.2143461411,1369688.0
2017-05-01,85.42,85.825,85.085,85.63,662828.0,0.0,1.0,84.8241125014,85.2262872329,84.4914494519,85.0326475473,662828.0
2017-04-28,85.99,85.99,85.04,85.19,1906641.0,0.0,1.0,85.3901361975,85.3901361975,84.4467633706,84.5957169749,1906641.0
2017-04-27,86.18,86.44,85.54,85.96,1813729.0,0.0,1.0,85.5788107629,85.8369970103,84.9432753848,85.3603454767,1813729.0
2017-04-26,85.53,86.44,85.27,86.05,2664999.0,0.0,1.0,84.9333451445,85.8369970103,84.6751588971,85.4497176392,2664999.0
2017-04-25,85.18,85.73,84.76,85.55,1808983.0,0.0,1.0,84.5857867346,85.1319499502,84.1687166427,84.9532056251,1808983.0
2017-04-24,84.95,85.76,84.47,85.18,1901385.0,0.0,1.0,84.3573912081,85.161740671,83.8807396745,84.5857867346,1901385.0
2017-04-21,84.1,84.43,83.38,84.16,1182548.0,0.0,1.0,83.513320784,83.8410187133,82.7983434836,83.5729022257,1182548.0
2017-04-20,83.36,84.07,82.91,84.05,1284129.0,0.0,1.0,82.778483003,83.4835300631,82.3316221902,83.4636695825,1284129.0
2017-04-19,83.21,83.45,82.58,83.04,1037742.0,0.0,1.0,82.6295293987,82.8678551655,82.0039242609,82.4607153139,1037742.0
2017-04-18,82.58,83.28,82.43,82.72,825391.0,0.0,1.0,82.0039242609,82.6990410807,81.8549706566,82.1429476248,825391.0
2017-04-17,82.4,82.65,82.06,82.64,1169591.0,0.0,1.0,81.8251799358,82.0734359429,81.4875517661,82.0635057026,1169591.0
2017-04-13,82.41,82.83,81.87,81.97,952590.0,0.0,1.0,81.8351101761,82.252180268,81.2988772008,81.3981796036,952590.0
2017-04-12,83.03,83.1799,82.06,82.49,1601081.0,0.0,1.0,82.4507850736,82.5996393755,81.4875517661,81.9145520983,1601081.0
