Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,132.69,133.25,132.35,132.9,628210.0,0.0,1.0,132.69,133.25,132.35,132.9,628210.0
2017-08-03,132.9,133.0,132.24,132.62,899457.0,0.0,1.0,132.9,133.0,132.24,132.62,899457.0
2017-08-02,131.39,133.06,131.19,132.9,1047352.0,0.0,1.0,131.39,133.06,131.19,132.9,1047352.0
2017-08-01,131.08,131.62,127.18,131.43,1603411.0,0.0,1.0,131.08,131.62,127.18,131.43,1603411.0
2017-07-31,132.5,133.06,131.5,131.67,1395428.0,0.0,1.0,132.5,133.06,131.5,131.67,1395428.0
2017-07-28,131.94,132.56,131.39,131.92,847774.0,0.0,1.0,131.94,132.56,131.39,131.92,847774.0
2017-07-27,132.48,132.825,131.11,131.82,829646.0,0.0,1.0,132.48,132.825,131.11,131.82,829646.0
2017-07-26,132.83,132.83,132.15,132.45,595394.0,0.0,1.0,132.83,132.83,132.15,132.45,595394.0
2017-07-25,132.76,133.26,132.5401,132.9,584193.0,0.0,1.0,132.76,133.26,132.5401,132.9,584193.0
2017-07-24,132.76,133.18,131.64,132.04,710747.0,0.0,1.0,132.76,133.18,131.64,132.04,710747.0
2017-07-21,132.29,133.42,132.26,133.05,611502.0,0.0,1.0,132.29,133.42,132.26,133.05,611502.0
2017-07-20,132.85,133.15,132.11,132.45,812678.0,0.0,1.0,132.85,133.15,132.11,132.45,812678.0
2017-07-19,132.68,133.06,132.34,133.05,812239.0,0.0,1.0,132.68,133.06,132.34,133.05,812239.0
2017-07-18,132.01,132.71,131.95,132.45,630297.0,0.0,1.0,132.01,132.71,131.95,132.45,630297.0
2017-07-17,132.8,132.99,131.79,132.17,1017665.0,0.0,1.0,132.8,132.99,131.79,132.17,1017665.0
2017-07-14,132.28,132.94,131.93,132.72,542041.0,0.0,1.0,132.28,132.94,131.93,132.72,542041.0
2017-07-13,133.05,133.11,131.85,132.06,577185.0,0.0,1.0,133.05,133.11,131.85,132.06,577185.0
2017-07-12,132.66,133.41,132.56,133.04,820323.0,0.0,1.0,132.66,133.41,132.56,133.04,820323.0
2017-07-11,132.17,132.65,131.45,131.89,607520.0,0.0,1.0,132.17,132.65,131.45,131.89,607520.0
2017-07-10,132.63,132.84,131.675,132.05,767767.0,0.0,1.0,132.63,132.84,131.675,132.05,767767.0
2017-07-07,132.18,132.785,131.62,132.62,886687.0,0.0,1.0,132.18,132.785,131.62,132.62,886687.0
2017-07-06,133.07,133.465,132.14,132.18,768522.0,0.0,1.0,133.07,133.465,132.14,132.18,768522.0
2017-07-05,133.28,133.99,133.12,133.27,970475.0,0.0,1.0,133.28,133.99,133.12,133.27,970475.0
2017-07-03,133.19,133.47,132.49,132.94,715554.0,0.0,1.0,133.19,133.47,132.49,132.94,715554.0
2017-06-30,132.0,133.23,131.81,132.75,995796.0,0.0,1.0,132.0,133.23,131.81,132.75,995796.0
2017-06-29,132.89,132.99,130.88,131.45,826270.0,0.0,1.0,132.89,132.99,130.88,131.45,826270.0
2017-06-28,132.62,133.3,132.365,132.9,621073.0,0.0,1.0,132.62,133.3,132.365,132.9,621073.0
2017-06-27,132.0,132.46,131.7,131.78,868986.0,0.0,1.0,132.0,132.46,131.7,131.78,868986.0
2017-06-26,131.74,132.5,131.52,132.02,948748.0,0.0,1.0,131.74,132.5,131.52,132.02,948748.0
2017-06-23,131.7,132.36,131.31,131.66,1038830.0,0.0,1.0,131.7,132.36,131.31,131.66,1038830.0
2017-06-22,132.14,132.8,131.63,131.68,780829.0,0.0,1.0,132.14,132.8,131.63,131.68,780829.0
2017-06-21,134.03,134.54,132.04,132.14,1084264.0,0.0,1.0,134.03,134.54,132.04,132.14,1084264.0
2017-06-20,134.16,134.45,133.88,134.11,605701.0,0.0,1.0,134.16,134.45,133.88,134.11,605701.0
2017-06-19,134.43,134.74,133.895,134.61,670353.0,0.0,1.0,134.43,134.74,133.895,134.61,670353.0
2017-06-16,133.69,134.28,133.5,134.28,1609118.0,0.37,1.0,133.69,134.28,133.5,134.28,1609118.0
2017-06-15,133.73,134.38,132.86,133.85,981410.0,0.0,1.0,133.362528036,134.010741924,132.494918678,133.482198292,981410.0
2017-06-14,134.79,134.89,133.64,133.88,650079.0,0.0,1.0,134.419615299,134.519340512,133.272775343,133.512115856,650079.0
2017-06-13,133.22,134.6,132.76,134.49,774839.0,0.0,1.0,132.853929447,134.230137393,132.395193465,134.120439658,774839.0
2017-06-12,133.51,133.97,132.8,133.18,775650.0,0.0,1.0,133.143132566,133.601868548,132.43508355,132.814039361,775650.0
2017-06-09,133.31,133.84,132.84,133.81,1090958.0,0.0,1.0,132.943682139,133.472225771,132.474973635,133.442308206,1090958.0
2017-06-08,133.4,133.6,132.45,132.73,882785.0,0.0,1.0,133.033434831,133.232885258,132.086045303,132.3652759,882785.0
2017-06-07,133.57,133.96,133.25,133.52,727402.0,0.0,1.0,133.202967694,133.591896027,132.883847011,133.153105087,727402.0
2017-06-06,133.35,133.93,132.42,133.35,745665.0,0.0,1.0,132.983572224,133.561978463,132.056127739,132.983572224,745665.0
2017-06-05,134.36,134.37,133.63,133.66,836452.0,0.0,1.0,133.990796881,134.000769402,133.262802822,133.292720386,836452.0
2017-06-02,133.86,134.4,133.26,134.33,818825.0,0.0,1.0,133.492170813,134.030686966,132.893819532,133.960879317,818825.0
