Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,88.82,91.24,88.56,90.45,3792200.0,0.0,1.0,88.82,91.24,88.56,90.45,3792200.0
2017-08-03,92.39,92.5,87.76,88.9,6297339.0,0.0,1.0,92.39,92.5,87.76,88.9,6297339.0
2017-08-02,92.62,93.28,89.85,92.32,5358737.0,0.0,1.0,92.62,93.28,89.85,92.32,5358737.0
2017-08-01,94.91,95.58,94.05,94.46,3801955.0,0.0,1.0,94.91,95.58,94.05,94.46,3801955.0
2017-07-31,95.32,95.9,94.77,95.14,2996674.0,0.0,1.0,95.32,95.9,94.77,95.14,2996674.0
2017-07-28,96.01,96.9,95.03,95.42,2977076.0,0.0,1.0,96.01,96.9,95.03,95.42,2977076.0
2017-07-27,94.62,95.99,94.3,95.98,2615744.0,0.0,1.0,94.62,95.99,94.3,95.98,2615744.0
2017-07-26,95.66,96.1,94.65,94.75,2862098.0,0.0,1.0,95.66,96.1,94.65,94.75,2862098.0
2017-07-25,94.78,95.649,94.44,94.87,2811156.0,0.0,1.0,94.78,95.649,94.44,94.87,2811156.0
2017-07-24,93.02,94.68,92.9,93.31,2588939.0,0.0,1.0,93.02,94.68,92.9,93.31,2588939.0
2017-07-21,93.39,93.8,92.38,92.91,2665721.0,0.0,1.0,93.39,93.8,92.38,92.91,2665721.0
2017-07-20,95.0,95.74,93.57,93.66,4078175.0,0.0,1.0,95.0,95.74,93.57,93.66,4078175.0
2017-07-19,91.56,94.55,91.56,94.31,3937546.0,0.0,1.0,91.56,94.55,91.56,94.31,3937546.0
2017-07-18,92.25,92.45,91.25,91.7,2198601.0,0.0,1.0,92.25,92.45,91.25,91.7,2198601.0
2017-07-17,91.31,92.13,91.31,91.9,4129138.0,0.0,1.0,91.31,92.13,91.31,91.9,4129138.0
2017-07-14,91.98,92.36,91.59,91.87,1773372.0,0.0,1.0,91.98,92.36,91.59,91.87,1773372.0
2017-07-13,90.37,91.92,90.37,91.81,2472927.0,0.168,1.0,90.37,91.92,90.37,91.81,2472927.0
2017-07-12,91.46,92.3,90.41,90.57,3166655.0,0.0,1.0,91.2929461393,92.1314118594,90.2448639892,90.4045717454,3166655.0
2017-07-11,89.62,90.99,88.92,90.63,2516977.0,0.0,1.0,89.456306943,90.8238046054,88.7575855096,90.464462154,2516977.0
2017-07-10,88.13,89.78,88.0,89.62,2064842.0,0.0,1.0,87.9690284633,89.6160146992,87.8392659114,89.456306943,2064842.0
2017-07-07,88.07,88.6,87.04,88.44,3810270.0,0.0,1.0,87.9091380548,88.4381699972,86.8810193742,88.278462241,3810270.0
2017-07-06,90.53,90.84,88.405,88.63,3290586.0,0.0,1.0,90.3646448064,90.674078584,88.2435261693,88.4681152015,3290586.0
2017-07-05,91.82,92.19,89.96,90.3,2720176.0,0.0,1.0,91.6522885907,92.021612777,89.7956859249,90.1350649068,2720176.0
2017-07-03,91.0,93.16,90.52,92.37,2399997.0,0.0,1.0,90.8337863402,92.9898410489,90.3546630716,92.2012840027,2399997.0
2017-06-30,90.34,91.22,89.25,90.52,4164149.0,0.0,1.0,90.1749918459,91.053384505,89.0869827567,90.3546630716,4164149.0
2017-06-29,89.47,90.91,89.3,90.0,4078999.0,0.0,1.0,89.3065809215,90.7439507273,89.1368914306,89.8356128639,4078999.0
2017-06-28,88.18,89.54,87.4933,89.02,4508217.0,0.0,1.0,88.0189371371,89.3764530649,87.333491411,88.8574028572,4508217.0
2017-06-27,88.19,88.83,87.68,88.0,3909206.0,0.0,1.0,88.0289188719,88.6677498967,87.519850399,87.8392659114,3909206.0
2017-06-26,88.04,88.19,86.82,87.39,2548073.0,0.0,1.0,87.8791928505,88.0289188719,86.6614212094,87.2303800909,2548073.0
2017-06-23,87.61,88.23,87.21,87.79,3733870.0,0.0,1.0,87.4499782557,88.068845811,87.0507088652,87.6296494814,3733870.0
2017-06-22,87.34,89.03,86.63,87.69,3356558.0,0.0,1.0,87.1804714171,88.867384592,86.4717682489,87.5298321338,3356558.0
2017-06-21,88.1,89.165,86.635,87.12,4613500.0,0.0,1.0,87.939083259,89.0021380113,86.4767591163,86.9608732523,4613500.0
2017-06-20,86.79,88.29,85.88,87.85,3772091.0,0.0,1.0,86.6314760051,88.1287362195,85.7231381417,87.68953989,3772091.0
2017-06-19,88.37,89.01,87.96,88.07,2495263.0,0.0,1.0,88.2085900976,88.8474211224,87.7993389724,87.9091380548,2495263.0
2017-06-16,87.57,88.59,87.07,88.52,4767003.0,0.0,1.0,87.4100513166,88.4281882624,86.9109645785,88.3583161191,4767003.0
2017-06-15,88.86,89.15,86.57,87.04,4362030.0,0.0,1.0,88.697695101,88.9871654091,86.4118778404,86.8810193742,4362030.0
2017-06-14,90.03,90.05,87.84,88.93,4055210.0,0.0,1.0,89.8655580682,89.8855215378,87.6795581552,88.7675672443,4055210.0
2017-06-13,90.05,90.7,89.51,90.56,2573078.0,0.0,1.0,89.8855215378,90.5343342973,89.3465078606,90.3945900107,2573078.0
2017-06-12,91.26,91.98,89.51,89.88,3812460.0,0.0,1.0,91.093311444,91.811996347,89.3465078606,89.7158320468,3812460.0
2017-06-09,88.33,90.81,88.04,90.08,4507916.0,0.0,1.0,88.1686631586,90.6441333797,87.8791928505,89.915466742,4507916.0
2017-06-08,87.63,88.8,87.62,88.11,3498839.0,0.0,1.0,87.4699417252,88.6378046924,87.4599599904,87.9490649938,3498839.0
2017-06-07,90.22,90.94,87.41,88.15,4531393.0,0.0,1.0,90.0552110287,90.7738959316,87.2503435604,87.9889919329,4531393.0
2017-06-06,89.1,91.06,88.77,90.83,3219502.0,0.0,1.0,88.9372567353,90.8936767488,88.6078594881,90.6640968492,3219502.0
2017-06-05,89.12,89.63,88.52,89.2,2372985.0,0.0,1.0,88.9572202048,89.4662886777,88.3583161191,89.0370740829,2372985.0
2017-06-02,90.04,90.58,88.9428,89.68,2680187.0,0.0,1.0,89.875539803,90.4145534802,88.7803438648,89.5161973515,2680187.0
2017-06-01,90.64,91.38,89.73,90.4,2829569.0,0.0,1.0,90.4744438888,91.2130922612,89.5661060254,90.2348822545,2829569.0
2017-05-31,88.99,90.61,88.36,90.31,3938846.0,0.0,1.0,88.8274576529,90.4444986845,88.1986083629,90.1450466416,3938846.0
2017-05-30,90.47,90.79,89.43,89.62,3163050.0,0.0,1.0,90.3047543978,90.6241699102,89.2666539825,89.456306943,3163050.0
2017-05-26,91.29,91.41,90.12,91.22,2001462.0,0.0,1.0,91.1232566483,91.2430374655,89.9553936811,91.053384505,2001462.0
2017-05-25,92.28,93.62,90.44,91.02,2768745.0,0.0,1.0,92.1114483898,93.449000848,90.2748091935,90.8537498097,2768745.0
2017-05-24,92.37,93.39,92.31,92.67,2898116.0,0.0,1.0,92.2012840027,93.2194209485,92.1413935941,92.5007360456,2898116.0
2017-05-23,93.12,93.3,91.97,92.53,2255369.0,0.0,1.0,92.9499141099,93.1295853356,91.8020146122,92.3609917589,2255369.0
2017-05-22,94.13,94.755,92.79,93.11,2004620.0,0.0,1.0,93.9580693209,94.5819277436,92.6205168627,92.9399323751,2004620.0
2017-05-19,92.38,94.39,92.07,93.81,3711885.0,0.0,1.0,92.2112657375,94.2175944248,91.9018319598,93.6386538085,3711885.0
2017-05-18,92.23,93.015,91.665,91.69,3795844.0,0.0,1.0,92.061539716,92.8451058949,91.4975717019,91.5225260388,3795844.0
2017-05-17,93.28,94.3,92.83,92.95,2406905.0,0.0,1.0,93.1096218661,94.1277588119,92.6604438018,92.7802246189,2406905.0
2017-05-16,94.87,95.06,93.52,93.83,2682657.0,0.0,1.0,94.6967176934,94.8863706539,93.3491835004,93.658617278,2682657.0
2017-05-15,96.32,96.65,94.12,94.73,6286517.0,0.0,1.0,96.1440692339,96.4734664811,93.9480875862,94.5569734067,6286517.0
2017-05-12,94.12,95.01,93.8,94.7,3415668.0,0.0,1.0,93.9480875862,94.83646198,93.6286720738,94.5270282024,3415668.0
2017-05-11,94.82,94.9223,93.98,94.28,2580772.0,0.0,1.0,94.6468090195,94.7489221662,93.8083432995,94.1077953424,2580772.0
2017-05-10,93.01,95.77,92.57,94.54,5239157.0,0.0,1.0,92.8401150275,95.595073822,92.4009186979,94.3673204462,5239157.0
2017-05-09,92.36,92.44,90.6,91.64,3591133.0,0.0,1.0,92.1913022679,92.271156146,90.4345169497,91.472617365,3591133.0
2017-05-08,90.39,92.14,90.17,91.69,3718298.0,0.0,1.0,90.2249005197,91.9717041032,90.0053023549,91.5225260388,3718298.0
2017-05-05,89.03,91.06,88.87,90.88,4696413.0,0.0,1.0,88.867384592,90.8936767488,88.7076768358,90.7140055231,4696413.0
2017-05-04,91.04,91.24,88.2,88.6,5457939.0,0.0,1.0,90.8737132793,91.0733479745,88.0389006067,88.4381699972,5457939.0
2017-05-03,91.53,92.75,91.09,91.76,3510629.0,0.0,1.0,91.3628182826,92.5805899237,90.9236219531,91.5923981822,3510629.0
2017-05-02,92.24,92.44,91.05,91.87,3351349.0,0.0,1.0,92.0715214508,92.271156146,90.883695014,91.7021972646,3351349.0
2017-05-01,92.53,92.71,91.75,92.03,2680096.0,0.0,1.0,92.3609917589,92.5406629846,91.5824164474,91.8619050208,2680096.0
2017-04-28,93.97,93.97,92.44,92.5,1625309.0,0.0,1.0,93.7983615647,93.7983615647,92.271156146,92.3310465546,1625309.0
