Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,62.14,63.23,61.94,62.46,2727328.0,0.0,1.0,62.14,63.23,61.94,62.46,2727328.0
2017-08-03,63.12,63.48,61.65,62.12,3499279.0,0.0,1.0,63.12,63.48,61.65,62.12,3499279.0
2017-08-02,63.36,64.27,62.7,63.01,2155383.0,0.0,1.0,63.36,64.27,62.7,63.01,2155383.0
2017-08-01,63.65,64.095,63.24,63.93,2568551.0,0.0,1.0,63.65,64.095,63.24,63.93,2568551.0
2017-07-31,65.8,66.16,63.4,63.7,4461241.0,0.0,1.0,65.8,66.16,63.4,63.7,4461241.0
2017-07-28,67.11,67.84,65.97,66.1,4482366.0,0.0,1.0,67.11,67.84,65.97,66.1,4482366.0
2017-07-27,63.89,67.55,62.82,67.02,6355146.0,0.0,1.0,63.89,67.55,62.82,67.02,6355146.0
2017-07-26,64.2,64.57,63.22,63.97,2705350.0,0.0,1.0,64.2,64.57,63.22,63.97,2705350.0
2017-07-25,64.03,64.89,63.69,64.06,3294830.0,0.0,1.0,64.03,64.89,63.69,64.06,3294830.0
2017-07-24,62.99,63.5,62.35,63.08,2866224.0,0.0,1.0,62.99,63.5,62.35,63.08,2866224.0
2017-07-21,61.99,63.8,61.85,62.94,4642549.0,0.0,1.0,61.99,63.8,61.85,62.94,4642549.0
2017-07-20,62.83,63.32,61.82,61.96,4244660.0,0.0,1.0,62.83,63.32,61.82,61.96,4244660.0
2017-07-19,61.37,62.575,60.98,62.52,3870685.0,0.0,1.0,61.37,62.575,60.98,62.52,3870685.0
2017-07-18,62.53,62.75,60.43,61.15,2153248.0,0.0,1.0,62.53,62.75,60.43,61.15,2153248.0
2017-07-17,61.94,62.97,61.76,62.17,2222295.0,0.0,1.0,61.94,62.97,61.76,62.17,2222295.0
2017-07-14,62.21,62.51,61.46,61.88,1931712.0,0.0,1.0,62.21,62.51,61.46,61.88,1931712.0
2017-07-13,61.01,61.79,60.82,61.7,2867599.0,0.0,1.0,61.01,61.79,60.82,61.7,2867599.0
2017-07-12,61.5,61.71,60.55,61.23,4958435.0,0.0,1.0,61.5,61.71,60.55,61.23,4958435.0
2017-07-11,60.05,61.26,59.65,61.04,3994876.0,0.0,1.0,60.05,61.26,59.65,61.04,3994876.0
2017-07-10,58.88,60.07,58.49,59.9,4065189.0,0.0,1.0,58.88,60.07,58.49,59.9,4065189.0
2017-07-07,58.69,58.95,57.491,58.74,5494472.0,0.0,1.0,58.69,58.95,57.491,58.74,5494472.0
2017-07-06,60.06,60.58,58.82,59.0,5480347.0,0.0,1.0,60.06,60.58,58.82,59.0,5480347.0
2017-07-05,59.05,60.19,58.17,59.79,6736003.0,0.0,1.0,59.05,60.19,58.17,59.79,6736003.0
2017-07-03,60.23,60.79,58.64,59.75,6730337.0,0.0,1.0,60.23,60.79,58.64,59.75,6730337.0
2017-06-30,59.31,59.6525,58.46,58.59,3887325.0,0.0,1.0,59.31,59.6525,58.46,58.59,3887325.0
2017-06-29,59.08,59.55,58.36,59.01,4875684.0,0.0,1.0,59.08,59.55,58.36,59.01,4875684.0
2017-06-28,58.65,59.65,58.37,58.75,3992848.0,0.0,1.0,58.65,59.65,58.37,58.75,3992848.0
2017-06-27,58.46,58.8061,57.43,58.27,6763596.0,0.0,1.0,58.46,58.8061,57.43,58.27,6763596.0
2017-06-26,56.66,58.64,55.81,58.35,5608600.0,0.0,1.0,56.66,58.64,55.81,58.35,5608600.0
2017-06-23,52.6,56.26,52.3,56.19,7680587.0,0.0,1.0,52.6,56.26,52.3,56.19,7680587.0
2017-06-22,51.16,52.56,50.26,52.03,10100829.0,0.0,1.0,51.16,52.56,50.26,52.03,10100829.0
2017-06-21,52.43,52.43,49.63,50.83,10582478.0,0.0,1.0,52.43,52.43,49.63,50.83,10582478.0
2017-06-20,53.56,53.5625,51.53,52.42,10596280.0,0.0,1.0,53.56,53.5625,51.53,52.42,10596280.0
2017-06-19,55.51,56.15,52.89,53.51,22187862.0,0.0,1.0,55.51,56.15,52.89,53.51,22187862.0
