Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,262.9,265.43,261.87,262.0,249679.0,0.0,1.0,262.9,265.43,261.87,262.0,249679.0
2017-08-03,263.16,265.73,261.09,263.27,324809.0,0.0,1.0,263.16,265.73,261.09,263.27,324809.0
2017-08-02,262.13,264.105,260.53,263.46,296867.0,0.0,1.0,262.13,264.105,260.53,263.46,296867.0
2017-08-01,263.16,264.64,261.52,263.2,386631.0,0.0,1.0,263.16,264.64,261.52,263.2,386631.0
2017-07-31,263.52,264.66,260.5,261.7,672256.0,0.0,1.0,263.52,264.66,260.5,261.7,672256.0
2017-07-28,263.66,266.01,261.51,264.66,441977.0,0.0,1.0,263.66,266.01,261.51,264.66,441977.0
2017-07-27,266.06,266.82,262.58,264.04,329384.0,0.0,1.0,266.06,266.82,262.58,264.04,329384.0
2017-07-26,261.94,268.57,259.87,267.14,326655.0,0.0,1.0,261.94,268.57,259.87,267.14,326655.0
2017-07-25,263.36,263.93,259.585,261.45,326238.0,0.0,1.0,263.36,263.93,259.585,261.45,326238.0
2017-07-24,264.9,266.13,262.51,262.76,339402.0,0.0,1.0,264.9,266.13,262.51,262.76,339402.0
2017-07-21,263.83,265.39,263.54,264.85,232598.0,0.0,1.0,263.83,265.39,263.54,264.85,232598.0
2017-07-20,263.72,266.05,262.97,264.17,257891.0,0.0,1.0,263.72,266.05,262.97,264.17,257891.0
2017-07-19,259.31,263.54,257.75,263.49,339418.0,0.0,1.0,259.31,263.54,257.75,263.49,339418.0
2017-07-18,257.54,259.14,255.77,258.81,279847.0,0.0,1.0,257.54,259.14,255.77,258.81,279847.0
2017-07-17,253.46,257.96,252.61,257.8,264315.0,0.0,1.0,253.46,257.96,252.61,257.8,264315.0
2017-07-14,253.56,254.73,251.34,253.52,348810.0,0.0,1.0,253.56,254.73,251.34,253.52,348810.0
2017-07-13,254.08,255.41,252.14,252.26,249754.0,0.0,1.0,254.08,255.41,252.14,252.26,249754.0
2017-07-12,253.79,255.13,253.01,254.0,360273.0,0.0,1.0,253.79,255.13,253.01,254.0,360273.0
2017-07-11,253.46,254.45,250.36,251.73,351728.0,0.0,1.0,253.46,254.45,250.36,251.73,351728.0
2017-07-10,256.06,256.59,252.78,253.09,301751.0,0.0,1.0,256.06,256.59,252.78,253.09,301751.0
2017-07-07,254.58,256.905,254.45,255.74,322983.0,0.0,1.0,254.58,256.905,254.45,255.74,322983.0
2017-07-06,259.09,259.25,253.62,254.03,299620.0,0.0,1.0,259.09,259.25,253.62,254.03,299620.0
2017-07-05,261.26,263.13,258.6,259.72,381063.0,0.0,1.0,261.26,263.13,258.6,259.72,381063.0
2017-07-03,258.4,261.5,257.35,261.24,216614.0,0.0,1.0,258.4,261.5,257.35,261.24,216614.0
2017-06-30,260.31,262.66,257.16,257.27,406230.0,0.0,1.0,260.31,262.66,257.16,257.27,406230.0
2017-06-29,259.21,260.72,257.49,260.18,282533.0,0.0,1.0,259.21,260.72,257.49,260.18,282533.0
2017-06-28,259.79,260.8,258.825,260.24,253545.0,1.75,1.0,259.79,260.8,258.825,260.24,253545.0
2017-06-27,264.64,265.9,260.29,260.52,318182.0,0.0,1.0,262.872298943,264.123882591,258.551355395,258.779819077,318182.0
