Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,38.22,38.37,37.96,38.17,3888697.0,0.0,1.0,38.22,38.37,37.96,38.17,3888697.0
2017-08-03,38.38,38.47,38.185,38.44,3869929.0,0.0,1.0,38.38,38.47,38.185,38.44,3869929.0
2017-08-02,38.19,38.62,37.72,38.42,6033582.0,0.0,1.0,38.19,38.62,37.72,38.42,6033582.0
2017-08-01,38.48,38.78,38.415,38.55,6353698.0,0.0,1.0,38.48,38.78,38.415,38.55,6353698.0
2017-07-31,38.39,38.5,38.24,38.34,8144584.0,0.0,1.0,38.39,38.5,38.24,38.34,8144584.0
2017-07-28,37.97,38.44,37.88,38.4,5686790.0,0.0,1.0,37.97,38.44,37.88,38.4,5686790.0
2017-07-27,37.73,38.04,37.54,37.99,5253671.0,0.0,1.0,37.73,38.04,37.54,37.99,5253671.0
2017-07-26,37.02,37.71,36.953,37.68,4667900.0,0.0,1.0,37.02,37.71,36.953,37.68,4667900.0
2017-07-25,37.27,37.35,36.93,37.02,3904490.0,0.0,1.0,37.27,37.35,36.93,37.02,3904490.0
2017-07-24,37.48,37.49,37.11,37.2,4827922.0,0.0,1.0,37.48,37.49,37.11,37.2,4827922.0
2017-07-21,37.56,37.76,37.32,37.48,4373348.0,0.0,1.0,37.56,37.76,37.32,37.48,4373348.0
2017-07-20,37.45,37.69,37.31,37.6,3379606.0,0.0,1.0,37.45,37.69,37.31,37.6,3379606.0
2017-07-19,37.25,37.41,37.06,37.39,3317967.0,0.0,1.0,37.25,37.41,37.06,37.39,3317967.0
2017-07-18,37.05,37.19,36.9101,37.16,4829224.0,0.0,1.0,37.05,37.19,36.9101,37.16,4829224.0
2017-07-17,36.49,37.06,36.45,37.03,7360073.0,0.0,1.0,36.49,37.06,36.45,37.03,7360073.0
2017-07-14,35.96,36.274,35.94,36.06,3073777.0,0.0,1.0,35.96,36.274,35.94,36.06,3073777.0
2017-07-13,35.97,36.02,35.66,35.72,3468368.0,0.0,1.0,35.97,36.02,35.66,35.72,3468368.0
2017-07-12,36.01,36.21,35.9401,36.07,3481538.0,0.0,1.0,36.01,36.21,35.9401,36.07,3481538.0
2017-07-11,35.82,35.85,35.51,35.72,4268963.0,0.0,1.0,35.82,35.85,35.51,35.72,4268963.0
2017-07-10,35.59,36.01,35.59,35.76,4393236.0,0.0,1.0,35.59,36.01,35.59,35.76,4393236.0
2017-07-07,35.7,35.9,35.5,35.58,4383479.0,0.0,1.0,35.7,35.9,35.5,35.58,4383479.0
2017-07-06,35.44,35.73,35.37,35.68,5980475.0,0.0,1.0,35.44,35.73,35.37,35.68,5980475.0
2017-07-05,35.84,35.97,35.38,35.52,4002960.0,0.0,1.0,35.84,35.97,35.38,35.52,4002960.0
2017-07-03,36.2,36.25,35.59,35.84,2314238.0,0.0,1.0,36.2,36.25,35.59,35.84,2314238.0
2017-06-30,35.92,36.28,35.83,36.07,4505762.0,0.0,1.0,35.92,36.28,35.83,36.07,4505762.0
2017-06-29,35.99,36.23,35.8,35.84,4829240.0,0.0,1.0,35.99,36.23,35.8,35.84,4829240.0
2017-06-28,36.87,36.92,36.13,36.19,4919260.0,0.0,1.0,36.87,36.92,36.13,36.19,4919260.0
2017-06-27,36.96,37.12,36.58,36.76,3978813.0,0.0,1.0,36.96,37.12,36.58,36.76,3978813.0
2017-06-26,36.66,37.44,36.58,37.21,4874561.0,0.0,1.0,36.66,37.44,36.58,37.21,4874561.0
2017-06-23,36.66,36.79,36.45,36.5,4374746.0,0.0,1.0,36.66,36.79,36.45,36.5,4374746.0
2017-06-22,36.61,37.08,36.61,36.66,4253469.0,0.0,1.0,36.61,37.08,36.61,36.66,4253469.0
2017-06-21,36.95,37.13,36.5,36.67,3445128.0,0.0,1.0,36.95,37.13,36.5,36.67,3445128.0
2017-06-20,36.81,37.13,36.69,36.89,3970964.0,0.0,1.0,36.81,37.13,36.69,36.89,3970964.0
2017-06-19,37.14,37.15,36.653,36.84,3879380.0,0.0,1.0,37.14,37.15,36.653,36.84,3879380.0
2017-06-16,36.88,37.12,36.865,37.08,5540407.0,0.0,1.0,36.88,37.12,36.865,37.08,5540407.0
2017-06-15,36.67,36.86,36.51,36.82,3228382.0,0.0,1.0,36.67,36.86,36.51,36.82,3228382.0
2017-06-14,36.79,36.9,36.591,36.69,3140768.0,0.0,1.0,36.79,36.9,36.591,36.69,3140768.0
2017-06-13,36.48,36.6,36.37,36.55,3980724.0,0.0,1.0,36.48,36.6,36.37,36.55,3980724.0
2017-06-12,36.66,36.87,36.3922,36.48,5442005.0,0.0,1.0,36.66,36.87,36.3922,36.48,5442005.0
2017-06-09,36.4,36.68,36.32,36.62,4057913.0,0.0,1.0,36.4,36.68,36.32,36.62,4057913.0
2017-06-08,36.6,36.61,36.245,36.4,4130880.0,0.0,1.0,36.6,36.61,36.245,36.4,4130880.0
2017-06-07,36.68,36.85,36.55,36.61,3950124.0,0.0,1.0,36.68,36.85,36.55,36.61,3950124.0
2017-06-06,36.75,36.86,36.54,36.69,4482759.0,0.0,1.0,36.75,36.86,36.54,36.69,4482759.0
2017-06-05,36.56,36.74,36.38,36.63,4369804.0,0.0,1.0,36.56,36.74,36.38,36.63,4369804.0
2017-06-02,36.8,36.83,36.42,36.6,3311739.0,0.0,1.0,36.8,36.83,36.42,36.6,3311739.0
2017-06-01,36.25,36.74,36.1,36.73,4479546.0,0.0,1.0,36.25,36.74,36.1,36.73,4479546.0
2017-05-31,36.08,36.45,35.98,36.31,6339264.0,0.0,1.0,36.08,36.45,35.98,36.31,6339264.0
2017-05-30,35.72,36.2,35.66,36.06,3836713.0,0.0,1.0,35.72,36.2,35.66,36.06,3836713.0
2017-05-26,36.01,36.08,35.73,35.82,5699892.0,0.0,1.0,36.01,36.08,35.73,35.82,5699892.0
2017-05-25,35.93,36.08,35.7,36.03,4420724.0,0.0,1.0,35.93,36.08,35.7,36.03,4420724.0
2017-05-24,35.45,35.83,35.34,35.81,7918364.0,0.0,1.0,35.45,35.83,35.34,35.81,7918364.0
2017-05-23,35.52,35.59,35.29,35.37,10759814.0,0.0,1.0,35.52,35.59,35.29,35.37,10759814.0
2017-05-22,34.91,35.64,34.91,35.53,5684386.0,0.0,1.0,34.91,35.64,34.91,35.53,5684386.0
