Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,77.16,77.96,77.01,77.75,890808.0,0.0,1.0,77.16,77.96,77.01,77.75,890808.0
2017-08-03,78.84,79.075,76.33,77.22,1888901.0,0.0,1.0,78.84,79.075,76.33,77.22,1888901.0
2017-08-02,80.45,82.53,78.9,79.26,2381783.0,0.0,1.0,80.45,82.53,78.9,79.26,2381783.0
2017-08-01,79.7,80.07,78.35,79.29,1278242.0,0.0,1.0,79.7,80.07,78.35,79.29,1278242.0
2017-07-31,77.91,80.06,77.34,79.5,3221365.0,0.0,1.0,77.91,80.06,77.34,79.5,3221365.0
2017-07-28,76.5,77.97,76.395,77.92,1621289.0,0.0,1.0,76.5,77.97,76.395,77.92,1621289.0
2017-07-27,79.0,79.0,75.78,76.5,2452264.0,0.0,1.0,79.0,79.0,75.78,76.5,2452264.0
2017-07-26,79.6,81.06,79.39,80.3,1561970.0,0.0,1.0,79.6,81.06,79.39,80.3,1561970.0
2017-07-25,78.6,79.52,78.145,79.48,1281155.0,0.0,1.0,78.6,79.52,78.145,79.48,1281155.0
2017-07-24,79.0,79.16,78.15,78.64,883986.0,0.0,1.0,79.0,79.16,78.15,78.64,883986.0
2017-07-21,78.12,79.07,78.115,78.97,668674.0,0.0,1.0,78.12,79.07,78.115,78.97,668674.0
2017-07-20,78.25,78.88,77.55,78.23,1042347.0,0.0,1.0,78.25,78.88,77.55,78.23,1042347.0
2017-07-19,77.54,78.94,77.25,78.79,1896925.0,0.0,1.0,77.54,78.94,77.25,78.79,1896925.0
2017-07-18,77.32,77.83,76.55,77.48,1289714.0,0.0,1.0,77.32,77.83,76.55,77.48,1289714.0
2017-07-17,76.62,77.77,76.6,77.4,1361064.0,0.0,1.0,76.62,77.77,76.6,77.4,1361064.0
2017-07-14,76.12,76.765,76.08,76.68,864414.0,0.0,1.0,76.12,76.765,76.08,76.68,864414.0
2017-07-13,75.49,76.145,75.338,75.57,792052.0,0.0,1.0,75.49,76.145,75.338,75.57,792052.0
2017-07-12,74.65,75.83,74.65,75.43,829107.0,0.0,1.0,74.65,75.83,74.65,75.43,829107.0
2017-07-11,75.01,75.01,73.7,74.13,1037481.0,0.0,1.0,75.01,75.01,73.7,74.13,1037481.0
2017-07-10,76.54,76.78,74.73,74.76,1161664.0,0.0,1.0,76.54,76.78,74.73,74.76,1161664.0
2017-07-07,76.1,77.07,75.74,76.53,712127.0,0.0,1.0,76.1,77.07,75.74,76.53,712127.0
2017-07-06,77.24,77.34,75.81,75.91,1198650.0,0.0,1.0,77.24,77.34,75.81,75.91,1198650.0
2017-07-05,78.41,78.52,77.0,77.39,923097.0,0.0,1.0,78.41,78.52,77.0,77.39,923097.0
