Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,10.9,10.99,10.78,10.95,29267609.0,0.0,1.0,10.9,10.99,10.78,10.95,29267609.0
2017-08-03,11.01,11.05,10.92,10.93,20301473.0,0.0,1.0,11.01,11.05,10.92,10.93,20301473.0
2017-08-02,10.98,11.025,10.93,11.0,30890498.0,0.0,1.0,10.98,11.025,10.93,11.0,30890498.0
2017-08-01,11.11,11.15,10.87,10.95,65140080.0,0.0,1.0,11.11,11.15,10.87,10.95,65140080.0
2017-07-31,11.16,11.23,11.125,11.22,39548561.0,0.0,1.0,11.16,11.23,11.125,11.22,39548561.0
2017-07-28,11.15,11.22,11.06,11.17,24864110.0,0.0,1.0,11.15,11.22,11.06,11.17,24864110.0
2017-07-27,11.08,11.2,11.03,11.18,38687497.0,0.0,1.0,11.08,11.2,11.03,11.18,38687497.0
2017-07-26,11.14,11.16,10.95,11.06,72271733.0,0.0,1.0,11.14,11.16,10.95,11.06,72271733.0
2017-07-25,11.3,11.375,11.22,11.27,52854343.0,0.0,1.0,11.3,11.375,11.22,11.27,52854343.0
2017-07-24,11.51,11.55,11.27,11.29,48106524.0,0.0,1.0,11.51,11.55,11.27,11.29,48106524.0
2017-07-21,11.59,11.62,11.46,11.53,27630584.0,0.0,1.0,11.59,11.62,11.46,11.53,27630584.0
2017-07-20,11.69,11.78,11.66,11.7,30312704.0,0.15,1.0,11.69,11.78,11.66,11.7,30312704.0
2017-07-19,11.76,11.83,11.74,11.83,26225866.0,0.0,1.0,11.6111392405,11.6802531646,11.5913924051,11.6802531646,26225866.0
2017-07-18,11.72,11.75,11.67,11.75,24625242.0,0.0,1.0,11.5716455696,11.6012658228,11.522278481,11.6012658228,24625242.0
2017-07-17,11.71,11.75,11.65,11.74,24381950.0,0.0,1.0,11.5617721519,11.6012658228,11.5025316456,11.5913924051,24381950.0
2017-07-14,11.645,11.73,11.6,11.68,39791582.0,0.0,1.0,11.4975949367,11.5815189873,11.453164557,11.5321518987,39791582.0
2017-07-13,11.46,11.69,11.45,11.6,33650806.0,0.0,1.0,11.3149367089,11.5420253165,11.3050632911,11.453164557,33650806.0
2017-07-12,11.41,11.62,11.4,11.47,33088184.0,0.0,1.0,11.2655696203,11.4729113924,11.2556962025,11.3248101266,33088184.0
2017-07-11,11.31,11.43,11.3,11.38,25913483.0,0.0,1.0,11.166835443,11.2853164557,11.1569620253,11.2359493671,25913483.0
2017-07-10,11.24,11.35,11.23,11.34,18881282.0,0.0,1.0,11.097721519,11.2063291139,11.0878481013,11.1964556962,18881282.0
2017-07-07,11.21,11.28,11.16,11.26,20871848.0,0.0,1.0,11.0681012658,11.1372151899,11.0187341772,11.1174683544,20871848.0
2017-07-06,11.29,11.36,11.17,11.18,31935984.0,0.0,1.0,11.1470886076,11.2162025316,11.0286075949,11.0384810127,31935984.0
2017-07-05,11.51,11.56,11.26,11.3,39412233.0,0.0,1.0,11.3643037975,11.4136708861,11.1174683544,11.1569620253,39412233.0
2017-07-03,11.36,11.685,11.25,11.56,43949588.0,0.0,1.0,11.2162025316,11.5370886076,11.1075949367,11.4136708861,43949588.0
2017-06-30,11.18,11.28,11.16,11.19,41073171.0,0.0,1.0,11.0384810127,11.1372151899,11.0187341772,11.0483544304,41073171.0
2017-06-29,11.13,11.2,11.07,11.17,32917042.0,0.0,1.0,10.9891139241,11.0582278481,10.9298734177,11.0286075949,32917042.0
