Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,66.68,67.2,66.52,67.17,1117712.0,0.0,1.0,66.68,67.2,66.52,67.17,1117712.0
2017-08-03,66.35,66.54,66.06,66.53,1103108.0,0.0,1.0,66.35,66.54,66.06,66.53,1103108.0
2017-08-02,65.31,66.54,65.3,66.28,1813388.0,0.0,1.0,65.31,66.54,65.3,66.28,1813388.0
2017-08-01,64.79,65.73,64.26,65.2,1850271.0,0.0,1.0,64.79,65.73,64.26,65.2,1850271.0
2017-07-31,64.76,64.91,64.21,64.74,1985961.0,0.0,1.0,64.76,64.91,64.21,64.74,1985961.0
2017-07-28,63.5,64.82,62.6387,64.47,2210705.0,0.0,1.0,63.5,64.82,62.6387,64.47,2210705.0
2017-07-27,62.16,62.79,62.05,62.58,1840839.0,0.0,1.0,62.16,62.79,62.05,62.58,1840839.0
2017-07-26,63.11,63.22,62.14,62.18,1740920.0,0.0,1.0,63.11,63.22,62.14,62.18,1740920.0
2017-07-25,63.57,63.73,62.97,63.07,1716708.0,0.0,1.0,63.57,63.73,62.97,63.07,1716708.0
2017-07-24,63.33,63.4,63.05,63.29,1203467.0,0.0,1.0,63.33,63.4,63.05,63.29,1203467.0
2017-07-21,63.24,63.49,63.08,63.25,1284157.0,0.0,1.0,63.24,63.49,63.08,63.25,1284157.0
2017-07-20,64.01,64.15,62.83,63.5,1558121.0,0.0,1.0,64.01,64.15,62.83,63.5,1558121.0
2017-07-19,63.94,63.99,63.58,63.97,1400601.0,0.0,1.0,63.94,63.99,63.58,63.97,1400601.0
2017-07-18,64.03,64.22,63.63,63.75,1029898.0,0.0,1.0,64.03,64.22,63.63,63.75,1029898.0
2017-07-17,64.57,64.57,63.78,64.14,1388224.0,0.0,1.0,64.57,64.57,63.78,64.14,1388224.0
2017-07-14,64.42,64.79,64.32,64.56,1113386.0,0.0,1.0,64.42,64.79,64.32,64.56,1113386.0
2017-07-13,64.75,64.86,64.31,64.39,869379.0,0.0,1.0,64.75,64.86,64.31,64.39,869379.0
2017-07-12,64.24,64.9,64.2,64.7,1118493.0,0.0,1.0,64.24,64.9,64.2,64.7,1118493.0
2017-07-11,64.68,64.68,63.38,63.97,1105250.0,0.0,1.0,64.68,64.68,63.38,63.97,1105250.0
2017-07-10,63.82,64.945,63.76,64.6,1975090.0,0.0,1.0,63.82,64.945,63.76,64.6,1975090.0
2017-07-07,63.61,64.0,63.46,63.85,1114145.0,0.0,1.0,63.61,64.0,63.46,63.85,1114145.0
2017-07-06,63.4,63.78,63.22,63.33,1475693.0,0.0,1.0,63.4,63.78,63.22,63.33,1475693.0
2017-07-05,63.63,63.98,63.185,63.61,892197.0,0.0,1.0,63.63,63.98,63.185,63.61,892197.0
2017-07-03,63.65,63.73,63.19,63.33,652599.0,0.0,1.0,63.65,63.73,63.19,63.33,652599.0
2017-06-30,62.92,63.68,62.9,63.35,1176910.0,0.0,1.0,62.92,63.68,62.9,63.35,1176910.0
2017-06-29,64.37,64.37,62.75,62.86,1291184.0,0.0,1.0,64.37,64.37,62.75,62.86,1291184.0
2017-06-28,63.79,64.55,63.595,64.41,830173.0,0.0,1.0,63.79,64.55,63.595,64.41,830173.0
2017-06-27,63.79,64.09,63.37,63.37,697819.0,0.0,1.0,63.79,64.09,63.37,63.37,697819.0
2017-06-26,64.3,64.72,63.94,64.11,1009496.0,0.0,1.0,64.3,64.72,63.94,64.11,1009496.0
2017-06-23,63.95,64.16,63.67,64.1,7313010.0,0.0,1.0,63.95,64.16,63.67,64.1,7313010.0
2017-06-22,64.34,64.53,63.91,64.1,1044047.0,0.0,1.0,64.34,64.53,63.91,64.1,1044047.0
2017-06-21,64.52,64.7,64.28,64.37,1462547.0,0.0,1.0,64.52,64.7,64.28,64.37,1462547.0
2017-06-20,64.5,65.21,64.3,64.47,1760847.0,0.0,1.0,64.5,65.21,64.3,64.47,1760847.0
2017-06-19,64.31,64.83,64.19,64.79,1373591.0,0.0,1.0,64.31,64.83,64.19,64.79,1373591.0
2017-06-16,63.17,64.06,62.87,64.05,1676673.0,0.0,1.0,63.17,64.06,62.87,64.05,1676673.0
2017-06-15,62.66,63.26,62.38,63.04,1171966.0,0.0,1.0,62.66,63.26,62.38,63.04,1171966.0
2017-06-14,63.28,63.48,62.93,62.95,1378804.0,0.0,1.0,63.28,63.48,62.93,62.95,1378804.0
2017-06-13,62.68,63.29,62.43,63.27,1013791.0,0.0,1.0,62.68,63.29,62.43,63.27,1013791.0
2017-06-12,63.04,63.345,62.1975,62.46,1138195.0,0.0,1.0,63.04,63.345,62.1975,62.46,1138195.0
2017-06-09,64.0,64.0,62.56,63.09,1027130.0,0.0,1.0,64.0,64.0,62.56,63.09,1027130.0
2017-06-08,63.41,63.75,62.81,63.7,987039.0,0.0,1.0,63.41,63.75,62.81,63.7,987039.0
2017-06-07,63.25,63.76,63.07,63.36,786005.0,0.0,1.0,63.25,63.76,63.07,63.36,786005.0
2017-06-06,63.24,63.45,63.04,63.2,1376831.0,0.0,1.0,63.24,63.45,63.04,63.2,1376831.0
2017-06-05,63.24,63.56,63.22,63.32,839559.0,0.0,1.0,63.24,63.56,63.22,63.32,839559.0
2017-06-02,62.9,63.83,62.845,63.41,1188250.0,0.0,1.0,62.9,63.83,62.845,63.41,1188250.0
2017-06-01,62.73,63.43,62.475,62.99,1105514.0,0.0,1.0,62.73,63.43,62.475,62.99,1105514.0
2017-05-31,63.42,63.56,61.8,62.45,3926649.0,0.0,1.0,63.42,63.56,61.8,62.45,3926649.0
