Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,169.18,172.49,168.95,170.35,693046.0,0.0,1.0,169.18,172.49,168.95,170.35,693046.0
2017-08-03,169.95,170.97,168.78,169.47,630098.0,0.0,1.0,169.95,170.97,168.78,169.47,630098.0
2017-08-02,168.84,170.67,167.96,170.02,970756.0,0.0,1.0,168.84,170.67,167.96,170.02,970756.0
2017-08-01,167.47,169.72,166.36,169.72,1066405.0,0.0,1.0,167.47,169.72,166.36,169.72,1066405.0
2017-07-31,165.79,166.945,164.86,166.74,1476151.0,0.0,1.0,165.79,166.945,164.86,166.74,1476151.0
2017-07-28,167.0,167.8,164.14,165.23,719082.0,0.0,1.0,167.0,167.8,164.14,165.23,719082.0
2017-07-27,165.4,167.66,164.55,167.47,895927.0,0.0,1.0,165.4,167.66,164.55,167.47,895927.0
2017-07-26,169.06,169.7,165.92,166.18,982320.0,0.0,1.0,169.06,169.7,165.92,166.18,982320.0
2017-07-25,168.0,171.02,166.79,169.06,976650.0,0.0,1.0,168.0,171.02,166.79,169.06,976650.0
2017-07-24,164.92,168.24,164.765,166.88,969704.0,0.0,1.0,164.92,168.24,164.765,166.88,969704.0
2017-07-21,165.04,165.83,163.35,164.94,1340246.0,0.0,1.0,165.04,165.83,163.35,164.94,1340246.0
2017-07-20,163.35,168.67,162.67,165.96,1888261.0,0.0,1.0,163.35,168.67,162.67,165.96,1888261.0
2017-07-19,180.06,180.4,160.29,162.19,3867130.0,0.0,1.0,180.06,180.4,160.29,162.19,3867130.0
2017-07-18,171.73,175.03,171.2,174.48,1744716.0,0.0,1.0,171.73,175.03,171.2,174.48,1744716.0
2017-07-17,171.95,174.1,170.51,172.21,1090057.0,0.0,1.0,171.95,174.1,170.51,172.21,1090057.0
2017-07-14,170.95,172.64,170.05,171.89,1249574.0,0.0,1.0,170.95,172.64,170.05,171.89,1249574.0
2017-07-13,168.77,170.98,168.61,170.0,1453338.0,0.0,1.0,168.77,170.98,168.61,170.0,1453338.0
2017-07-12,177.71,178.44,167.44,168.81,1919160.0,0.0,1.0,177.71,178.44,167.44,168.81,1919160.0
2017-07-11,177.62,177.62,173.61,176.53,956045.0,0.0,1.0,177.62,177.62,173.61,176.53,956045.0
2017-07-10,179.51,180.4,176.62,178.07,941798.0,0.0,1.0,179.51,180.4,176.62,178.07,941798.0
2017-07-07,181.12,181.12,178.23,179.26,600852.0,0.0,1.0,181.12,181.12,178.23,179.26,600852.0
2017-07-06,183.73,184.89,180.61,181.12,1001955.0,0.0,1.0,183.73,184.89,180.61,181.12,1001955.0
2017-07-05,185.13,185.815,181.26,184.18,1243204.0,0.0,1.0,185.13,185.815,181.26,184.18,1243204.0
2017-07-03,181.73,185.67,180.82,185.15,782335.0,0.0,1.0,181.73,185.67,180.82,185.15,782335.0
2017-06-30,179.35,181.52,178.29,180.53,680429.0,0.0,1.0,179.35,181.52,178.29,180.53,680429.0
2017-06-29,177.62,180.2,177.565,178.96,830915.0,0.0,1.0,177.62,180.2,177.565,178.96,830915.0
2017-06-28,176.09,178.55,175.78,176.96,577889.0,0.0,1.0,176.09,178.55,175.78,176.96,577889.0
2017-06-27,177.92,177.92,173.55,175.08,663671.0,0.0,1.0,177.92,177.92,173.55,175.08,663671.0
