Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,42.0,42.11,41.55,41.99,6534104.0,0.0,1.0,42.0,42.11,41.55,41.99,6534104.0
2017-08-03,42.77,42.85,41.76,42.03,7944770.0,0.0,1.0,42.77,42.85,41.76,42.03,7944770.0
2017-08-02,42.13,42.95,41.81,42.85,9983325.0,0.0,1.0,42.13,42.95,41.81,42.85,9983325.0
2017-08-01,42.5,42.565,41.68,42.45,14301533.0,0.0,1.0,42.5,42.565,41.68,42.45,14301533.0
2017-07-31,42.82,42.9,42.16,42.44,8185424.0,0.0,1.0,42.82,42.9,42.16,42.44,8185424.0
2017-07-28,42.77,44.0,42.7099,42.93,8895558.0,0.0,1.0,42.77,44.0,42.7099,42.93,8895558.0
2017-07-27,43.5,44.39,42.54,43.09,10452311.0,0.0,1.0,43.5,44.39,42.54,43.09,10452311.0
2017-07-26,43.04,43.77,42.32,43.32,11246818.0,0.0,1.0,43.04,43.77,42.32,43.32,11246818.0
2017-07-25,42.89,43.705,42.68,42.69,13843568.0,0.0,1.0,42.89,43.705,42.68,42.69,13843568.0
2017-07-24,45.05,45.2999,42.02,42.51,22393013.0,0.0,1.0,45.05,45.2999,42.02,42.51,22393013.0
2017-07-21,45.36,45.61,44.12,44.38,11819179.0,0.0,1.0,45.36,45.61,44.12,44.38,11819179.0
2017-07-20,45.89,46.06,45.06,45.38,10591737.0,0.0,1.0,45.89,46.06,45.06,45.38,10591737.0
2017-07-19,43.97,45.82,43.92,45.58,12052226.0,0.0,1.0,43.97,45.82,43.92,45.58,12052226.0
2017-07-18,44.41,44.41,43.655,44.0,8182316.0,0.0,1.0,44.41,44.41,43.655,44.0,8182316.0
2017-07-17,44.15,44.52,44.0,44.11,6880422.0,0.0,1.0,44.15,44.52,44.0,44.11,6880422.0
2017-07-14,43.9,44.415,43.81,44.22,7943601.0,0.0,1.0,43.9,44.415,43.81,44.22,7943601.0
2017-07-13,42.7,43.85,42.67,43.77,8674818.0,0.0,1.0,42.7,43.85,42.67,43.77,8674818.0
2017-07-12,43.51,43.68,42.6,42.78,5692252.0,0.0,1.0,43.51,43.68,42.6,42.78,5692252.0
2017-07-11,42.35,43.17,42.19,42.71,5400893.0,0.0,1.0,42.35,43.17,42.19,42.71,5400893.0
2017-07-10,41.51,42.51,41.43,42.32,6132124.0,0.0,1.0,41.51,42.51,41.43,42.32,6132124.0
2017-07-07,41.85,41.94,41.03,41.78,10193165.0,0.0,1.0,41.85,41.94,41.03,41.78,10193165.0
2017-07-06,43.1,43.42,41.86,42.02,9338625.0,0.0,1.0,43.1,43.42,41.86,42.02,9338625.0
2017-07-05,44.07,44.07,42.53,42.86,9475855.0,0.0,1.0,44.07,44.07,42.53,42.86,9475855.0
2017-07-03,42.94,44.01,42.73,43.72,5754768.0,0.0,1.0,42.94,44.01,42.73,43.72,5754768.0
2017-06-30,42.8,43.06,42.3,42.71,7160773.0,0.0,1.0,42.8,43.06,42.3,42.71,7160773.0
2017-06-29,42.2,42.97,42.13,42.42,7879788.0,0.0,1.0,42.2,42.97,42.13,42.42,7879788.0
2017-06-28,41.6,42.41,41.54,42.01,8331721.0,0.0,1.0,41.6,42.41,41.54,42.01,8331721.0
2017-06-27,41.83,42.3,41.47,41.53,7244070.0,0.0,1.0,41.83,42.3,41.47,41.53,7244070.0
2017-06-26,41.84,42.0,41.48,41.7,5517149.0,0.0,1.0,41.84,42.0,41.48,41.7,5517149.0
2017-06-23,41.9,42.02,41.3636,41.5,19487568.0,0.0,1.0,41.9,42.02,41.3636,41.5,19487568.0
2017-06-22,42.25,42.56,41.9,41.9,11881201.0,0.0,1.0,42.25,42.56,41.9,41.9,11881201.0
2017-06-21,43.15,43.21,41.95,42.23,18500659.0,0.0,1.0,43.15,43.21,41.95,42.23,18500659.0
2017-06-20,43.29,43.565,42.44,43.4,11237583.0,0.0,1.0,43.29,43.565,42.44,43.4,11237583.0
2017-06-19,44.3,44.42,43.62,43.97,8613682.0,0.0,1.0,44.3,44.42,43.62,43.97,8613682.0
2017-06-16,44.38,44.38,43.73,44.27,10776828.0,0.0,1.0,44.38,44.38,43.73,44.27,10776828.0
2017-06-15,44.4,44.71,43.86,44.08,8839788.0,0.0,1.0,44.4,44.71,43.86,44.08,8839788.0
2017-06-14,45.69,45.69,44.19,44.83,13733054.0,0.0,1.0,45.69,45.69,44.19,44.83,13733054.0
2017-06-13,44.98,46.1776,44.8,45.84,12214166.0,0.0,1.0,44.98,46.1776,44.8,45.84,12214166.0
2017-06-12,45.39,45.63,44.675,44.92,9591516.0,0.0,1.0,45.39,45.63,44.675,44.92,9591516.0
2017-06-09,44.23,45.26,44.18,44.85,11389377.0,0.0,1.0,44.23,45.26,44.18,44.85,11389377.0
2017-06-08,44.0,44.6,43.905,44.13,10363849.0,0.0,1.0,44.0,44.6,43.905,44.13,10363849.0
2017-06-07,45.71,46.01,44.01,44.4,16377431.0,0.0,1.0,45.71,46.01,44.01,44.4,16377431.0
2017-06-06,45.29,46.22,44.975,46.0,9345497.0,0.0,1.0,45.29,46.22,44.975,46.0,9345497.0
2017-06-05,44.77,45.54,44.77,45.32,5920049.0,0.18,1.0,44.77,45.54,44.77,45.32,5920049.0
2017-06-02,45.09,45.5,44.62,45.3,9598250.0,0.0,1.0,44.911621978,45.32,44.4434813187,45.1207912088,9598250.0
2017-06-01,45.3,45.88,44.82,45.49,9067163.0,0.0,1.0,45.1207912088,45.6984967033,44.6426901099,45.3100395604,9067163.0
2017-05-31,44.66,45.59,44.27,45.19,9938243.0,0.0,1.0,44.4833230769,45.409643956,44.0948659341,45.0112263736,9938243.0
2017-05-30,45.36,45.43,44.95,45.15,8476193.0,0.0,1.0,45.1805538462,45.2502769231,44.7721758242,44.9713846154,8476193.0
2017-05-26,45.43,46.04,45.25,45.76,9938793.0,0.0,1.0,45.2502769231,45.8578637363,45.070989011,45.5789714286,9938793.0
2017-05-25,47.59,48.3223,45.0,45.41,18437945.0,0.0,1.0,47.4017318681,48.1311348571,44.821978022,45.230356044,18437945.0
2017-05-24,47.58,48.12,47.32,47.71,10363860.0,0.0,1.0,47.3917714286,47.9296351648,47.1328,47.5212571429,10363860.0
2017-05-23,47.06,47.86,46.68,47.6,11837502.0,0.0,1.0,46.8738285714,47.6706637363,46.4953318681,47.4116923077,11837502.0
2017-05-22,47.97,48.18,46.8627,47.12,9494368.0,0.0,1.0,47.7802285714,47.9893978022,46.6773090989,46.9335912088,9494368.0
2017-05-19,47.29,48.035,47.04,47.78,13304604.0,0.0,1.0,47.1029186813,47.8449714286,46.8539076923,47.5909802198,13304604.0
2017-05-18,46.05,46.87,45.67,46.58,9072318.0,0.0,1.0,45.8678241758,46.6845802198,45.4893274725,46.3957274725,9072318.0
2017-05-17,46.53,47.11,46.215,46.34,8064530.0,0.0,1.0,46.3459252747,46.9236307692,46.0321714286,46.1566769231,8064530.0
2017-05-16,46.89,46.92,46.21,46.78,8862660.0,0.0,1.0,46.7045010989,46.7343824176,46.0271912088,46.5949362637,8862660.0
2017-05-15,46.2,47.11,45.97,46.51,12589530.0,0.0,1.0,46.0172307692,46.9236307692,45.7881406593,46.3260043956,12589530.0
2017-05-12,45.72,45.72,44.97,45.14,8969334.0,0.0,1.0,45.5391296703,45.5391296703,44.7920967033,44.9614241758,8969334.0
2017-05-11,46.37,46.37,45.56,45.61,7942140.0,0.0,1.0,46.1865582418,46.1865582418,45.3797626374,45.4295648352,7942140.0
2017-05-10,45.49,46.33,45.43,45.81,10051454.0,0.0,1.0,45.3100395604,46.1467164835,45.2502769231,45.6287736264,10051454.0
2017-05-09,45.37,45.5047,44.8,45.03,8453867.0,0.0,1.0,45.1905142857,45.3246814066,44.6227692308,44.8518593407,8453867.0
2017-05-08,45.66,45.925,45.28,45.36,8283086.0,0.0,1.0,45.479367033,45.7433186813,45.1008703297,45.1805538462,8283086.0
2017-05-05,44.6,45.71,44.535,45.58,11907085.0,0.0,1.0,44.4235604396,45.5291692308,44.3588175824,45.3996835165,11907085.0
2017-05-04,44.7,44.79,43.7,44.6,13768684.0,0.0,1.0,44.5231648352,44.6128087912,43.5271208791,44.4235604396,13768684.0
2017-05-03,45.12,45.55,44.91,45.25,7261334.0,0.0,1.0,44.9415032967,45.3698021978,44.7323340659,45.070989011,7261334.0
2017-05-02,45.82,46.07,45.085,45.3,7739714.0,0.0,1.0,45.6387340659,45.8877450549,44.9066417582,45.1207912088,7739714.0
2017-05-01,45.94,46.118,45.555,45.77,4640669.0,0.0,1.0,45.7582593407,45.9355551648,45.3747824176,45.5889318681,4640669.0
2017-04-28,47.34,47.38,45.83,45.88,7352408.0,0.0,1.0,47.1527208791,47.1925626374,45.6486945055,45.6984967033,7352408.0
2017-04-27,46.6,46.82,45.1,46.4,12907572.0,0.0,1.0,46.4156483516,46.634778022,44.9215824176,46.2164395604,12907572.0
2017-04-26,46.65,47.55,46.6,46.99,7921853.0,0.0,1.0,46.4654505495,47.3618901099,46.4156483516,46.8041054945,7921853.0
2017-04-25,46.88,47.22,46.71,47.02,8032493.0,0.0,1.0,46.6945406593,47.0331956044,46.5252131868,46.8339868132,8032493.0
2017-04-24,47.22,47.98,46.63,46.75,11843609.0,0.0,1.0,47.0331956044,47.790189011,46.4455296703,46.5650549451,11843609.0
2017-04-21,47.15,47.66,46.78,47.06,13268858.0,0.0,1.0,46.9634725275,47.4714549451,46.5949362637,46.8738285714,13268858.0
2017-04-20,47.82,48.26,47.58,47.69,6424255.0,0.0,1.0,47.630821978,48.0690813187,47.3917714286,47.5013362637,6424255.0
2017-04-19,48.73,48.84,47.15,47.43,9432827.0,0.0,1.0,48.537221978,48.6467868132,46.9634725275,47.2423648352,9432827.0
2017-04-18,48.47,48.95,48.29,48.53,4703299.0,0.0,1.0,48.2782505495,48.7563516484,48.0989626374,48.3380131868,4703299.0
2017-04-17,48.38,48.85,48.24,48.84,5248969.0,0.0,1.0,48.1886065934,48.6567472527,48.0491604396,48.6467868132,5248969.0
2017-04-13,49.19,49.42,48.18,48.38,6762440.0,0.0,1.0,48.9954021978,49.2244923077,47.9893978022,48.1886065934,6762440.0
2017-04-12,50.0,50.23,49.15,49.33,7357972.0,0.0,1.0,49.8021978022,50.0312879121,48.9555604396,49.1348483516,7357972.0
2017-04-11,49.97,50.02,49.085,50.01,6766851.0,0.0,1.0,49.7723164835,49.8221186813,48.8908175824,49.8121582418,6766851.0
2017-04-10,49.94,50.23,49.75,49.97,5588115.0,0.0,1.0,49.7424351648,50.0312879121,49.5531868132,49.7723164835,5588115.0
2017-04-07,50.33,50.5,49.5,49.68,6211456.0,0.0,1.0,50.1308923077,50.3002197802,49.3041758242,49.4834637363,6211456.0
2017-04-06,50.2,50.45,49.8613,50.15,5773233.0,0.0,1.0,50.0014065934,50.2504175824,49.6640465055,49.9516043956,5773233.0
2017-04-05,50.25,51.2599,49.82,49.85,12281873.0,0.0,1.0,50.0512087912,51.0571135824,49.6229098901,49.6527912088,12281873.0
2017-04-04,49.3,49.69,48.7607,49.55,6288801.0,0.0,1.0,49.104967033,49.4934241758,48.5678005275,49.353978022,6288801.0
2017-04-03,49.46,49.66,48.81,49.28,6870682.0,0.0,1.0,49.2643340659,49.4635428571,48.6169054945,49.0850461538,6870682.0
2017-03-31,49.02,49.52,48.91,49.21,6392574.0,0.0,1.0,48.8260747253,49.3240967033,48.7165098901,49.0153230769,6392574.0
2017-03-30,49.76,49.82,48.65,49.02,11840212.0,0.0,1.0,49.5631472527,49.6229098901,48.4575384615,48.8260747253,11840212.0
2017-03-29,48.0,49.515,47.96,49.22,10831220.0,0.0,1.0,47.8101098901,49.3191164835,47.7702681319,49.0252835165,10831220.0
2017-03-28,47.92,48.265,47.55,48.02,10599574.0,0.0,1.0,47.7304263736,48.0740615385,47.3618901099,47.8300307692,10599574.0
2017-03-27,48.6,48.77,47.52,47.78,14193715.0,0.0,1.0,48.4077362637,48.5770637363,47.3320087912,47.5909802198,14193715.0
2017-03-24,49.2,50.62,49.19,49.41,9607359.0,0.0,1.0,49.0053626374,50.4197450549,48.9954021978,49.2145318681,9607359.0
2017-03-23,49.74,50.16,49.43,49.71,5620703.0,0.0,1.0,49.5432263736,49.9615648352,49.2344527473,49.5133450549,5620703.0
2017-03-22,49.87,50.31,49.36,49.83,7544858.0,0.0,1.0,49.6727120879,50.1109714286,49.1647296703,49.6328703297,7544858.0
2017-03-21,51.11,51.26,49.815,50.15,7672975.0,0.0,1.0,50.9078065934,51.0572131868,49.6179296703,49.9516043956,7672975.0
2017-03-20,50.36,50.825,49.84,50.64,7763223.0,0.0,1.0,50.1607736264,50.6239340659,49.6428307692,50.4396659341,7763223.0
2017-03-17,51.15,51.47,50.59,50.78,8131399.0,0.0,1.0,50.9476483516,51.2663824176,50.3898637363,50.5791120879,8131399.0
2017-03-16,51.65,51.83,50.81,50.92,7336031.0,0.0,1.0,51.4456703297,51.6249582418,50.6089934066,50.7185582418,7336031.0
2017-03-15,50.32,51.92,49.99,51.54,9992994.0,0.0,1.0,50.1209318681,51.7146021978,49.7922373626,51.3361054945,9992994.0
2017-03-14,50.05,50.15,48.5401,49.8,13128057.0,0.0,1.0,49.852,49.9516043956,48.3480732308,49.602989011,13128057.0
2017-03-13,51.02,51.33,50.67,50.88,6272392.0,0.0,1.0,50.8181626374,51.1269362637,50.4695472527,50.6787164835,6272392.0
2017-03-10,51.39,51.5,50.61,50.91,7710619.0,0.0,1.0,51.1866989011,51.2962637363,50.4097846154,50.7085978022,7710619.0
2017-03-09,50.59,50.99,49.75,50.89,14967420.0,0.0,1.0,50.3898637363,50.7882813187,49.5531868132,50.6886769231,14967420.0
2017-03-08,52.63,53.23,51.195,51.29,14736919.0,0.0,1.0,52.4217934066,53.0194197802,50.9924703297,51.0870945055,14736919.0
2017-03-07,53.72,53.78,52.8301,52.97,7246368.0,0.0,1.0,53.5074813187,53.567243956,52.6211018022,52.7604483516,7246368.0
2017-03-06,53.79,53.995,53.34,53.8,5656123.0,0.0,1.0,53.5772043956,53.7813934066,53.1289846154,53.5871648352,5656123.0
2017-03-03,54.0,54.4,53.7,53.87,4105033.0,0.0,1.0,53.7863736264,54.1847912088,53.4875604396,53.6568879121,4105033.0
2017-03-02,54.37,54.5,53.68,53.87,5772039.0,0.0,1.0,54.1549098901,54.2843956044,53.4676395604,53.6568879121,5772039.0
2017-03-01,53.97,55.21,53.94,54.7,7176434.0,0.0,1.0,53.7564923077,54.9915868132,53.726610989,54.4836043956,7176434.0
2017-02-28,53.0,53.65,52.5,53.46,6503678.0,0.0,1.0,52.7903296703,53.4377582418,52.2923076923,53.2485098901,6503678.0
2017-02-27,52.86,53.71,52.59,53.2,6877618.0,0.18,1.0,52.6508835165,53.4975208791,52.3819516484,52.9895384615,6877618.0
2017-02-24,52.75,53.0,52.35,52.87,6489597.0,0.0,1.0,52.3641467562,52.6123180678,51.9670726576,52.4832689858,6489597.0
2017-02-23,53.75,54.28,53.1,53.19,7971039.0,0.0,1.0,53.3568320028,53.8829551834,52.7115865925,52.8009282647,7971039.0
2017-02-22,53.49,53.93,52.99,53.06,7736109.0,0.0,1.0,53.0987338387,53.5355153471,52.6023912154,52.6718791826,7736109.0
2017-02-21,54.44,54.93,53.8,53.84,7495062.0,0.0,1.0,54.0417848229,54.5282005937,53.4064662651,53.446173675,7495062.0
2017-02-17,54.02,54.405,53.525,53.71,9055626.0,0.0,1.0,53.6248570193,54.0070408393,53.1334778223,53.3171245929,9055626.0
2017-02-16,55.82,56.0,54.26,54.31,10925646.0,0.0,1.0,55.4116904632,55.5903738075,53.8631014785,53.9127357408,10925646.0
2017-02-15,56.18,56.56,55.6576,55.77,5978525.0,0.0,1.0,55.7690571519,56.1462775456,55.2504783791,55.3620562008,5978525.0
2017-02-14,56.05,56.58,56.01,56.54,8102296.0,0.0,1.0,55.6400080699,56.1661312505,55.60030066,56.1264238407,8102296.0
2017-02-13,56.14,56.76,55.96,56.32,7161827.0,0.0,1.0,55.7293497421,56.3448145949,55.5506663977,55.9080330864,7161827.0
2017-02-10,57.02,57.38,55.99,56.13,7937524.0,0.0,1.0,56.602912759,56.9602794478,55.5804469551,55.7194228896,7937524.0
2017-02-09,55.87,56.76,55.65,56.68,9320932.0,0.0,1.0,55.4613247255,56.3448145949,55.2429339712,56.2653997752,9320932.0
2017-02-08,54.6,55.45,53.5,55.44,9848776.0,0.0,1.0,54.2006144623,55.0443969219,53.1086606911,55.0344700695,9848776.0
2017-02-07,55.74,56.0,54.6,54.88,8394560.0,0.0,1.0,55.3322756434,55.5903738075,54.2006144623,54.4785663314,8394560.0
2017-02-06,56.64,56.76,56.01,56.1,4745193.0,0.0,1.0,56.2256923653,56.3448145949,55.60030066,55.6896423322,4745193.0
2017-02-03,56.25,57.06,56.13,56.58,5344372.0,0.0,1.0,55.8385451192,56.6426201689,55.7194228896,56.1661312505,5344372.0
2017-02-02,56.46,56.59,55.7,56.29,6183447.0,0.0,1.0,56.047009021,56.176058103,55.2925682336,55.878252529,6183447.0
2017-02-01,57.18,57.23,55.41,56.23,7082982.0,0.0,1.0,56.7617423985,56.8113766608,55.0046895121,55.8186914142,7082982.0
2017-01-31,56.73,56.78,55.81,56.57,5849321.0,0.0,1.0,56.3150340375,56.3646682999,55.4017636107,56.1562043981,5849321.0
2017-01-30,58.02,58.1,55.37,56.48,10360950.0,0.0,1.0,57.5955980056,57.6750128253,54.9649821022,56.0668627259,10360950.0
2017-01-27,57.94,58.47,57.75,58.21,6892974.0,0.0,1.0,57.5161831859,58.0423063665,57.327572989,57.7842082024,6892974.0
2017-01-26,57.46,58.78,57.46,58.06,8989812.0,0.0,1.0,57.0396942675,58.350038793,57.0396942675,57.6353054155,8989812.0
2017-01-25,56.9,57.7,56.76,57.41,9837065.0,0.0,1.0,56.4837905294,57.2779387267,56.3448145949,56.9900600052,9837065.0
2017-01-24,55.24,56.79,55.09,56.62,11276703.0,0.0,1.0,54.8359330201,56.3745951523,54.6870302332,56.2058386604,11276703.0
2017-01-23,55.0,55.2,53.92,54.8,17717951.0,0.0,1.0,54.597688561,54.7962256103,53.5255884947,54.3991515117,17717951.0
2017-01-20,56.12,56.84,55.99,56.45,14784136.0,0.0,1.0,55.7094960371,56.4242294146,55.5804469551,56.0370821685,14784136.0
2017-01-19,55.07,55.4,54.78,55.34,9144435.0,0.0,1.0,54.6671765282,54.9947626596,54.3792978067,54.9352015448,9144435.0
2017-01-18,54.5,55.3,54.43,55.13,6156343.0,0.0,1.0,54.1013459377,54.8954941349,54.0318579704,54.726737643,6156343.0
2017-01-17,54.67,55.06,54.19,55.01,7712635.0,0.0,1.0,54.2701024296,54.6572496758,53.7936135113,54.6076154134,7712635.0
2017-01-13,54.7,55.19,54.49,54.54,5995616.0,0.0,1.0,54.299882987,54.7862987578,54.0914190852,54.1410533476,5995616.0
2017-01-12,55.8,55.85,55.07,55.18,5953573.0,0.0,1.0,55.3918367582,55.4414710205,54.6671765282,54.7763719054,5953573.0
2017-01-11,55.09,55.61,54.69,55.39,9995110.0,0.0,1.0,54.6870302332,55.2032265614,54.2899561345,54.9848358071,9995110.0
2017-01-10,56.05,56.055,54.62,54.64,9774121.0,0.0,1.0,55.6400080699,55.6449714961,54.2204681673,54.2403218722,9774121.0
2017-01-09,56.1,56.33,55.8099,56.07,9080525.0,0.0,1.0,55.6896423322,55.9179599389,55.4016643422,55.6598617748,9080525.0
2017-01-06,56.23,56.98,55.91,56.66,7899545.0,0.0,1.0,55.8186914142,56.5632053492,55.5010321353,56.2455460703,7899545.0
2017-01-05,56.19,56.88,56.04,56.21,7083057.0,0.0,1.0,55.7789840044,56.4639368245,55.6300812174,55.7988377093,7083057.0
2017-01-04,55.61,56.15,55.491,55.89,6265397.0,0.0,1.0,55.2032265614,55.7392765945,55.085097017,55.4811784304,6265397.0
2017-01-03,54.96,56.33,54.95,55.68,10531666.0,0.0,1.0,54.5579811511,55.9179599389,54.5480542986,55.2727145286,10531666.0
2016-12-30,54.03,54.36,53.61,54.09,4655516.0,0.0,1.0,53.6347838718,53.9623700032,53.2178560682,53.6943449866,4655516.0
2016-12-29,54.14,54.46,53.84,54.04,4237456.0,0.0,1.0,53.7439792489,54.0616385278,53.446173675,53.6447107243,4237456.0
2016-12-28,55.11,55.22,54.18,54.3,4956825.0,0.0,1.0,54.7068839381,54.8160793152,53.7836866588,53.9028088884,4956825.0
2016-12-27,55.02,55.54,54.7,54.91,3609768.0,0.0,1.0,54.6175422659,55.1337385941,54.299882987,54.5083468888,3609768.0
2016-12-23,55.04,55.26,54.63,54.84,3168012.0,0.0,1.0,54.6373959708,54.8557867251,54.2303950197,54.4388589215,3168012.0
2016-12-22,54.63,55.42,54.63,55.07,5370484.0,0.0,1.0,54.2303950197,55.0146163645,54.2303950197,54.6671765282,5370484.0
2016-12-21,53.76,55.28,53.35,54.96,10087753.0,0.0,1.0,53.3667588552,54.87564043,52.9597579041,54.5579811511,10087753.0
2016-12-20,54.15,54.25,53.115,53.33,8164332.0,0.0,1.0,53.7539061014,53.853174626,52.7264768712,52.9399041992,8164332.0
