Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,151.01,152.75,150.8,152.75,3258581.0,0.0,1.0,151.01,152.75,150.8,152.75,3258581.0
2017-08-03,150.7,152.03,150.5,150.79,5146465.0,0.0,1.0,150.7,152.03,150.5,150.79,5146465.0
2017-08-02,149.94,150.86,149.92,150.5,3754192.0,0.0,1.0,149.94,150.86,149.92,150.5,3754192.0
2017-08-01,150.24,150.39,148.95,149.85,4110605.0,0.0,1.0,150.24,150.39,148.95,149.85,4110605.0
2017-07-31,148.0,149.98,147.54,149.6,5253318.0,0.0,1.0,148.0,149.98,147.54,149.6,5253318.0
2017-07-28,147.9,148.27,147.32,148.08,3421081.0,0.0,1.0,147.9,148.27,147.32,148.08,3421081.0
2017-07-27,146.18,147.86,145.89,147.73,5399029.0,0.0,1.0,146.18,147.86,145.89,147.73,5399029.0
2017-07-26,146.86,147.245,145.96,146.69,2835975.0,0.0,1.0,146.86,147.245,145.96,146.69,2835975.0
2017-07-25,145.74,147.4,145.28,146.97,5002381.0,0.0,1.0,145.74,147.4,145.28,146.97,5002381.0
2017-07-24,146.61,146.69,144.25,144.58,7294422.0,0.0,1.0,146.61,146.69,144.25,144.58,7294422.0
2017-07-21,147.03,147.46,146.13,146.65,9120167.0,0.0,1.0,147.03,147.46,146.13,146.65,9120167.0
2017-07-20,152.56,152.57,145.61,147.03,18258694.0,0.0,1.0,152.56,152.57,145.61,147.03,18258694.0
2017-07-19,152.55,154.0,152.55,153.3,2808385.0,0.0,1.0,152.55,154.0,152.55,153.3,2808385.0
2017-07-18,153.75,153.86,151.98,152.17,3783567.0,0.0,1.0,153.75,153.86,151.98,152.17,3783567.0
2017-07-17,152.9,154.5,152.72,153.89,4166468.0,0.0,1.0,152.9,154.5,152.72,153.89,4166468.0
2017-07-14,153.22,153.67,151.82,152.88,3588205.0,0.0,1.0,153.22,153.67,151.82,152.88,3588205.0
2017-07-13,152.82,154.13,152.6,153.29,3287961.0,0.0,1.0,152.82,154.13,152.6,153.29,3287961.0
2017-07-12,151.46,153.14,151.09,152.59,4275878.0,0.0,1.0,151.46,153.14,151.09,152.59,4275878.0
2017-07-11,151.45,151.81,150.5,150.6,5641983.0,0.0,1.0,151.45,151.81,150.5,150.6,5641983.0
2017-07-10,152.22,152.26,151.0,151.18,5081101.0,0.0,1.0,152.22,152.26,151.0,151.18,5081101.0
2017-07-07,152.04,152.87,151.9,152.23,3775383.0,0.0,1.0,152.04,152.87,151.9,152.23,3775383.0
2017-07-06,151.77,152.48,151.22,152.05,3408538.0,0.0,1.0,151.77,152.48,151.22,152.05,3408538.0
2017-07-05,154.01,154.295,151.46,152.69,4432537.0,0.0,1.0,154.01,154.295,151.46,152.69,4432537.0
2017-07-03,154.39,154.79,153.71,154.01,1658535.0,0.0,1.0,154.39,154.79,153.71,154.01,1658535.0
2017-06-30,152.51,154.0,152.27,153.4,3640801.0,0.0,1.0,152.51,154.0,152.27,153.4,3640801.0
2017-06-29,152.77,153.0,151.52,152.16,2855395.0,0.0,1.0,152.77,153.0,151.52,152.16,2855395.0
2017-06-28,152.75,153.45,152.36,153.23,5084618.0,0.0,1.0,152.75,153.45,152.36,153.23,5084618.0
2017-06-27,151.06,153.25,150.75,152.24,4567125.0,0.0,1.0,151.06,153.25,150.75,152.24,4567125.0
2017-06-26,151.67,151.97,151.13,151.42,4128535.0,0.0,1.0,151.67,151.97,151.13,151.42,4128535.0
2017-06-23,155.16,155.23,150.91,151.31,11422231.0,0.0,1.0,155.16,155.23,150.91,151.31,11422231.0
2017-06-22,156.44,157.07,155.47,155.48,3347363.0,0.0,1.0,156.44,157.07,155.47,155.48,3347363.0
2017-06-21,157.91,158.53,156.43,156.59,4071298.0,0.0,1.0,157.91,158.53,156.43,156.59,4071298.0
2017-06-20,158.73,159.2242,157.6,157.67,4201226.0,0.0,1.0,158.73,159.2242,157.6,157.67,4201226.0
2017-06-19,156.91,159.03,156.39,158.81,5195484.0,0.0,1.0,156.91,159.03,156.39,158.81,5195484.0
2017-06-16,156.25,156.69,155.41,156.64,9105408.0,0.0,1.0,156.25,156.69,155.41,156.64,9105408.0
