Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,249.59,251.795,245.19,245.93,1557990.0,0.0,1.0,249.59,251.795,245.19,245.93,1557990.0
2017-08-03,241.83,249.33,241.69,248.84,2366057.0,0.0,1.0,241.83,249.33,241.69,248.84,2366057.0
2017-08-02,238.0,242.78,237.1,241.09,2951853.0,0.0,1.0,238.0,242.78,237.1,241.09,2951853.0
2017-08-01,231.64,232.47,229.84,230.77,1022824.0,0.0,1.0,231.64,232.47,229.84,230.77,1022824.0
2017-07-31,233.69,233.71,230.87,231.2,844476.0,0.0,1.0,233.69,233.71,230.87,231.2,844476.0
2017-07-28,232.97,236.63,231.54,233.08,1590958.0,0.0,1.0,232.97,236.63,231.54,233.08,1590958.0
2017-07-27,233.22,234.58,231.09,232.6,782611.0,0.0,1.0,233.22,234.58,231.09,232.6,782611.0
2017-07-26,235.44,235.58,233.49,233.5,1114849.0,0.0,1.0,235.44,235.58,233.49,233.5,1114849.0
2017-07-25,236.26,236.91,234.34,234.91,948577.0,0.0,1.0,236.26,236.91,234.34,234.91,948577.0
2017-07-24,235.85,236.09,234.2,235.5,1219665.0,0.0,1.0,235.85,236.09,234.2,235.5,1219665.0
2017-07-21,235.44,236.52,234.7,235.92,1013821.0,0.0,1.0,235.44,236.52,234.7,235.92,1013821.0
2017-07-20,236.11,237.09,234.84,235.83,1063572.0,0.0,1.0,236.11,237.09,234.84,235.83,1063572.0
2017-07-19,235.18,237.67,235.005,236.23,934991.0,0.0,1.0,235.18,237.67,235.005,236.23,934991.0
2017-07-18,238.18,238.18,231.99,235.06,1575295.0,0.0,1.0,238.18,238.18,231.99,235.06,1575295.0
2017-07-17,239.42,239.82,237.41,237.56,808232.0,0.0,1.0,239.42,239.82,237.41,237.56,808232.0
2017-07-14,238.0,239.27,237.4,239.09,1126881.0,0.0,1.0,238.0,239.27,237.4,239.09,1126881.0
2017-07-13,240.23,240.23,237.6,238.06,893135.0,0.0,1.0,240.23,240.23,237.6,238.06,893135.0
2017-07-12,238.59,240.0,238.59,239.22,947138.0,0.0,1.0,238.59,240.0,238.59,239.22,947138.0
2017-07-11,239.0,241.47,238.565,239.04,783143.0,0.0,1.0,239.0,241.47,238.565,239.04,783143.0
2017-07-10,237.59,239.57,237.345,239.04,1546630.0,0.0,1.0,237.59,239.57,237.345,239.04,1546630.0
2017-07-07,238.5,239.68,237.5,238.23,1318999.0,0.0,1.0,238.5,239.68,237.5,238.23,1318999.0
2017-07-06,241.76,243.14,237.75,238.46,1232982.0,0.0,1.0,241.76,243.14,237.75,238.46,1232982.0
2017-07-05,239.29,243.22,239.22,242.32,948217.0,0.0,1.0,239.29,243.22,239.22,242.32,948217.0
2017-07-03,241.87,243.74,238.75,238.95,521047.0,0.0,1.0,241.87,243.74,238.75,238.95,521047.0
2017-06-30,239.58,241.96,239.58,240.62,1322442.0,0.0,1.0,239.58,241.96,239.58,240.62,1322442.0
2017-06-29,240.9,241.07,237.13,239.34,1248035.0,0.0,1.0,240.9,241.07,237.13,239.34,1248035.0
2017-06-28,239.01,241.12,237.12,239.76,1258203.0,0.4,1.0,239.01,241.12,237.12,239.76,1258203.0
2017-06-27,236.27,240.52,234.15,237.07,1650388.0,0.0,1.0,235.876479014,240.1194004,233.760009993,236.675146569,1650388.0
2017-06-26,237.78,238.41,233.86,234.75,1052044.0,0.0,1.0,237.383964024,238.012914724,233.470493005,234.35901066,1052044.0
2017-06-23,237.11,238.42,235.42,238.42,1303328.0,0.0,1.0,236.715079947,238.022898068,235.027894737,238.022898068,1303328.0
2017-06-22,236.15,241.334,235.34,237.0,1628190.0,0.0,1.0,235.756678881,240.932044637,234.948027981,236.605263158,1628190.0
2017-06-21,233.7,236.7499,233.69,236.21,1177389.0,0.0,1.0,233.310759494,236.355579714,233.300776149,235.816578947,1177389.0
2017-06-20,235.74,235.98,232.7,232.97,997777.0,0.0,1.0,235.347361759,235.586962025,232.31242505,232.58197535,997777.0
2017-06-19,234.5,236.82,234.09,235.49,1870167.0,0.0,1.0,234.109427049,236.425562958,233.700109927,235.097778148,1870167.0
2017-06-16,233.47,234.46,232.72,234.46,2573810.0,0.0,1.0,233.081142572,234.069493671,232.332391739,234.069493671,2573810.0
2017-06-15,231.26,232.56,230.08,232.41,927023.0,0.0,1.0,230.874823451,232.172658228,229.696788807,232.022908061,927023.0
2017-06-14,232.18,233.59,229.73,231.71,1069220.0,0.0,1.0,231.793291139,233.200942705,229.347371752,231.324073951,1069220.0
2017-06-13,228.15,232.02,227.91,231.95,1318891.0,0.0,1.0,227.770003331,231.633557628,227.530403065,231.563674217,1318891.0
2017-06-12,231.11,231.11,223.4,228.1,1919992.0,0.0,1.0,230.725073284,230.725073284,223.027914724,227.720086609,1919992.0
2017-06-09,231.37,232.69,229.69,229.69,2335579.0,0.0,1.0,230.98464024,232.302441706,229.307438374,229.307438374,2335579.0
2017-06-08,234.55,234.55,229.08,230.26,2821142.0,0.0,1.0,234.159343771,234.159343771,228.698454364,229.876489007,2821142.0
2017-06-07,234.94,235.77,233.34,233.75,2435289.0,0.0,1.0,234.548694204,235.377311792,232.951359094,233.360676216,2435289.0
2017-06-06,233.16,233.98,232.23,233.5,1339913.0,0.0,1.0,232.771658894,233.590293138,231.843207861,233.111092605,1339913.0
2017-06-05,233.68,234.1,232.65,232.76,1731259.0,0.0,1.0,233.290792805,233.710093271,232.262508328,232.372325117,1731259.0
2017-06-02,235.5,236.35,233.57,234.21,1270669.0,0.0,1.0,235.107761492,235.956345769,233.180976016,233.81991006,1270669.0
2017-06-01,232.16,235.98,232.16,235.0,1279938.0,0.0,1.0,231.77332445,235.586962025,231.77332445,234.60859427,1279938.0
2017-05-31,230.9,232.86,230.48,232.26,1217470.0,0.0,1.0,230.515423051,232.472158561,230.096122585,231.873157895,1217470.0
2017-05-30,232.27,232.995,229.92,230.37,1023100.0,0.0,1.0,231.883141239,232.606933711,229.537055296,229.986305796,1023100.0
2017-05-26,233.09,234.875,231.26,232.25,1670439.0,0.0,1.0,232.701775483,234.483802465,230.874823451,231.86317455,1670439.0
2017-05-25,232.5,234.87,231.44,232.23,1172122.0,0.0,1.0,232.112758161,234.478810793,231.054523651,231.843207861,1172122.0
2017-05-24,229.48,232.15,229.035,231.61,819569.0,0.0,1.0,229.097788141,231.763341106,228.653529314,231.224240506,819569.0
2017-05-23,230.3,230.73,227.35,229.28,859319.0,0.0,1.0,229.916422385,230.345706196,226.971335776,228.898121252,859319.0
2017-05-22,227.9,230.67,227.9,230.3,1076677.0,0.0,1.0,227.52041972,230.285806129,227.52041972,229.916422385,1076677.0
2017-05-19,229.24,229.87,226.66,227.89,1356660.0,0.0,1.0,228.858187875,229.487138574,226.28248501,227.510436376,1356660.0
2017-05-18,224.92,229.96,224.92,228.81,1867388.0,0.0,1.0,224.545383078,229.576988674,224.545383078,228.428904064,1867388.0
2017-05-17,224.88,229.67,224.6,224.92,2424454.0,0.0,1.0,224.5054497,229.287471686,224.225916056,224.545383078,2424454.0
2017-05-16,230.88,230.88,225.84,226.2,1825260.0,0.0,1.0,230.495456362,230.495456362,225.463850766,225.823251166,1825260.0
2017-05-15,231.77,232.48,229.8,231.11,2368817.0,0.0,1.0,231.383974017,232.092791472,229.417255163,230.725073284,2368817.0
2017-05-12,230.53,233.66,230.53,231.99,1444928.0,0.0,1.0,230.146039307,233.270826116,230.146039307,231.603607595,1444928.0
2017-05-11,229.79,231.46,228.07,230.73,1472073.0,0.0,1.0,229.407271819,231.07449034,227.690136576,230.345706196,1472073.0
2017-05-10,230.0,231.85,229.36,230.8,1651706.0,0.0,1.0,229.616922052,231.463840773,228.977988008,230.415589607,1651706.0
2017-05-09,229.99,232.39,229.8,230.59,1556966.0,0.0,1.0,229.606938708,232.002941372,229.417255163,230.205939374,1556966.0
2017-05-08,229.82,230.42,228.25,229.25,2039192.0,0.0,1.0,229.437221852,230.036222518,227.869836775,228.868171219,2039192.0
2017-05-05,229.22,230.53,228.03,229.76,1753788.0,0.0,1.0,228.838221186,230.146039307,227.650203198,229.377321785,1753788.0
2017-05-04,224.7,229.04,224.43,228.85,2826494.0,0.0,1.0,224.3257495,228.658520986,224.056199201,228.468837442,2826494.0
2017-05-03,228.59,228.609,223.16,224.02,1101711.0,0.0,1.0,228.209270486,228.228238841,222.788314457,223.646882079,1101711.0
2017-05-02,223.8,226.85,222.0,225.6,2282861.0,0.0,1.0,223.427248501,226.472168554,221.630246502,225.2242505,2282861.0
2017-05-01,222.19,224.77,220.8,223.37,1517400.0,0.0,1.0,221.819930047,224.395632911,220.43224517,222.99796469,1517400.0
2017-04-28,218.2,222.48,217.83,221.98,1225917.0,0.0,1.0,217.836575616,222.109447035,217.467191872,221.610279813,1225917.0
2017-04-27,219.69,221.97,218.17,218.67,1073910.0,0.0,1.0,219.324093937,221.600296469,217.806625583,218.305792805,1073910.0
2017-04-26,218.53,220.67,218.1,219.35,1273210.0,0.0,1.0,218.166025983,220.302461692,217.736742172,218.984660227,1273210.0
2017-04-25,216.88,220.0,214.505,217.97,1885276.0,0.0,1.0,216.518774151,219.633577615,214.147729847,217.606958694,1885276.0
2017-04-24,215.09,215.8699,212.685,213.76,1252018.0,0.0,1.0,214.731755496,215.510356529,212.330761159,213.403970686,1252018.0
2017-04-21,211.5,214.48,210.01,213.67,2267444.0,0.0,1.0,211.147734843,214.122771486,209.660216522,213.314120586,2267444.0
2017-04-20,213.38,215.65,213.2,214.24,2215600.0,0.0,1.0,213.024603598,215.290822785,212.844903398,213.883171219,2215600.0
2017-04-19,211.85,214.41,211.85,213.11,1086579.0,0.0,1.0,211.497151899,214.052888075,211.497151899,212.755053298,1086579.0
