Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,134.61,135.01,134.27,134.8,354693.0,0.0,1.0,134.61,135.01,134.27,134.8,354693.0
2017-08-03,134.02,134.845,133.25,134.33,672094.0,0.0,1.0,134.02,134.845,133.25,134.33,672094.0
2017-08-02,134.36,135.61,133.56,133.84,636807.0,0.0,1.0,134.36,135.61,133.56,133.84,636807.0
2017-08-01,133.68,135.13,133.46,134.57,445952.0,0.0,1.0,133.68,135.13,133.46,134.57,445952.0
2017-07-31,133.36,133.99,132.86,133.18,441236.0,0.0,1.0,133.36,133.99,132.86,133.18,441236.0
2017-07-28,133.64,133.81,132.59,133.15,340568.0,0.0,1.0,133.64,133.81,132.59,133.15,340568.0
2017-07-27,133.37,134.25,133.09,133.58,449936.0,0.0,1.0,133.37,134.25,133.09,133.58,449936.0
2017-07-26,133.04,133.94,132.76,133.38,505701.0,0.0,1.0,133.04,133.94,132.76,133.38,505701.0
2017-07-25,133.17,134.86,132.85,132.98,527563.0,0.0,1.0,133.17,134.86,132.85,132.98,527563.0
2017-07-24,132.88,132.88,131.27,132.51,372201.0,0.0,1.0,132.88,132.88,131.27,132.51,372201.0
2017-07-21,133.18,133.18,131.39,133.01,406071.0,0.0,1.0,133.18,133.18,131.39,133.01,406071.0
2017-07-20,135.13,135.13,132.66,133.37,396325.0,0.0,1.0,135.13,135.13,132.66,133.37,396325.0
2017-07-19,135.38,136.27,134.63,135.23,370017.0,0.0,1.0,135.38,136.27,134.63,135.23,370017.0
2017-07-18,133.77,135.69,133.77,135.06,303548.0,0.0,1.0,133.77,135.69,133.77,135.06,303548.0
2017-07-17,133.76,134.4,133.13,133.88,385600.0,0.0,1.0,133.76,134.4,133.13,133.88,385600.0
2017-07-14,132.95,134.36,132.46,133.73,392113.0,0.0,1.0,132.95,134.36,132.46,133.73,392113.0
2017-07-13,133.55,133.58,132.03,132.73,516568.0,0.0,1.0,133.55,133.58,132.03,132.73,516568.0
2017-07-12,132.71,133.72,132.42,133.56,354366.0,0.0,1.0,132.71,133.72,132.42,133.56,354366.0
2017-07-11,131.82,132.37,130.94,131.98,288790.0,0.0,1.0,131.82,132.37,130.94,131.98,288790.0
2017-07-10,131.83,132.51,131.13,131.69,325684.0,0.0,1.0,131.83,132.51,131.13,131.69,325684.0
2017-07-07,132.21,132.61,131.48,131.88,420286.0,0.0,1.0,132.21,132.61,131.48,131.88,420286.0
2017-07-06,133.28,133.47,132.03,132.16,276339.0,0.0,1.0,133.28,133.47,132.03,132.16,276339.0
2017-07-05,134.99,135.41,133.85,134.21,401880.0,0.0,1.0,134.99,135.41,133.85,134.21,401880.0
2017-07-03,135.6,136.06,134.8301,134.9,149066.0,0.0,1.0,135.6,136.06,134.8301,134.9,149066.0
2017-06-30,133.86,135.94,133.86,135.0,420047.0,0.0,1.0,133.86,135.94,133.86,135.0,420047.0
2017-06-29,136.04,136.04,132.39,133.48,422866.0,0.0,1.0,136.04,136.04,132.39,133.48,422866.0
2017-06-28,136.25,136.94,135.67,135.91,376922.0,0.0,1.0,136.25,136.94,135.67,135.91,376922.0
2017-06-27,137.07,137.11,135.29,135.37,296351.0,0.0,1.0,137.07,137.11,135.29,135.37,296351.0
2017-06-26,136.46,138.0,135.75,137.07,398793.0,0.0,1.0,136.46,138.0,135.75,137.07,398793.0
2017-06-23,135.23,136.71,134.815,136.15,402215.0,0.0,1.0,135.23,136.71,134.815,136.15,402215.0
2017-06-22,135.83,135.83,134.33,135.13,310103.0,0.64,1.0,135.83,135.83,134.33,135.13,310103.0
