Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,36.45,36.56,36.1,36.3,20520301.0,0.0,1.0,36.45,36.56,36.1,36.3,20520301.0
2017-08-03,36.55,36.59,36.15,36.49,26611347.0,0.2725,1.0,36.55,36.59,36.15,36.49,26611347.0
2017-08-02,36.33,36.67,36.055,36.64,35004283.0,0.0,1.0,36.0607058824,36.3981856511,35.7877443047,36.3684080245,35004283.0
2017-08-01,35.66,36.43,35.57,36.35,38710244.0,0.0,1.0,35.3956722203,36.1599646379,35.3063393404,36.0805576335,38710244.0
2017-07-31,35.47,35.74,35.32,35.47,27056989.0,0.0,1.0,35.2070805848,35.4750792248,35.0581924515,35.2070805848,27056989.0
2017-07-28,35.13,35.86,35.0,35.31,36291484.0,0.0,1.0,34.869600816,35.5941897314,34.7405644339,35.048266576,36291484.0
2017-07-27,34.78,35.25,34.67,34.97,43062842.0,0.0,1.0,34.5221951717,34.9887113227,34.4130105406,34.7107868072,43062842.0
2017-07-26,34.7,34.97,34.59,34.75,15499322.0,0.0,1.0,34.4427881673,34.7107868072,34.3336035362,34.4924175451,15499322.0
2017-07-25,34.55,34.735,34.4,34.67,18096682.0,0.0,1.0,34.293900034,34.4775287317,34.1450119007,34.4130105406,18096682.0
2017-07-24,34.73,34.8,34.38,34.5,16146284.0,0.0,1.0,34.4725657939,34.5420469228,34.1251601496,34.2442706562,16146284.0
2017-07-21,34.54,34.82,34.395,34.73,22245041.0,0.0,1.0,34.2839741584,34.5618986739,34.1400489629,34.4725657939,22245041.0
2017-07-20,34.54,34.84,34.475,34.75,17506216.0,0.0,1.0,34.2839741584,34.581750425,34.2194559674,34.4924175451,17506216.0
2017-07-19,34.68,34.68,34.46,34.56,17036197.0,0.0,1.0,34.4229364162,34.4229364162,34.204567154,34.3038259096,17036197.0
2017-07-18,34.43,34.58,34.25,34.53,14362830.0,0.0,1.0,34.1747895274,34.3236776607,33.9961237674,34.2740482829,14362830.0
2017-07-17,34.74,34.74,34.36,34.47,21044407.0,0.0,1.0,34.4824916695,34.4824916695,34.1053083985,34.2144930296,21044407.0
2017-07-14,34.48,34.71,34.265,34.68,16316353.0,0.0,1.0,34.2244189051,34.4527140428,34.0110125808,34.4229364162,16316353.0
2017-07-13,34.33,34.4,34.12,34.24,15046199.0,0.0,1.0,34.0755307718,34.1450119007,33.8670873852,33.9861978919,15046199.0
2017-07-12,34.28,34.39,33.94,34.25,23768337.0,0.0,1.0,34.0259013941,34.1350860252,33.6884216253,33.9961237674,23768337.0
2017-07-11,33.64,33.93,33.4311,33.92,25737540.0,0.0,1.0,33.3906453587,33.6784957497,33.1832938184,33.6685698742,25737540.0
2017-07-10,33.25,33.74,33.23,33.65,29918436.0,0.0,1.0,33.0035362122,33.4899041142,32.9836844611,33.4005712343,29918436.0
2017-07-07,33.7,34.12,33.7,33.88,18304460.0,0.0,1.0,33.450200612,33.8670873852,33.450200612,33.628866372,18304460.0
2017-07-06,34.12,34.29,33.56,33.63,20733189.0,0.0,1.0,33.8670873852,34.0358272696,33.3112383543,33.3807194832,20733189.0
2017-07-05,33.52,34.43,33.485,34.34,30010803.0,0.0,1.0,33.2715348521,34.1747895274,33.2367942877,34.0854566474,30010803.0
2017-07-03,33.51,34.03,33.43,33.46,12676894.0,0.0,1.0,33.2616089765,33.7777545053,33.1822019721,33.2119795988,12676894.0
2017-06-30,33.87,33.93,33.535,33.74,24432020.0,0.0,1.0,33.6189404964,33.6784957497,33.2864236654,33.4899041142,24432020.0
2017-06-29,33.92,34.1,33.34,33.54,25215664.0,0.0,1.0,33.6685698742,33.8472356341,33.0928690921,33.2913866032,25215664.0
2017-06-28,33.77,34.24,33.74,34.2,25940057.0,0.0,1.0,33.5196817409,33.9861978919,33.4899041142,33.9464943897,25940057.0
2017-06-27,34.0,34.145,33.65,33.65,27078918.0,0.0,1.0,33.7479768786,33.8919020741,33.4005712343,33.4005712343,27078918.0
2017-06-26,34.26,34.51,34.03,34.07,18854766.0,0.0,1.0,34.006049643,34.2541965318,33.7777545053,33.8174580075,18854766.0
2017-06-23,34.21,34.55,34.095,34.19,29260888.0,0.0,1.0,33.9564202652,34.293900034,33.8422726964,33.9365685141,29260888.0
2017-06-22,34.56,34.63,34.29,34.36,24602910.0,0.0,1.0,34.3038259096,34.3733070384,34.0358272696,34.1053083985,24602910.0
2017-06-21,34.33,34.6,34.09,34.58,27138493.0,0.0,1.0,34.0755307718,34.3435294118,33.8373097586,34.3236776607,27138493.0
2017-06-20,35.45,35.45,34.84,34.86,21536505.0,0.0,1.0,35.1872288337,35.1872288337,34.581750425,34.6016021761,21536505.0
2017-06-19,35.61,35.61,35.32,35.51,21583752.0,0.0,1.0,35.3460428426,35.3460428426,35.0581924515,35.246784087,21583752.0
2017-06-16,35.28,35.33,35.01,35.21,30762781.0,0.0,1.0,35.0184889493,35.0681183271,34.7504903094,34.9490078205,30762781.0
2017-06-15,35.21,35.48,35.14,35.31,20410009.0,0.0,1.0,34.9490078205,35.2170064604,34.8795266916,35.048266576,20410009.0
2017-06-14,35.99,36.05,35.22,35.53,19149017.0,0.0,1.0,35.7232261136,35.7827813669,34.958933696,35.2666358382,19149017.0
2017-06-13,35.68,35.95,35.53,35.88,20588247.0,0.0,1.0,35.4155239714,35.6835226114,35.2666358382,35.6140414825,20588247.0
2017-06-12,35.59,36.01,35.41,35.73,28488290.0,0.0,1.0,35.3261910915,35.7430778647,35.1475253315,35.4651533492,28488290.0
2017-06-09,36.5,36.56,35.31,35.71,33322053.0,0.0,1.0,36.2294457667,36.2890010201,35.048266576,35.4453015981,33322053.0
2017-06-08,36.34,36.53,36.16,36.48,17154167.0,0.0,1.0,36.0706317579,36.2592233934,35.891965998,36.2095940156,17154167.0
2017-06-07,36.13,36.57,36.1,36.26,17191983.0,0.0,1.0,35.8621883713,36.2989268956,35.8324107446,35.9912247535,17191983.0
2017-06-06,36.16,36.45,35.98,36.13,18420926.0,0.0,1.0,35.891965998,36.179816389,35.713300238,35.8621883713,18420926.0
2017-06-05,36.3,36.5,36.2,36.34,11685699.0,0.0,1.0,36.0309282557,36.2294457667,35.9316695002,36.0706317579,11685699.0
2017-06-02,36.27,36.33,36.0,36.32,19127420.0,0.0,1.0,36.001150629,36.0607058824,35.7331519891,36.0507800068,19127420.0
2017-06-01,36.12,36.13,35.8,36.12,17510915.0,0.0,1.0,35.8522624957,35.8621883713,35.5346344781,35.8522624957,17510915.0
2017-05-31,36.31,36.38,35.87,36.11,17741896.0,0.0,1.0,36.0408541312,36.1103352601,35.6041156069,35.8423366202,17741896.0
2017-05-30,36.27,36.44,36.09,36.18,13026915.0,0.0,1.0,36.001150629,36.1698905134,35.8224848691,35.9118177491,13026915.0
2017-05-26,36.26,36.33,36.13,36.26,11145523.0,0.0,1.0,35.9912247535,36.0607058824,35.8621883713,35.9912247535,11145523.0
2017-05-25,36.12,36.39,36.06,36.26,13148542.0,0.0,1.0,35.8522624957,36.1202611357,35.7927072424,35.9912247535,13148542.0
2017-05-24,35.98,36.18,35.89,36.12,20860257.0,0.0,1.0,35.713300238,35.9118177491,35.623967358,35.8522624957,20860257.0
2017-05-23,35.87,35.99,35.56,35.86,16903704.0,0.0,1.0,35.6041156069,35.7232261136,35.2964134648,35.5941897314,16903704.0
2017-05-22,35.48,36.11,35.38,35.77,14638066.0,0.0,1.0,35.2170064604,35.8423366202,35.1177477049,35.5048568514,14638066.0
2017-05-19,35.15,35.55,35.13,35.4,18340127.0,0.0,1.0,34.8894525672,35.2864875893,34.869600816,35.137599456,18340127.0
2017-05-18,35.19,35.47,35.08,35.22,17171872.0,0.0,1.0,34.9291560694,35.2070805848,34.8199714383,34.958933696,17171872.0
2017-05-17,35.67,35.9896,35.02,35.04,26670188.0,0.0,1.0,35.4055980959,35.7228290785,34.760416185,34.7802679361,26670188.0
2017-05-16,35.75,35.89,35.42,35.82,22291843.0,0.0,1.0,35.4850051003,35.623967358,35.1574512071,35.5544862292,22291843.0
2017-05-15,35.535,35.715,35.42,35.63,22120137.0,0.0,1.0,35.2715987759,35.4502645359,35.1574512071,35.3658945937,22120137.0
2017-05-12,35.72,35.74,35.4,35.53,19730842.0,0.0,1.0,35.4552274736,35.4750792248,35.137599456,35.2666358382,19730842.0
2017-05-11,35.91,36.0,35.4543,35.69,21508923.0,0.0,1.0,35.6438191091,35.7331519891,35.1914969602,35.425449847,21508923.0
2017-05-10,36.27,36.38,35.93,36.01,25133822.0,0.0,1.0,36.001150629,36.1103352601,35.6636708603,35.7430778647,25133822.0
2017-05-09,36.48,36.75,36.28,36.37,17819144.0,0.0,1.0,36.2095940156,36.4775926556,36.0110765046,36.1004093846,17819144.0
2017-05-08,36.73,36.85,36.48,36.54,17660214.0,0.0,1.0,36.4577409045,36.5768514111,36.2095940156,36.269149269,17660214.0
2017-05-05,36.86,36.93,36.5,36.82,18119243.0,0.0,1.0,36.5867772866,36.6562584155,36.2294457667,36.5470737844,18119243.0
2017-05-04,36.99,37.11,36.64,36.85,16437088.0,0.0,1.0,36.7158136688,36.8349241755,36.3684080245,36.5768514111,16437088.0
2017-05-03,36.72,37.17,36.62,36.98,22040256.0,0.2725,1.0,36.4478150289,36.8944794288,36.3485562734,36.7058877933,22040256.0
2017-05-02,36.37,37.03,36.35,36.97,35813021.0,0.0,1.0,35.8363368644,36.4866525732,35.8166303278,36.4275329633,35813021.0
2017-05-01,36.11,36.4,35.94,36.31,24825614.0,0.0,1.0,35.5801518882,35.8658966693,35.4126463268,35.7772172545,24825614.0
2017-04-28,36.1,36.485,35.88,36.15,56769258.0,0.0,1.0,35.5702986199,35.94964945,35.3535267169,35.6195649615,56769258.0
2017-04-27,36.87,37.5,36.78,37.43,39889967.0,0.0,1.0,36.3290002802,36.9497561841,36.2403208653,36.8807833059,39889967.0
2017-04-26,36.78,37.23,36.78,36.93,27240993.0,0.0,1.0,36.2403208653,36.6837179396,36.2403208653,36.3881198901,27240993.0
2017-04-25,36.77,37.0,36.66,36.87,22066776.0,0.0,1.0,36.230467597,36.4570927683,36.1220816456,36.3290002802,22066776.0
2017-04-24,36.67,36.85,36.46,36.75,26011786.0,0.0,1.0,36.1319349139,36.3092937436,35.9250162792,36.2107610604,26011786.0
2017-04-21,36.2,36.42,35.85,36.32,20390513.0,0.0,1.0,35.668831303,35.885603206,35.323966912,35.7870705228,20390513.0
