Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,137.55,137.79,136.69,136.9,675694.0,0.0,1.0,137.55,137.79,136.69,136.9,675694.0
2017-08-03,136.95,137.65,136.25,137.14,879567.0,0.0,1.0,136.95,137.65,136.25,137.14,879567.0
2017-08-02,137.49,137.59,135.83,136.53,1238340.0,0.0,1.0,137.49,137.59,135.83,136.53,1238340.0
2017-08-01,137.64,138.71,135.71,137.43,1009964.0,0.0,1.0,137.64,138.71,135.71,137.43,1009964.0
2017-07-31,135.56,137.41,135.51,137.21,1133216.0,0.0,1.0,135.56,137.41,135.51,137.21,1133216.0
2017-07-28,136.48,137.01,135.4,135.64,979628.0,0.0,1.0,136.48,137.01,135.4,135.64,979628.0
2017-07-27,136.9,137.71,135.14,136.87,1257848.0,0.0,1.0,136.9,137.71,135.14,136.87,1257848.0
2017-07-26,137.0,137.4,136.37,137.14,980682.0,0.0,1.0,137.0,137.4,136.37,137.14,980682.0
2017-07-25,136.83,137.6613,135.94,136.84,941055.0,0.0,1.0,136.83,137.6613,135.94,136.84,941055.0
2017-07-24,134.98,136.26,134.72,136.25,910630.0,0.0,1.0,134.98,136.26,134.72,136.25,910630.0
2017-07-21,134.69,135.785,134.19,134.84,849563.0,0.0,1.0,134.69,135.785,134.19,134.84,849563.0
2017-07-20,135.17,135.91,134.2,135.35,1172297.0,0.0,1.0,135.17,135.91,134.2,135.35,1172297.0
2017-07-19,133.43,135.26,133.29,135.19,1082698.0,0.0,1.0,133.43,135.26,133.29,135.19,1082698.0
2017-07-18,132.69,133.82,132.65,133.65,808788.0,0.0,1.0,132.69,133.82,132.65,133.65,808788.0
2017-07-17,132.96,133.76,132.62,133.07,1011286.0,0.0,1.0,132.96,133.76,132.62,133.07,1011286.0
2017-07-14,132.89,133.39,132.68,132.88,1572001.0,0.0,1.0,132.89,133.39,132.68,132.88,1572001.0
2017-07-13,133.45,134.0,131.79,132.4,1597005.0,0.0,1.0,133.45,134.0,131.79,132.4,1597005.0
2017-07-12,133.49,133.79,133.03,133.48,1328864.0,0.0,1.0,133.49,133.79,133.03,133.48,1328864.0
2017-07-11,132.18,132.98,131.69,132.36,990173.0,0.0,1.0,132.18,132.98,131.69,132.36,990173.0
2017-07-10,131.54,132.43,131.0,131.87,1182592.0,0.0,1.0,131.54,132.43,131.0,131.87,1182592.0
2017-07-07,132.0,133.0,131.71,131.9,1226153.0,0.0,1.0,132.0,133.0,131.71,131.9,1226153.0
2017-07-06,130.89,131.81,130.26,131.1,1411562.0,0.34,1.0,130.89,131.81,130.26,131.1,1411562.0
