Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,53.92,54.32,53.74,53.93,1647921.0,0.0,1.0,53.92,54.32,53.74,53.93,1647921.0
2017-08-03,54.5,54.89,53.49,53.66,3034381.0,0.0,1.0,54.5,54.89,53.49,53.66,3034381.0
2017-08-02,55.16,55.29,54.16,54.53,2003290.0,0.0,1.0,55.16,55.29,54.16,54.53,2003290.0
2017-08-01,55.36,55.56,54.82,55.33,2652594.0,0.0,1.0,55.36,55.56,54.82,55.33,2652594.0
2017-07-31,54.67,55.18,54.43,54.98,3013545.0,0.0,1.0,54.67,55.18,54.43,54.98,3013545.0
2017-07-28,57.44,57.56,54.23,54.74,6280646.0,0.0,1.0,57.44,57.56,54.23,54.74,6280646.0
2017-07-27,55.89,57.52,54.95,57.49,2731121.0,0.0,1.0,55.89,57.52,54.95,57.49,2731121.0
2017-07-26,56.96,56.96,56.28,56.39,1817434.0,0.0,1.0,56.96,56.96,56.28,56.39,1817434.0
2017-07-25,57.3,57.35,56.635,56.9,1554533.0,0.0,1.0,57.3,57.35,56.635,56.9,1554533.0
2017-07-24,56.63,56.9499,56.43,56.75,1233027.0,0.0,1.0,56.63,56.9499,56.43,56.75,1233027.0
2017-07-21,56.81,56.94,56.43,56.64,2529763.0,0.0,1.0,56.81,56.94,56.43,56.64,2529763.0
2017-07-20,57.5,57.67,56.64,56.92,2003303.0,0.0,1.0,57.5,57.67,56.64,56.92,2003303.0
2017-07-19,57.66,57.91,57.47,57.51,1734762.0,0.0,1.0,57.66,57.91,57.47,57.51,1734762.0
2017-07-18,57.62,57.88,57.39,57.63,1458423.0,0.0,1.0,57.62,57.88,57.39,57.63,1458423.0
2017-07-17,58.0,58.47,57.81,58.17,1618468.0,0.0,1.0,58.0,58.47,57.81,58.17,1618468.0
2017-07-14,58.12,58.345,57.96,58.15,1092402.0,0.0,1.0,58.12,58.345,57.96,58.15,1092402.0
2017-07-13,57.8,58.95,57.69,58.15,3013661.0,0.0,1.0,57.8,58.95,57.69,58.15,3013661.0
2017-07-12,57.3,57.46,57.09,57.21,1429395.0,0.0,1.0,57.3,57.46,57.09,57.21,1429395.0
2017-07-11,57.32,57.435,56.88,57.04,1184599.0,0.0,1.0,57.32,57.435,56.88,57.04,1184599.0
2017-07-10,56.26,57.52,56.11,57.24,1907398.0,0.0,1.0,56.26,57.52,56.11,57.24,1907398.0
2017-07-07,56.19,56.64,56.03,56.37,1159682.0,0.0,1.0,56.19,56.64,56.03,56.37,1159682.0
2017-07-06,56.55,56.64,56.05,56.13,1474989.0,0.0,1.0,56.55,56.64,56.05,56.13,1474989.0
2017-07-05,56.94,57.135,56.4686,56.75,1460949.0,0.0,1.0,56.94,57.135,56.4686,56.75,1460949.0
2017-07-03,56.89,57.2,56.78,56.98,875756.0,0.0,1.0,56.89,57.2,56.78,56.98,875756.0
2017-06-30,55.91,56.89,55.89,56.61,1629056.0,0.0,1.0,55.91,56.89,55.89,56.61,1629056.0
2017-06-29,56.04,56.1634,55.46,55.68,1796842.0,0.0,1.0,56.04,56.1634,55.46,55.68,1796842.0
2017-06-28,56.11,56.5,55.41,55.98,2913558.0,0.0,1.0,56.11,56.5,55.41,55.98,2913558.0
2017-06-27,56.87,57.24,56.18,56.18,1238898.0,0.0,1.0,56.87,57.24,56.18,56.18,1238898.0
2017-06-26,56.85,57.0,56.35,56.73,1927720.0,0.0,1.0,56.85,57.0,56.35,56.73,1927720.0
2017-06-23,56.5,57.13,56.25,56.85,9019079.0,0.0,1.0,56.5,57.13,56.25,56.85,9019079.0
2017-06-22,56.25,56.55,55.9,56.44,2376452.0,0.0,1.0,56.25,56.55,55.9,56.44,2376452.0
2017-06-21,56.76,56.87,56.03,56.21,2009300.0,0.0,1.0,56.76,56.87,56.03,56.21,2009300.0
2017-06-20,56.85,57.0,56.63,56.69,1736505.0,0.0,1.0,56.85,57.0,56.63,56.69,1736505.0
2017-06-19,56.95,57.09,56.56,56.94,1980094.0,0.0,1.0,56.95,57.09,56.56,56.94,1980094.0
