Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,87.09,88.51,86.84,88.18,1542594.0,0.0,1.0,87.09,88.51,86.84,88.18,1542594.0
2017-08-03,87.28,87.57,86.17,86.73,1988325.0,0.0,1.0,87.28,87.57,86.17,86.73,1988325.0
2017-08-02,86.05,87.2586,86.05,87.15,2451791.0,0.0,1.0,86.05,87.2586,86.05,87.15,2451791.0
2017-08-01,88.08,88.46,86.12,86.49,2267358.0,0.0,1.0,88.08,88.46,86.12,86.49,2267358.0
2017-07-31,88.8,89.39,87.75,87.88,1444582.0,0.0,1.0,88.8,89.39,87.75,87.88,1444582.0
2017-07-28,87.61,88.76,87.05,88.54,1608774.0,0.0,1.0,87.61,88.76,87.05,88.54,1608774.0
2017-07-27,86.96,88.2,86.92,87.78,2199201.0,0.0,1.0,86.96,88.2,86.92,87.78,2199201.0
2017-07-26,89.42,89.42,85.79,86.94,4795738.0,0.0,1.0,89.42,89.42,85.79,86.94,4795738.0
2017-07-25,91.84,91.84,90.47,90.47,1588692.0,0.0,1.0,91.84,91.84,90.47,90.47,1588692.0
2017-07-24,91.47,91.6,90.83,91.05,1465906.0,0.0,1.0,91.47,91.6,90.83,91.05,1465906.0
2017-07-21,91.73,92.18,91.2,91.67,1198973.0,0.0,1.0,91.73,92.18,91.2,91.67,1198973.0
2017-07-20,93.17,93.2062,91.71,92.18,1394495.0,0.0,1.0,93.17,93.2062,91.71,92.18,1394495.0
2017-07-19,92.75,93.28,92.21,93.2,1251903.0,0.0,1.0,92.75,93.28,92.21,93.2,1251903.0
2017-07-18,92.73,93.025,92.03,92.46,1210182.0,0.0,1.0,92.73,93.025,92.03,92.46,1210182.0
2017-07-17,92.69,93.26,91.55,93.07,1435666.0,0.0,1.0,92.69,93.26,91.55,93.07,1435666.0
2017-07-14,92.81,92.96,91.92,92.83,1273427.0,0.0,1.0,92.81,92.96,91.92,92.83,1273427.0
2017-07-13,93.54,93.8004,92.3717,92.85,1199641.0,0.0,1.0,93.54,93.8004,92.3717,92.85,1199641.0
2017-07-12,93.61,94.36,93.4299,93.51,1236309.0,0.0,1.0,93.61,94.36,93.4299,93.51,1236309.0
2017-07-11,93.53,93.69,92.52,92.91,1345236.0,0.0,1.0,93.53,93.69,92.52,92.91,1345236.0
2017-07-10,93.26,94.39,93.17,93.73,1301610.0,0.0,1.0,93.26,94.39,93.17,93.73,1301610.0
2017-07-07,92.17,93.52,91.48,93.25,1853853.0,0.0,1.0,92.17,93.52,91.48,93.25,1853853.0
2017-07-06,91.96,92.54,91.73,92.12,1696243.0,0.0,1.0,91.96,92.54,91.73,92.12,1696243.0
2017-07-05,91.39,92.255,91.32,92.16,1101700.0,0.0,1.0,91.39,92.255,91.32,92.16,1101700.0
2017-07-03,91.71,91.99,91.41,91.44,754727.0,0.0,1.0,91.71,91.99,91.41,91.44,754727.0
2017-06-30,90.68,91.89,90.51,91.39,1170676.0,0.0,1.0,90.68,91.89,90.51,91.39,1170676.0
2017-06-29,91.65,91.79,89.74,90.37,1528924.0,0.0,1.0,91.65,91.79,89.74,90.37,1528924.0
2017-06-28,91.02,91.83,90.84,91.63,1344893.0,0.0,1.0,91.02,91.83,90.84,91.63,1344893.0
2017-06-27,90.89,91.16,90.19,90.51,1587934.0,0.0,1.0,90.89,91.16,90.19,90.51,1587934.0
2017-06-26,91.36,91.85,90.88,90.93,2307811.0,0.0,1.0,91.36,91.85,90.88,90.93,2307811.0
2017-06-23,90.73,91.41,90.33,91.08,1825270.0,0.0,1.0,90.73,91.41,90.33,91.08,1825270.0
2017-06-22,90.55,90.98,90.39,90.72,1281102.0,0.0,1.0,90.55,90.98,90.39,90.72,1281102.0
2017-06-21,91.58,91.78,90.33,90.48,1972422.0,0.0,1.0,91.58,91.78,90.33,90.48,1972422.0
2017-06-20,92.08,92.32,91.13,91.25,1642044.0,0.0,1.0,92.08,92.32,91.13,91.25,1642044.0
2017-06-19,92.64,93.17,92.36,92.59,1953362.0,0.0,1.0,92.64,93.17,92.36,92.59,1953362.0
2017-06-16,90.0,92.34,89.89,92.34,4128202.0,0.0,1.0,90.0,92.34,89.89,92.34,4128202.0
2017-06-15,88.0,89.86,87.93,89.86,1135966.0,0.0,1.0,88.0,89.86,87.93,89.86,1135966.0
2017-06-14,90.06,90.17,88.29,88.69,1728116.0,0.0,1.0,90.06,90.17,88.29,88.69,1728116.0
2017-06-13,88.13,89.67,87.96,89.67,1822362.0,0.0,1.0,88.13,89.67,87.96,89.67,1822362.0
2017-06-12,88.1,88.32,87.7,87.84,1647553.0,0.0,1.0,88.1,88.32,87.7,87.84,1647553.0
2017-06-09,88.0,88.37,87.65,88.11,1735761.0,0.0,1.0,88.0,88.37,87.65,88.11,1735761.0
2017-06-08,88.0,88.26,87.72,87.97,1693312.0,0.0,1.0,88.0,88.26,87.72,87.97,1693312.0
2017-06-07,89.04,89.305,87.67,88.13,2032752.0,0.4,1.0,89.04,89.305,87.67,88.13,2032752.0
2017-06-06,88.87,89.39,88.085,88.91,1361533.0,0.0,1.0,88.4684637976,88.9861143115,87.6870106179,88.5082830679,1361533.0
2017-06-05,89.33,90.11,89.09,89.35,1888835.0,0.0,1.0,88.9263854061,89.702861177,88.6874697843,88.9462950412,1888835.0
2017-06-02,89.6,89.9665,89.31,89.48,1133978.0,0.0,1.0,89.1951654806,89.5600095448,88.9064757709,89.0757076697,1133978.0
2017-06-01,89.97,89.99,88.92,89.6,1370511.0,0.0,1.0,89.5634937309,89.5834033661,88.5182378855,89.1951654806,1370511.0
2017-05-31,88.78,89.75,88.43,89.6,1550351.0,0.0,1.0,88.3788704394,89.3444877443,88.0304518242,89.1951654806,1550351.0
2017-05-30,89.13,89.39,88.54,89.19,885541.0,0.0,1.0,88.7272890546,88.9861143115,88.1399548176,88.78701796,885541.0
2017-05-26,89.08,89.83,89.08,89.35,657960.0,0.0,1.0,88.6775149667,89.4241262849,88.6775149667,88.9462950412,657960.0
2017-05-25,89.05,89.47,88.58,89.31,988483.0,0.0,1.0,88.647650514,89.0657528521,88.1797740879,88.9064757709,988483.0
2017-05-24,89.22,89.665,88.37,88.52,2113982.0,0.0,1.0,88.8168824127,89.2598717949,87.9707229188,88.1200451824,2113982.0
2017-05-23,89.44,89.65,88.68,89.03,1141272.0,0.0,1.0,89.0358883994,89.2449395685,88.2793222636,88.6277408788,1141272.0
2017-05-22,89.81,89.91,88.93,89.23,1167604.0,0.0,1.0,89.4042166497,89.5037648255,88.528192703,88.8268372303,1167604.0
2017-05-19,88.86,89.74,88.27,89.24,1422738.0,0.0,1.0,88.45850898,89.3345329267,87.871174743,88.8367920479,1422738.0
2017-05-18,87.29,88.8,86.68,88.17,1555548.0,0.0,1.0,86.8956026206,88.3987800746,86.2883587484,87.7716265673,1555548.0
2017-05-17,87.77,88.39,87.501,87.71,1762726.0,0.0,1.0,87.3734338642,87.9906325539,87.1056492714,87.3137049588,1762726.0
2017-05-16,88.98,89.08,88.37,88.81,1325143.0,0.0,1.0,88.5779667909,88.6775149667,87.9707229188,88.4087348921,1325143.0
2017-05-15,88.12,88.71,88.01,88.53,1292663.0,0.0,1.0,87.7218524794,88.3091867164,87.612349486,88.13,1292663.0
2017-05-12,88.26,88.38,87.85,88.01,1659702.0,0.0,1.0,87.8612199254,87.9806777364,87.4530724048,87.612349486,1659702.0
2017-05-11,88.44,88.58,87.36,88.43,1604057.0,0.0,1.0,88.0404066418,88.1797740879,86.9652863436,88.0304518242,1604057.0
2017-05-10,89.36,89.525,87.43,88.52,3058688.0,0.0,1.0,88.9562498588,89.1205043488,87.0349700666,88.1200451824,3058688.0
2017-05-09,89.54,89.87,89.13,89.36,1104546.0,0.0,1.0,89.1354365752,89.4639455552,88.7272890546,88.9562498588,1104546.0
2017-05-08,89.88,90.15,89.2,89.4,1452296.0,0.0,1.0,89.4739003728,89.7426804473,88.7969727776,88.9960691291,1452296.0
2017-05-05,90.05,90.175,89.56,90.01,1047879.0,0.0,1.0,89.6431322715,89.7675674912,89.1553462103,89.6033130012,1047879.0
2017-05-04,89.41,89.87,88.9,89.82,1413734.0,0.0,1.0,89.0060239467,89.4639455552,88.4983282503,89.4141714673,1413734.0
2017-05-03,88.93,89.29,88.61,89.1,1468611.0,0.0,1.0,88.528192703,88.8865661358,88.2096385406,88.6974246018,1468611.0
2017-05-02,89.03,89.41,88.7,89.3,1367287.0,0.0,1.0,88.6277408788,89.0060239467,88.2992318988,88.8965209533,1367287.0
2017-05-01,89.03,89.03,87.99,88.78,1437710.0,0.0,1.0,88.6277408788,88.6277408788,87.5924398509,88.3788704394,1437710.0
2017-04-28,89.37,89.5728,88.41,88.75,1755510.0,0.0,1.0,88.9662046764,89.1680883768,88.0105421891,88.3490059867,1755510.0
2017-04-27,88.71,89.75,88.5,89.25,2074772.0,0.0,1.0,88.3091867164,89.3444877443,88.1001355473,88.8467468655,2074772.0
2017-04-26,86.87,89.06,86.46,88.68,3153804.0,0.0,1.0,86.4775002824,88.6576053315,86.0693527618,88.2793222636,3153804.0
2017-04-25,84.92,85.945,84.67,85.66,2347752.0,0.0,1.0,84.5363108551,85.5566796566,84.2874404157,85.2729673557,2347752.0
2017-04-24,84.39,84.96,83.4,84.19,1621127.0,0.0,1.0,84.0087055236,84.5761301254,83.0231785835,83.809609172,1621127.0
2017-04-21,82.98,83.39,82.53,83.03,1507512.0,0.0,1.0,82.6050762453,83.013223766,82.1571094544,82.6548503332,1507512.0
2017-04-20,82.4,83.26,81.94,82.75,1718093.0,0.0,1.0,82.0276968259,82.8838111375,81.5697752174,82.3761154411,1718093.0
2017-04-19,82.38,82.6,81.53,81.85,1687218.0,0.0,1.0,82.0077871908,82.2267931775,81.1616276968,81.4801818593,1687218.0
2017-04-18,81.7,82.21,81.25,81.93,1906294.0,0.0,1.0,81.3308595956,81.838555292,80.8828928047,81.5598203999,1906294.0
2017-04-17,82.23,82.39,81.79,82.24,1997961.0,0.0,1.0,81.8584649271,82.0177420084,81.4204529538,81.8684197447,1997961.0
2017-04-13,82.03,83.33,81.82,81.86,2399297.0,0.0,1.0,81.6593685756,82.9534948605,81.4503174065,81.4901366768,2399297.0
2017-04-12,83.58,83.58,82.03,82.29,2259409.0,0.0,1.0,83.2023652999,83.2023652999,81.6593685756,81.9181938326,2259409.0
2017-04-11,83.18,83.99,82.75,83.65,1817151.0,0.0,1.0,82.8041725969,83.6105128205,82.3761154411,83.2720490229,1817151.0
