Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,46.97,47.325,46.47,46.81,2088844.0,0.0,1.0,46.97,47.325,46.47,46.81,2088844.0
2017-08-03,46.37,47.8225,46.35,46.85,2828084.0,0.0,1.0,46.37,47.8225,46.35,46.85,2828084.0
2017-08-02,46.88,47.67,46.24,46.49,3700691.0,0.0,1.0,46.88,47.67,46.24,46.49,3700691.0
2017-08-01,48.55,49.005,47.96,48.94,927014.0,0.0,1.0,48.55,49.005,47.96,48.94,927014.0
2017-07-31,48.97,48.98,48.01,48.57,1205538.0,0.0,1.0,48.97,48.98,48.01,48.57,1205538.0
2017-07-28,49.199,49.28,47.9,48.56,2152645.0,0.0,1.0,49.199,49.28,47.9,48.56,2152645.0
2017-07-27,47.82,50.32,47.53,48.97,3965708.0,0.0,1.0,47.82,50.32,47.53,48.97,3965708.0
2017-07-26,48.23,48.23,47.46,47.86,1004953.0,0.0,1.0,48.23,48.23,47.46,47.86,1004953.0
2017-07-25,47.17,48.69,47.08,48.09,2062681.0,0.0,1.0,47.17,48.69,47.08,48.09,2062681.0
2017-07-24,47.25,47.38,46.8,46.9,993198.0,0.0,1.0,47.25,47.38,46.8,46.9,993198.0
2017-07-21,47.11,47.46,46.63,47.44,781896.0,0.0,1.0,47.11,47.46,46.63,47.44,781896.0
2017-07-20,47.09,47.32,46.42,47.1,762386.0,0.0,1.0,47.09,47.32,46.42,47.1,762386.0
2017-07-19,46.44,47.1,46.23,46.94,1114480.0,0.0,1.0,46.44,47.1,46.23,46.94,1114480.0
2017-07-18,47.14,47.47,45.97,46.27,1709111.0,0.0,1.0,47.14,47.47,45.97,46.27,1709111.0
2017-07-17,46.86,47.86,46.82,47.41,1100998.0,0.0,1.0,46.86,47.86,46.82,47.41,1100998.0
2017-07-14,47.36,47.45,46.53,46.85,1343483.0,0.0,1.0,47.36,47.45,46.53,46.85,1343483.0
2017-07-13,46.9,48.21,46.89,47.33,2511531.0,0.0,1.0,46.9,48.21,46.89,47.33,2511531.0
2017-07-12,46.5,46.9,46.17,46.61,1273712.0,0.0,1.0,46.5,46.9,46.17,46.61,1273712.0
2017-07-11,46.24,46.8,46.06,46.45,1207768.0,0.0,1.0,46.24,46.8,46.06,46.45,1207768.0
2017-07-10,47.26,47.26,45.99,46.22,2258934.0,0.0,1.0,47.26,47.26,45.99,46.22,2258934.0
2017-07-07,47.47,47.98,47.08,47.54,1118819.0,0.0,1.0,47.47,47.98,47.08,47.54,1118819.0
2017-07-06,47.92,48.09,47.18,47.38,1241157.0,0.0,1.0,47.92,48.09,47.18,47.38,1241157.0
2017-07-05,48.3,48.95,48.0,48.12,1748859.0,0.0,1.0,48.3,48.95,48.0,48.12,1748859.0
2017-07-03,48.08,48.88,47.97,48.41,912348.0,0.0,1.0,48.08,48.88,47.97,48.41,912348.0
2017-06-30,47.86,48.11,47.31,47.83,1398771.0,0.0,1.0,47.86,48.11,47.31,47.83,1398771.0
2017-06-29,47.79,48.07,47.09,47.56,1760770.0,0.0,1.0,47.79,48.07,47.09,47.56,1760770.0
2017-06-28,48.08,48.23,47.29,47.68,1690317.0,0.0,1.0,48.08,48.23,47.29,47.68,1690317.0
2017-06-27,47.94,48.43,47.64,47.67,1567228.0,0.0,1.0,47.94,48.43,47.64,47.67,1567228.0
2017-06-26,48.02,48.3,47.48,47.8,1549567.0,0.0,1.0,48.02,48.3,47.48,47.8,1549567.0
2017-06-23,47.48,48.04,46.93,48.0,3205435.0,0.0,1.0,47.48,48.04,46.93,48.0,3205435.0
2017-06-22,45.86,47.84,45.73,47.48,3748330.0,0.0,1.0,45.86,47.84,45.73,47.48,3748330.0
2017-06-21,45.93,46.27,45.0,46.08,2126903.0,0.0,1.0,45.93,46.27,45.0,46.08,2126903.0
2017-06-20,48.03,48.03,46.09,46.16,2737036.0,0.0,1.0,48.03,48.03,46.09,46.16,2737036.0
2017-06-19,47.56,48.3,46.78,48.06,2223615.0,0.0,1.0,47.56,48.3,46.78,48.06,2223615.0
2017-06-16,46.25,47.505,45.71,47.5,3442179.0,0.0,1.0,46.25,47.505,45.71,47.5,3442179.0
2017-06-15,47.27,48.23,46.91,47.0,2771504.0,0.0,1.0,47.27,48.23,46.91,47.0,2771504.0
2017-06-14,46.41,47.38,45.54,47.32,2120041.0,0.0,1.0,46.41,47.38,45.54,47.32,2120041.0
2017-06-13,46.43,47.15,46.11,46.38,2082586.0,0.0,1.0,46.43,47.15,46.11,46.38,2082586.0
2017-06-12,47.06,48.3265,46.385,46.47,3799589.0,0.0,1.0,47.06,48.3265,46.385,46.47,3799589.0
2017-06-09,44.11,48.05,43.3991,47.16,10744610.0,0.0,1.0,44.11,48.05,43.3991,47.16,10744610.0
2017-06-08,46.94,47.9,43.75,44.63,23161854.0,0.0,1.0,46.94,47.9,43.75,44.63,23161854.0
2017-06-07,40.23,40.624,39.87,40.48,2510027.0,0.0,1.0,40.23,40.624,39.87,40.48,2510027.0
2017-06-06,41.51,41.66,39.715,40.14,4561453.0,0.0,1.0,41.51,41.66,39.715,40.14,4561453.0
2017-06-05,42.23,42.34,41.47,41.65,2197586.0,0.0,1.0,42.23,42.34,41.47,41.65,2197586.0
2017-06-02,42.94,43.225,42.21,42.47,1485645.0,0.0,1.0,42.94,43.225,42.21,42.47,1485645.0
2017-06-01,41.92,42.94,41.71,42.88,2178825.0,0.0,1.0,41.92,42.94,41.71,42.88,2178825.0
2017-05-31,42.37,42.37,41.13,41.8,3166974.0,0.0,1.0,42.37,42.37,41.13,41.8,3166974.0
2017-05-30,42.54,42.7,42.25,42.44,1657857.0,0.0,1.0,42.54,42.7,42.25,42.44,1657857.0
2017-05-26,41.98,42.54,41.63,42.47,2291378.0,0.0,1.0,41.98,42.54,41.63,42.47,2291378.0
2017-05-25,41.89,42.47,41.67,41.8,1673441.0,0.0,1.0,41.89,42.47,41.67,41.8,1673441.0
2017-05-24,41.36,41.43,40.68,41.29,1794769.0,0.37,1.0,41.36,41.43,40.68,41.29,1794769.0
2017-05-23,42.12,42.14,41.22,41.55,1829694.0,0.0,1.0,41.7459145463,41.7657369179,40.8539078253,41.1809769563,1829694.0
2017-05-22,40.98,42.26,40.79,42.04,2498212.0,0.0,1.0,40.6160393663,41.8846711474,40.4277268363,41.66662506,2498212.0
2017-05-19,41.23,41.23,39.53,40.77,2771840.0,0.0,1.0,40.863819011,40.863819011,39.1789174268,40.4079044647,2771840.0
2017-05-18,41.06,41.49,40.47,40.66,1933334.0,0.0,1.0,40.6953288526,41.1215098416,40.110568891,40.298881421,1933334.0
2017-05-17,40.85,41.54,40.7,40.81,3414710.0,0.0,1.0,40.487193951,41.1710657705,40.3385261642,40.4475492079,3414710.0
2017-05-16,41.11,41.11,40.28,40.64,4629096.0,0.0,1.0,40.7448847816,40.7448847816,39.922256361,40.2790590494,4629096.0
2017-05-15,41.36,42.5773,41.23,41.4,5178656.0,0.0,1.0,40.9926644263,42.1991530725,40.863819011,41.0323091695,5178656.0
2017-05-12,43.57,43.59,41.0,41.2,18905332.0,0.0,1.0,43.1830364858,43.2028588574,40.6358617379,40.8340854537,18905332.0
2017-05-11,48.5,48.77,45.8,46.21,11157061.0,0.0,1.0,48.0692510802,48.3368530965,45.3932309169,45.7995895343,11157061.0
2017-05-10,48.99,50.04,48.7,50.01,2498314.0,0.0,1.0,48.5548991839,49.5955736918,48.267474796,49.5658401344,2498314.0
2017-05-09,48.94,49.41,48.63,49.35,1985245.0,0.0,1.0,48.5053432549,48.971168987,48.1980964954,48.9117018723,1985245.0
2017-05-08,49.34,49.67,48.68,48.7,1706227.0,0.0,1.0,48.9017906865,49.2288598176,48.2476524244,48.267474796,1706227.0
2017-05-05,49.32,49.5,48.705,49.01,2026561.0,0.0,1.0,48.8819683149,49.0603696591,48.2724303889,48.5747215554,2026561.0
2017-05-04,49.79,50.22,49.1,49.14,2999031.0,0.0,1.0,49.347794047,49.773975036,48.6639222276,48.7035669707,2999031.0
2017-05-03,48.6,49.76,48.36,49.64,3112693.0,0.0,1.0,48.1683629381,49.3180604897,47.9304944791,49.1991262602,3112693.0
2017-05-02,47.485,48.83,47.29,48.64,2038332.0,0.0,1.0,47.0632657225,48.3963202112,46.8699975996,48.2080076812,2038332.0
2017-05-01,48.31,48.55,47.35,47.35,1742730.0,0.0,1.0,47.8809385502,48.1188070091,46.9294647144,46.9294647144,1742730.0
2017-04-28,47.8,48.45,47.52,48.27,2518907.0,0.0,1.0,47.3754680749,48.0196951512,47.0979548728,47.841293807,2518907.0
2017-04-27,47.67,48.355,47.23,48.3,1968677.0,0.0,1.0,47.2466226596,47.9255388862,46.8105304849,47.8710273644,1968677.0
2017-04-26,47.3,48.1,47.07,47.68,1825322.0,0.0,1.0,46.8799087854,47.6728036486,46.6519515122,47.2565338454,1825322.0
2017-04-25,47.5,47.77,46.8,47.15,1689209.0,0.0,1.0,47.0781325012,47.3457345175,46.3843494959,46.7312409986,1689209.0
2017-04-24,48.23,48.255,46.82,47.23,1904763.0,0.0,1.0,47.8016490639,47.8264270283,46.4041718675,46.8105304849,1904763.0
2017-04-21,47.73,47.98,47.2008,47.62,1944128.0,0.0,1.0,47.3060897744,47.5538694191,46.7815898224,47.1970667307,1944128.0
2017-04-20,46.93,48.42,46.93,47.87,3037210.0,0.0,1.0,46.5131949112,47.9899615939,46.5131949112,47.4448463754,3037210.0
2017-04-19,46.37,47.41,46.37,46.53,2285489.0,0.0,1.0,45.958168507,46.9889318291,45.958168507,46.1167474796,2285489.0
2017-04-18,46.03,46.39,45.61,46.08,1530858.0,0.0,1.0,45.6211881901,45.9779908785,45.2049183869,45.6707441191,1530858.0
