Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,71.52,71.65,69.37,69.62,2864661.0,0.0,1.0,71.52,71.65,69.37,69.62,2864661.0
2017-08-03,68.1,70.93,67.81,70.36,5046589.0,0.0,1.0,68.1,70.93,67.81,70.36,5046589.0
2017-08-02,67.21,67.98,66.53,67.44,2580473.0,0.0,1.0,67.21,67.98,66.53,67.44,2580473.0
2017-08-01,67.96,68.145,67.29,67.46,2021449.0,0.0,1.0,67.96,68.145,67.29,67.46,2021449.0
2017-07-31,67.75,68.19,67.54,68.0,4103939.0,0.0,1.0,67.75,68.19,67.54,68.0,4103939.0
2017-07-28,67.65,67.8,67.35,67.65,1787928.0,0.0,1.0,67.65,67.8,67.35,67.65,1787928.0
2017-07-27,67.27,67.75,67.05,67.68,2414509.0,0.0,1.0,67.27,67.75,67.05,67.68,2414509.0
2017-07-26,67.57,67.64,67.05,67.31,1156766.0,0.0,1.0,67.57,67.64,67.05,67.31,1156766.0
2017-07-25,66.97,67.701,66.83,67.57,1772759.0,0.0,1.0,66.97,67.701,66.83,67.57,1772759.0
2017-07-24,67.25,67.49,66.65,66.83,1739680.0,0.0,1.0,67.25,67.49,66.65,66.83,1739680.0
2017-07-21,66.61,67.28,66.54,67.22,1462427.0,0.0,1.0,66.61,67.28,66.54,67.22,1462427.0
2017-07-20,66.45,66.86,66.24,66.75,3329692.0,0.0,1.0,66.45,66.86,66.24,66.75,3329692.0
2017-07-19,66.44,66.7,66.23,66.35,1775053.0,0.0,1.0,66.44,66.7,66.23,66.35,1775053.0
2017-07-18,66.7,66.75,66.15,66.26,1957178.0,0.0,1.0,66.7,66.75,66.15,66.26,1957178.0
2017-07-17,66.23,66.94,66.23,66.75,1785028.0,0.0,1.0,66.23,66.94,66.23,66.75,1785028.0
2017-07-14,66.3,66.45,66.15,66.38,1414307.0,0.0,1.0,66.3,66.45,66.15,66.38,1414307.0
2017-07-13,65.76,66.1899,65.6101,66.02,2022137.0,0.0,1.0,65.76,66.1899,65.6101,66.02,2022137.0
2017-07-12,65.74,66.17,65.655,65.74,1370735.0,0.0,1.0,65.74,66.17,65.655,65.74,1370735.0
2017-07-11,65.63,66.08,65.32,65.34,2707223.0,0.0,1.0,65.63,66.08,65.32,65.34,2707223.0
2017-07-10,66.54,66.69,65.78,65.87,2589777.0,0.0,1.0,66.54,66.69,65.78,65.87,2589777.0
2017-07-07,66.65,66.9,66.41,66.52,2991169.0,0.0,1.0,66.65,66.9,66.41,66.52,2991169.0
2017-07-06,67.53,67.8008,66.5,66.55,2709384.0,0.0,1.0,67.53,67.8008,66.5,66.55,2709384.0
2017-07-05,68.73,68.95,67.5701,67.7,4124401.0,0.0,1.0,68.73,68.95,67.5701,67.7,4124401.0
2017-07-03,69.58,69.58,68.74,68.76,1086069.0,0.0,1.0,69.58,69.58,68.74,68.76,1086069.0
2017-06-30,69.11,69.91,69.05,69.46,2498291.0,0.0,1.0,69.11,69.91,69.05,69.46,2498291.0
2017-06-29,69.5,69.58,68.56,68.69,3505569.0,0.0,1.0,69.5,69.58,68.56,68.69,3505569.0
2017-06-28,69.87,70.36,69.5,69.53,2100840.0,0.0,1.0,69.87,70.36,69.5,69.53,2100840.0
2017-06-27,70.12,70.27,69.29,69.34,3023629.0,0.0,1.0,70.12,70.27,69.29,69.34,3023629.0
2017-06-26,70.77,71.3554,70.53,70.99,1204886.0,0.0,1.0,70.77,71.3554,70.53,70.99,1204886.0
2017-06-23,70.5,70.89,70.39,70.56,1714985.0,0.0,1.0,70.5,70.89,70.39,70.56,1714985.0
2017-06-22,70.5,70.95,70.35,70.41,1602119.0,0.0,1.0,70.5,70.95,70.35,70.41,1602119.0
2017-06-21,71.28,71.47,70.39,70.48,1598165.0,0.0,1.0,71.28,71.47,70.39,70.48,1598165.0
2017-06-20,71.8,72.0,71.06,71.09,1785257.0,0.0,1.0,71.8,72.0,71.06,71.09,1785257.0
2017-06-19,72.0,72.13,71.355,71.76,2270574.0,0.0,1.0,72.0,72.13,71.355,71.76,2270574.0
2017-06-16,72.94,73.0,71.08,71.88,3595785.0,0.0,1.0,72.94,73.0,71.08,71.88,3595785.0
2017-06-15,73.3,73.64,72.885,73.1,1661607.0,0.0,1.0,73.3,73.64,72.885,73.1,1661607.0
2017-06-14,73.56,74.28,73.44,73.49,1690515.0,0.0,1.0,73.56,74.28,73.44,73.49,1690515.0
2017-06-13,72.87,73.47,72.33,73.3,1676159.0,0.0,1.0,72.87,73.47,72.33,73.3,1676159.0
2017-06-12,72.79,73.63,72.75,73.08,2518750.0,0.0,1.0,72.79,73.63,72.75,73.08,2518750.0
2017-06-09,72.19,72.77,72.08,72.66,1403820.0,0.0,1.0,72.19,72.77,72.08,72.66,1403820.0
