Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,121.29,121.91,120.93,121.32,1046757.0,0.0,1.0,121.29,121.91,120.93,121.32,1046757.0
2017-08-03,121.35,122.34,121.11,121.68,1441541.0,0.0,1.0,121.35,122.34,121.11,121.68,1441541.0
2017-08-02,121.46,121.98,120.79,121.36,1511940.0,0.0,1.0,121.46,121.98,120.79,121.36,1511940.0
2017-08-01,123.16,123.73,121.53,121.69,1664558.0,0.0,1.0,123.16,123.73,121.53,121.69,1664558.0
2017-07-31,122.48,124.02,122.48,123.16,2303230.0,0.0,1.0,122.48,124.02,122.48,123.16,2303230.0
2017-07-28,124.08,124.15,121.32,122.45,2226822.0,0.0,1.0,124.08,124.15,121.32,122.45,2226822.0
2017-07-27,122.38,124.21,120.96,124.21,2733440.0,0.0,1.0,122.38,124.21,120.96,124.21,2733440.0
2017-07-26,124.59,124.64,121.84,122.24,2400220.0,0.0,1.0,124.59,124.64,121.84,122.24,2400220.0
2017-07-25,123.45,124.9,122.1,124.68,2192408.0,0.0,1.0,123.45,124.9,122.1,124.68,2192408.0
2017-07-24,125.29,125.385,123.75,123.81,1727987.0,0.0,1.0,125.29,125.385,123.75,123.81,1727987.0
2017-07-21,123.38,125.31,123.0,125.28,1879018.0,0.0,1.0,123.38,125.31,123.0,125.28,1879018.0
2017-07-20,124.31,124.66,123.65,123.71,1520964.0,0.0,1.0,124.31,124.66,123.65,123.71,1520964.0
2017-07-19,124.33,124.91,123.75,123.95,1745120.0,0.0,1.0,124.33,124.91,123.75,123.95,1745120.0
2017-07-18,124.81,125.35,124.15,124.57,1053171.0,0.0,1.0,124.81,125.35,124.15,124.57,1053171.0
2017-07-17,124.36,125.21,123.74,124.69,1186049.0,0.0,1.0,124.36,125.21,123.74,124.69,1186049.0
2017-07-14,124.19,124.895,123.96,124.51,1205911.0,0.0,1.0,124.19,124.895,123.96,124.51,1205911.0
2017-07-13,124.62,124.99,123.36,123.9,1793593.0,0.0,1.0,124.62,124.99,123.36,123.9,1793593.0
2017-07-12,124.45,125.62,123.72,124.7,2487342.0,0.0,1.0,124.45,125.62,123.72,124.7,2487342.0
2017-07-11,127.13,127.2,125.75,125.81,1375207.0,0.0,1.0,127.13,127.2,125.75,125.81,1375207.0
2017-07-10,127.0,127.94,126.63,127.01,1104985.0,0.0,1.0,127.0,127.94,126.63,127.01,1104985.0
2017-07-07,126.43,127.39,125.78,126.8,1694054.0,0.0,1.0,126.43,127.39,125.78,126.8,1694054.0
