Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,45.67,45.76,45.47,45.5,9523593.0,0.0,1.0,45.67,45.76,45.47,45.5,9523593.0
2017-08-03,45.65,45.95,45.63,45.67,14261400.0,0.0,1.0,45.65,45.95,45.63,45.67,14261400.0
2017-08-02,45.6,46.0,45.38,45.59,10187921.0,0.0,1.0,45.6,46.0,45.38,45.59,10187921.0
2017-08-01,45.97,46.06,45.645,45.7,10306810.0,0.0,1.0,45.97,46.06,45.645,45.7,10306810.0
2017-07-31,46.0,46.0762,45.79,45.84,13622891.0,0.0,1.0,46.0,46.0762,45.79,45.84,13622891.0
2017-07-28,46.0,46.12,45.73,46.01,11945270.0,0.0,1.0,46.0,46.12,45.73,46.01,11945270.0
2017-07-27,45.8,46.425,45.7,46.12,15195172.0,0.0,1.0,45.8,46.425,45.7,46.12,15195172.0
2017-07-26,44.55,45.79,44.31,45.74,13608926.0,0.0,1.0,44.55,45.79,44.31,45.74,13608926.0
2017-07-25,45.02,45.29,44.935,45.24,14096307.0,0.0,1.0,45.02,45.29,44.935,45.24,14096307.0
2017-07-24,45.04,45.045,44.83,44.84,9103586.0,0.0,1.0,45.04,45.045,44.83,44.84,9103586.0
2017-07-21,44.78,45.07,44.67,45.03,8545560.0,0.0,1.0,44.78,45.07,44.67,45.03,8545560.0
2017-07-20,44.9,44.98,44.75,44.82,7430262.0,0.0,1.0,44.9,44.98,44.75,44.82,7430262.0
2017-07-19,44.67,44.84,44.545,44.83,6986937.0,0.0,1.0,44.67,44.84,44.545,44.83,6986937.0
2017-07-18,44.78,44.85,44.615,44.67,9037162.0,0.0,1.0,44.78,44.85,44.615,44.67,9037162.0
2017-07-17,44.66,44.785,44.61,44.73,7189114.0,0.0,1.0,44.66,44.785,44.61,44.73,7189114.0
2017-07-14,44.52,44.72,44.495,44.68,8558616.0,0.0,1.0,44.52,44.72,44.495,44.68,8558616.0
