Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,42.03,42.39,41.4,41.89,3362950.0,0.0,1.0,42.03,42.39,41.4,41.89,3362950.0
2017-08-03,41.36,42.45,41.2725,42.01,6149105.0,0.0,1.0,41.36,42.45,41.2725,42.01,6149105.0
2017-08-02,41.51,42.22,40.73,41.09,3506809.0,0.0,1.0,41.51,42.22,40.73,41.09,3506809.0
2017-08-01,41.38,41.63,40.81,41.56,4047733.0,0.0,1.0,41.38,41.63,40.81,41.56,4047733.0
2017-07-31,41.65,41.88,40.57,41.35,2792457.0,0.0,1.0,41.65,41.88,40.57,41.35,2792457.0
2017-07-28,41.44,41.5,40.96,41.24,2616646.0,0.0,1.0,41.44,41.5,40.96,41.24,2616646.0
2017-07-27,40.21,41.61,39.56,41.52,3532948.0,0.0,1.0,40.21,41.61,39.56,41.52,3532948.0
2017-07-26,40.21,40.32,39.64,40.25,2031676.0,0.0,1.0,40.21,40.32,39.64,40.25,2031676.0
2017-07-25,39.6,40.97,39.595,39.97,4607520.0,0.0,1.0,39.6,40.97,39.595,39.97,4607520.0
2017-07-24,40.32,40.355,39.3,39.36,2707318.0,0.0,1.0,40.32,40.355,39.3,39.36,2707318.0
2017-07-21,40.0,40.49,39.645,40.46,2394270.0,0.0,1.0,40.0,40.49,39.645,40.46,2394270.0
2017-07-20,39.78,40.23,39.23,39.99,3776064.0,0.0,1.0,39.78,40.23,39.23,39.99,3776064.0
2017-07-19,39.8,40.08,39.53,39.73,2590199.0,0.0,1.0,39.8,40.08,39.53,39.73,2590199.0
2017-07-18,39.68,40.01,39.28,39.71,3714500.0,0.0,1.0,39.68,40.01,39.28,39.71,3714500.0
2017-07-17,38.75,40.17,38.72,39.87,3477899.0,0.0,1.0,38.75,40.17,38.72,39.87,3477899.0
2017-07-14,39.0,39.13,38.27,38.81,2883228.0,0.0,1.0,39.0,39.13,38.27,38.81,2883228.0
2017-07-13,37.55,39.07,37.55,38.93,4725189.0,0.0,1.0,37.55,39.07,37.55,38.93,4725189.0
2017-07-12,37.05,37.324,36.76,37.15,2284641.0,0.0,1.0,37.05,37.324,36.76,37.15,2284641.0
2017-07-11,36.64,37.09,36.44,36.91,2433997.0,0.0,1.0,36.64,37.09,36.44,36.91,2433997.0
2017-07-10,38.13,38.2,36.21,36.63,5751557.0,0.0,1.0,38.13,38.2,36.21,36.63,5751557.0
2017-07-07,38.36,38.65,38.07,38.24,2950517.0,0.0,1.0,38.36,38.65,38.07,38.24,2950517.0
2017-07-06,38.96,39.31,38.15,38.29,3243516.0,0.0,1.0,38.96,39.31,38.15,38.29,3243516.0
2017-07-05,39.51,40.27,39.11,39.31,2694076.0,0.0,1.0,39.51,40.27,39.11,39.31,2694076.0
2017-07-03,38.83,39.765,38.78,39.59,2144955.0,0.0,1.0,38.83,39.765,38.78,39.59,2144955.0
2017-06-30,38.18,38.9,37.92,38.67,2439604.0,0.0,1.0,38.18,38.9,37.92,38.67,2439604.0
2017-06-29,38.7,38.91,37.65,37.97,3126416.0,0.0,1.0,38.7,38.91,37.65,37.97,3126416.0
2017-06-28,38.62,39.58,38.22,38.43,4859183.0,0.0,1.0,38.62,39.58,38.22,38.43,4859183.0
2017-06-27,37.5,39.01,37.48,38.41,6531743.0,0.0,1.0,37.5,39.01,37.48,38.41,6531743.0
2017-06-26,37.03,37.55,36.84,37.52,3269645.0,0.0,1.0,37.03,37.55,36.84,37.52,3269645.0
2017-06-23,36.34,37.04,35.97,37.03,3706025.0,0.0,1.0,36.34,37.04,35.97,37.03,3706025.0
2017-06-22,35.62,36.57,35.33,36.3,2244900.0,0.0,1.0,35.62,36.57,35.33,36.3,2244900.0
2017-06-21,35.75,36.01,35.33,35.56,4214592.0,0.0,1.0,35.75,36.01,35.33,35.56,4214592.0
2017-06-20,37.59,37.59,36.0,36.03,4506847.0,0.0,1.0,37.59,37.59,36.0,36.03,4506847.0
2017-06-19,37.55,37.66,36.46,37.53,5628047.0,0.0,1.0,37.55,37.66,36.46,37.53,5628047.0
2017-06-16,36.87,37.38,36.39,37.38,4535200.0,0.0,1.0,36.87,37.38,36.39,37.38,4535200.0
2017-06-15,37.48,37.97,36.92,37.28,3470864.0,0.0,1.0,37.48,37.97,36.92,37.28,3470864.0
2017-06-14,38.0,38.02,36.89,37.66,4525561.0,0.0,1.0,38.0,38.02,36.89,37.66,4525561.0
2017-06-13,38.09,38.73,37.61,38.04,3394469.0,0.0,1.0,38.09,38.73,37.61,38.04,3394469.0
2017-06-12,37.96,39.79,37.79,38.1,7935889.0,0.0,1.0,37.96,39.79,37.79,38.1,7935889.0
2017-06-09,35.41,37.97,35.27,37.87,7615518.0,0.0,1.0,35.41,37.97,35.27,37.87,7615518.0
2017-06-08,37.71,37.95,35.29,35.32,8397888.0,0.0,1.0,37.71,37.95,35.29,35.32,8397888.0
2017-06-07,35.83,36.3,35.54,36.15,4961115.0,0.0,1.0,35.83,36.3,35.54,36.15,4961115.0
2017-06-06,37.69,37.69,35.16,35.73,11125897.0,0.0,1.0,37.69,37.69,35.16,35.73,11125897.0
2017-06-05,38.33,38.54,37.09,37.92,5084362.0,0.55,1.0,38.33,38.54,37.09,37.92,5084362.0
2017-06-02,39.49,40.11,38.94,38.98,4375936.0,0.0,1.0,38.9254172082,39.5365531583,38.3832804783,38.4227086041,4375936.0
2017-06-01,38.43,39.62,38.3887,39.43,4342679.0,0.0,1.0,37.8805718742,39.0535586171,37.8398623343,38.8662750195,4342679.0
2017-05-31,38.85,38.8689,37.82,38.43,4764504.0,0.0,1.0,38.2945671952,38.3131969847,37.2792929555,37.8805718742,4764504.0
2017-05-30,38.65,39.13,38.611,38.79,3295734.0,0.0,1.0,38.0974265662,38.5705640759,38.0589841435,38.2354250065,3295734.0
2017-05-26,38.96,39.13,38.37,38.73,1982949.0,0.0,1.0,38.4029945412,38.5705640759,37.8214296855,38.1762828178,1982949.0
2017-05-25,38.02,39.15,37.94,38.87,5754874.0,0.0,1.0,37.4764335846,38.5902781388,37.397577333,38.3142812581,5754874.0
2017-05-24,37.75,38.13,37.37,37.93,2441424.0,0.0,1.0,37.2102937354,37.5848609306,36.8357265402,37.3877203015,2441424.0
2017-05-23,38.11,38.4,37.79,37.79,4305286.0,0.0,1.0,37.5651468677,37.8510007798,37.2497218612,37.2497218612,4305286.0
2017-05-22,37.53,38.595,37.32,38.02,3997048.0,0.0,1.0,36.9934390434,38.0432128932,36.7864413829,37.4764335846,3997048.0
2017-05-19,37.26,37.53,36.32,37.44,3809598.0,0.0,1.0,36.7272991942,36.9934390434,35.8007382376,36.9047257603,3809598.0
2017-05-18,37.23,37.85,36.78,37.05,4235103.0,0.0,1.0,36.6977280998,37.3088640499,36.2541616844,36.5203015337,4235103.0
2017-05-17,37.19,37.37,36.49,37.09,5952999.0,0.0,1.0,36.658299974,36.8357265402,35.9683077723,36.5597296595,5952999.0
2017-05-16,37.0,37.395,36.58,36.82,6267328.0,0.0,1.0,36.4710163764,36.8603691188,36.0570210554,36.2935898102,6267328.0
2017-05-15,36.6,37.4,36.55,36.97,5732020.0,0.0,1.0,36.0767351183,36.8652976345,36.027449961,36.441445282,5732020.0
2017-05-12,36.76,37.07,35.6,36.49,9140180.0,0.0,1.0,36.2344476215,36.5400155966,35.091031973,35.9683077723,9140180.0
2017-05-11,41.49,42.13,37.11,37.16,19039445.0,0.0,1.0,40.8968234988,41.5276735118,36.5794437224,36.6287288796,19039445.0
2017-05-10,39.83,40.687,39.83,40.32,6831422.0,0.0,1.0,39.2605562776,40.1053038731,39.2605562776,39.7435508188,6831422.0
