Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,49.16,49.25,48.97,49.14,937134.0,0.0,1.0,49.16,49.25,48.97,49.14,937134.0
2017-08-03,49.25,49.58,48.93,48.97,1296768.0,0.0,1.0,49.25,49.58,48.93,48.97,1296768.0
2017-08-02,49.08,49.46,48.965,49.12,1136339.0,0.0,1.0,49.08,49.46,48.965,49.12,1136339.0
2017-08-01,48.8,49.27,48.375,49.19,1118180.0,0.0,1.0,48.8,49.27,48.375,49.19,1118180.0
2017-07-31,47.75,48.97,47.09,48.68,1082701.0,0.0,1.0,47.75,48.97,47.09,48.68,1082701.0
2017-07-28,48.16,48.39,47.97,48.26,537789.0,0.0,1.0,48.16,48.39,47.97,48.26,537789.0
2017-07-27,48.09,48.19,47.87,48.12,632426.0,0.0,1.0,48.09,48.19,47.87,48.12,632426.0
2017-07-26,48.53,48.53,48.02,48.12,470196.0,0.0,1.0,48.53,48.53,48.02,48.12,470196.0
2017-07-25,48.45,48.589,48.32,48.48,588965.0,0.0,1.0,48.45,48.589,48.32,48.48,588965.0
2017-07-24,47.92,48.08,47.91,48.02,587394.0,0.0,1.0,47.92,48.08,47.91,48.02,587394.0
2017-07-21,47.63,47.98,47.57,47.89,530113.0,0.0,1.0,47.63,47.98,47.57,47.89,530113.0
2017-07-20,47.91,48.15,47.695,47.8,968666.0,0.0,1.0,47.91,48.15,47.695,47.8,968666.0
2017-07-19,47.3,47.97,47.26,47.91,806640.0,0.0,1.0,47.3,47.97,47.26,47.91,806640.0
2017-07-18,47.02,47.29,46.97,47.24,802443.0,0.0,1.0,47.02,47.29,46.97,47.24,802443.0
2017-07-17,46.8,47.23,46.64,47.15,502094.0,0.0,1.0,46.8,47.23,46.64,47.15,502094.0
2017-07-14,46.8,47.25,46.61,46.95,450746.0,0.0,1.0,46.8,47.25,46.61,46.95,450746.0
2017-07-13,46.69,46.97,46.67,46.93,507119.0,0.0,1.0,46.69,46.97,46.67,46.93,507119.0
2017-07-12,46.83,47.0,46.7,46.79,551366.0,0.0,1.0,46.83,47.0,46.7,46.79,551366.0
2017-07-11,47.24,47.24,46.68,46.9,615607.0,0.0,1.0,47.24,47.24,46.68,46.9,615607.0
2017-07-10,47.02,47.37,46.944,47.15,635949.0,0.0,1.0,47.02,47.37,46.944,47.15,635949.0
2017-07-07,46.97,47.31,46.76,47.21,781949.0,0.0,1.0,46.97,47.31,46.76,47.21,781949.0
2017-07-06,47.01,47.2,46.72,46.78,886111.0,0.0,1.0,47.01,47.2,46.72,46.78,886111.0
2017-07-05,47.42,47.49,46.91,47.01,960763.0,0.0,1.0,47.42,47.49,46.91,47.01,960763.0
2017-07-03,47.12,48.01,47.12,47.4,865460.0,0.0,1.0,47.12,48.01,47.12,47.4,865460.0
2017-06-30,47.08,47.12,46.47,46.81,1033581.0,0.0,1.0,47.08,47.12,46.47,46.81,1033581.0
2017-06-29,47.48,47.49,46.73,46.83,1030386.0,0.0,1.0,47.48,47.49,46.73,46.83,1030386.0
2017-06-28,46.92,47.23,46.92,46.97,924308.0,0.0,1.0,46.92,47.23,46.92,46.97,924308.0
2017-06-27,46.71,46.87,46.57,46.62,848064.0,0.0,1.0,46.71,46.87,46.57,46.62,848064.0
2017-06-26,46.42,46.73,46.25,46.61,779912.0,0.0,1.0,46.42,46.73,46.25,46.61,779912.0
2017-06-23,46.43,46.715,46.17,46.28,1108228.0,0.0,1.0,46.43,46.715,46.17,46.28,1108228.0
2017-06-22,46.69,46.8,46.38,46.4,732022.0,0.0,1.0,46.69,46.8,46.38,46.4,732022.0
2017-06-21,47.63,47.63,46.7,46.82,897279.0,0.0,1.0,47.63,47.63,46.7,46.82,897279.0
2017-06-20,47.86,47.86,47.34,47.51,763587.0,0.0,1.0,47.86,47.86,47.34,47.51,763587.0
2017-06-19,48.19,48.32,47.87,47.99,714548.0,0.0,1.0,48.19,48.32,47.87,47.99,714548.0
2017-06-16,48.39,48.39,47.89,48.14,1577506.0,0.0,1.0,48.39,48.39,47.89,48.14,1577506.0
2017-06-15,47.52,48.19,47.47,48.05,1052905.0,0.0,1.0,47.52,48.19,47.47,48.05,1052905.0
2017-06-14,47.71,47.8014,47.33,47.66,884048.0,0.0,1.0,47.71,47.8014,47.33,47.66,884048.0
2017-06-13,47.67,47.9,47.56,47.77,619807.0,0.0,1.0,47.67,47.9,47.56,47.77,619807.0
2017-06-12,47.48,47.74,47.33,47.65,909635.0,0.0,1.0,47.48,47.74,47.33,47.65,909635.0
2017-06-09,46.83,47.48,46.78,47.47,1016031.0,0.0,1.0,46.83,47.48,46.78,47.47,1016031.0
2017-06-08,46.62,46.89,46.62,46.7,1125614.0,0.0,1.0,46.62,46.89,46.62,46.7,1125614.0
2017-06-07,46.86,46.88,46.59,46.66,686172.0,0.0,1.0,46.86,46.88,46.59,46.66,686172.0
2017-06-06,46.95,46.95,46.62,46.76,957680.0,0.0,1.0,46.95,46.95,46.62,46.76,957680.0
2017-06-05,47.16,47.4,47.11,47.14,655761.0,0.0,1.0,47.16,47.4,47.11,47.14,655761.0
2017-06-02,47.55,47.64,47.23,47.3,1053199.0,0.0,1.0,47.55,47.64,47.23,47.3,1053199.0
2017-06-01,47.35,47.81,47.13,47.67,939065.0,0.0,1.0,47.35,47.81,47.13,47.67,939065.0
2017-05-31,46.89,47.22,46.72,47.16,1416129.0,0.0,1.0,46.89,47.22,46.72,47.16,1416129.0
2017-05-30,46.72,46.94,46.56,46.88,762535.0,0.0,1.0,46.72,46.94,46.56,46.88,762535.0
2017-05-26,46.65,46.9,46.6,46.88,614408.0,0.063,1.0,46.65,46.9,46.6,46.88,614408.0
2017-05-25,46.63,46.82,46.41,46.75,710895.0,0.0,1.0,46.5674200626,46.7571650725,46.3477153143,46.6872590163,710895.0
2017-05-24,46.83,46.93,46.48,46.49,861881.0,0.0,1.0,46.767151652,46.8670174467,46.4176213706,46.4276079501,861881.0
2017-05-23,46.36,46.87,46.2802,46.78,702996.0,0.0,1.0,46.297782417,46.8070979699,46.2180895128,46.7172187547,702996.0
2017-05-22,46.17,46.41,46.13,46.37,652930.0,0.0,1.0,46.1080374071,46.3477153143,46.0680910892,46.3077689964,652930.0
2017-05-19,46.13,46.15,45.835,45.92,1051536.0,0.0,1.0,46.0680910892,46.0880642481,45.7734869949,45.8583729204,1051536.0
2017-05-18,45.82,46.43,45.77,46.05,898231.0,0.0,1.0,45.7585071257,46.3676884733,45.7085742283,45.9881984534,898231.0
2017-05-17,45.85,46.12,45.8,45.83,1066657.0,0.0,1.0,45.7884668641,46.0581045097,45.7385339667,45.7684937051,1066657.0
2017-05-16,46.08,46.4,46.04,46.38,1140263.0,0.0,1.0,46.0181581918,46.3377287348,45.978211874,46.3177555759,1140263.0
