Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,175.78,176.12,174.62,176.0,315594.0,0.0,1.0,175.78,176.12,174.62,176.0,315594.0
2017-08-03,174.97,175.46,172.59,175.4,515850.0,0.0,1.0,174.97,175.46,172.59,175.4,515850.0
2017-08-02,174.1,175.72,173.84,174.97,485367.0,0.0,1.0,174.1,175.72,173.84,174.97,485367.0
2017-08-01,175.15,175.24,172.76,174.36,608038.0,0.0,1.0,175.15,175.24,172.76,174.36,608038.0
2017-07-31,176.63,177.61,174.91,174.97,474428.0,0.0,1.0,176.63,177.61,174.91,174.97,474428.0
2017-07-28,176.27,176.63,174.76,176.37,590955.0,0.0,1.0,176.27,176.63,174.76,176.37,590955.0
2017-07-27,175.96,178.58,173.85,176.02,1001316.0,0.0,1.0,175.96,178.58,173.85,176.02,1001316.0
2017-07-26,177.56,177.82,174.991,175.52,1146024.0,0.0,1.0,177.56,177.82,174.991,175.52,1146024.0
2017-07-25,178.29,178.335,176.12,177.31,528649.0,0.0,1.0,178.29,178.335,176.12,177.31,528649.0
2017-07-24,176.59,179.37,175.77,177.68,479764.0,0.0,1.0,176.59,179.37,175.77,177.68,479764.0
2017-07-21,176.54,178.36,172.73,176.62,1106401.0,0.0,1.0,176.54,178.36,172.73,176.62,1106401.0
2017-07-20,175.0,180.73,173.51,177.72,1012982.0,0.0,1.0,175.0,180.73,173.51,177.72,1012982.0
2017-07-19,170.39,172.01,170.31,171.96,330268.0,0.0,1.0,170.39,172.01,170.31,171.96,330268.0
2017-07-18,171.79,171.79,169.48,169.87,540201.0,0.0,1.0,171.79,171.79,169.48,169.87,540201.0
2017-07-17,172.18,173.36,171.08,171.98,430778.0,0.0,1.0,172.18,173.36,171.08,171.98,430778.0
2017-07-14,169.5,172.46,168.92,172.11,508114.0,0.0,1.0,169.5,172.46,168.92,172.11,508114.0
2017-07-13,169.71,171.09,168.68,168.99,336044.0,0.0,1.0,169.71,171.09,168.68,168.99,336044.0
2017-07-12,170.39,170.437,169.05,169.49,377636.0,0.0,1.0,170.39,170.437,169.05,169.49,377636.0
2017-07-11,170.11,170.43,168.54,169.66,415392.0,0.0,1.0,170.11,170.43,168.54,169.66,415392.0
2017-07-10,171.5,171.5,169.422,170.04,461922.0,0.0,1.0,171.5,171.5,169.422,170.04,461922.0
2017-07-07,169.06,172.74,168.81,171.51,651987.0,0.0,1.0,169.06,172.74,168.81,171.51,651987.0
2017-07-06,171.14,171.48,168.86,169.06,509967.0,0.0,1.0,171.14,171.48,168.86,169.06,509967.0
2017-07-05,170.53,172.04,170.1,171.33,559667.0,0.0,1.0,170.53,172.04,170.1,171.33,559667.0
2017-07-03,167.33,170.58,167.12,170.58,317222.0,0.0,1.0,167.33,170.58,167.12,170.58,317222.0
2017-06-30,166.61,167.66,166.22,167.08,612166.0,0.0,1.0,166.61,167.66,166.22,167.08,612166.0
2017-06-29,168.04,168.71,164.34,166.05,509650.0,0.0,1.0,168.04,168.71,164.34,166.05,509650.0
2017-06-28,166.77,168.6,166.55,168.04,421234.0,0.0,1.0,166.77,168.6,166.55,168.04,421234.0
2017-06-27,166.34,167.91,165.83,166.03,341219.0,0.0,1.0,166.34,167.91,165.83,166.03,341219.0
2017-06-26,168.35,168.45,165.96,166.41,873297.0,0.0,1.0,168.35,168.45,165.96,166.41,873297.0
2017-06-23,168.72,169.93,167.63,167.88,602621.0,0.0,1.0,168.72,169.93,167.63,167.88,602621.0
2017-06-22,169.5,170.63,168.8,168.84,528282.0,0.0,1.0,169.5,170.63,168.8,168.84,528282.0
2017-06-21,170.0,171.12,169.11,169.49,440633.0,0.0,1.0,170.0,171.12,169.11,169.49,440633.0
2017-06-20,168.95,172.07,168.95,170.26,563828.0,0.0,1.0,168.95,172.07,168.95,170.26,563828.0
2017-06-19,167.74,169.85,167.01,169.75,497482.0,0.0,1.0,167.74,169.85,167.01,169.75,497482.0
2017-06-16,167.79,168.49,166.4,166.95,1043347.0,0.0,1.0,167.79,168.49,166.4,166.95,1043347.0
2017-06-15,167.53,168.64,166.3,167.93,412127.0,0.0,1.0,167.53,168.64,166.3,167.93,412127.0
2017-06-14,168.0,169.07,166.45,168.37,1133391.0,0.0,1.0,168.0,169.07,166.45,168.37,1133391.0
2017-06-13,166.82,170.35,165.84,167.79,725805.0,0.0,1.0,166.82,170.35,165.84,167.79,725805.0
2017-06-12,166.16,167.04,165.335,166.93,657510.0,0.0,1.0,166.16,167.04,165.335,166.93,657510.0
2017-06-09,164.16,166.55,163.98,166.29,736884.0,0.0,1.0,164.16,166.55,163.98,166.29,736884.0
2017-06-08,162.63,164.4,161.04,164.32,702189.0,0.0,1.0,162.63,164.4,161.04,164.32,702189.0
2017-06-07,163.78,164.0,161.51,162.77,627577.0,0.0,1.0,163.78,164.0,161.51,162.77,627577.0
2017-06-06,165.64,166.51,163.62,163.67,582241.0,0.0,1.0,165.64,166.51,163.62,163.67,582241.0
2017-06-05,168.53,168.53,166.05,166.11,346360.0,0.0,1.0,168.53,168.53,166.05,166.11,346360.0
2017-06-02,167.07,170.054,166.38,168.44,536749.0,0.0,1.0,167.07,170.054,166.38,168.44,536749.0
