Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,296.27,297.0,295.04,297.0,796392.0,0.0,1.0,296.27,297.0,295.04,297.0,796392.0
2017-08-03,294.0,295.91,292.8001,295.82,983639.0,0.0,1.0,294.0,295.91,292.8001,295.82,983639.0
2017-08-02,292.73,294.84,292.15,294.7,984499.0,0.0,1.0,292.73,294.84,292.15,294.7,984499.0
2017-08-01,293.93,294.33,291.895,292.65,1037379.0,0.0,1.0,293.93,294.33,291.895,292.65,1037379.0
2017-07-31,291.42,293.84,291.03,292.13,1145699.0,0.0,1.0,291.42,293.84,291.03,292.13,1145699.0
2017-07-28,288.07,290.7699,286.58,290.41,1086242.0,0.0,1.0,288.07,290.7699,286.58,290.41,1086242.0
2017-07-27,290.2,290.49,286.17,288.13,1117441.0,0.0,1.0,290.2,290.49,286.17,288.13,1117441.0
2017-07-26,290.82,290.99,288.77,289.85,882610.0,0.0,1.0,290.82,290.99,288.77,289.85,882610.0
2017-07-25,291.48,292.07,289.72,289.83,805237.0,0.0,1.0,291.48,292.07,289.72,289.83,805237.0
2017-07-24,289.47,291.24,289.2,290.28,768718.0,0.0,1.0,289.47,291.24,289.2,290.28,768718.0
2017-07-21,288.3,290.07,286.86,289.12,1230081.0,0.0,1.0,288.3,290.07,286.86,289.12,1230081.0
2017-07-20,290.58,290.74,288.941,289.67,1150891.0,0.0,1.0,290.58,290.74,288.941,289.67,1150891.0
2017-07-19,287.68,291.28,287.04,290.67,1139818.0,0.0,1.0,287.68,291.28,287.04,290.67,1139818.0
2017-07-18,290.64,292.97,286.03,286.79,1811020.0,0.0,1.0,290.64,292.97,286.03,286.79,1811020.0
2017-07-17,288.5,290.06,287.61,288.49,1318384.0,0.0,1.0,288.5,290.06,287.61,288.49,1318384.0
2017-07-14,287.05,288.77,286.71,288.13,887863.0,0.0,1.0,287.05,288.77,286.71,288.13,887863.0
2017-07-13,287.12,287.85,285.78,286.76,705408.0,0.0,1.0,287.12,287.85,285.78,286.76,705408.0
2017-07-12,287.15,288.77,286.36,286.36,812590.0,0.0,1.0,287.15,288.77,286.36,286.36,812590.0
2017-07-11,285.57,287.75,285.06,286.42,915644.0,0.0,1.0,285.57,287.75,285.06,286.42,915644.0
2017-07-10,285.5,287.91,284.22,285.57,1348114.0,0.0,1.0,285.5,287.91,284.22,285.57,1348114.0
2017-07-07,281.66,286.95,281.5,285.2,1197177.0,0.0,1.0,281.66,286.95,281.5,285.2,1197177.0
2017-07-06,282.0,283.475,280.4,280.96,766047.0,0.0,1.0,282.0,283.475,280.4,280.96,766047.0
2017-07-05,279.5,283.72,279.4,282.4,869479.0,0.0,1.0,279.5,283.72,279.4,282.4,869479.0
2017-07-03,277.39,280.48,277.2,278.92,462782.0,0.0,1.0,277.39,280.48,277.2,278.92,462782.0
2017-06-30,277.62,278.92,276.32,277.61,1085641.0,0.0,1.0,277.62,278.92,276.32,277.61,1085641.0
2017-06-29,279.85,279.85,274.69,276.73,905160.0,0.0,1.0,279.85,279.85,274.69,276.73,905160.0
2017-06-28,279.08,280.92,278.37,280.02,955916.0,0.0,1.0,279.08,280.92,278.37,280.02,955916.0
2017-06-27,279.32,280.21,277.83,277.83,740502.0,0.0,1.0,279.32,280.21,277.83,277.83,740502.0
2017-06-26,281.17,283.2,279.49,279.7,887131.0,0.0,1.0,281.17,283.2,279.49,279.7,887131.0
2017-06-23,280.03,281.48,280.03,280.64,1026843.0,0.0,1.0,280.03,281.48,280.03,280.64,1026843.0
2017-06-22,282.73,283.71,280.38,280.43,694001.0,0.0,1.0,282.73,283.71,280.38,280.43,694001.0
2017-06-21,283.68,284.21,282.21,282.99,801424.0,0.0,1.0,283.68,284.21,282.21,282.99,801424.0
2017-06-20,282.95,284.98,282.395,282.89,967631.0,0.0,1.0,282.95,284.98,282.395,282.89,967631.0
2017-06-19,281.75,284.4799,281.39,282.3,1064036.0,0.0,1.0,281.75,284.4799,281.39,282.3,1064036.0
2017-06-16,282.13,282.2799,280.68,281.11,1287564.0,0.0,1.0,282.13,282.2799,280.68,281.11,1287564.0
2017-06-15,279.75,281.57,277.773,280.93,617749.0,0.0,1.0,279.75,281.57,277.773,280.93,617749.0
2017-06-14,278.1,282.32,278.0,280.3,828899.0,0.0,1.0,278.1,282.32,278.0,280.3,828899.0
2017-06-13,276.9,278.94,275.48,278.36,638691.0,0.0,1.0,276.9,278.94,275.48,278.36,638691.0
2017-06-12,277.09,277.225,273.73,276.89,835958.0,0.0,1.0,277.09,277.225,273.73,276.89,835958.0
2017-06-09,277.66,279.1899,276.61,277.0,1021687.0,0.0,1.0,277.66,279.1899,276.61,277.0,1021687.0
2017-06-08,278.0,278.69,276.67,277.62,1116395.0,0.0,1.0,278.0,278.69,276.67,277.62,1116395.0
2017-06-07,277.41,277.85,276.24,277.38,658854.0,0.0,1.0,277.41,277.85,276.24,277.38,658854.0
2017-06-06,279.54,279.9477,276.72,276.88,890784.0,0.0,1.0,279.54,279.9477,276.72,276.88,890784.0
2017-06-05,281.5,282.3,280.09,280.13,623248.0,0.0,1.0,281.5,282.3,280.09,280.13,623248.0
2017-06-02,281.28,282.89,280.75,281.76,749121.0,0.0,1.0,281.28,282.89,280.75,281.76,749121.0
2017-06-01,281.18,281.7,279.5,280.96,829260.0,0.0,1.0,281.18,281.7,279.5,280.96,829260.0
2017-05-31,279.47,281.28,279.27,281.13,1506621.0,0.0,1.0,279.47,281.28,279.27,281.13,1506621.0
2017-05-30,281.83,282.84,279.73,280.09,902223.0,1.82,1.0,281.83,282.84,279.73,280.09,902223.0
2017-05-26,282.04,284.0,281.54,283.65,854649.0,0.0,1.0,280.219160725,282.166507041,279.722388706,281.818766628,854649.0
2017-05-25,281.0,282.33,280.56,282.06,834315.0,0.0,1.0,279.185874925,280.507288496,278.748715548,280.239031606,834315.0
2017-05-24,278.22,280.56,278.11,280.05,872150.0,0.0,1.0,276.423822497,278.748715548,276.314532652,278.242008088,872150.0
2017-05-23,278.0,278.62,276.1,278.36,874710.0,0.0,1.0,276.205242808,276.821240112,274.317509134,276.562918662,874710.0
2017-05-22,280.79,280.79,276.22,277.03,1600564.0,0.0,1.0,278.977230676,278.977230676,274.436734419,275.24150509,1600564.0
2017-05-19,268.7,272.88,268.11,272.79,1254064.0,0.0,1.0,266.965283246,271.118297329,266.379092263,271.028878365,1254064.0
2017-05-18,268.54,269.0,266.01,267.32,1245863.0,0.0,1.0,266.8063162,267.263346458,264.292649782,265.594192473,1245863.0
2017-05-17,270.1,270.73,268.9101,269.24,943254.0,0.0,1.0,268.356244901,268.982177645,267.174026849,267.501797027,943254.0
2017-05-16,272.08,273.26,271.43,271.65,614812.0,0.0,1.0,270.323462098,271.495844064,269.677658473,269.896238161,614812.0
2017-05-15,271.28,272.47,271.05,272.35,613333.0,0.0,1.0,269.528626867,270.710944273,269.300111738,270.591718988,613333.0
2017-05-12,270.91,271.7,270.75,271.26,599693.0,0.0,1.0,269.161015572,269.945915363,269.002048526,269.508755986,599693.0
2017-05-11,271.14,272.2499,270.2,272.09,605542.0,0.0,1.0,269.389530701,270.49226523,268.455599305,270.333397538,605542.0
2017-05-10,272.88,273.71,270.17,271.74,934942.0,0.0,1.0,271.118297329,271.942938881,268.425792984,269.985657125,934942.0
2017-05-09,273.0,274.22,272.268,273.87,897905.0,0.0,1.0,271.237522614,272.449646341,270.510248377,272.101905927,897905.0
2017-05-08,272.92,274.0,272.1,272.5,674829.0,0.0,1.0,271.15803909,272.231066652,270.343332979,270.740750594,674829.0
2017-05-05,270.68,273.1,270.21,273.03,812695.0,0.0,1.0,268.932500443,271.336877017,268.465534745,271.267328935,812695.0
2017-05-04,269.87,270.71,268.86,270.51,691113.0,0.0,1.0,268.127729772,268.962306765,267.124250293,268.763597957,691113.0
2017-05-03,268.75,269.95,268.2,269.6,636526.0,0.0,1.0,267.014960448,268.207213295,266.468511227,267.859472881,636526.0
2017-05-02,268.19,269.87,268.0,269.49,737105.0,0.0,1.0,266.458575787,268.127729772,266.269802419,267.750183037,737105.0
2017-05-01,269.55,270.11,268.37,268.43,841677.0,0.0,1.0,267.809795679,268.366180341,266.637413714,266.697026356,841677.0
2017-04-28,271.07,271.542,268.62,269.45,1004174.0,0.0,1.0,269.319982619,269.788935405,266.885799723,267.710441276,1004174.0
2017-04-27,270.84,272.77,269.94,271.14,953829.0,0.0,1.0,269.09146749,271.009007485,268.197277855,269.389530701,953829.0
2017-04-26,270.59,272.51,269.54,270.35,1477178.0,0.0,1.0,268.84308148,270.750686035,267.799860239,268.604630911,1477178.0
2017-04-25,273.9,274.5,267.675,270.02,2963859.0,0.0,1.0,272.131712249,272.727838672,265.946900607,268.276761378,2963859.0
2017-04-24,275.54,276.64,274.31,276.21,1098834.0,0.0,1.0,273.761124472,274.854022915,272.539065305,274.426798978,1098834.0
