Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,78.46,78.57,77.68,78.37,2493044.0,0.0,1.0,78.46,78.57,77.68,78.37,2493044.0
2017-08-03,78.14,78.91,77.86,77.91,3833165.0,0.0,1.0,78.14,78.91,77.86,77.91,3833165.0
2017-08-02,77.57,78.15,77.5,77.86,3738964.0,0.0,1.0,77.57,78.15,77.5,77.86,3738964.0
2017-08-01,77.27,77.96,76.25,77.83,3741236.0,0.0,1.0,77.27,77.96,76.25,77.83,3741236.0
2017-07-31,76.57,77.52,76.37,77.4,6833262.0,0.0,1.0,76.57,77.52,76.37,77.4,6833262.0
2017-07-28,76.96,77.35,76.2,76.48,5000589.0,0.0,1.0,76.96,77.35,76.2,76.48,5000589.0
2017-07-27,75.83,77.68,75.81,77.0,6934819.0,0.0,1.0,75.83,77.68,75.81,77.0,6934819.0
2017-07-26,75.69,76.325,75.3,75.98,4481628.0,0.0,1.0,75.69,76.325,75.3,75.98,4481628.0
2017-07-25,74.69,76.18,74.51,75.69,6506985.0,0.0,1.0,74.69,76.18,74.51,75.69,6506985.0
2017-07-24,73.5,74.76,73.06,74.31,7749241.0,0.41,1.0,73.5,74.76,73.06,74.31,7749241.0
2017-07-21,72.75,74.11,72.72,73.84,11614552.0,0.0,1.0,72.3508096895,73.7033471627,72.3209743041,73.4348286938,11614552.0
2017-07-20,75.96,76.14,71.58,72.56,23888549.0,0.0,1.0,75.5431959315,75.7222082441,71.1872296574,72.1618522484,23888549.0
2017-07-19,76.24,77.15,76.21,76.83,4233606.0,0.0,1.0,75.8216595289,76.7266662206,75.7918241435,76.4084221092,4233606.0
2017-07-18,76.24,76.41,75.88,75.96,3174141.0,0.0,1.0,75.8216595289,75.9907267131,75.4636349036,75.5431959315,3174141.0
2017-07-17,76.06,76.67,75.94,76.43,3960540.0,0.0,1.0,75.6426472163,76.2493000535,75.5233056745,76.01061697,3960540.0
2017-07-14,76.53,76.7,75.74,76.06,4778237.0,0.0,1.0,76.1100682548,76.279135439,75.3244031049,75.6426472163,4778237.0
2017-07-13,76.51,76.905,76.28,76.52,4648190.0,0.0,1.0,76.0901779979,76.4830105728,75.8614400428,76.1001231263,4648190.0
2017-07-12,76.6,76.92,76.025,76.22,4379323.0,0.0,1.0,76.1796841542,76.4979282655,75.6078392666,75.8017692719,4379323.0
2017-07-11,76.98,77.12,76.015,76.25,5139131.0,0.0,1.0,76.5575990364,76.6968308351,75.5978941381,75.8316046574,5139131.0
2017-07-10,77.3,77.47,76.85,76.92,4611890.0,0.0,1.0,76.8758431478,77.0449103319,76.4283123662,76.4979282655,4611890.0
2017-07-07,76.73,77.2999,76.65,77.15,3904874.0,0.0,1.0,76.3089708244,76.8757436965,76.2294097966,76.7266662206,3904874.0
2017-07-06,77.07,77.3,76.43,76.59,4439706.0,0.0,1.0,76.6471051927,76.8758431478,76.01061697,76.1697390257,4439706.0
2017-07-05,78.24,78.39,77.03,77.37,3929977.0,0.0,1.0,77.8106852248,77.959862152,76.6073246788,76.9454590471,3929977.0
2017-07-03,78.0,78.45,77.99,78.26,2287863.0,0.0,1.0,77.5720021413,78.0195329229,77.5620570128,77.8305754818,2287863.0
2017-06-30,76.53,77.94,76.53,77.53,4681317.0,0.0,1.0,76.1100682548,77.5123313704,76.1100682548,77.1045811028,4681317.0
2017-06-29,77.1,77.19,76.16,76.6,3877409.0,0.0,1.0,76.6769405782,76.7664467345,75.7420985011,76.1796841542,3877409.0
2017-06-28,76.63,77.215,76.52,77.02,4368383.0,0.0,1.0,76.2095195396,76.7913095557,76.1001231263,76.5973795503,4368383.0
2017-06-27,76.48,77.11,75.79,76.33,7801680.0,0.0,1.0,76.0603426124,76.6868857066,75.3741287473,75.9111656852,7801680.0
2017-06-26,76.33,76.9464,76.3,76.7,5210783.0,0.0,1.0,75.9111656852,76.5241834047,75.8813302998,76.279135439,5210783.0
2017-06-23,78.38,78.41,75.8302,76.07,13573682.0,0.0,1.0,77.9499170236,77.979752409,75.4141081638,75.6525923448,13573682.0
2017-06-22,79.2,79.35,78.3,78.34,8240909.0,0.0,1.0,78.7654175589,78.9145944861,77.8703559957,77.9101365096,8240909.0
2017-06-21,80.48,80.81,79.04,79.14,4751969.0,0.0,1.0,80.0383940043,80.3665832441,78.6062955032,78.705746788,4751969.0
2017-06-20,81.0,81.4499,80.37,80.46,4234266.0,0.0,1.0,80.5555406852,81.0029720155,79.928997591,80.0185037473,4234266.0
2017-06-19,80.23,81.35,79.565,81.08,4477752.0,0.0,1.0,79.7897657923,80.903620182,79.1284147484,80.6351017131,4477752.0
