Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,149.35,152.26,148.36,150.05,2154360.0,0.0,1.0,149.35,152.26,148.36,150.05,2154360.0
2017-08-03,149.5,151.49,148.26,148.9,3146112.0,0.0,1.0,149.5,151.49,148.26,148.9,3146112.0
2017-08-02,158.97,158.98,149.77,151.55,4787213.0,0.0,1.0,158.97,158.98,149.77,151.55,4787213.0
2017-08-01,160.44,160.49,157.17,157.46,2592545.0,0.0,1.0,160.44,160.49,157.17,157.46,2592545.0
2017-07-31,162.6,163.0,158.79,159.46,2444782.0,0.0,1.0,162.6,163.0,158.79,159.46,2444782.0
2017-07-28,164.25,164.969,160.7841,161.6,2740045.0,0.0,1.0,164.25,164.969,160.7841,161.6,2740045.0
2017-07-27,168.92,170.0,161.271,164.76,5665243.0,0.0,1.0,168.92,170.0,161.271,164.76,5665243.0
2017-07-26,165.4,168.44,165.22,168.34,3310805.0,0.0,1.0,165.4,168.44,165.22,168.34,3310805.0
2017-07-25,164.08,164.82,162.475,164.46,2082769.0,0.0,1.0,164.08,164.82,162.475,164.46,2082769.0
2017-07-24,163.5,164.68,163.1513,164.12,1445660.0,0.0,1.0,163.5,164.68,163.1513,164.12,1445660.0
2017-07-21,163.915,163.915,162.29,163.53,1848013.0,0.0,1.0,163.915,163.915,162.29,163.53,1848013.0
2017-07-20,164.98,165.12,161.82,164.8,2375913.0,0.0,1.0,164.98,165.12,161.82,164.8,2375913.0
2017-07-19,160.5,164.545,160.245,164.23,2711710.0,0.0,1.0,160.5,164.545,160.245,164.23,2711710.0
2017-07-18,157.0,159.5876,156.2369,159.35,1831954.0,0.0,1.0,157.0,159.5876,156.2369,159.35,1831954.0
2017-07-17,157.78,158.31,155.75,156.98,1658409.0,0.0,1.0,157.78,158.31,155.75,156.98,1658409.0
2017-07-14,155.69,157.61,154.96,157.3,1459805.0,0.0,1.0,155.69,157.61,154.96,157.3,1459805.0
2017-07-13,155.05,156.31,154.16,154.94,1461096.0,0.0,1.0,155.05,156.31,154.16,154.94,1461096.0
2017-07-12,155.41,156.35,152.92,154.58,1782748.0,0.0,1.0,155.41,156.35,152.92,154.58,1782748.0
2017-07-11,151.31,154.82,151.01,153.72,2753826.0,0.0,1.0,151.31,154.82,151.01,153.72,2753826.0
2017-07-10,148.73,151.005,147.86,150.84,2278961.0,0.0,1.0,148.73,151.005,147.86,150.84,2278961.0
