Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,57.48,58.27,57.3,57.38,1452555.0,0.0,1.0,57.48,58.27,57.3,57.38,1452555.0
2017-08-03,59.18,59.18,56.26,57.33,2236740.0,0.0,1.0,59.18,59.18,56.26,57.33,2236740.0
2017-08-02,58.83,59.3508,58.61,59.26,1686959.0,0.0,1.0,58.83,59.3508,58.61,59.26,1686959.0
2017-08-01,58.98,58.98,58.55,58.95,2028728.0,0.0,1.0,58.98,58.98,58.55,58.95,2028728.0
2017-07-31,58.59,58.84,58.45,58.68,1026686.0,0.0,1.0,58.59,58.84,58.45,58.68,1026686.0
2017-07-28,59.06,59.15,58.36,58.61,941244.0,0.0,1.0,59.06,59.15,58.36,58.61,941244.0
2017-07-27,58.15,59.18,58.15,59.18,2656227.0,0.0,1.0,58.15,59.18,58.15,59.18,2656227.0
2017-07-26,58.4,58.49,57.82,58.08,925568.0,0.0,1.0,58.4,58.49,57.82,58.08,925568.0
2017-07-25,58.01,58.43,57.85,58.15,1187847.0,0.0,1.0,58.01,58.43,57.85,58.15,1187847.0
2017-07-24,58.6,58.66,57.78,57.78,1680463.0,0.0,1.0,58.6,58.66,57.78,57.78,1680463.0
2017-07-21,58.39,58.96,58.34,58.66,1073784.0,0.0,1.0,58.39,58.96,58.34,58.66,1073784.0
2017-07-20,57.75,58.57,57.7,58.48,2024083.0,0.0,1.0,57.75,58.57,57.7,58.48,2024083.0
2017-07-19,57.32,57.94,57.14,57.71,1107998.0,0.0,1.0,57.32,57.94,57.14,57.71,1107998.0
2017-07-18,57.98,58.01,57.12,57.18,1273122.0,0.0,1.0,57.98,58.01,57.12,57.18,1273122.0
2017-07-17,58.0,58.33,57.92,58.01,1081253.0,0.0,1.0,58.0,58.33,57.92,58.01,1081253.0
2017-07-14,57.75,58.4,57.75,58.12,1128714.0,0.0,1.0,57.75,58.4,57.75,58.12,1128714.0
2017-07-13,57.46,57.91,57.2,57.77,1997213.0,0.0,1.0,57.46,57.91,57.2,57.77,1997213.0
2017-07-12,58.8,58.8,57.37,57.41,1955695.0,0.0,1.0,58.8,58.8,57.37,57.41,1955695.0
2017-07-11,58.86,58.99,58.4,58.45,850783.0,0.0,1.0,58.86,58.99,58.4,58.45,850783.0
2017-07-10,58.84,59.26,58.73,58.76,926368.0,0.0,1.0,58.84,59.26,58.73,58.76,926368.0
2017-07-07,59.37,59.4,58.791,58.93,2401552.0,0.0,1.0,59.37,59.4,58.791,58.93,2401552.0
2017-07-06,58.82,59.65,58.76,59.34,3582595.0,0.0,1.0,58.82,59.65,58.76,59.34,3582595.0
2017-07-05,59.52,59.63,58.87,59.15,2745110.0,0.0,1.0,59.52,59.63,58.87,59.15,2745110.0
2017-07-03,59.57,59.66,59.2,59.54,499989.0,0.0,1.0,59.57,59.66,59.2,59.54,499989.0
2017-06-30,59.77,59.91,59.3,59.3,1458273.0,0.0,1.0,59.77,59.91,59.3,59.3,1458273.0
2017-06-29,60.86,60.86,59.41,59.7,2012357.0,0.0,1.0,60.86,60.86,59.41,59.7,2012357.0
2017-06-28,60.3,61.33,60.28,60.77,1979189.0,0.0,1.0,60.3,61.33,60.28,60.77,1979189.0
2017-06-27,60.0,60.82,59.86,60.2,2493936.0,0.0,1.0,60.0,60.82,59.86,60.2,2493936.0
2017-06-26,59.94,60.39,59.94,60.17,1753768.0,0.0,1.0,59.94,60.39,59.94,60.17,1753768.0
2017-06-23,59.98,60.21,59.65,60.06,2808576.0,0.0,1.0,59.98,60.21,59.65,60.06,2808576.0
2017-06-22,60.01,60.24,59.57,59.87,3846152.0,0.0,1.0,60.01,60.24,59.57,59.87,3846152.0
2017-06-21,60.81,60.81,59.59,60.09,4610253.0,0.0,1.0,60.81,60.81,59.59,60.09,4610253.0
2017-06-20,61.26,61.26,60.08,60.46,4403671.0,0.0,1.0,61.26,61.26,60.08,60.46,4403671.0
2017-06-19,62.04,62.04,61.171,61.45,3919107.0,0.0,1.0,62.04,62.04,61.171,61.45,3919107.0
2017-06-16,64.03,64.09,60.47,62.03,8027500.0,0.0,1.0,64.03,64.09,60.47,62.03,8027500.0
2017-06-15,64.17,64.61,63.715,63.8,2322895.0,0.0,1.0,64.17,64.61,63.715,63.8,2322895.0
2017-06-14,64.21,64.21,63.82,64.19,3240900.0,0.0,1.0,64.21,64.21,63.82,64.19,3240900.0
2017-06-13,63.1,64.08,63.06,63.96,1816689.0,0.0,1.0,63.1,64.08,63.06,63.96,1816689.0
2017-06-12,62.38,63.22,62.23,63.16,2824442.0,0.0,1.0,62.38,63.22,62.23,63.16,2824442.0
2017-06-09,62.38,62.61,62.17,62.36,4091205.0,0.0,1.0,62.38,62.61,62.17,62.36,4091205.0
2017-06-08,62.05,62.49,61.83,62.37,2103330.0,0.0,1.0,62.05,62.49,61.83,62.37,2103330.0
2017-06-07,62.17,62.17,61.67,62.01,1935049.0,0.0,1.0,62.17,62.17,61.67,62.01,1935049.0
2017-06-06,61.64,62.18,61.59,61.99,2893958.0,0.0,1.0,61.64,62.18,61.59,61.99,2893958.0
2017-06-05,61.91,62.13,61.68,61.91,2809120.0,0.0,1.0,61.91,62.13,61.68,61.91,2809120.0
2017-06-02,62.0,62.01,61.28,61.91,1547220.0,0.0,1.0,62.0,62.01,61.28,61.91,1547220.0
2017-06-01,59.95,62.07,59.91,61.86,4124399.0,0.0,1.0,59.95,62.07,59.91,61.86,4124399.0
2017-05-31,59.8,59.8,59.25,59.52,3215405.0,0.0,1.0,59.8,59.8,59.25,59.52,3215405.0
2017-05-30,59.36,59.85,59.18,59.65,1410115.0,0.0,1.0,59.36,59.85,59.18,59.65,1410115.0
2017-05-26,59.68,59.72,59.42,59.47,619614.0,0.0,1.0,59.68,59.72,59.42,59.47,619614.0
2017-05-25,59.6,59.74,59.32,59.67,785471.0,0.0,1.0,59.6,59.74,59.32,59.67,785471.0
2017-05-24,59.92,60.06,59.46,59.64,979697.0,0.0,1.0,59.92,60.06,59.46,59.64,979697.0
2017-05-23,59.71,60.3,59.71,60.01,1127031.0,0.0,1.0,59.71,60.3,59.71,60.01,1127031.0
2017-05-22,59.58,59.86,59.31,59.67,1415989.0,0.0,1.0,59.58,59.86,59.31,59.67,1415989.0
2017-05-19,59.12,59.77,58.9795,59.58,2095324.0,0.0,1.0,59.12,59.77,58.9795,59.58,2095324.0
2017-05-18,58.98,59.26,58.62,59.03,1791073.0,0.0,1.0,58.98,59.26,58.62,59.03,1791073.0
2017-05-17,59.02,59.43,58.85,58.97,1657565.0,0.0,1.0,59.02,59.43,58.85,58.97,1657565.0
2017-05-16,59.44,59.6,59.05,59.37,1698884.0,0.0,1.0,59.44,59.6,59.05,59.37,1698884.0
2017-05-15,58.65,59.415,58.65,59.33,1378762.0,0.0,1.0,58.65,59.415,58.65,59.33,1378762.0
2017-05-12,58.92,59.28,58.82,59.09,3297026.0,0.0,1.0,58.92,59.28,58.82,59.09,3297026.0
2017-05-11,59.95,59.95,58.925,58.93,1575877.0,0.0,1.0,59.95,59.95,58.925,58.93,1575877.0
2017-05-10,59.61,60.24,59.37,59.99,1479983.0,0.0,1.0,59.61,60.24,59.37,59.99,1479983.0
2017-05-09,59.5,59.93,59.31,59.84,1536182.0,0.0,1.0,59.5,59.93,59.31,59.84,1536182.0
2017-05-08,57.7,59.49,57.59,59.46,3056398.0,0.0,1.0,57.7,59.49,57.59,59.46,3056398.0
2017-05-05,57.95,58.04,57.46,57.64,3771052.0,0.0,1.0,57.95,58.04,57.46,57.64,3771052.0
2017-05-04,59.49,59.51,56.88,57.81,6864535.0,0.0,1.0,59.49,59.51,56.88,57.81,6864535.0
2017-05-03,61.31,61.32,60.29,60.42,1537347.0,0.0,1.0,61.31,61.32,60.29,60.42,1537347.0
2017-05-02,60.5,61.42,60.43,61.32,2360829.0,0.0,1.0,60.5,61.42,60.43,61.32,2360829.0
2017-05-01,60.9,60.92,60.44,60.44,2353234.0,0.0,1.0,60.9,60.92,60.44,60.44,2353234.0
2017-04-28,60.87,60.9,60.22,60.76,1756116.0,0.0,1.0,60.87,60.9,60.22,60.76,1756116.0
2017-04-27,61.0,61.26,60.84,60.88,2634382.0,0.0,1.0,61.0,61.26,60.84,60.88,2634382.0
2017-04-26,61.0,61.33,60.83,60.99,1993090.0,0.0,1.0,61.0,61.33,60.83,60.99,1993090.0
2017-04-25,60.15,61.02,60.15,60.96,2274858.0,0.0,1.0,60.15,61.02,60.15,60.96,2274858.0
2017-04-24,60.5,60.63,60.02,60.13,1850746.0,0.0,1.0,60.5,60.63,60.02,60.13,1850746.0
2017-04-21,60.1,60.18,59.86,60.06,1619926.0,0.0,1.0,60.1,60.18,59.86,60.06,1619926.0
2017-04-20,59.8,60.4,59.54,60.24,2717641.0,0.0,1.0,59.8,60.4,59.54,60.24,2717641.0
2017-04-19,59.73,59.89,59.58,59.86,2703001.0,0.0,1.0,59.73,59.89,59.58,59.86,2703001.0
2017-04-18,59.72,59.85,59.41,59.48,2063289.0,0.0,1.0,59.72,59.85,59.41,59.48,2063289.0
2017-04-17,59.83,60.11,59.58,59.84,2081114.0,0.0,1.0,59.83,60.11,59.58,59.84,2081114.0
2017-04-13,59.47,59.87,59.17,59.54,3710277.0,0.0,1.0,59.47,59.87,59.17,59.54,3710277.0
2017-04-12,58.9,59.59,58.9,59.56,3443747.0,0.0,1.0,58.9,59.59,58.9,59.56,3443747.0
2017-04-11,58.95,59.21,58.64,59.1,1254771.0,0.0,1.0,58.95,59.21,58.64,59.1,1254771.0
2017-04-10,58.63,59.16,58.59,59.0,2308343.0,0.0,1.0,58.63,59.16,58.59,59.0,2308343.0
2017-04-07,58.55,59.12,58.45,58.54,2276375.0,0.0,1.0,58.55,59.12,58.45,58.54,2276375.0
