Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,23.57,23.65,23.175,23.3,8755562.0,0.0,1.0,23.57,23.65,23.175,23.3,8755562.0
2017-08-03,23.29,24.04,23.22,23.59,6046994.0,0.0,1.0,23.29,24.04,23.22,23.59,6046994.0
2017-08-02,23.75,23.95,23.1,23.17,6529800.0,0.0,1.0,23.75,23.95,23.1,23.17,6529800.0
2017-08-01,23.72,24.005,23.39,23.98,4575862.0,0.0,1.0,23.72,24.005,23.39,23.98,4575862.0
2017-07-31,24.37,24.45,23.55,23.75,5862623.0,0.0,1.0,24.37,24.45,23.55,23.75,5862623.0
2017-07-28,24.15,24.19,23.61,23.93,5342021.0,0.0,1.0,24.15,24.19,23.61,23.93,5342021.0
2017-07-27,23.59,24.37,23.33,24.2,8594787.0,0.0,1.0,23.59,24.37,23.33,24.2,8594787.0
2017-07-26,23.55,23.64,23.155,23.54,5482200.0,0.0,1.0,23.55,23.64,23.155,23.54,5482200.0
2017-07-25,22.84,23.69,22.79,23.49,6531017.0,0.0,1.0,22.84,23.69,22.79,23.49,6531017.0
2017-07-24,23.22,23.35,22.63,22.69,5453698.0,0.0,1.0,23.22,23.35,22.63,22.69,5453698.0
2017-07-21,23.12,23.42,22.855,23.36,4822162.0,0.0,1.0,23.12,23.42,22.855,23.36,4822162.0
2017-07-20,22.84,23.29,22.83,23.07,6033112.0,0.0,1.0,22.84,23.29,22.83,23.07,6033112.0
2017-07-19,22.83,23.08,22.68,22.99,4045634.0,0.0,1.0,22.83,23.08,22.68,22.99,4045634.0
2017-07-18,23.0,23.13,22.5,22.68,5779982.0,0.0,1.0,23.0,23.13,22.5,22.68,5779982.0
2017-07-17,22.36,23.36,22.32,23.05,11487864.0,0.0,1.0,22.36,23.36,22.32,23.05,11487864.0
2017-07-14,22.19,22.5,21.96,22.36,8571015.0,0.0,1.0,22.19,22.5,21.96,22.36,8571015.0
2017-07-13,21.58,22.46,21.56,22.1,14105889.0,0.0,1.0,21.58,22.46,21.56,22.1,14105889.0
2017-07-12,21.22,21.341,21.01,21.23,7457271.0,0.0,1.0,21.22,21.341,21.01,21.23,7457271.0
2017-07-11,21.15,21.28,20.85,21.17,10017822.0,0.0,1.0,21.15,21.28,20.85,21.17,10017822.0
2017-07-10,22.68,22.7,21.065,21.08,21696311.0,0.0,1.0,22.68,22.7,21.065,21.08,21696311.0
2017-07-07,22.92,23.05,22.6,22.68,7629963.0,0.0,1.0,22.92,23.05,22.6,22.68,7629963.0
2017-07-06,23.26,23.4,22.82,22.85,5704721.0,0.0,1.0,23.26,23.4,22.82,22.85,5704721.0
2017-07-05,24.17,24.6534,23.51,23.52,12113751.0,0.0,1.0,24.17,24.6534,23.51,23.52,12113751.0
2017-07-03,23.33,23.93,23.3,23.84,3895361.0,0.0,1.0,23.33,23.93,23.3,23.84,3895361.0
2017-06-30,23.08,23.265,22.77,23.24,6152559.0,0.0,1.0,23.08,23.265,22.77,23.24,6152559.0
2017-06-29,23.28,23.37,22.72,22.95,7060666.0,0.0,1.0,23.28,23.37,22.72,22.95,7060666.0
2017-06-28,23.21,23.53,23.03,23.18,11341201.0,0.0,1.0,23.21,23.53,23.03,23.18,11341201.0
