Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,104.07,105.05,103.65,105.02,3068939.0,0.0,1.0,104.07,105.05,103.65,105.02,3068939.0
2017-08-03,103.62,105.19,103.45,103.66,2250594.0,0.0,1.0,103.62,105.19,103.45,103.66,2250594.0
2017-08-02,104.38,104.74,102.05,103.49,2182793.0,0.0,1.0,104.38,104.74,102.05,103.49,2182793.0
2017-08-01,104.8,105.55,104.61,105.13,1299592.0,0.0,1.0,104.8,105.55,104.61,105.13,1299592.0
2017-07-31,103.75,104.97,103.57,104.19,1262836.0,0.0,1.0,103.75,104.97,103.57,104.19,1262836.0
2017-07-28,103.64,104.6124,103.27,103.34,2005157.0,0.0,1.0,103.64,104.6124,103.27,103.34,2005157.0
2017-07-27,103.48,104.41,102.98,104.06,2066415.0,0.0,1.0,103.48,104.41,102.98,104.06,2066415.0
2017-07-26,103.39,104.84,102.47,103.04,2606163.0,0.0,1.0,103.39,104.84,102.47,103.04,2606163.0
2017-07-25,103.15,103.32,102.64,103.06,1526849.0,0.0,1.0,103.15,103.32,102.64,103.06,1526849.0
2017-07-24,103.03,103.12,102.61,102.71,1506825.0,0.0,1.0,103.03,103.12,102.61,102.71,1506825.0
2017-07-21,102.05,103.06,102.02,102.85,1363918.0,0.0,1.0,102.05,103.06,102.02,102.85,1363918.0
2017-07-20,102.19,102.93,101.91,102.4,1622432.0,0.0,1.0,102.19,102.93,101.91,102.4,1622432.0
2017-07-19,101.88,102.61,101.451,102.24,1056901.0,0.0,1.0,101.88,102.61,101.451,102.24,1056901.0
2017-07-18,100.98,102.31,100.64,102.0,1367371.0,0.0,1.0,100.98,102.31,100.64,102.0,1367371.0
2017-07-17,100.89,101.95,100.61,101.35,1232325.0,0.0,1.0,100.89,101.95,100.61,101.35,1232325.0
2017-07-14,100.81,101.37,100.17,100.99,1323909.0,0.0,1.0,100.81,101.37,100.17,100.99,1323909.0
2017-07-13,101.0,101.24,100.46,100.7,1396413.0,0.0,1.0,101.0,101.24,100.46,100.7,1396413.0
2017-07-12,101.65,102.05,100.68,100.8,1776851.0,0.0,1.0,101.65,102.05,100.68,100.8,1776851.0
2017-07-11,100.33,100.95,99.83,100.73,1793814.0,0.0,1.0,100.33,100.95,99.83,100.73,1793814.0
2017-07-10,100.23,100.89,99.56,100.71,1524048.0,0.0,1.0,100.23,100.89,99.56,100.71,1524048.0
2017-07-07,99.7,100.74,99.43,100.35,2469761.0,0.0,1.0,99.7,100.74,99.43,100.35,2469761.0
2017-07-06,100.45,100.75,99.38,99.65,1984415.0,0.0,1.0,100.45,100.75,99.38,99.65,1984415.0
2017-07-05,100.3,101.56,100.05,101.17,2290927.0,0.0,1.0,100.3,101.56,100.05,101.17,2290927.0
2017-07-03,100.61,101.0,99.92,100.11,1230637.0,0.0,1.0,100.61,101.0,99.92,100.11,1230637.0
2017-06-30,101.18,101.22,100.28,100.31,2837436.0,0.0,1.0,101.18,101.22,100.28,100.31,2837436.0
2017-06-29,102.16,102.34,99.08,100.21,3052900.0,0.0,1.0,102.16,102.34,99.08,100.21,3052900.0
2017-06-28,101.0,102.51,100.47,101.98,2059229.0,0.0,1.0,101.0,102.51,100.47,101.98,2059229.0
2017-06-27,103.53,103.558,100.89,101.03,2719033.0,0.0,1.0,103.53,103.558,100.89,101.03,2719033.0
2017-06-26,104.07,105.15,103.51,103.93,2114452.0,0.0,1.0,104.07,105.15,103.51,103.93,2114452.0
2017-06-23,103.81,104.45,103.32,104.06,6252434.0,0.0,1.0,103.81,104.45,103.32,104.06,6252434.0
2017-06-22,104.09,104.4,103.39,103.89,1516790.0,0.0,1.0,104.09,104.4,103.39,103.89,1516790.0
2017-06-21,104.32,104.754,103.67,104.13,1441375.0,0.0,1.0,104.32,104.754,103.67,104.13,1441375.0
2017-06-20,105.43,105.883,104.16,104.19,1641503.0,0.0,1.0,105.43,105.883,104.16,104.19,1641503.0
