Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,38.1,38.38,38.01,38.33,1115687.0,0.0,1.0,38.1,38.38,38.01,38.33,1115687.0
2017-08-03,38.29,38.435,37.83,37.99,3530010.0,0.0,1.0,38.29,38.435,37.83,37.99,3530010.0
2017-08-02,38.28,38.59,38.15,38.28,1735286.0,0.0,1.0,38.28,38.59,38.15,38.28,1735286.0
2017-08-01,38.33,38.59,38.12,38.33,1979644.0,0.0,1.0,38.33,38.59,38.12,38.33,1979644.0
2017-07-31,38.72,38.78,38.13,38.13,1714371.0,0.0,1.0,38.72,38.78,38.13,38.13,1714371.0
2017-07-28,38.34,39.1,38.31,38.57,3477025.0,0.0,1.0,38.34,39.1,38.31,38.57,3477025.0
2017-07-27,38.0,38.84,37.71,38.29,4423774.0,0.0,1.0,38.0,38.84,37.71,38.29,4423774.0
2017-07-26,37.76,37.93,37.5,37.64,2976373.0,0.0,1.0,37.76,37.93,37.5,37.64,2976373.0
2017-07-25,37.96,38.08,37.65,37.74,1981264.0,0.0,1.0,37.96,38.08,37.65,37.74,1981264.0
2017-07-24,38.33,38.345,37.7,37.72,2353102.0,0.0,1.0,38.33,38.345,37.7,37.72,2353102.0
2017-07-21,38.15,38.57,38.11,38.3,1516337.0,0.0,1.0,38.15,38.57,38.11,38.3,1516337.0
2017-07-20,38.85,38.96,38.04,38.3,3631935.0,0.0,1.0,38.85,38.96,38.04,38.3,3631935.0
2017-07-19,38.76,39.05,38.71,39.02,1223835.0,0.0,1.0,38.76,39.05,38.71,39.02,1223835.0
2017-07-18,38.68,38.82,38.35,38.57,1229359.0,0.0,1.0,38.68,38.82,38.35,38.57,1229359.0
2017-07-17,38.92,38.9951,38.725,38.74,1435874.0,0.0,1.0,38.92,38.9951,38.725,38.74,1435874.0
2017-07-14,38.89,39.08,38.84,38.92,1303547.0,0.0,1.0,38.89,39.08,38.84,38.92,1303547.0
2017-07-13,38.59,38.89,38.54,38.84,1388428.0,0.0,1.0,38.59,38.89,38.54,38.84,1388428.0
2017-07-12,39.02,39.15,38.54,38.66,1331596.0,0.1,1.0,39.02,39.15,38.54,38.66,1331596.0
2017-07-11,38.69,38.91,38.53,38.8,1926291.0,0.0,1.0,38.5901805986,38.8096130031,38.4305933953,38.6998968008,1926291.0
2017-07-10,38.43,38.84,38.18,38.74,2051509.0,0.0,1.0,38.3308513932,38.7397936017,38.081496388,38.6400515996,2051509.0
2017-07-07,37.82,38.665,37.82,38.43,2496600.0,0.0,1.0,37.7224251806,38.565245098,37.7224251806,38.3308513932,2496600.0
2017-07-06,37.9,38.05,37.61,37.68,1979881.0,0.0,1.0,37.8022187822,37.9518317853,37.5129669763,37.5827863777,1979881.0
2017-07-05,37.95,38.23,37.65,38.15,2750420.0,0.0,1.0,37.8520897833,38.1313673891,37.5528637771,38.0515737874,2750420.0
2017-07-03,38.42,38.5,37.95,37.96,1268644.0,0.0,1.0,38.320877193,38.4006707946,37.8520897833,37.8620639835,1268644.0
2017-06-30,38.0,38.535,38.0,38.21,1972339.0,0.0,1.0,37.9019607843,38.4355804954,37.9019607843,38.1114189886,1972339.0
2017-06-29,38.68,38.75,37.69,38.0,1906745.0,0.0,1.0,38.5802063983,38.6500257998,37.5927605779,37.9019607843,1906745.0
2017-06-28,38.51,38.82,38.22,38.76,2288884.0,0.0,1.0,38.4106449948,38.7198452012,38.1213931889,38.66,2288884.0
2017-06-27,38.86,38.9,38.205,38.25,2314506.0,0.0,1.0,38.7597420021,38.7996388029,38.1064318885,38.1513157895,2314506.0
2017-06-26,38.96,39.14,38.88,38.91,1492003.0,0.0,1.0,38.8594840041,39.0390196078,38.7796904025,38.8096130031,1492003.0
2017-06-23,38.84,38.99,38.52,38.91,4187860.0,0.0,1.0,38.7397936017,38.8894066047,38.420619195,38.8096130031,4187860.0
2017-06-22,38.76,39.03,38.55,38.82,2349315.0,0.0,1.0,38.66,38.9293034056,38.4505417957,38.7198452012,2349315.0
2017-06-21,38.96,39.105,38.66,38.76,1991826.0,0.0,1.0,38.8594840041,39.0041099071,38.5602579979,38.66,1991826.0
2017-06-20,39.12,39.37,38.97,38.97,2644482.0,0.0,1.0,39.0190712074,39.2684262126,38.8694582043,38.8694582043,2644482.0
2017-06-19,38.77,39.2,38.67,39.14,2026179.0,0.0,1.0,38.6699742002,39.0988648091,38.5702321981,39.0390196078,2026179.0
