Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,81.43,83.83,80.81,83.49,5018898.0,0.0,1.0,81.43,83.83,80.81,83.49,5018898.0
2017-08-03,79.87,81.0,79.57,80.68,3092612.0,0.0,1.0,79.87,81.0,79.57,80.68,3092612.0
2017-08-02,80.68,81.1,79.14,79.82,1839392.0,0.0,1.0,80.68,81.1,79.14,79.82,1839392.0
2017-08-01,80.61,80.8,80.03,80.33,1197485.0,0.0,1.0,80.61,80.8,80.03,80.33,1197485.0
2017-07-31,81.0,81.36,79.95,80.04,1862580.0,0.0,1.0,81.0,81.36,79.95,80.04,1862580.0
2017-07-28,80.67,80.9,80.07,80.7,1252166.0,0.0,1.0,80.67,80.9,80.07,80.7,1252166.0
2017-07-27,82.98,83.19,79.8,80.93,2084047.0,0.0,1.0,82.98,83.19,79.8,80.93,2084047.0
2017-07-26,81.55,83.24,81.4,82.69,2228735.0,0.0,1.0,81.55,83.24,81.4,82.69,2228735.0
2017-07-25,80.5,81.385,80.12,80.94,1502517.0,0.0,1.0,80.5,81.385,80.12,80.94,1502517.0
2017-07-24,81.0,81.24,80.38,80.55,1802556.0,0.0,1.0,81.0,81.24,80.38,80.55,1802556.0
2017-07-21,82.0,82.05,80.66,80.88,2633420.0,0.0,1.0,82.0,82.05,80.66,80.88,2633420.0
2017-07-20,82.51,83.38,82.05,83.04,1711597.0,0.0,1.0,82.51,83.38,82.05,83.04,1711597.0
2017-07-19,82.07,82.48,81.71,82.31,2099340.0,0.0,1.0,82.07,82.48,81.71,82.31,2099340.0
2017-07-18,80.81,81.61,80.39,81.57,1193296.0,0.0,1.0,80.81,81.61,80.39,81.57,1193296.0
2017-07-17,80.9,81.35,80.36,81.03,1455586.0,0.0,1.0,80.9,81.35,80.36,81.03,1455586.0
2017-07-14,79.88,81.015,79.73,80.84,1417519.0,0.0,1.0,79.88,81.015,79.73,80.84,1417519.0
2017-07-13,80.38,80.585,79.35,79.49,2239016.0,0.0,1.0,80.38,80.585,79.35,79.49,2239016.0
2017-07-12,79.93,81.25,79.5401,80.16,3132131.0,0.0,1.0,79.93,81.25,79.5401,80.16,3132131.0
2017-07-11,78.76,79.63,78.61,79.11,1382926.0,0.0,1.0,78.76,79.63,78.61,79.11,1382926.0
2017-07-10,78.39,79.075,77.95,78.76,1767306.0,0.0,1.0,78.39,79.075,77.95,78.76,1767306.0
