Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,95.35,95.35,94.17,94.51,470827.0,0.0,1.0,95.35,95.35,94.17,94.51,470827.0
2017-08-03,95.65,96.18,95.04,95.18,568153.0,0.0,1.0,95.65,96.18,95.04,95.18,568153.0
2017-08-02,95.17,95.95,94.32,95.63,957558.0,0.0,1.0,95.17,95.95,94.32,95.63,957558.0
2017-08-01,95.3,95.8484,94.55,95.25,620206.0,0.0,1.0,95.3,95.8484,94.55,95.25,620206.0
2017-07-31,95.55,95.9,95.05,95.3,1049063.0,0.0,1.0,95.55,95.9,95.05,95.3,1049063.0
2017-07-28,96.56,96.6,94.51,95.52,1012920.0,0.0,1.0,96.56,96.6,94.51,95.52,1012920.0
2017-07-27,94.91,95.25,94.13,95.25,747714.0,0.0,1.0,94.91,95.25,94.13,95.25,747714.0
2017-07-26,94.81,95.53,94.36,94.7,1116224.0,0.0,1.0,94.81,95.53,94.36,94.7,1116224.0
2017-07-25,94.19,94.85,93.83,94.81,1046822.0,0.0,1.0,94.19,94.85,93.83,94.81,1046822.0
2017-07-24,93.66,94.45,93.33,93.95,1077857.0,0.0,1.0,93.66,94.45,93.33,93.95,1077857.0
2017-07-21,92.42,93.68,92.42,93.67,1752273.0,0.0,1.0,92.42,93.68,92.42,93.67,1752273.0
2017-07-20,92.3,93.34,92.21,92.48,1865903.0,0.0,1.0,92.3,93.34,92.21,92.48,1865903.0
2017-07-19,90.5,92.81,90.25,92.07,4895020.0,0.0,1.0,90.5,92.81,90.25,92.07,4895020.0
2017-07-18,97.37,97.58,97.01,97.14,915498.0,0.0,1.0,97.37,97.58,97.01,97.14,915498.0
2017-07-17,97.61,97.61,97.04,97.28,633437.0,0.0,1.0,97.61,97.61,97.04,97.28,633437.0
2017-07-14,97.23,97.87,97.18,97.67,737341.0,0.0,1.0,97.23,97.87,97.18,97.67,737341.0
2017-07-13,97.38,97.38,96.41,96.94,1021751.0,0.0,1.0,97.38,97.38,96.41,96.94,1021751.0
2017-07-12,96.9,97.65,96.7001,97.2,1324211.0,0.0,1.0,96.9,97.65,96.7001,97.2,1324211.0
2017-07-11,94.9,96.38,94.54,96.25,1257201.0,0.0,1.0,94.9,96.38,94.54,96.25,1257201.0
2017-07-10,96.12,96.12,94.95,94.97,505836.0,0.0,1.0,96.12,96.12,94.95,94.97,505836.0
2017-07-07,96.03,96.75,95.7,95.75,622027.0,0.0,1.0,96.03,96.75,95.7,95.75,622027.0
2017-07-06,95.94,96.25,95.53,95.74,708665.0,0.47,1.0,95.94,96.25,95.53,95.74,708665.0
2017-07-05,97.43,98.26,96.75,96.75,1001186.0,0.0,1.0,96.9540401206,97.7799854485,96.2773620206,96.2773620206,1001186.0
2017-07-03,97.87,98.0,97.11,97.3,525755.0,0.0,1.0,97.3918906559,97.5212555867,96.6356033676,96.8246751897,525755.0
2017-06-30,96.26,98.23,95.9,97.51,1284908.0,0.0,1.0,95.7897557426,97.7501320029,95.4315143956,97.0336493088,1284908.0
2017-06-29,98.07,98.44,95.1,95.36,1815216.0,0.0,1.0,97.5909136264,97.959106122,94.6354225133,94.894152375,1815216.0
2017-06-28,99.09,99.78,98.15,98.95,1077240.0,0.0,1.0,98.6059307764,99.2925600249,97.6705228147,98.466614697,1077240.0
2017-06-27,99.45,100.27,98.52,98.53,640568.0,0.0,1.0,98.9641721235,99.7801663029,98.0387153103,98.0486664588,640568.0
2017-06-26,100.66,101.09,100.28,100.41,498860.0,0.0,1.0,100.168261096,100.596160482,99.7901174514,99.9194823823,498860.0
2017-06-23,99.99,100.66,99.745,100.23,607694.0,0.0,1.0,99.5015341441,100.168261096,99.2577310051,99.7403617088,607694.0
2017-06-22,100.02,100.2,99.3,99.71,640075.0,0.0,1.0,99.5313875896,99.7105082632,98.8149048955,99.2229019852,640075.0
2017-06-21,101.53,101.81,99.92,100.02,621133.0,0.0,1.0,101.034011018,101.312643176,99.4318761044,99.5313875896,621133.0
2017-06-20,102.16,102.26,100.97,101.1,577197.0,0.0,1.0,101.660933375,101.76044486,100.4767467,100.606111631,577197.0
2017-06-19,102.21,102.5,100.77,102.16,592427.0,0.0,1.0,101.710689118,101.999272425,100.277723729,101.660933375,592427.0
2017-06-16,104.81,104.8875,100.83,101.83,1305781.0,0.0,1.0,104.297987735,104.375109136,100.337430621,101.332545473,1305781.0
2017-06-15,105.29,105.81,104.77,105.53,462605.0,0.0,1.0,104.775642865,105.293102588,104.258183141,105.014470429,462605.0
2017-06-14,105.23,106.5,104.89,105.41,434712.0,0.0,1.0,104.715935973,105.979731837,104.377596923,104.895056647,434712.0
2017-06-13,104.5,105.3199,103.625,104.98,316403.0,0.0,1.0,103.989502131,104.805396799,103.118776634,104.46715726,316403.0
2017-06-12,104.3,104.9,103.73,104.54,380469.0,0.0,1.0,103.79047916,104.387548072,103.223263694,104.029306725,380469.0
2017-06-09,104.21,104.72,104.01,104.4,386810.0,0.0,1.0,103.700918823,104.208427398,103.501895853,103.889990645,386810.0
2017-06-08,105.98,105.98,104.14,104.51,437960.0,0.0,1.0,105.462272113,105.462272113,103.631260784,103.999453279,437960.0
2017-06-07,105.56,106.23,105.18,105.92,441835.0,0.0,1.0,105.044323875,105.711050826,104.666180231,105.402565222,441835.0
2017-06-06,105.4,105.74,105.0101,105.28,335325.0,0.0,1.0,104.885105498,105.223444548,104.497110217,104.765691716,335325.0
2017-06-05,105.28,105.56,104.68,105.4,328118.0,0.0,1.0,104.765691716,105.044323875,104.168622804,104.885105498,328118.0
2017-06-02,105.57,105.85,104.54,105.42,462992.0,0.0,1.0,105.054275023,105.332907182,104.029306725,104.905007795,462992.0
2017-06-01,104.53,105.47,104.06,105.47,510529.0,0.0,1.0,104.019355576,104.954763538,103.551651595,104.954763538,510529.0
2017-05-31,103.88,104.54,103.79,104.15,469341.0,0.0,1.0,103.372530922,104.029306725,103.282970585,103.641211932,469341.0
2017-05-30,104.34,104.34,103.29,103.72,306078.0,0.0,1.0,103.830283754,103.830283754,102.785413159,103.213312545,306078.0
2017-05-26,104.27,104.82,104.0,104.48,334795.0,0.0,1.0,103.760625715,104.307938884,103.491944704,103.969599834,334795.0
2017-05-25,103.6,104.48,103.32,104.18,380720.0,0.0,1.0,103.093898763,103.969599834,102.815266604,103.671065378,380720.0
2017-05-24,102.74,103.54,102.44,103.51,347945.0,0.0,1.0,102.23809999,103.034191872,101.939565534,103.004338426,347945.0
2017-05-23,102.37,103.19,102.0,102.53,427051.0,0.0,1.0,101.869907494,102.685901673,101.501714998,102.02912587,427051.0
2017-05-22,101.0,102.39,100.63,102.27,373915.0,0.0,1.0,100.506600146,101.889809791,100.13840765,101.770396009,373915.0
2017-05-19,100.11,101.09,99.67,100.99,512600.0,0.0,1.0,99.6209479264,100.596160482,99.1830973911,100.496648997,512600.0
2017-05-18,100.41,100.47,99.62,100.11,528287.0,0.0,1.0,99.9194823823,99.9791892735,99.1333416485,99.6209479264,528287.0
2017-05-17,99.52,100.89,99.21,100.35,594611.0,0.0,1.0,99.0338301632,100.397137512,98.7253445588,99.8597754911,594611.0
2017-05-16,100.42,100.48,99.45,99.49,412718.0,0.0,1.0,99.9294335308,99.989140422,98.9641721235,99.0039767176,412718.0
2017-05-15,99.38,100.41,99.32,100.31,644041.0,0.0,1.0,98.8945140838,99.9194823823,98.8348071926,99.819970897,644041.0
2017-05-12,99.91,100.05,99.31,99.4,382950.0,0.0,1.0,99.4219249558,99.5612410352,98.8248560441,98.9144163808,382950.0
2017-05-11,99.59,100.09,99.4,100.04,412921.0,0.0,1.0,99.1034882029,99.6010456294,98.9144163808,99.5512898867,412921.0
2017-05-10,99.71,99.99,99.53,99.97,402173.0,0.0,1.0,99.2229019852,99.5015341441,99.0437813117,99.481631847,402173.0
2017-05-09,100.39,100.54,99.58,99.72,371282.0,0.0,1.0,99.8995800852,100.048847313,99.0935370544,99.2328531338,371282.0
2017-05-08,100.12,100.77,99.79,100.42,427016.0,0.0,1.0,99.6308990749,100.277723729,99.3025111735,99.9294335308,427016.0
2017-05-05,100.5,101.05,99.82,100.16,493938.0,0.0,1.0,100.009042719,100.556355888,99.3323646191,99.6707036691,493938.0
2017-05-04,99.56,102.03,99.56,100.33,733458.0,0.0,1.0,99.0736347573,101.531568444,99.0736347573,99.8398731941,733458.0
2017-05-03,99.45,99.76,99.06,99.37,410222.0,0.0,1.0,98.9641721235,99.2726577279,98.5760773308,98.8845629352,410222.0
2017-05-02,99.24,99.64,98.9,99.36,514827.0,0.0,1.0,98.7551980044,99.1532439455,98.4168589544,98.8746117867,514827.0
2017-05-01,100.03,100.23,99.19,99.19,305787.0,0.0,1.0,99.5413387382,99.7403617088,98.7054422617,98.7054422617,305787.0
2017-04-28,100.0,100.04,99.52,99.9,660460.0,0.0,1.0,99.5114852926,99.5512898867,99.0338301632,99.4119738073,660460.0
2017-04-27,99.92,100.46,99.61,100.02,330770.0,0.0,1.0,99.4318761044,99.9692381249,99.1233904999,99.5313875896,330770.0
2017-04-26,100.73,100.9,99.71,99.72,604378.0,0.0,1.0,100.237919135,100.40708866,99.2229019852,99.2328531338,604378.0
2017-04-25,101.09,101.2,100.185,100.68,568227.0,0.0,1.0,100.596160482,100.705623116,99.6955815404,100.188163393,568227.0
2017-04-24,100.77,101.115,100.38,101.08,794993.0,0.0,1.0,100.277723729,100.621038354,99.8896289367,100.586209334,794993.0
2017-04-21,100.36,100.58,100.26,100.4,472506.0,0.0,1.0,99.8697266396,100.088651907,99.7702151543,99.9095312338,472506.0
